trace,level,policy,G,B0_by_overlay,eta,gam_by_overlay,Bmax_by_overlay,Ncap_by_overlay,promise_by_overlay,guar_excess_s,max_excess_s,used_over_allowed
primary,1,FIXSEL-G1200,1200.0,2537.45/2537.45/2537.45/2537.45/2537.45,0.0,0/0/0/0/0,5220/5220/5220/5220/5220,0/0/0/0/0,663.5/663.5/663.5/663.5/663.5,663.49,574.1336,0.8653
primary,1,CAP-G1200,1200.0,450/450/450/450/450,0.75,0/0/0/0/0,5220/5220/5220/5220/5220,0/0/0/0/0,984.0/984.0/984.0/984.0/984.0,1200.0,1103.45,0.9195
primary,1,HYB-G1200,1200.0,0/0/0/0/0,0.0,20/20/20/20/20,5220/5220/5220/5220/5220,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,1101.0715,0.9176
primary,1,SKIP-G1200,1200.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,92/92/92/92/92,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,133.1564,0.111
primary,1,CAP-G600-reversed,600.0,150/150/150/150/150,0.75,0/0/0/0/0,2220/2220/2220/2220/2220,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,513.5491,0.8559
primary,1,CAP-G600-random,600.0,150/150/150/150/150,0.75,0/0/0/0/0,2220/2220/2220/2220/2220,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,504.5105,0.8409
primary,1,CAP-G600-top1short,600.0,150/150/150/150/150,0.75,0/0/0/0/0,2220/2220/2220/2220/2220,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,516.213,0.8604
primary,2,FIX-G300,300.0,600/600/600/600/600,0.0,0/0/0/0/0,600/600/600/600/600,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,227.8946,0.7596
primary,2,FIXSEL-G300,300.0,329.671/329.671/329.671/329.671/329.671,0.0,0/0/0/0/0,600/600/600/600/600,0/0/0/0/0,232.4/232.4/232.4/232.4/232.4,232.4178,165.1068,0.7104
primary,2,CAP-G300,300.0,60/60/60/60/60,0.5,0/0/0/0/0,600/600/600/600/600,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,228.9148,0.763
