level,rho,k_by_overlay,policy,p99_dl_s,gap_closed,red_pct,mean_s,max_excess_s,harm_s,max_heavy_s,qw_fired,B0_by_overlay,Ncap_by_overlay,promise_by_overlay
1,0.8,5/5/5/5/5,SPJF-M4refit,44.41,"0.873 [0.851,0.886]","62.7 [57.4,66.2]",1.251,3055.1,390.5,3346.7,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
1,0.8,5/5/5/5/5,SPJF-tweedie,43.39,"0.885 [0.862,0.898]","63.5 [58.0,67.3]",1.23,3044.5,469.3,3312.8,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
1,0.8,5/5/5/5/5,SPJF-tweedie_itr,43.44,"0.884 [0.861,0.898]","63.5 [57.9,67.2]",1.232,2691.2,330.4,3131.9,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
1,0.8,5/5/5/5/5,SPJF-r1s,42.82,"0.891 [0.870,0.904]","64.0 [58.5,67.7]",1.23,2657.7,889.9,3098.2,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
1,0.8,5/5/5/5/5,FIX-G300,53.97,"0.761 [0.720,0.784]","54.7 [50.8,56.5]",2.055,214.1,186.3,1166.9,0.1092,720/720/720/720/720,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
1,0.8,5/5/5/5/5,FIXSEL-G300,64.65,"0.637 [0.540,0.698]","45.7 [39.7,48.5]",2.372,171.6,152.3,1105.3,0.2078,412.089/412.089/412.089/412.089/412.089,0/0/0/0/0,238.4/238.4/238.4/238.4/238.4
1,0.8,5/5/5/5/5,CAP-G300,56.13,"0.736 [0.693,0.758]","52.8 [48.9,54.8]",2.073,209.8,114.0,1166.9,0.117,75/75/75/75/75,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
1,0.8,5/5/5/5/5,HYB-G300,54.75,"0.752 [0.710,0.776]","54.0 [50.2,55.9]",2.058,214.1,117.6,1166.9,0.1767,0/0/0/0/0,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
1,0.8,5/5/5/5/5,SKIP-G300,119.21,"0.002 [-0.001,0.009]","0.1 [-0.1,0.6]",4.012,64.2,58.8,1023.7,0.8053,-1/-1/-1/-1/-1,17/17/17/17/17,300.0/300.0/300.0/300.0/300.0
1,0.8,5/5/5/5/5,FIX-G600,47.05,"0.842 [0.824,0.854]","60.4 [55.6,63.6]",1.539,512.9,446.7,1460.8,0.0111,2220/2220/2220/2220/2220,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
1,0.8,5/5/5/5/5,FIXSEL-G600,49.84,"0.809 [0.786,0.824]","58.1 [53.7,60.6]",1.78,315.3,286.5,1281.6,0.0477,1226.41/1226.41/1226.41/1226.41/1226.41,0/0/0/0/0,401.3/401.3/401.3/401.3/401.3
