trace,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi
primary,0,0.5,7.8,p99dl,FCFS,27.64457209587104,0.0,0.0,0.0,0.0,0.0,0.0
primary,0,0.5,7.8,p99dl,SJF-ref,10.587548668384589,1.0,1.0,1.0,61.95517310582242,58.747167900185886,66.3615678673505
primary,0,0.5,7.8,p99dl,SPJF-M4,14.727770876139449,0.7528488667222545,0.721324028075664,0.7761070372429358,46.64074299874348,43.937031525076826,49.927773837356845
primary,0,0.5,7.8,p99dl,SPJF-M4refit,14.723947255760493,0.7533956899209809,0.72169304898799,0.7759815576016349,46.676120705075924,43.96211789790886,49.984215227746525
primary,0,0.5,7.8,p99dl,SPJF-tweedie,14.725104676485111,0.7515004250616844,0.7229423045631915,0.7753327475054452,46.549775644246466,43.73909546430128,49.920130831566595
primary,0,0.5,7.8,p99dl,SPJF-tweedie_itr,14.68564381316315,0.7536165163570672,0.7236249947302611,0.7757784535623642,46.68212937119794,43.80651119909056,49.96697692968844
primary,0,0.5,7.8,p99dl,SPJF-r1s,14.873575423248212,0.7411285192756802,0.7067272382364179,0.7667774855460551,45.901619708689836,43.21982087525844,48.84242295685714
primary,0,0.5,7.8,p99dl,FIX-G300,15.30783447220928,0.7203554989807491,0.6944737562385838,0.7387451186925134,44.62689332204961,41.70780398765678,48.05851999478978
primary,0,0.5,7.8,p99dl,FIXSEL-G300,15.75259834259757,0.6967829635469743,0.6727730509560244,0.7170179428438963,43.177668851170765,40.356557584431,46.85744011359325
primary,0,0.5,7.8,p99dl,CAP-G300,15.607005729228376,0.7032786620160435,0.6759963057504473,0.7226282033607301,43.57283371812556,40.90727808781875,46.78383419016849
primary,0,0.5,7.8,p99dl,HYB-G300,15.297278636097943,0.7209535501834126,0.695515358403146,0.7397481941473198,44.66545032378483,41.880180647199325,48.09431283396143
primary,0,0.5,7.8,p99dl,SKIP-G300,26.386261256337285,0.07758675169348758,0.05131192192553255,0.10632793157015108,4.817322626845968,3.1717296000075383,6.85548558065632
primary,0,0.5,7.8,p99dl,FIX-G600,14.958311489671527,0.7398853821459264,0.7134486855327417,0.7611555915545563,45.835032316089226,42.99333908728793,49.30011908975975
primary,0,0.5,7.8,p99dl,FIXSEL-G600,15.144307233057967,0.7303659174743181,0.7042143184290467,0.7502825129467565,45.25194700683167,42.392594000838095,48.721835406610644
primary,0,0.5,7.8,p99dl,CAP-G600,14.979922418743417,0.739203276752798,0.7123155372153481,0.7591412147192572,45.79519606341463,42.96114749628302,49.25009434619361
primary,0,0.5,7.8,p99dl,HYB-G600,14.921138781011203,0.741629056897178,0.7152213708874977,0.761850111691979,45.9433032161261,43.146861072458876,49.376940116593524
primary,0,0.5,7.8,p99dl,SKIP-G600,24.642304854989113,0.18422676921983117,0.13526631162604164,0.2322357022909543,11.452094005257322,8.393695227291657,14.91687486394767
primary,0,0.5,7.8,p99dl,FIX-G1200,14.75413819596175,0.7501928123579372,0.7224282086088171,0.7738106462067503,46.46945861661264,43.645467198182956,49.870689518424584
primary,0,0.5,7.8,p99dl,FIXSEL-G1200,14.876899609118746,0.743845370858304,0.7167308343784063,0.7654776063425663,46.07841041512368,43.23436728394901,49.53944295441394
primary,0,0.5,7.8,p99dl,CAP-G1200,14.750082374066244,0.7506326634589506,0.7226033291865646,0.7738587547486563,46.497973643024785,43.671381004904866,49.89664983907996
primary,0,0.5,7.8,p99dl,HYB-G1200,14.878663962632455,0.7438567152360493,0.7174558667966573,0.7642380919996157,46.080267034558936,43.373846683434834,49.40521705060793
