trace,rep,copies,class_semesters,n_jobs,n_weeks,busy_hour_work_s,k_per_rho,rho_busy,n_deadline_window,n_heavy,span_days,busy_hour
primary,0,44,40,17634760,30,15247.543,8/5/4,0.5294/0.8471/1.0589,4219556,181720,208.8,2020-04-13 14:00:00
primary,1,44,40,17634760,30,14232.983,8/5/4,0.4942/0.7907/0.9884,4219556,181720,208.8,2020-03-30 14:00:00
primary,2,44,40,17634760,30,14114.958,8/5/4,0.4901/0.7842/0.9802,4219556,181720,208.8,2020-04-13 14:00:00
primary,3,44,40,17634760,30,13860.254,8/5/4,0.4813/0.7700/0.9625,4219556,181720,208.8,2020-04-06 14:00:00
primary,4,44,40,17634760,30,13026.087,7/5/4,0.5169/0.7237/0.9046,4219556,181720,208.8,2020-03-30 14:00:00
valid,0,49,32,17646125,30,13221.474,7/5/4,0.5247/0.7345/0.9182,3993059,176106,208.8,2020-04-27 14:00:00
valid,1,49,32,17646125,30,13819.949,8/5/4,0.4799/0.7678/0.9597,3993059,176106,208.8,2020-03-31 21:00:00
valid,2,49,32,17646125,30,14296.749,8/5/4,0.4964/0.7943/0.9928,3993059,176106,208.8,2020-05-11 14:00:00
valid,3,49,32,17646125,30,13078.194,7/5/4,0.5190/0.7266/0.9082,3993059,176106,208.8,2020-04-27 14:00:00
valid,4,49,32,17646125,30,15204.228,8/5/4,0.5279/0.8447/1.0558,3993059,176106,208.8,2020-04-21 21:00:00
k1,0,321,40,3209347,30,2880.047,1,0.8000,768149,33097,208.8,2020-04-13 14:00:00
