trace,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi
k1,0,0.8,1.0,p99dl,FCFS,221.27438719391904,0.0,0.0,0.0,0.0,0.0,0.0
k1,0,0.8,1.0,p99dl,SJF-ref,45.324836370348976,1.0,1.0,1.0,79.51645604123739,72.56154603535612,84.53263077122915
k1,0,0.8,1.0,p99dl,SPJF-M4,64.7432583588362,0.8896364219312007,0.8309414568948468,0.9171510045034524,70.74073543717604,64.00543776218463,75.10058014314757
k1,0,0.8,1.0,p99dl,SPJF-M4refit,64.70297270357611,0.8898653833299173,0.8310642505153425,0.917469171085384,70.75894163617224,64.03951241605965,75.06743558867933
k1,0,0.8,1.0,p99dl,SPJF-tweedie,60.92893488883996,0.91131492836752,0.8541541246382471,0.9328615350059273,72.4645334412593,65.41605014876063,76.5097618882924
k1,0,0.8,1.0,p99dl,SPJF-tweedie_itr,61.46834029793768,0.9082492461502428,0.8500086134219349,0.9309323798412422,72.22076125599278,65.20705449730984,76.40145574276208
k1,0,0.8,1.0,p99dl,SPJF-r1s,60.75813164174563,0.9122856796214724,0.8691580322163535,0.9330384175674593,72.54172414067119,65.50457356564175,76.81278217487657
k1,0,0.8,1.0,p99dl,FIX-G300,83.24137166202098,0.7845033697773286,0.5860908605812648,0.8657019779235389,62.38092771710156,49.33650919354968,67.06626193884577
k1,0,0.8,1.0,p99dl,FIXSEL-G300,126.48622659266,0.5387235156758428,0.19531728049010372,0.7193987449072972,42.837384752619016,16.530436894107275,53.11239577242953
k1,0,0.8,1.0,p99dl,CAP-G300,90.32232044637205,0.7442591705099413,0.5596528152857612,0.8263321017649056,59.180851615141556,46.949795114112156,63.59002570618858
k1,0,0.8,1.0,p99dl,HYB-G300,106.22184315800668,0.6538950710438529,0.5109177094713565,0.7112053171256546,51.99541867224033,42.787287834785225,55.14422694535941
k1,0,0.8,1.0,p99dl,SKIP-G300,220.31989125370995,0.005424827376605168,-0.0015827105028850285,0.019120686467981794,0.43136304762312605,-0.13095219083283932,1.3977558094604223
