trace,level,rho_target,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,0.8,p99dl,gain,CAP-G600 - SKIP-G600,"capped relative vs finite skip, G = 600 s",0.8486621250271414,0.7729143883083167,0.8842817284955969,True,CAP-G600 better
k1,0,0.8,p99dl,red_pct,CAP-G600 - SKIP-G600,"capped relative vs finite skip, G = 600 s",67.4826045585838,60.47200672081483,71.11488704098629,True,CAP-G600 better
k1,0,0.8,p99dl,gain,CAP-G1200 - FIXSEL-G1200,"capped relative vs the selected fixed budget, equal grids, G = 1200 s",0.02794321024681279,0.008684138317058726,0.053220707122289095,True,CAP-G1200 better
k1,0,0.8,p99dl,red_pct,CAP-G1200 - FIXSEL-G1200,"capped relative vs the selected fixed budget, equal grids, G = 1200 s",2.2219450492417394,0.6480229169002666,4.399273188698242,True,CAP-G1200 better
k1,0,0.8,p99dl,gain,CAP-G1200 - FIX-G1200,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 1200 s",-0.003132740672833312,-0.008157084474815538,0.001748325024766192,False,unresolved
k1,0,0.8,p99dl,red_pct,CAP-G1200 - FIX-G1200,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 1200 s",-0.24910443599993926,-0.6553423788843158,0.1449430204849486,False,unresolved
k1,0,0.8,p99dl,gain,HYB-G1200 - CAP-G1200,"hybrid (queue-length term) vs capped, G = 1200 s",-0.19727078306258816,-0.21679648831297801,-0.1672277072644493,True,CAP-G1200 better
k1,0,0.8,p99dl,red_pct,HYB-G1200 - CAP-G1200,"hybrid (queue-length term) vs capped, G = 1200 s",-15.686273549616772,-17.40571190280229,-12.764581626035246,True,CAP-G1200 better
k1,0,0.8,p99dl,gain,HYB-G1200 - FIXSEL-G1200,"hybrid vs the selected fixed budget, G = 1200 s",-0.16932757281577537,-0.1976661754144,-0.12768707764799508,True,FIXSEL-G1200 better
k1,0,0.8,p99dl,red_pct,HYB-G1200 - FIXSEL-G1200,"hybrid vs the selected fixed budget, G = 1200 s",-13.464328500375032,-15.218753690348674,-10.417202241023292,True,FIXSEL-G1200 better
k1,0,0.8,p99dl,gain,FIXSEL-G1200 - FIX-G1200,"selected fixed budget vs B0 = Bmax, G = 1200 s",-0.0310759509196461,-0.05417506857850295,-0.012189045899655736,True,FIX-G1200 better
k1,0,0.8,p99dl,red_pct,FIXSEL-G1200 - FIX-G1200,"selected fixed budget vs B0 = Bmax, G = 1200 s",-2.4710494852416787,-4.5604479190019225,-0.8957520413876007,True,FIX-G1200 better
k1,0,0.8,p99dl,gain,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.015823623308749868,-0.029441886143765156,-0.006427984425980263,True,SPJF-tweedie better
k1,0,0.8,p99dl,red_pct,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-1.2582384472433006,-2.4573858639671617,-0.4847780853919332,True,SPJF-tweedie better
k1,0,0.8,p99dl,gain,CAP-G1200 - SKIP-G1200,"capped relative vs finite skip, G = 1200 s",0.873585619673085,0.7995943608613031,0.9055912545033165,True,CAP-G1200 better
k1,0,0.8,p99dl,red_pct,CAP-G1200 - SKIP-G1200,"capped relative vs finite skip, G = 1200 s",69.46443252499199,59.11937917338867,74.7018384160648,True,CAP-G1200 better
k1,0,0.8,p99dl,gain,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,0.18038424804729036,0.050046003698186216,0.25991125786154934,True,CAP-G600-reversed better
k1,0,0.8,p99dl,red_pct,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,14.343516130384018,3.7678669267061338,20.68248245220929,True,CAP-G600-reversed better
