trace,rep,level,rho_target,k,rho_busy,n_jobs,pset,policy,score,family,G,B0,eta,gam,Bmax,Ncap,promise,w_mean,w_p95,w_p99,w_max,w_mean_dl,w_p95_dl,w_p99_dl,w_mean_exam,w_p99_exam,mean_heavy,p95_heavy,p99_heavy,max_heavy,max_excess,mean_excess,p99_excess,harm_wf1s,max_excess_dl,lw_n,lw_ex_mean,lw_ex_p50,lw_ex_p90,lw_ex_p99,lw_ex_max,lw_ratio_p99,lw_ratio_max,bound_viol,used_over_allowed,guar_excess_max,forced_frac,qw_forced_frac,n_forced,n_disp,sim_sec,shared_with,cell,gap,red_pct,harm
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B15,tweedie,fixed,-1.0,26.25,0.0,0.0,7260.0,0,166.60714285714286,0.9048057411468486,0.4369276046752907,20.992258431315697,503.0336277782917,1.745965807192705,2.918107676505977,41.99322686076157,1.6007100945472457,34.885200744867326,9.616718639016357,46.35086881369352,184.66042716279645,495.9876378774643,66.63522438704967,-0.2069088297266397,2.2062029242515564,66.63522438704967,66.63522438704967,65479.0,-19.20755532129016,3.834000617265701,4.484093004465104,8.47032683402301,36.657538667321205,1.1124117159336966,1.5018333971263875,0,0.3999541871034064,166.6071428571429,0.007313673681899,0.3240190287574153,129058,17646125,7.1,FIXG-B15,r0L0,0.18335339357705466,10.29068538169965,66.63522438704967
valid,0,0,0.5,7,0.524661658384379,17646125,grid,CAPG-G1200-B15-e0,tweedie,capped,1200.0,26.25,0.0,0.0,7260.0,0,166.60714285714286,0.9048057411468486,0.4369276046752907,20.992258431315697,503.0336277782917,1.745965807192705,2.918107676505977,41.99322686076157,1.6007100945472457,34.885200744867326,9.616718639016357,46.35086881369352,184.66042716279645,495.9876378774643,66.63522438704967,-0.2069088297266397,2.2062029242515564,66.63522438704967,66.63522438704967,65479.0,-19.20755532129016,3.834000617265701,4.484093004465104,8.47032683402301,36.657538667321205,1.1124117159336966,1.5018333971263875,0,0.3999541871034064,166.6071428571429,0.007313673681899,0.3240190287574153,129058,17646125,7.1,FIXG-B15,r0L0,0.18335339357705466,10.29068538169965,66.63522438704967
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B17.99,tweedie,fixed,-1.0,31.4825,0.0,0.0,7260.0,0,167.35464285714286,0.8866640164014282,0.4343377649784088,20.278399711847573,503.75202472507954,1.7231156178707934,2.78736712932585,41.43144548386309,1.5724624496527124,34.05668343067169,9.663324921541852,47.12764674052596,185.50605474114448,496.7296349406242,66.63522438704967,-0.2250505544720601,1.929940558076096,66.63522438704967,66.63522438704967,65479.0,-22.103714369288056,4.574453592300415,5.328373610973358,9.123575150966644,39.21034123003483,1.1205672660783557,1.5111649073182447,0,0.3981677666626242,167.3546428571429,0.0063323250855357,0.3026104905344937,111741,17646125,6.6,FIXG-B17.99,r0L0,0.20473647454892022,11.490808021809944,66.63522438704967
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B21.576,tweedie,fixed,-1.0,37.758,0.0,0.0,7260.0,0,168.25114285714287,0.8683035025445962,0.4318009912967682,19.67703486859805,504.0823529362679,1.6992580738356875,2.6602300345897194,40.71963807195422,1.5478032851459873,33.154902473688175,9.69258772531876,48.008666690438986,186.11250771284128,497.5704369544983,66.63522438704967,-0.2434110683288921,1.6731159687042236,66.63522438704967,66.63522438704967,65479.0,-25.1207656926741,5.429433897137642,6.242844343185425,9.806044035851963,41.00887267291546,1.127673847638799,1.5024739021390612,0,0.3960461917553077,168.25114285714287,0.0054737229845079,0.2818845441423809,96590,17646125,6.6,FIXG-B21.576,r0L0,0.23182999553612774,13.011428365521542,66.63522438704967
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B25.877,tweedie,fixed,-1.0,45.28475,0.0,0.0,7260.0,0,169.32639285714285,0.8507349139708893,0.4295470118522644,19.14256949961188,505.10460133850574,1.6807086414940593,2.5483504772186265,40.11843594998119,1.534361082787001,32.63652589917186,9.727691975430083,48.72702036052942,187.4753716744485,498.7607465535402,75.77013452351093,-0.260979656902599,1.4779414272308593,66.63522438704967,75.77013452351093,65479.0,-28.24973579564041,6.46256984770298,7.290635028481484,11.700449630022058,54.26492267847061,1.1476537163268707,1.6100268431540892,0,0.4474797652332712,169.32639285714288,0.0046921349588082,0.2604713403690731,82798,17646125,7.9,FIXG-B25.877,r0L0,0.2547135480767629,14.295764777393332,66.63522438704967
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B30,tweedie,fixed,-1.0,52.5,0.0,0.0,7260.0,0,170.35714285714286,0.8368469500573198,0.4281871318817138,18.8005037939554,506.1348364204168,1.662135860537416,2.4775620982050413,39.53695888131829,1.5216182493866035,32.17693685531617,9.74847900400943,49.15135542675853,187.818515825272,499.822431370616,76.04159547388554,-0.2748676208161685,1.3445032727719222,71.31791223585606,76.04159547388554,65479.0,-30.91985742373349,7.34988072514534,8.38830241560936,12.92810469299555,57.82126472890377,1.1620094268481482,1.650005967920494,0,0.4463657595951352,170.3571428571429,0.0041494095729232,0.2430153208470798,73221,17646125,7.8,FIXG-B30,r0L0,0.27684630603884947,15.537962941134563,71.31791223585606
valid,0,0,0.5,7,0.524661658384379,17646125,grid,CAPG-G1200-B30-e0,tweedie,capped,1200.0,52.5,0.0,0.0,7260.0,0,170.35714285714286,0.8368469500573198,0.4281871318817138,18.8005037939554,506.1348364204168,1.662135860537416,2.4775620982050413,39.53695888131829,1.5216182493866035,32.17693685531617,9.74847900400943,49.15135542675853,187.818515825272,499.822431370616,76.04159547388554,-0.2748676208161685,1.3445032727719222,71.31791223585606,76.04159547388554,65479.0,-30.91985742373349,7.34988072514534,8.38830241560936,12.92810469299555,57.82126472890377,1.1620094268481482,1.650005967920494,0,0.4463657595951352,170.3571428571429,0.0041494095729232,0.2430153208470798,73221,17646125,7.8,FIXG-B30,r0L0,0.27684630603884947,15.537962941134563,71.31791223585606
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B31.035,tweedie,fixed,-1.0,54.31125,0.0,0.0,7260.0,0,170.61589285714285,0.8341252815708022,0.4279870092868805,18.763142409920764,506.60780714452267,1.6589614755753757,2.465431617200343,39.443119603991455,1.5156158377114908,31.99579915344715,9.74895139842077,49.192347180098295,188.06853437274765,500.0362322181463,76.04159547388554,-0.2775892893026861,1.3200359642505646,71.31791223585606,76.04159547388554,65479.0,-31.523398647228003,7.525907203555107,8.55335529148579,12.999211236834526,59.51167893409729,1.164787861003594,1.6690089995349875,0,0.4456888171464505,170.61589285714297,0.0040398671096345,0.2388647477500629,71288,17646125,8.2,FIXG-B31.035,r0L0,0.28041810985423954,15.738429965999783,71.31791223585606
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B37.222,tweedie,fixed,-1.0,65.13850000000001,0.0,0.0,7260.0,0,172.16264285714286,0.814505498568726,0.4261144906282396,18.29547177076348,507.921943217516,1.6332683557105203,2.386580553650832,38.63228198915704,1.4844112325582877,30.806164961457256,9.770882653876296,49.49114941433072,188.5661171272397,501.555617287755,88.16777127981186,-0.2972090723047624,1.189936214685447,71.31791223585606,73.79220215976238,65479.0,-35.06919530574571,6.665694549679756,10.089613446593289,14.906749921143083,45.26754766702652,1.1830879852856315,1.570903657016762,0,0.5121190626294679,172.16264285714288,0.0034858644603276,0.2178931412988966,61512,17646125,7.5,FIXG-B37.222,r0L0,0.3112810168248488,17.470606608073947,71.31791223585606
valid,0,0,0.5,7,0.524661658384379,17646125,grid,FIXG-B44.641,tweedie,fixed,-1.0,78.12174999999999,0.0,0.0,7260.0,0,174.01739285714285,0.799403537093606,0.4246970117092132,17.963654580712706,509.7150043994188,1.610122640813573,2.313529258966433,37.8269016891717,1.4577680285872638,30.28684310376646,9.796732632249118,49.444069650024176,190.44997765049348,503.4352854043245,88.16777127981186,-0.3123110337798823,1.084596008062363,71.31791223585606,76.04159547388554,65479.0,-37.93912997767584,-0.2657523155212402,12.0667475014925,17.810343141555794,47.13196989893913,1.21824539822859,1.5944173113956492,0,0.5066606839248072,174.0173928571429,0.0030176596844916,0.1977978526383778,53250,17646125,7.1,FIXG-B44.641,r0L0,0.3419362020551063,19.191124894471148,71.31791223585606
