G,family,policy,B0_base,eta,gam_base,worst_gap,worst_harm,worst_promise,feasible
300.0,capped,CAPG-G300-B240-e0.9,240.0,0.9,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B240-e0.95,240.0,0.95,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B30-e0,30.0,0.0,0.0,-0.010259460072518415,71.31791223585606,172.5,True
300.0,capped,CAPG-G300-B30-e0.25,30.0,0.25,0.0,0.2468671535033837,101.64403854310513,230.0,True
300.0,capped,CAPG-G300-B30-e0.5,30.0,0.5,0.0,0.41024297155692135,122.74050185084344,300.0,True
300.0,capped,CAPG-G300-B30-e0.75,30.0,0.75,0.0,0.4009140460553462,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B30-e0.9,30.0,0.9,0.0,0.3718736818307276,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B30-e0.95,30.0,0.95,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B360-e0,360.0,0.0,0.0,0.19912780487083367,151.18654473125935,255.0,False
300.0,capped,CAPG-G300-B360-e0.25,360.0,0.25,0.0,0.3892900230082564,182.95646211504936,300.0,False
300.0,capped,CAPG-G300-B360-e0.5,360.0,0.5,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B360-e0.75,360.0,0.75,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B360-e0.9,360.0,0.9,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B360-e0.95,360.0,0.95,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B480-e0,480.0,0.0,0.0,0.30666714509282017,178.8845456391573,285.0,False
300.0,capped,CAPG-G300-B480-e0.25,480.0,0.25,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B480-e0.5,480.0,0.5,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B480-e0.75,480.0,0.75,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B480-e0.9,480.0,0.9,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B480-e0.95,480.0,0.95,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B60-e0,60.0,0.0,0.0,-0.012862931181209507,96.27659252285956,180.0,True
300.0,capped,CAPG-G300-B60-e0.25,60.0,0.25,0.0,0.2788586478471194,102.71663853526115,240.0,True
300.0,capped,CAPG-G300-B60-e0.5,60.0,0.5,0.0,0.4250992896342717,122.75569877028464,300.0,True
300.0,capped,CAPG-G300-B60-e0.75,60.0,0.75,0.0,0.38397080824040825,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B60-e0.9,60.0,0.9,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B60-e0.95,60.0,0.95,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B600-e0,600.0,0.0,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B600-e0.25,600.0,0.25,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B600-e0.5,600.0,0.5,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B600-e0.75,600.0,0.75,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B600-e0.9,600.0,0.9,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,capped,CAPG-G300-B600-e0.95,600.0,0.95,0.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B0-g1-e0,0.0,0.0,1.0,0.17346088470819407,62.813396990299225,300.0,True
300.0,hybrid,HYBG-G300-B0-g1-e0.9,0.0,0.9,1.0,0.3722018542786654,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B0-g16-e0,0.0,0.0,16.0,0.3564805470918546,145.25039663910866,300.0,True
300.0,hybrid,HYBG-G300-B0-g16-e0.9,0.0,0.9,16.0,0.369359878085543,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B0-g4-e0,0.0,0.0,4.0,0.3064263606094078,68.6593873500824,300.0,True
300.0,hybrid,HYBG-G300-B0-g4-e0.9,0.0,0.9,4.0,0.3704187527994779,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B120-g1-e0,120.0,0.0,1.0,0.2670731315669052,102.65260392427444,300.0,True
300.0,hybrid,HYBG-G300-B120-g1-e0.9,120.0,0.9,1.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B120-g16-e0,120.0,0.0,16.0,0.3553376820212401,152.15394981205463,300.0,False
300.0,hybrid,HYBG-G300-B120-g16-e0.9,120.0,0.9,16.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B120-g4-e0,120.0,0.0,4.0,0.3536951395797646,116.24955704808237,300.0,True
300.0,hybrid,HYBG-G300-B120-g4-e0.9,120.0,0.9,4.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B30-g1-e0,30.0,0.0,1.0,0.1951286663674699,71.31791223585606,300.0,True
300.0,hybrid,HYBG-G300-B30-g1-e0.9,30.0,0.9,1.0,0.37036717436874445,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B30-g16-e0,30.0,0.0,16.0,0.3542444649085255,151.66577637195587,300.0,False
300.0,hybrid,HYBG-G300-B30-g16-e0.9,30.0,0.9,16.0,0.36931054647286055,212.0439104884863,300.0,False
300.0,hybrid,HYBG-G300-B30-g4-e0,30.0,0.0,4.0,0.32646712646133885,96.8288047760725,300.0,True
300.0,hybrid,HYBG-G300-B30-g4-e0.9,30.0,0.9,4.0,0.36989299505803497,212.0439104884863,300.0,False
600.0,fixed,FIXEQ-G300,inf,0.0,0.0,0.36931054647286055,212.0439104884863,300.0,True
600.0,fixed,FIXEQ-G600,inf,0.0,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,fixed,FIXG-B110.774,110.774,0.0,0.0,0.0008102077967995508,102.65260392427444,192.6935,True
600.0,fixed,FIXG-B1176.7,1176.7,0.0,0.0,0.6563729213433388,345.4542743712664,459.17475,False
600.0,fixed,FIXG-B120,120.0,0.0,0.0,0.0056937623708329665,102.65260392427444,195.0,True
600.0,fixed,FIXG-B132.855,132.855,0.0,0.0,0.017613688019871676,115.04210302233696,198.21375,True
600.0,fixed,FIXG-B1411.26,1411.26,0.0,0.0,0.6989982933456357,404.8773889541626,517.8140000000001,False
600.0,fixed,FIXG-B15,15.0,0.0,0.0,-0.006895775384270354,66.63522438704967,168.75,True
600.0,fixed,FIXG-B159.338,159.338,0.0,0.0,0.03713210772801513,116.24955704808237,204.8345,True
600.0,fixed,FIXG-B1692.57,1692.57,0.0,0.0,0.7243944445791919,465.7279866486788,588.14225,False
600.0,fixed,FIXG-B17.99,17.99,0.0,0.0,-0.010902123144049649,66.63522438704967,169.4975,True
600.0,fixed,FIXG-B191.099,191.099,0.0,0.0,0.062269027394468546,122.1587044596672,212.77475,True
600.0,fixed,FIXG-B21.576,21.576,0.0,0.0,-0.009417702332360027,66.63522438704967,170.394,True
600.0,fixed,FIXG-B229.192,229.192,0.0,0.0,0.09333656158556325,122.56411573290823,222.298,True
600.0,fixed,FIXG-B240,240.0,0.0,0.0,0.10057996290062055,122.56411573290823,225.0,True
600.0,fixed,FIXG-B25.877,25.877,0.0,0.0,-0.010105324439033708,66.63522438704967,171.46925,True
600.0,fixed,FIXG-B274.878,274.878,0.0,0.0,0.13263497195670215,127.60473261773586,233.7195,True
600.0,fixed,FIXG-B30,30.0,0.0,0.0,-0.010259460072518415,71.31791223585606,172.5,True
600.0,fixed,FIXG-B31.035,31.035,0.0,0.0,-0.010299847750183888,71.31791223585606,172.75875,True
600.0,fixed,FIXG-B329.671,329.671,0.0,0.0,0.17611473061117577,131.80208165943623,247.41775,True
600.0,fixed,FIXG-B360,360.0,0.0,0.0,0.19912780487083367,151.18654473125935,255.0,True
600.0,fixed,FIXG-B37.222,37.222,0.0,0.0,-0.012634365526080214,71.31791223585606,174.3055,True
600.0,fixed,FIXG-B395.386,395.386,0.0,0.0,0.23103859284456404,151.3117827028036,263.8465,True
600.0,fixed,FIXG-B44.641,44.641,0.0,0.0,-0.01225655845330382,80.544100522995,176.16025,True
600.0,fixed,FIXG-B474.201,474.201,0.0,0.0,0.30179019112503036,178.8845456391573,283.55025,True
600.0,fixed,FIXG-B480,480.0,0.0,0.0,0.30666714509282017,178.8845456391573,285.0,True
600.0,fixed,FIXG-B53.54,53.54,0.0,0.0,-0.01404007291746432,96.27659252285956,178.385,True
600.0,fixed,FIXG-B568.726,568.726,0.0,0.0,0.35335049865292745,194.4836902469397,307.1815,True
600.0,fixed,FIXG-B60,60.0,0.0,0.0,-0.012862931181209507,96.27659252285956,180.0,True
600.0,fixed,FIXG-B600,600.0,0.0,0.0,0.36931054647286055,212.0439104884863,315.0,True
600.0,fixed,FIXG-B64.212,64.212,0.0,0.0,-0.010935595319748014,96.27659252285956,181.053,True
600.0,fixed,FIXG-B682.093,682.093,0.0,0.0,0.4237910080165488,222.3307863026857,335.52325,True
600.0,fixed,FIXG-B77.012,77.012,0.0,0.0,-0.010076647043807533,96.28475818037988,184.253,True
600.0,fixed,FIXG-B818.058,818.058,0.0,0.0,0.5296545731765662,264.6717396527529,369.5145,True
600.0,fixed,FIXG-B92.363,92.363,0.0,0.0,-0.008409313835008736,102.65260392427444,188.09075,True
600.0,fixed,FIXG-B981.126,981.126,0.0,0.0,0.6094577797843618,288.1608457565308,410.2815,True
600.0,capped,CAPG-G600-B0-e0,0.0,0.0,0.0,0.0,0.0,165.0,True
600.0,capped,CAPG-G600-B0-e0.25,0.0,0.25,0.0,0.19500318433490255,113.59830190241335,220.0,True
600.0,capped,CAPG-G600-B0-e0.5,0.0,0.5,0.0,0.5721397873062675,118.668151602149,330.0,True
600.0,capped,CAPG-G600-B0-e0.75,0.0,0.75,0.0,0.706152358330965,173.43264684081078,600.0,True
600.0,capped,CAPG-G600-B0-e0.9,0.0,0.9,0.0,0.7173670373776823,358.92071129381657,600.0,False
600.0,capped,CAPG-G600-B0-e0.95,0.0,0.95,0.0,0.7183847325880106,441.6454218178988,600.0,False
600.0,capped,CAPG-G600-B120-e0,120.0,0.0,0.0,0.0056937623708329665,102.65260392427444,195.0,True
600.0,capped,CAPG-G600-B120-e0.25,120.0,0.25,0.0,0.39407022119111096,122.56411573290823,260.0,True
600.0,capped,CAPG-G600-B120-e0.5,120.0,0.5,0.0,0.6311205574056772,171.61468262970448,390.0,True
600.0,capped,CAPG-G600-B120-e0.75,120.0,0.75,0.0,0.7215764299215941,293.2910667359829,600.0,True
600.0,capped,CAPG-G600-B120-e0.9,120.0,0.9,0.0,0.723790236370106,483.9248276352882,600.0,False
600.0,capped,CAPG-G600-B120-e0.95,120.0,0.95,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B15-e0,15.0,0.0,0.0,-0.006895775384270354,66.63522438704967,168.75,True
600.0,capped,CAPG-G600-B15-e0.25,15.0,0.25,0.0,0.2583307211096694,101.63994604349136,225.0,True
600.0,capped,CAPG-G600-B15-e0.5,15.0,0.5,0.0,0.5787169497680014,124.48672753572464,337.5,True
600.0,capped,CAPG-G600-B15-e0.75,15.0,0.75,0.0,0.7041572952787944,212.09133356809616,600.0,True
600.0,capped,CAPG-G600-B15-e0.9,15.0,0.9,0.0,0.7237008224870114,358.92071129381657,600.0,False
600.0,capped,CAPG-G600-B15-e0.95,15.0,0.95,0.0,0.7230437321287428,483.9248276352882,600.0,False
600.0,capped,CAPG-G600-B240-e0,240.0,0.0,0.0,0.10057996290062055,122.56411573290823,225.0,True
600.0,capped,CAPG-G600-B240-e0.25,240.0,0.25,0.0,0.47481748587619665,151.3117827028036,300.0,True
600.0,capped,CAPG-G600-B240-e0.5,240.0,0.5,0.0,0.6793503762515836,216.8147185742855,450.0,True
600.0,capped,CAPG-G600-B240-e0.75,240.0,0.75,0.0,0.7231585064331519,358.92071129381657,600.0,False
600.0,capped,CAPG-G600-B240-e0.9,240.0,0.9,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B240-e0.95,240.0,0.95,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B30-e0,30.0,0.0,0.0,-0.010259460072518415,71.31791223585606,172.5,True
600.0,capped,CAPG-G600-B30-e0.25,30.0,0.25,0.0,0.27984642634488954,101.64403854310513,230.0,True
600.0,capped,CAPG-G600-B30-e0.5,30.0,0.5,0.0,0.5858349670660549,122.74050185084344,345.0,True
600.0,capped,CAPG-G600-B30-e0.75,30.0,0.75,0.0,0.7171861242960144,216.8147185742855,600.0,True
600.0,capped,CAPG-G600-B30-e0.9,30.0,0.9,0.0,0.7210239875060425,358.92071129381657,600.0,False
600.0,capped,CAPG-G600-B30-e0.95,30.0,0.95,0.0,0.7234336479204436,483.9248276352882,600.0,False
600.0,capped,CAPG-G600-B360-e0,360.0,0.0,0.0,0.19912780487083367,151.18654473125935,255.0,True
600.0,capped,CAPG-G600-B360-e0.25,360.0,0.25,0.0,0.5370295556934481,182.95646211504936,340.0,True
600.0,capped,CAPG-G600-B360-e0.5,360.0,0.5,0.0,0.7203052590601298,283.59853164851665,510.0,True
600.0,capped,CAPG-G600-B360-e0.75,360.0,0.75,0.0,0.723790236370106,483.9248276352882,600.0,False
600.0,capped,CAPG-G600-B360-e0.9,360.0,0.9,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B360-e0.95,360.0,0.95,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B480-e0,480.0,0.0,0.0,0.30666714509282017,178.8845456391573,285.0,True
600.0,capped,CAPG-G600-B480-e0.25,480.0,0.25,0.0,0.6107931802145056,219.92661401629448,380.0,True
600.0,capped,CAPG-G600-B480-e0.5,480.0,0.5,0.0,0.7227816073473808,328.4515072852373,570.0,False
600.0,capped,CAPG-G600-B480-e0.75,480.0,0.75,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B480-e0.9,480.0,0.9,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B480-e0.95,480.0,0.95,0.0,0.723790236370106,490.5263593941927,600.0,False
600.0,capped,CAPG-G600-B60-e0,60.0,0.0,0.0,-0.012862931181209507,96.27659252285956,180.0,True
600.0,capped,CAPG-G600-B60-e0.25,60.0,0.25,0.0,0.32328291911958523,102.71663853526115,240.0,True
600.0,capped,CAPG-G600-B60-e0.5,60.0,0.5,0.0,0.598344156197851,122.75569877028464,360.0,True
600.0,capped,CAPG-G600-B60-e0.75,60.0,0.75,0.0,0.721245369204399,254.963281840086,600.0,True
600.0,capped,CAPG-G600-B60-e0.9,60.0,0.9,0.0,0.7232148282526054,384.6395355314016,600.0,False
600.0,capped,CAPG-G600-B60-e0.95,60.0,0.95,0.0,0.723790236370106,483.9248276352882,600.0,False
600.0,capped,CAPG-G600-B600-e0,600.0,0.0,0.0,0.36931054647286055,212.0439104884863,315.0,True
600.0,capped,CAPG-G600-B600-e0.25,600.0,0.25,0.0,0.6766823409655925,283.45787212252617,420.0,True
