trace,reps,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi,fcfs,sjf
k1,0,0,0.8,1.0,p99dl,FCFS,221.27438719391904,0.0,0.0,0.0,0.0,0.0,0.0,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SJF-ref,45.324836370348976,1.0,1.0,1.0,79.51645604123739,72.56154603535612,84.53263077122915,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-M4,64.7432583588362,0.8896364219312007,0.8309414568948468,0.9171510045034524,70.74073543717604,64.00543776218463,75.10058014314757,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-M4refit,64.70297270357611,0.8898653833299173,0.8310642505153425,0.917469171085384,70.75894163617224,64.03951241605965,75.06743558867933,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-tweedie,60.92893488883996,0.91131492836752,0.8541541246382471,0.9328615350059273,72.4645334412593,65.41605014876063,76.5097618882924,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-tweedie_itr,61.46834029793768,0.9082492461502428,0.8500086134219349,0.9309323798412422,72.22076125599278,65.20705449730984,76.40145574276208,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-r1s,60.75813164174563,0.9122856796214724,0.8691580322163535,0.9330384175674593,72.54172414067119,65.50457356564175,76.81278217487657,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIX-G300,83.24137166202098,0.7845033697773286,0.5860908605812648,0.8657019779235389,62.38092771710156,49.33650919354968,67.06626193884577,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G300,90.5643298937381,0.742883722569135,0.5576414858509943,0.8197814997877715,59.07148086941942,46.79389635950488,63.30870442625647,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIP-G300,220.5256312656404,0.004255514860787719,-0.001601398379265051,0.014628639771301244,0.33838346036065914,-0.1299218741365958,1.0707401788722934,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIX-G600,68.31469123423138,0.8693383713895638,0.7835911249962474,0.9064609495470843,69.12670639355915,62.77305580878272,72.34303307658732,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600,69.54127164065886,0.8623671662873841,0.7815413108143154,0.9035764134701147,68.57238086949724,62.458045795985136,71.958806123995,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIP-G600,219.95273089826125,0.0075115639083560585,-0.004235894758001665,0.03399878660713815,0.5972929413197399,-0.35593926652021396,2.4618293007501815,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIX-G1200,63.16188998818413,0.8986240457316035,0.8361299394659959,0.9236083956656116,71.45539943001594,64.80838254152827,75.01416641550605,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G1200,63.25904409050943,0.8980718755108182,0.8351828593803258,0.9240923399723627,71.41149281092761,64.70021704433442,75.14562702439198,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIP-G1200,217.83109458088936,0.019569772113157465,-0.007557662841839841,0.08087219296456645,1.556118923972919,-0.6319449787908817,5.98251816237629,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-reversed,415.3743278086197,-1.1031567838972804,-1.3412732791580528,-0.8890797691136261,-87.71911791336092,-110.2830818258082,-69.61861712607502,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600-reversed,413.0552549237015,-1.089976455365248,-1.3211201387443414,-0.9102632149646661,-86.6710648990345,-108.94092981785255,-70.6042846642483,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-random,159.7873115634921,0.34945855412885873,0.1879603315924325,0.46780069078218256,27.787705757621776,14.895515313208737,37.40750702057453,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600-random,180.5394594776633,0.2315148150454892,0.07387512848917348,0.35711339073598536,18.409237613459847,5.7803623015559635,28.56196659169849,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-top1short,382.27547162771225,-0.9150411790208767,-1.118102627850068,-0.7406461119933172,-72.76083168753557,-88.54739173262456,-58.36668143467824,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600-top1short,394.22558688581057,-0.9829590293487872,-1.2059012855643352,-0.8210082463826155,-78.16141844755022,-99.33494437964225,-63.873234671857674,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,mean,FCFS,6.59351294323696,0.0,0.0,0.0,0.0,0.0,0.0,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SJF-ref,1.8712898318150275,1.0,1.0,1.0,71.61922865815512,66.92382415352102,75.14817642072616,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-M4,2.520453425980268,0.8625300882978044,0.7977630045962606,0.9037368876867082,61.773739618339185,54.381571206369635,67.64996989853998,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-M4refit,2.522364259937197,0.8621254411831207,0.7969947570990772,0.903509368974647,61.74475910410679,54.342065502543534,67.63237841628258,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-tweedie,2.444924789040828,0.8785243848732359,0.8184080663445181,0.9173169180551553,62.91923880200137,55.780589141215664,68.58693017167202,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-tweedie_itr,2.449687087481216,0.8775158983345824,0.815542830543142,0.9171529812496862,62.847011773990864,55.64502245189219,68.60277043720468,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-r1s,2.422091170105604,0.8833597385607811,0.8339113143428439,0.9148688061295347,63.265543103392716,56.803566582550175,68.43314144581822,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,FIX-G300,3.0711186397761243,0.7459186532167451,0.6874605127847419,0.807932686033579,53.42211858511319,48.0289502195159,57.4573825519151,6.59351294323696,1.8712898318150275
