trace,rep,level,k,rho_busy,G,guard,policy,B0,B0_base,eta,Bmax,gap,red_pct,harm,feasible_level,w_p99_dl,w_mean,max_excess,max_heavy,qw_forced_frac,used_over_allowed,guar_excess_max,bound_viol
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B30-e0,52.5,30.0,0.0,960.0,0.27684630603884947,15.537962941134563,71.31791223585606,True,39.53695888131829,0.8368469500573198,76.04159547388554,499.822431370616,0.2430153208470798,0.4463657595951352,170.3571428571429,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B30-e0,37.5,30.0,0.0,720.0,0.0818522597683041,5.8306749796624455,65.85234040021896,True,123.01069426625966,2.969117376875142,67.43345291912556,847.857358366251,0.4682644663825728,0.4124370209120829,163.5,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B30-e0,30.0,30.0,0.0,600.0,-0.005135088501283629,-0.41801716689154106,53.237855941057205,True,249.61598866760727,6.994615900457355,68.35475867986679,1144.7237883508203,0.6404031310464088,0.433998467808678,157.5,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B30-e0.25,52.5,30.0,0.25,960.0,0.5645314268703925,31.684252953648077,93.02471324801444,True,31.97882712721823,0.6406265537635916,177.17446778714657,637.0761496126652,0.0785888014964465,0.5905815592904886,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B30-e0.25,37.5,30.0,0.25,720.0,0.5064588215626893,36.077156421506615,89.89910639822483,True,83.50058117508851,2.049098031226651,188.08237645030025,980.9869459569454,0.1326100406706755,0.626941254834334,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B30-e0.25,30.0,30.0,0.25,600.0,0.2908012379157894,23.67240789944023,74.92306622862816,True,189.7327581477165,4.444292738770154,208.88806268572807,1287.1945775300264,0.2101077555109831,0.6962935422857602,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B30-e0.5,52.5,30.0,0.5,960.0,0.6708136624022333,37.64932960799555,93.38233608007432,True,29.1865550175309,0.5947473623025508,196.3364336490631,641.9444106519222,0.0416203418883653,0.6544547788302104,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B30-e0.5,37.5,30.0,0.5,720.0,0.6808287757743084,48.49824940176752,93.85171066224576,True,67.27526289105414,1.906753812101692,207.66783188283443,988.1562762260436,0.0827946457971381,0.6922261062761148,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B30-e0.5,30.0,30.0,0.5,600.0,0.41024297155692135,33.39545261284668,102.76180040836334,True,165.56351554095738,4.156665742708866,218.56833763420585,1287.111983925104,0.1570256886196341,0.7285611254473527,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B30-e0.75,52.5,30.0,0.75,960.0,0.7129109037054326,40.01203180421456,113.65981650352478,True,28.080566305518104,0.5877132512638409,179.11947426199913,640.9534273594618,0.0259330216810816,0.5970649142066637,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B30-e0.75,37.5,30.0,0.75,720.0,0.7379264365571893,52.56555191811068,109.25693210959436,True,61.96226201504464,1.8674717373874905,208.2188200503588,984.19945512712,0.0617440213324689,0.694062733501196,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B30-e0.75,30.0,30.0,0.75,600.0,0.4009140460553462,32.636039993699825,152.54721115529537,False,167.45123984664602,4.05307690726513,230.6289420425892,1287.1745324730873,0.1423807284077511,0.768763140141964,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B30-e0.9,52.5,30.0,0.9,960.0,0.7179189370953217,40.293107027263204,154.44414149224758,False,27.948994064033016,0.5892509242897238,179.11947426199913,640.9534273594618,0.0209270616688282,0.5970649142066637,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B30-e0.9,37.5,30.0,0.9,720.0,0.7352178840952703,52.372610524488586,142.10291789472103,True,62.214295835792825,1.8682548302639324,223.89877106249327,984.19945512712,0.0568195492507435,0.7463292368749778,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B30-e0.9,30.0,30.0,0.9,600.0,0.3718736818307276,30.272035794816205,183.2804838567972,False,173.32760807186196,4.059552809013893,218.56833763420585,1287.1661649644377,0.138376339195404,0.7285611254473527,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B120-e0,210.0,120.0,0.0,960.0,0.5120514593802857,28.738821599766126,93.02471324801444,True,33.357593285143295,0.7186684576250875,93.02471324801444,522.2319649010897,0.1072128798653858,0.4823503649897045,192.8571428571429,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B120-e0,150.0,120.0,0.0,720.0,0.27167123156930356,19.352265375312314,97.153989225626,True,105.34782770335651,2.4485882058258555,106.14558498561382,870.2162547856569,0.2539692963667283,0.570675188094698,186.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B120-e0,120.0,120.0,0.0,600.0,0.015398616189369746,1.2535102193314716,102.65260392427444,True,245.46095779895748,5.640475064138902,102.65260392427444,1167.1732611209154,0.4169438008204191,0.5702922440237469,180.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B120-e0.25,210.0,120.0,0.25,960.0,0.6461633305504825,36.265832936938565,93.38233608007432,True,29.83417438477276,0.6115009788685218,177.1645811498165,635.4645267874002,0.0437687360630022,0.5905486038327217,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B120-e0.25,150.0,120.0,0.25,720.0,0.5883503367399973,41.91062772630099,93.91389566659927,True,75.88048455625764,1.9443581312725249,186.44758428633213,984.140612989664,0.0869917031901351,0.6214919476211072,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B120-e0.25,120.0,120.0,0.25,600.0,0.3403848954967292,27.708720041075882,102.76180040836334,True,179.69941877067055,4.212842184529205,224.83160084486008,1287.169332921505,0.1636740136196869,0.749438669482867,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B120-e0.5,210.0,120.0,0.5,960.0,0.7162739180475137,40.20078054702939,113.6483734548092,True,27.99221239477393,0.593655836293195,179.11947426199913,640.9364425837994,0.0242494277291412,0.5970649142066637,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B120-e0.5,150.0,120.0,0.5,720.0,0.7181889286708312,51.159567602959946,102.0427332818508,True,63.798859088420826,1.8643977437019643,206.74387155473232,984.2014049589634,0.0611163897291468,0.6891462385157744,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B120-e0.5,120.0,120.0,0.5,600.0,0.40395229288571166,32.88336568867648,145.6661161929369,True,166.83644531458614,4.063433937473613,218.56833763420585,1287.1615727990866,0.1435242180706537,0.7285611254473527,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B120-e0.75,210.0,120.0,0.75,960.0,0.7171663908861122,40.250870469089485,162.62570708990097,False,27.968765136599487,0.5893715520405427,179.11947426199913,640.9534273594618,0.0207470795915748,0.5970649142066637,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B120-e0.75,150.0,120.0,0.75,720.0,0.7357418763276192,52.40993665827332,157.34497119486332,False,62.165537775456905,1.8677976164366517,223.89877106249327,984.19945512712,0.0567296170131261,0.7463292368749778,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B120-e0.75,120.0,120.0,0.75,600.0,0.37122224191750136,30.219005926517177,183.2804838567972,False,173.45942807167708,4.060045154027808,218.56833763420585,1287.1661649644377,0.1382745169790708,0.7285611254473527,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B120-e0.9,210.0,120.0,0.9,960.0,0.7171663908861122,40.250870469089485,162.62570708990097,False,27.968765136599487,0.5893663476306444,179.11947426199913,640.9534273594618,0.0207329476318213,0.5970649142066637,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B120-e0.9,150.0,120.0,0.9,720.0,0.7358258001594982,52.415914899901814,169.84928454458714,False,62.15772856950736,1.868092787832221,223.89877106249327,984.19945512712,0.0566947031150751,0.7463292368749778,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B120-e0.9,120.0,120.0,0.9,600.0,0.36931054647286055,30.06338611324065,186.1174862384796,False,173.84626297086385,4.060819577339236,218.56833763420585,1287.1661649644377,0.1382211920019628,0.7285611254473527,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B600-e0,1050.0,600.0,0.0,960.0,0.7171663908861122,40.250870469089485,162.62570708990097,False,27.968765136599487,0.5893663476306444,179.11947426199913,640.9534273594618,0.0207329476318213,0.5970649142066637,300.0,0
valid,0,1,5,0.7345263217381305,300.0,cap,CAP-G300-B600-e0,750.0,600.0,0.0,720.0,0.7358258001594982,52.415914899901814,169.84928454458714,False,62.15772856950736,1.868092787832221,223.89877106249327,984.19945512712,0.0566947031150751,0.7463292368749778,300.0,0
valid,0,2,4,0.9181579021726632,300.0,cap,CAP-G300-B600-e0,600.0,600.0,0.0,600.0,0.36931054647286055,30.06338611324065,186.1174862384796,False,173.84626297086385,4.060819577339236,218.56833763420585,1287.1661649644377,0.1382211920019628,0.7285611254473527,300.0,0
valid,0,0,7,0.524661658384379,300.0,cap,CAP-G300-B600-e0.25,1050.0,600.0,0.25,960.0,0.7171663908861122,40.250870469089485,162.62570708990097,False,27.968765136599487,0.5893663476306444,179.11947426199913,640.9534273594618,0.0207329476318213,0.5970649142066637,300.0,0
