trace,level,rho_target,k,policy,score,G,B0,eta,Bmax,Ncap,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,mean_red_pct,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,qw_fired,used_over_allowed,guar_excess_s
k1,0,0.8,1.0,FCFS,-,-1.0,-1.0,-1.0,0.0,-1,221.27438719391904,0.0,0.0,0.0,0.0,0.0,0.0,6.59351294323696,0.0,0.0,0.0,0.0,152.97509937405604,0.0,0.0,1423.5231717079878,1.0,,inf
k1,0,0.8,1.0,SJF-ref,svc,-1.0,-1.0,-1.0,0.0,-1,45.324836370348976,1.0,1.0,1.0,79.51645604123739,72.56154603535612,84.53263077122915,1.8712898318150275,1.0,1.0,1.0,71.61922865815512,37.35432439118627,2054.5022542625666,777.9388248920441,2366.659153208137,0.0,,inf
k1,0,0.8,1.0,SPJF-M4,M4,-1.0,-1.0,-1.0,0.0,-1,64.7432583588362,0.8896364219312007,0.8309414568948468,0.9171510045034524,70.74073543717604,64.00543776218463,75.10058014314757,2.520453425980268,0.8625300882978044,0.7977630045962606,0.9037368876867082,61.773739618339185,44.39347506254912,2520.289903718978,400.13551637530327,2698.216522682458,0.0,,inf
k1,0,0.8,1.0,SPJF-M4refit,M4refit,-1.0,-1.0,-1.0,0.0,-1,64.70297270357611,0.8898653833299173,0.8310642505153425,0.917469171085384,70.75894163617224,64.03951241605965,75.06743558867933,2.522364259937197,0.8621254411831207,0.7969947570990772,0.903509368974647,61.74475910410679,44.37924782574181,2520.289903718978,400.13551637530327,2698.216522682458,0.0,,inf
k1,0,0.8,1.0,SPJF-tweedie,tweedie,-1.0,-1.0,-1.0,0.0,-1,60.92893488883996,0.91131492836752,0.8541541246382471,0.9328615350059273,72.4645334412593,65.41605014876063,76.5097618882924,2.444924789040828,0.8785243848732359,0.8184080663445181,0.9173169180551553,62.91923880200137,42.91152927070857,2520.289903718978,656.3649697750807,2698.216522682458,0.0,,inf
k1,0,0.8,1.0,SPJF-tweedie_itr,tweedie_itr,-1.0,-1.0,-1.0,0.0,-1,61.46834029793768,0.9082492461502428,0.8500086134219349,0.9309323798412422,72.22076125599278,65.20705449730984,76.40145574276208,2.449687087481216,0.8775158983345824,0.815542830543142,0.9171529812496862,62.847011773990864,42.95574925541878,2325.4277826435864,375.126085177064,2505.323013413697,0.0,,inf
k1,0,0.8,1.0,SPJF-r1s,r1s,-1.0,-1.0,-1.0,0.0,-1,60.75813164174563,0.9122856796214724,0.8691580322163535,0.9330384175674593,72.54172414067119,65.50457356564175,76.81278217487657,2.422091170105604,0.8833597385607811,0.8339113143428439,0.9148688061295347,63.265543103392716,43.0387086310983,2325.4277826435864,362.0655001550913,2505.323013413697,0.0,,inf
k1,0,0.8,1.0,FIX-G300,tweedie,300.0,240.0,0.0,240.0,0,83.24137166202098,0.7845033697773286,0.5860908605812648,0.8657019779235389,62.38092771710156,49.33650919354968,67.06626193884577,3.0711186397761243,0.7459186532167451,0.6874605127847419,0.807932686033579,53.42211858511319,48.132871440053,295.1348539143801,246.33627796173096,1669.1452740579844,0.063256537596139,0.9837828463812668,300.0
k1,0,0.8,1.0,CAP-G300,tweedie,300.0,7.5,0.5,240.0,0,90.5643298937381,0.742883722569135,0.5576414858509943,0.8197814997877715,59.07148086941942,46.79389635950488,63.30870442625647,3.201721373137058,0.7182616090069879,0.6596824875564795,0.780730633308907,51.44134241184588,51.78505978703501,295.0482231527567,54.35974486172199,1669.1452740579844,0.0904874507929936,0.9834940771758556,300.0
k1,0,0.8,1.0,SKIP-G300,tweedie,300.0,-1.0,0.0,0.0,4,220.5256312656404,0.004255514860787719,-0.001601398379265051,0.014628639771301244,0.33838346036065914,-0.1299218741365958,1.0707401788722934,6.338369238568362,0.05403042140289108,0.04527932245244265,0.06858900444342225,3.8696171049501347,150.0498037414999,74.94899122416973,54.35974486172199,1424.4686636924744,0.7475199767114934,0.2498299707472324,300.0
k1,0,0.8,1.0,FIX-G600,tweedie,600.0,540.0,0.0,540.0,0,68.31469123423138,0.8693383713895638,0.7835911249962474,0.9064609495470843,69.12670639355915,62.77305580878272,72.34303307658732,2.6920292555566845,0.8261963900527097,0.7764322439211229,0.8651908466233317,59.171548175727345,45.33048461139203,592.5319321788847,563.3743507415056,1976.0428703129287,0.0225799949124508,0.9875532202981412,600.0
k1,0,0.8,1.0,CAP-G600,tweedie,600.0,7.5,0.9,540.0,0,69.54127164065886,0.8623671662873841,0.7815413108143154,0.9035764134701147,68.57238086949724,62.458045795985136,71.958806123995,2.7031886432121794,0.8238332260530031,0.7754519605147472,0.8630750410424176,59.00230019287563,45.53530760347849,592.5319321788847,119.650321662426,1976.0428703129287,0.025255876017921,0.9875532202981412,600.0
k1,0,0.8,1.0,SKIP-G600,tweedie,600.0,-1.0,0.0,0.0,9,219.95273089826125,0.0075115639083560585,-0.004235894758001665,0.03399878660713815,0.5972929413197399,-0.35593926652021396,2.4618293007501815,6.088679557267687,0.1069058733688803,0.0895771147776033,0.13499795382254312,7.6565161897056155,146.39424719363473,100.67594274878502,82.79630281031132,1425.5247066915035,0.6807121812071402,0.1677932379146417,600.0
k1,0,0.8,1.0,FIX-G1200,tweedie,1200.0,1140.0,0.0,1140.0,0,63.16188998818413,0.8986240457316035,0.8361299394659959,0.9236083956656116,71.45539943001594,64.80838254152827,75.01416641550605,2.55301811048647,0.8556340387597307,0.8058347168863715,0.8888696502408148,61.279849869633914,43.86512229055169,1171.6655092574656,656.3649697750807,2153.404219046235,0.0044311130126834,0.9763879243812214,1200.0
k1,0,0.8,1.0,CAP-G1200,tweedie,1200.0,30.0,0.9,1140.0,0,63.25904409050943,0.8980718755108182,0.8351828593803258,0.9240923399723627,71.41149281092761,64.70021704433442,75.14562702439198,2.5468938746860768,0.8569309355085482,0.8064608716695013,0.8905515410659062,61.372732614433495,43.89887950807816,1176.8402202278376,338.86168207228184,2153.404219046235,0.0052264720004566,0.980700183523198,1200.0
k1,0,0.8,1.0,SKIP-G1200,tweedie,1200.0,-1.0,0.0,0.0,19,217.83109458088936,0.019569772113157465,-0.007557662841839841,0.08087219296456645,1.556118923972919,-0.6319449787908817,5.98251816237629,5.70903891744563,0.1873003466634175,0.15591408677632843,0.23539470881349955,13.41430635543902,137.97521620780253,140.3013402223587,97.28167827427389,1427.985402673483,0.5933888301073206,0.1169177835186322,1200.0
k1,0,0.8,1.0,SPJF-reversed,reversed,-1.0,-1.0,-1.0,0.0,-1,415.3743278086197,-1.1031567838972804,-1.3412732791580528,-0.8890797691136261,-87.71911791336092,-110.2830818258082,-69.61861712607502,11.414471649858797,-1.0209087103404932,-1.1324275873537282,-0.9040571882250112,-73.11669436497804,264.90282868891967,2696.187019765377,2487.0641155838966,1724.7092430591583,0.0,,inf
k1,0,0.8,1.0,CAP-G600-reversed,reversed,600.0,7.5,0.9,540.0,0,413.0552549237015,-1.089976455365248,-1.3211201387443414,-0.9102632149646661,-86.6710648990345,-108.94092981785255,-70.6042846642483,10.570737864059836,-0.842235706992098,-0.9154341567131595,-0.773737974632079,-60.32027168313001,270.2964245510103,596.1245429813862,123.15452760457993,1658.2656231671572,0.2480413917945097,0.993540904968977,600.0
k1,0,0.8,1.0,SPJF-random,random,-1.0,-1.0,-1.0,0.0,-1,159.7873115634921,0.34945855412885873,0.1879603315924325,0.46780069078218256,27.787705757621776,14.895515313208737,37.40750702057453,5.144068945248264,0.3069410241296808,0.25124304497286376,0.3484364293490241,21.98287939171192,93.1757490411401,2662.558127716184,1600.2565559446812,2588.7401267439127,0.0,,inf
k1,0,0.8,1.0,CAP-G600-random,random,600.0,7.5,0.9,540.0,0,180.5394594776633,0.2315148150454892,0.07387512848917348,0.35711339073598536,18.409237613459847,5.7803623015559635,28.56196659169849,5.544330811615937,0.22217970368306017,0.17723268363581074,0.2765111297478211,15.912339001278239,105.74866119116604,596.944664850831,132.5393373966217,1960.5797104537487,0.0953841817069382,0.994907774751385,600.0
k1,0,0.8,1.0,SPJF-top1short,top1short,-1.0,-1.0,-1.0,0.0,-1,382.27547162771225,-0.9150411790208767,-1.118102627850068,-0.7406461119933172,-72.76083168753557,-88.54739173262456,-58.36668143467824,9.871801916480257,-0.694225769492741,-0.7435186594012546,-0.638538834925941,-49.71991412568431,227.0893142934164,2660.1560935378075,1669.166851133108,2495.368137244135,0.0,,inf
k1,0,0.8,1.0,CAP-G600-top1short,top1short,600.0,7.5,0.9,540.0,0,394.22558688581057,-0.9829590293487872,-1.2059012855643352,-0.8210082463826155,-78.16141844755022,-99.33494437964225,-63.873234671857674,9.642602481128897,-0.6456894276166062,-0.7002673521954752,-0.5916451430330318,-46.24377875862702,241.94943134009856,597.0193700045347,123.56929779052734,1956.185886129737,0.219493648665378,0.9950322833408912,600.0
