level,rho_target,k,policy,p99_dl_s,gap_closed,red_pct,mean_s,mean_gap,p99_all_s,max_excess_s,harm_s,max_heavy_s,qw_fired
2,1.0,4.0,SJF-ref,43.63,"1.000 [1.000,1.000]","84.0 [79.6,86.8]",1.696,"1.000 [1.000,1.000]",34.91,4755.5,1365.9,5299.5,0.0
2,1.0,4.0,SPJF-M4,67.29,"0.897 [0.872,0.913]","75.3 [70.2,78.5]",2.352,"0.923 [0.901,0.935]",43.41,5882.9,551.1,6264.1,0.0
2,1.0,4.0,SPJF-M4refit,67.36,"0.896 [0.871,0.913]","75.3 [70.1,78.5]",2.352,"0.923 [0.901,0.935]",43.4,5896.6,551.1,6278.3,0.0
2,1.0,4.0,SPJF-tweedie,62.91,"0.916 [0.891,0.929]","77.0 [71.6,80.2]",2.292,"0.930 [0.909,0.941]",41.76,5904.5,708.8,6286.2,0.0
2,1.0,4.0,SPJF-tweedie_itr,63.23,"0.915 [0.891,0.928]","76.8 [71.5,80.1]",2.298,"0.930 [0.908,0.941]",41.84,5448.9,529.0,6085.5,0.0
2,1.0,4.0,SPJF-r1s,62.71,"0.917 [0.895,0.929]","77.0 [71.7,80.3]",2.302,"0.929 [0.910,0.939]",41.68,5368.2,879.2,5964.4,0.0
2,1.0,4.0,FIX-G300,170.14,"0.450 [0.363,0.618]","37.8 [30.9,49.9]",5.529,"0.553 [0.514,0.610]",70.12,227.9,208.2,1692.9,0.2841
2,1.0,4.0,CAP-G300,166.02,"0.467 [0.373,0.593]","39.2 [32.0,47.7]",5.616,"0.543 [0.507,0.597]",75.07,229.3,113.8,1692.9,0.2926
2,1.0,4.0,SKIP-G300,273.22,"0.001 [-0.001,0.002]","0.1 [-0.1,0.2]",10.083,"0.022 [0.018,0.028]",229.81,74.6,57.3,1543.5,0.9104
2,1.0,4.0,FIX-G600,86.64,"0.813 [0.777,0.851]","68.3 [64.7,70.6]",3.867,"0.747 [0.723,0.785]",49.92,523.5,520.5,1992.9,0.072
2,1.0,4.0,CAP-G600,87.74,"0.808 [0.772,0.848]","67.9 [64.3,70.4]",3.848,"0.749 [0.727,0.786]",50.02,523.5,520.5,1992.8,0.0722
2,1.0,4.0,SKIP-G600,272.91,"0.002 [-0.003,0.006]","0.2 [-0.3,0.5]",9.809,"0.054 [0.045,0.069]",228.11,112.4,82.3,1544.6,0.8666
2,1.0,4.0,FIX-G1200,73.06,"0.872 [0.846,0.893]","73.2 [68.8,75.9]",3.055,"0.841 [0.828,0.859]",45.82,1116.5,708.8,2597.9,0.0069
2,1.0,4.0,CAP-G1200,73.08,"0.872 [0.847,0.893]","73.2 [68.8,75.9]",3.024,"0.845 [0.831,0.864]",45.77,1114.7,576.0,2596.9,0.0079
2,1.0,4.0,SKIP-G1200,273.05,"0.002 [-0.008,0.013]","0.2 [-0.7,1.1]",9.376,"0.104 [0.089,0.131]",224.5,142.6,104.6,1547.4,0.8094
