overlay,subset,c_pred_bin_lo_s,c_pred_bin_hi_s,n,mean_c_pred_s,share_result_gated,delta_p10_s,delta_median_s,delta_p90_s,median_delta_given_gated_s
rep0,all,0.0,0.05,1848,0.036294113977679184,1.0,10.900527223944664,51.667605547234416,251.53762415796518,51.667605547234416
rep0,all,0.05,0.1,44,0.051191799342632294,1.0,142.72002793103456,142.72002793103456,142.72002793103456,142.72002793103456
rep0,all,0.1,0.2,6706788,0.1842132454927955,0.9970871302328328,14.034974962472916,123.33288788795471,2580.5802285075188,124.25503562390804
rep0,all,0.2,0.5,10461924,0.28288917193670393,0.9882576092122252,12.484466686844826,129.68805742263794,3066.9736926704645,133.81162005662918
rep0,all,0.5,1.0,158840,0.6615332891241005,0.5260387811634349,-0.6184441983699795,0.1177932620048523,476.0272983551076,63.046048283576965
rep0,all,1.0,2.0,76516,1.4202497823269906,0.6118458884416331,-1.2187241315841675,12.747220039367676,721.4408812522888,91.05981016159058
rep0,all,2.0,5.0,45496,3.1795386703148107,0.5261121856866537,-2.9007654190063477,0.6696429252624512,474.4126253128052,75.41785442829132
rep0,all,5.0,15.0,50556,9.440601037625544,0.8651000870322019,-0.608461856842041,36.30066633224487,942.8025431632996,59.01284670829773
rep0,all,15.0,60.0001,64108,31.10487803025203,0.8524365133836651,-0.542449951171875,26.117587566375732,1066.379028558731,55.61737668514252
rep0,deadline_window,0.0,0.05,660,0.0369170264651378,1.0,7.6462571490556,36.08163355663419,147.2464718837291,36.08163355663419
rep0,deadline_window,0.1,0.2,1279520,0.18529708292514618,0.9970082530949106,12.225914430618293,109.28227926045656,2256.7926688985644,110.21170184016228
rep0,deadline_window,0.2,0.5,2753916,0.312034865801778,0.9851731134863954,10.379459217190742,119.30920116603374,2317.7862439602613,123.85065162181854
rep0,deadline_window,0.5,1.0,76868,0.6624968113664497,0.546078992558672,-0.618888795375824,0.23835313320159912,389.71578401327133,53.64297181367874
rep0,deadline_window,1.0,2.0,38544,1.4167292475972546,0.5125570776255708,-1.350237488746643,0.1819671392440796,440.2469435930252,65.85291278362274
rep0,deadline_window,2.0,5.0,22528,3.098121428396553,0.3828125,-3.070420980453491,-1.6449898481369019,249.4755609035492,74.96581697463989
rep0,deadline_window,5.0,15.0,20020,9.423150149544517,0.8351648351648352,-1.668761968612671,32.74783134460449,731.063971042633,63.75838232040405
rep0,deadline_window,15.0,60.0001,25036,30.944941998366104,0.843585237258348,-0.6864128112792969,13.351808547973633,822.7371973991394,39.59091901779175
rep1,all,0.0,0.05,1848,0.036294113977679184,1.0,10.900527223944664,51.667605547234416,251.53762415796518,51.667605547234416
rep1,all,0.05,0.1,44,0.051191799342632294,1.0,142.72002793103456,142.72002793103456,142.72002793103456,142.72002793103456
rep1,all,0.1,0.2,6706788,0.1842132454927955,0.9970871302328328,14.034974962472916,123.33288788795471,2580.5802285075188,124.25503562390804
rep1,all,0.2,0.5,10461924,0.28288917193670393,0.9882576092122252,12.484466686844826,129.68805742263794,3066.9736926704645,133.81162005662918
rep1,all,0.5,1.0,158840,0.6615332891241005,0.5260387811634349,-0.6184441983699795,0.1177932620048523,476.0272983551076,63.046048283576965
rep1,all,1.0,2.0,76516,1.4202497823269906,0.6118458884416331,-1.2187241315841675,12.747220039367676,721.4408812522888,91.05981016159058
rep1,all,2.0,5.0,45496,3.1795386703148107,0.5261121856866537,-2.9007654190063477,0.6696429252624512,474.4126253128052,75.41785442829132
rep1,all,5.0,15.0,50556,9.440601037625544,0.8651000870322019,-0.608461856842041,36.30066633224487,942.8025431632996,59.01284670829773
