level,k,late_submissions,mode,policy,n_overlays,n_jobs,n_dropped,bound_violations,p99_dl_s,p99_dl_realised_window_s,mean_s,gap_closed,reduction_pct,fired_pct,fired_fraction_queue_weighted,drift_mean_s,drift_p50_s,drift_p99_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,rho_busy_hour,span_days,offered_work_s,max_s,max_excess_s,harm_s,max_heavy_s,worst_ratio_to_bound,drift_max_s
0,8,dropped,closed,FCFS,3,17556782,77978,,9.00560772666667,9.002165716666715,0.24205454591306,0.0,0.0,100.0,1.0,38.71938235658295,2.564895,393.11798543999686,0.0,1133.455695854045,7911.966666666667,0.44993582673611093,208.32048956768517,7022865.129304334,232.453219,0.0,0.0,230.709251,nan,1049.33353
0,8,dropped,closed,Guard(600),3,17565263,69497,0,5.594767719999971,5.594186883333322,0.1301613349901401,0.831184930888301,37.83111063883224,9.678163018302987e-05,2.985080483504745e-05,18.10893468675825,1.0451833333333334,157.9320211066644,0.0,1135.7432857347103,7894.476666666663,0.4596206876851836,208.32048956768517,7028322.997918666,614.577521,478.458888,224.135388,614.577521,0.827961118549374,1161.253427
0,8,dropped,closed,SJF,3,17566406,68353,,4.913882023333334,4.912552830000018,0.12890845317516622,1.0,45.58392736628233,0.0,0.0,16.373275451748096,0.929252,142.365577813334,0.0,1136.0516554515086,7883.529999999996,0.481560888634255,208.32048956768517,7029631.644027666,1093.892743,961.96612,410.801654,1093.892743,nan,1222.042266
0,8,dropped,closed,SPJF-E,3,17565298,69462,,5.5643792833333166,5.563567106666658,0.128586457388869,0.8385919362806439,38.19337181074209,0.0,0.0,18.00889033749911,1.0411936666666666,156.78226266666667,0.0,1135.7528298279246,7888.853333333328,0.4576081057754602,208.32048956768517,7028445.546283,748.620061,623.276356,214.601221,748.620061,nan,1086.78391
0,8,kept,closed,FCFS,3,17634760,0,,8.991312033333367,8.979049623333344,0.2428416704522961,0.0,0.0,100.0,1.0,39.17549866216141,2.597693666666667,399.03919433333334,0.0044448199654167865,1137.9860521461994,7919.533333333334,0.45042001386574065,208.32048956768517,7048760.541504,231.514396,0.0,0.0,229.808411,nan,1160.423947
0,8,kept,closed,Guard(600),3,17634760,0,0,5.608626700000031,5.606895819999984,0.1290852015333542,0.8253204825148394,37.7814077251427,8.316907441137087e-05,2.5257229205749e-05,18.053894720698363,1.0283136666666666,156.95035799333343,0.0039387550496859615,1138.1935473008377,7900.999999999997,0.47485455831018114,208.32048956768517,7048760.541504,622.384253,459.145357,244.11744,622.384253,0.801043563391725,1124.169652
0,8,kept,closed,SJF,3,17634760,0,,4.89698445000002,4.898014740000008,0.12871464617216224,1.0,45.81905866389266,0.0,0.0,16.379000192375774,0.9187543333333333,140.20055100000002,0.0038725789293418225,1138.0897715465555,7902.586666666667,0.48268711320601426,208.32048956768517,7048760.541504,1062.196826,930.828424,466.166493,1062.196826,nan,1213.184808
0,8,kept,closed,SPJF-E,3,17634760,0,,5.5877909333333475,5.586715520000006,0.12847671907637717,0.8306006519337287,37.9321941634506,0.0,0.0,18.03876203043043,1.0247973333333331,158.05887266666667,0.003939341013619314,1138.1935473008377,7910.183333333332,0.46236982276620325,208.32048956768517,7048760.541504,878.375134,734.292591,296.952066,878.375134,nan,1089.95322
0,8,kept,open,FCFS,3,17634760,0,,23.405255083333387,23.405255083333387,0.6144472563395438,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.5045773617129586,208.32048956768517,7048760.541504,435.022874,0.0,0.0,435.022874,nan,0.0
0,8,kept,open,Guard(600),3,17634760,0,0,12.669174083333365,12.669174083333365,0.2600975728543513,0.7343052609932216,45.967680006122265,0.0013420464280016664,0.0011262038956586144,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.5045773617129586,208.32048956768517,7048760.541504,867.204574,489.802752,237.038507,867.204574,0.8706020632437099,0.0
