[  359s]   G600 cap B0=120 eta=0.75: gap 0.8236 harm 232.6 viol 0
[  364s]   G600 cap B0=120 eta=0.9: gap 0.8323 harm 465.7 viol 0
[  369s]   G600 cap B0=600 eta=0: gap 0.7349 harm 176.6 viol 0
[  379s]   G600 cap B0=600 eta=0.25: gap 0.8070 harm 246.8 viol 0
[  384s]   G600 cap B0=600 eta=0.5: gap 0.8324 harm 332.7 viol 0
[  388s]   G600 cap B0=600 eta=0.75: gap 0.8323 harm 465.7 viol 0
[  393s]   G600 cap B0=600 eta=0.9: gap 0.8323 harm 465.7 viol 0
[  398s]   G1200 fix B0=5220 eta=0: gap 0.8546 harm 488.6 viol 0
[  403s]   G1200 cap B0=30 eta=0: gap 0.0488 harm 61.2 viol 0
[  414s]   G1200 cap B0=30 eta=0.25: gap 0.5475 harm 76.6 viol 0
[  418s]   G1200 cap B0=30 eta=0.5: gap 0.7329 harm 108.3 viol 0
[  423s]   G1200 cap B0=30 eta=0.75: gap 0.8230 harm 162.5 viol 0
[  428s]   G1200 cap B0=30 eta=0.9: gap 0.8498 harm 253.0 viol 0
[  433s]   G1200 cap B0=120 eta=0: gap 0.3046 harm 77.0 viol 0
[  437s]   G1200 cap B0=120 eta=0.25: gap 0.6295 harm 105.8 viol 0
[  442s]   G1200 cap B0=120 eta=0.5: gap 0.7819 harm 147.6 viol 0
[  447s]   G1200 cap B0=120 eta=0.75: gap 0.8388 harm 232.6 viol 0
[  452s]   G1200 cap B0=120 eta=0.9: gap 0.8533 harm 465.7 viol 0
[  456s]   G1200 cap B0=600 eta=0: gap 0.7349 harm 176.6 viol 0
[  461s]   G1200 cap B0=600 eta=0.25: gap 0.8071 harm 246.8 viol 0
[  466s]   G1200 cap B0=600 eta=0.5: gap 0.8423 harm 332.7 viol 0
[  470s]   G1200 cap B0=600 eta=0.75: gap 0.8539 harm 488.6 viol 0
[  475s]   G1200 cap B0=600 eta=0.9: gap 0.8546 harm 488.6 viol 0
[  476s] level 2 k=4: FCFS p99dl 261.186, SJF-ref 46.173
[  480s]   G300 fix B0=600 eta=0: gap 0.4138 harm 212.0 viol 0
[  485s]   G300 cap B0=30 eta=0: gap -0.0066 harm 62.1 viol 0
[  490s]   G300 cap B0=30 eta=0.25: gap 0.3357 harm 67.2 viol 0
[  495s]   G300 cap B0=30 eta=0.5: gap 0.4500 harm 101.3 viol 0
[  499s]   G300 cap B0=30 eta=0.75: gap 0.4346 harm 212.0 viol 0
[  505s]   G300 cap B0=30 eta=0.9: gap 0.4143 harm 212.0 viol 0
[  509s]   G300 cap B0=120 eta=0: gap 0.0057 harm 81.5 viol 0
[  514s]   G300 cap B0=120 eta=0.25: gap 0.3893 harm 105.0 viol 0
[  519s]   G300 cap B0=120 eta=0.5: gap 0.4385 harm 171.6 viol 0
[  524s]   G300 cap B0=120 eta=0.75: gap 0.4144 harm 212.0 viol 0
[  529s]   G300 cap B0=120 eta=0.9: gap 0.4138 harm 212.0 viol 0
[  534s]   G300 cap B0=600 eta=0: gap 0.4138 harm 212.0 viol 0
[  538s]   G300 cap B0=600 eta=0.25: gap 0.4138 harm 212.0 viol 0
[  543s]   G300 cap B0=600 eta=0.5: gap 0.4138 harm 212.0 viol 0
[  548s]   G300 cap B0=600 eta=0.75: gap 0.4138 harm 212.0 viol 0
[  553s]   G300 cap B0=600 eta=0.9: gap 0.4138 harm 212.0 viol 0
[  558s]   G600 fix B0=1800 eta=0: gap 0.7773 harm 473.0 viol 0
[  564s]   G600 cap B0=30 eta=0: gap -0.0066 harm 62.1 viol 0
[  569s]   G600 cap B0=30 eta=0.25: gap 0.3672 harm 67.2 viol 0
[  574s]   G600 cap B0=30 eta=0.5: gap 0.6378 harm 101.3 viol 0
[  579s]   G600 cap B0=30 eta=0.75: gap 0.7589 harm 216.8 viol 0
[  583s]   G600 cap B0=30 eta=0.9: gap 0.7706 harm 358.9 viol 0
[  588s]   G600 cap B0=120 eta=0: gap 0.0057 harm 81.5 viol 0
[  592s]   G600 cap B0=120 eta=0.25: gap 0.4518 harm 105.0 viol 0
[  597s]   G600 cap B0=120 eta=0.5: gap 0.6838 harm 171.6 viol 0
[  602s]   G600 cap B0=120 eta=0.75: gap 0.7647 harm 293.3 viol 0
[  607s]   G600 cap B0=120 eta=0.9: gap 0.7771 harm 473.0 viol 0
[  611s]   G600 cap B0=600 eta=0: gap 0.4138 harm 212.0 viol 0
[  617s]   G600 cap B0=600 eta=0.25: gap 0.6915 harm 283.5 viol 0
[  622s]   G600 cap B0=600 eta=0.5: gap 0.7751 harm 358.9 viol 0
[  627s]   G600 cap B0=600 eta=0.75: gap 0.7773 harm 473.0 viol 0
[  632s]   G600 cap B0=600 eta=0.9: gap 0.7773 harm 473.0 viol 0
[  637s]   G1200 fix B0=4200 eta=0: gap 0.8453 harm 633.6 viol 0
[  641s]   G1200 cap B0=30 eta=0: gap -0.0066 harm 62.1 viol 0
[  647s]   G1200 cap B0=30 eta=0.25: gap 0.3672 harm 67.2 viol 0
[  652s]   G1200 cap B0=30 eta=0.5: gap 0.6584 harm 101.3 viol 0
[  656s]   G1200 cap B0=30 eta=0.75: gap 0.8132 harm 216.8 viol 0
[  661s]   G1200 cap B0=30 eta=0.9: gap 0.8390 harm 358.9 viol 0
[  665s]   G1200 cap B0=120 eta=0: gap 0.0057 harm 81.5 viol 0
[  670s]   G1200 cap B0=120 eta=0.25: gap 0.4518 harm 105.0 viol 0
[  675s]   G1200 cap B0=120 eta=0.5: gap 0.7017 harm 171.6 viol 0
[  686s]   G1200 cap B0=120 eta=0.75: gap 0.8217 harm 293.3 viol 0
[  691s]   G1200 cap B0=120 eta=0.9: gap 0.8438 harm 497.5 viol 0
[  696s]   G1200 cap B0=600 eta=0: gap 0.4138 harm 212.0 viol 0
[  701s]   G1200 cap B0=600 eta=0.25: gap 0.6915 harm 283.5 viol 0
[  705s]   G1200 cap B0=600 eta=0.5: gap 0.8237 harm 358.9 viol 0
[  710s]   G1200 cap B0=600 eta=0.75: gap 0.8486 harm 607.9 viol 0
[  715s]   G1200 cap B0=600 eta=0.9: gap 0.8453 harm 633.6 viol 0

=== the rule, applied to this overlay ===
  G=   300: this overlay picks B0=30 eta=0.5 (worst gap 0.4500, harm 108.3); the reported choice B0=30 eta=0.5 scores gap 0.4500, harm 108.3, feasible=True -> SAME
  G=   600: this overlay picks B0=120 eta=0.75 (worst gap 0.7216, harm 293.3); the reported choice B0=30 eta=0.9 scores gap 0.7210, harm 358.9, feasible=False -> DIFFERENT
  G=  1200: this overlay picks B0=120 eta=0.9 (worst gap 0.7273, harm 497.5); the reported choice B0=120 eta=0.9 scores gap 0.7273, harm 497.5, feasible=True -> SAME
