k=1 L=3 B=2 d=2: excess=8 bound=10 target B+2L+d-2=8 In=8 InBound=10 thm3=5
k=1 L=10 B=7 d=4: excess=29 bound=31 target B+2L+d-2=29 In=29 InBound=31 thm3=17
k=1 L=100 B=50 d=30: excess=278 bound=280 target B+2L+d-2=278 In=278 InBound=280 thm3=150
k=1 L=1000 B=500 d=1: excess=2499 bound=2501 target B+2L+d-2=2499 In=2499 InBound=2501 thm3=1500
k=2 m=11 L=2048 d=1024 n=24593 B=4096 excess=9214 ratio=0.99978 gap_to_bound=2 In=14333 In/bound=0.99979 over_thm3=3070
k=2 m=11 L=2048 d=2048 n=26641 B=4096 excess=10238 ratio=0.99980 gap_to_bound=2 In=16381 In/bound=0.99982 over_thm3=4094
k=2 m=11 L=2048 d=4096 n=30737 B=4096 excess=12286 ratio=0.99984 gap_to_bound=2 In=20477 In/bound=0.99985 over_thm3=6142
k=2 m=12 L=4096 d=1 n=49172 B=8192 excess=16383 ratio=0.99988 gap_to_bound=2 In=24575 In/bound=0.99988 over_thm3=4095
k=2 m=12 L=4096 d=2048 n=53266 B=8192 excess=18430 ratio=0.99989 gap_to_bound=2 In=28669 In/bound=0.99990 over_thm3=6142
k=2 m=12 L=4096 d=4096 n=57362 B=8192 excess=20478 ratio=0.99990 gap_to_bound=2 In=32765 In/bound=0.99991 over_thm3=8190
k=3 m=1 L=3 d=1 n=16 B=5 excess=10 ratio=0.78947 gap_to_bound=8/3 In=22 In/bound=0.84615 over_thm3=4/3
k=3 m=1 L=3 d=1 n=16 B=5 excess=10 ratio=0.78947 gap_to_bound=8/3 In=22 In/bound=0.84615 over_thm3=4/3
k=3 m=1 L=3 d=3 n=22 B=5 excess=12 ratio=0.81818 gap_to_bound=8/3 In=28 In/bound=0.87500 over_thm3=10/3
k=3 m=1 L=3 d=6 n=31 B=5 excess=15 ratio=0.84906 gap_to_bound=8/3 In=37 In/bound=0.90244 over_thm3=19/3
k=3 m=2 L=9 d=1 n=33 B=15 excess=32 ratio=0.88889 gap_to_bound=4 In=68 In/bound=0.94444 over_thm3=6
k=3 m=2 L=9 d=4 n=42 B=15 excess=35 ratio=0.89744 gap_to_bound=4 In=77 In/bound=0.95062 over_thm3=9
k=3 m=2 L=9 d=9 n=57 B=15 excess=40 ratio=0.90909 gap_to_bound=4 In=92 In/bound=0.95833 over_thm3=14
k=3 m=2 L=9 d=18 n=84 B=15 excess=49 ratio=0.92453 gap_to_bound=4 In=119 In/bound=0.96748 over_thm3=23
k=3 m=3 L=27 d=1 n=98 B=47 excess=100 ratio=0.93750 gap_to_bound=20/3 In=208 In/bound=0.98113 over_thm3=64/3
k=3 m=3 L=27 d=13 n=134 B=47 excess=112 ratio=0.94382 gap_to_bound=20/3 In=244 In/bound=0.98387 over_thm3=100/3
k=3 m=3 L=27 d=27 n=176 B=47 excess=126 ratio=0.94975 gap_to_bound=20/3 In=286 In/bound=0.98621 over_thm3=142/3
k=3 m=3 L=27 d=54 n=257 B=47 excess=153 ratio=0.95825 gap_to_bound=20/3 In=367 In/bound=0.98922 over_thm3=223/3
k=3 m=4 L=81 d=1 n=343 B=147 excess=308 ratio=0.96250 gap_to_bound=12 In=632 In/bound=0.99371 over_thm3=70
k=3 m=4 L=81 d=40 n=460 B=147 excess=347 ratio=0.96657 gap_to_bound=12 In=749 In/bound=0.99469 over_thm3=109
k=3 m=4 L=81 d=81 n=583 B=147 excess=388 ratio=0.97000 gap_to_bound=12 In=872 In/bound=0.99543 over_thm3=150
k=3 m=4 L=81 d=162 n=826 B=147 excess=469 ratio=0.97505 gap_to_bound=12 In=1115 In/bound=0.99643 over_thm3=231
k=3 m=5 L=243 d=1 n=1236 B=455 excess=940 ratio=0.97645 gap_to_bound=68/3 In=1912 In/bound=0.99791 over_thm3=664/3
k=3 m=5 L=243 d=121 n=1596 B=455 excess=1060 ratio=0.97906 gap_to_bound=68/3 In=2272 In/bound=0.99824 over_thm3=1024/3
k=3 m=5 L=243 d=243 n=1962 B=455 excess=1182 ratio=0.98118 gap_to_bound=68/3 In=2638 In/bound=0.99849 over_thm3=1390/3
k=3 m=5 L=243 d=486 n=2691 B=455 excess=1425 ratio=0.98434 gap_to_bound=68/3 In=3367 In/bound=0.99881 over_thm3=2119/3
