trace,rep,level,k,rho_busy,policy,label,spec,n_jobs,n_phases,maxabsD_L,bound_L,ratio_to_bound,frac_D_zero,frac_In_pos,frac_Out_pos,samephase_share_sumIn,samephase_share_jobs,frac_In_all_samephase,mean_excess_s,max_excess_s,mean_absD_L,r2_net_over_k,max_abs_err_s,mean_abs_err_s,med_abs_err_s,sum_In_s,sum_Out_s,float_vs_int_max_diff_s,bound_violations,n_forced,forced_frac,D_L_min,D_L_p0.1,D_L_p1,D_L_p50,D_L_p99,D_L_p99.9,D_L_max
primary,0,0,8,0.5294,adv,SPJF-reversed (adversarial: score = -service time),pred = -service time (reversed score),17634760,5443641,6.788018666666667,14.0,0.4848584761904762,0.9559363439026105,0.025119820173339472,0.034936171515801744,0.0012020853512487463,0.10348050259378484,0.04095877484863945,0.5403554928881756,1217.567770048976,0.010300195297576113,0.9957186084287849,50.91013953980923,0.07725146465445255,0.0,88228128.886876,15961377.528163,8.00544738766007e-06,0,0,0.0,-6.560314883333334,-0.8734580136333333,-0.021112935,0.0,0.057244661666667335,1.7517068434333383,6.788018666666667
primary,0,0,8,0.5294,cap600,"CAP-G600 (guard, v3.1 selected parameters)","guard, G = 600 s, B0 = 120*k/4 = 240 s, eta = 0.75 (eps = 6), Bmax = 3480.0 s",17634760,5445246,6.7857551,14.0,0.48469679285714284,0.9559240386600101,0.021820313970816727,0.03306537769722979,0.003529175803230418,0.1298012453351906,0.05751359161737648,-0.34308315350100904,489.0893786996603,0.012152657946780486,0.9826798206787134,50.893162671728135,0.09114493463750814,0.0,8591119.603973,58988224.024759,8.0038452097142e-06,0,174,9.86687655516718e-06,-6.424283533333333,-1.2662822666666667,-0.04486170333333335,0.0,0.0402588,1.7410777294666877,6.7857551
primary,0,0,8,0.5294,spjf,"SPJF-tweedie (expected-cost score, unguarded)",pred = Tweedie expected-cost score,17634760,5445197,6.7857551,14.0,0.48469679285714284,0.9559194454588551,0.021777047150060447,0.033063789923991026,0.0036156793807778317,0.13006694737171023,0.05762786010577216,-0.36268241110964433,1242.4782217144966,0.012241314246334133,0.984735718638263,50.893162671728135,0.09180985686011069,0.0,8385817.365664,61498380.004257,8.0038452097142e-06,0,0,0.0,-6.424283533333333,-1.2842574742166666,-0.044657011833333336,0.0,0.04032559650000005,1.7422965627166696,6.7857551
primary,0,1,5,0.8471,adv,SPJF-reversed (adversarial: score = -service time),pred = -service time (reversed score),17634760,6950427,3.880821533333333,8.0,0.4851026916666666,0.8749654659320569,0.0811443989030755,0.106683221092887,0.0004182152767706,0.0678166156753289,0.0322070047981707,3.5096623952424006,3387.890890568495,0.019508751542069,0.9989367171788556,46.569858018701936,0.2341050184218762,0.0,388701606.536827,89684522.860285,5.00743389109104e-06,0,0,0.0,-3.880821533333333,-0.9855433394166666,-0.0851216773333333,0.0,0.4956594,1.866300639200007,3.87847535
primary,0,1,5,0.8471,cap600,"CAP-G600 (guard, v3.1 selected parameters)","guard, G = 600 s, B0 = 120*k/4 = 150 s, eta = 0.75 (eps = 3.75), Bmax = 2220.0 s",17634760,6947114,3.9191616,8.0,0.4898952,0.8719909428877965,0.0702054918808081,0.1044623232751679,0.001588950493355,0.0890863667827894,0.0447588438981403,-2.5750256924113053,513.833100527525,0.0280187979645512,0.9951602829062164,47.02993872823258,0.3362255758442513,0.0,35206954.304712,267985201.194179,5.00331401828202e-06,0,3103,0.0001759592985671,-3.83028085,-1.5621395271166667,-0.3653856613333333,0.0,0.6116351873333334,1.8609534116500088,3.9191616
primary,0,1,5,0.8471,spjf,"SPJF-tweedie (expected-cost score, unguarded)",pred = Tweedie expected-cost score,17634760,6947208,3.943425483333333,8.0,0.4929281854166666,0.8719973506869387,0.0700132579065436,0.1046258072125733,0.0018481094225597,0.0893236799882073,0.0448793075379839,-2.875541737309642,3044.4703496694565,0.02788697297089,0.9962913725789162,47.321106415015976,0.334643675964078,0.0,30268052.280434,289705198.447451,5.00331401828202e-06,0,0,0.0,-3.8610707833333335,-1.5755878213,-0.3560315791666666,0.0,0.6106950950000004,1.8594842737833472,3.943425483333333
primary,0,2,4,1.0589,adv,SPJF-reversed (adversarial: score = -service time),pred = -service time (reversed score),17634760,8220449,2.9944598166666667,6.0,0.4990766361111111,0.8164765497233872,0.1224102284352041,0.1607530241409579,0.0001808282783759,0.0565624746661725,0.0224804567616709,8.60892305539778,6295.652136847377,0.0218598804612916,0.9996413909931584,44.91689752371025,0.3278982070075146,0.0,809541474.263406,215603793.405766,4.006931301800409e-06,0,0,0.0,-2.994031666666667,-0.84239135,-0.0970131945,0.0,0.5792433495,1.6980258324500122,2.9944598166666667
primary,0,2,4,1.0589,cap600,"CAP-G600 (guard, v3.1 selected parameters)","guard, G = 600 s, B0 = 120*k/4 = 120 s, eta = 0.75 (eps = 3), Bmax = 1800.0 s",17634760,8225161,3.126748483333333,6.0,0.5211247472222222,0.8111048860319051,0.1052530343480716,0.1590045455679578,0.0007138054485955,0.0753198082874309,0.0307675398898342,-6.3349944393493445,510.6834339089692,0.0344891301001988,0.9977940652862904,46.90122758672332,0.5173369516281848,0.0,78017060.692901,531356886.371448,4.006015777657801e-06,0,15712,0.0008909676116941,-2.985535033333333,-1.4831103233333334,-0.4943535056666667,0.0,0.6735587896666679,1.744821272833337,3.126748483333333
primary,0,2,4,1.0589,spjf,"SPJF-tweedie (expected-cost score, unguarded)",pred = Tweedie expected-cost score,17634760,8225307,3.126748483333333,6.0,0.5211247472222222,0.8110879875881498,0.1044917537862721,0.1598257645695206,0.0010468663034476,0.0758745245394361,0.0309906131643626,-7.858491888338071,5904.51739089191,0.0343184640731241,0.998485224833532,46.90122758672332,0.5147769612425733,0.0,53191798.908433,614214895.851915,4.006015777657801e-06,0,0,0.0,-2.985535033333333,-1.4737169208166665,-0.4883084333333333,0.0,0.674107447,1.746844149733354,3.126748483333333
