rep,level,k,rho_busy,predictor,policy,n_jobs,w_mean,w_p95,w_p99,w_max,w_mean_dl,w_p95_dl,w_p99_dl,w_mean_exam,w_p99_exam,mean_heavy,p95_heavy,p99_heavy,max_heavy,max_excess,max_excess_dl,p99_excess,mean_excess,max_excess_wf0,p9999_excess_wf0,max_excess_wflt10,gap_p99dl,gap_mean,fcfs_p99dl,sjf_p99dl,fcfs_mean,sjf_mean,guar_excess_at0,guar_excess_at_fcfs_p99dl,guar_excess_max,bound_viol,used_over_allowed,forced_frac,qw_forced_frac,n_forced,n_disp,max_span,n_rebuild,secs
k1rep0,0,1,0.8000130043447845,top1short,FCFS,3209347,6.59351294323696,27.249932944774628,152.97509937405604,1427.2557502239943,10.471864176623694,48.526888751983606,221.27438719391904,12.472828796589473,274.5419465249748,39.401774381719584,182.8362238377332,695.0613024312262,1423.5231717079878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,inf,inf,inf,-1,nan,1.0,1.0,3209347,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,top1short,SJF-ref,3209347,1.8712898318150273,10.32135303765532,37.35432439118627,2366.6591532081366,3.3724701450568393,18.281853961944545,45.324836370348976,2.892596168504602,44.290975388884505,38.47234244103261,129.2820306956767,902.3543060708047,2366.6591532081366,2054.5022542625666,2054.5022542625666,2.2921939939260483,-4.722223111421932,777.9388248920441,7.514958973781462,1135.8084733486176,1.0,1.0,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,inf,inf,inf,-1,nan,0.0,0.0,0,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,top1short,SPJF,3209347,9.769032516553791,26.51768545657381,225.0467110440147,2709.2690831422806,16.284912800782298,57.78013276457774,372.2837820130597,20.841813389605054,521.9586387105218,27.39200891470743,121.1151686191558,396.9486464458714,2493.2661082185805,2659.176225543022,2659.176225543022,89.2508472159511,3.1755195733168327,1411.1282851099968,27.112747440994276,2547.215683698654,-0.8582539376333068,-0.6724628418415906,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,inf,inf,inf,-1,nan,0.0,0.0,0,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,top1short,FIX-B600,3209347,9.669968566342641,27.093752197921134,239.436339479983,2027.3910784721375,15.663397810132732,59.05050678849216,391.20149538099884,19.45831750550582,570.0031823845196,28.825126627119413,125.45515036582933,447.9152661210308,2016.0456098169088,658.0884841680527,652.5172491073608,100.62927754640582,3.0764556231056814,624.0135507583618,27.112747440994276,645.2101420015097,-0.9657717646433258,-0.6514845975118092,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,660.0,660.0,660.0,0,0.9971037638909889,0.002140622375829102,0.19096341190672547,6870,3209347,3349,0,1.0
k1rep0,0,1,0.8000130043447845,top1short,FIX-B1200,3209347,9.809419716535903,26.708167412876875,228.0773176607491,2288.8555075228214,16.23742757631938,58.052564430236764,375.4301723349098,20.498021861011267,529.878009157924,27.499618860034566,121.51178179979321,398.1327131980665,2236.6345542520285,1257.5140664726496,1257.5140664726496,91.87352096706663,3.215906773298944,1219.3532276153564,27.112747440994276,1219.3532276153564,-0.876136281220561,-0.6810154237567535,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,1260.0,1260.0,1260.0,0,0.9980270368830552,0.0006347085559772752,0.06302711854975063,2037,3209347,3349,0,1.2
k1rep0,0,1,0.8000130043447845,top1short,FIX-B3600,3209347,9.769032516553791,26.51768545657381,225.0467110440147,2709.2690831422806,16.284912800782298,57.78013276457774,372.2837820130597,20.841813389605054,521.9586387105218,27.39200891470743,121.1151686191558,396.9486464458714,2493.2661082185805,2659.176225543022,2659.176225543022,89.2508472159511,3.1755195733168327,1411.1282851099968,27.112747440994276,2547.215683698654,-0.8582539376333068,-0.6724628418415906,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,3660.0,3660.0,3660.0,0,0.7265508812959077,0.0,0.0,0,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,top1short,REL-B30-e0.75,3209347,9.564114234111454,26.993930919468298,228.1828572270277,2476.4603067338467,15.77306026301298,59.018683746457,362.3210726302866,19.836139506579006,496.9180290615555,28.483824467973964,128.79940736591806,423.6999401175978,2428.444858402014,1883.6534876674414,1883.6534876674414,96.48569061465572,2.9706012908744954,177.87209701538086,27.112747440994276,186.07366620004177,-0.8016314038664375,-0.6290683902014957,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,360.0,1023.8231615817572,4641.767250671983,0,0.8861511568166928,0.0022755407875807757,0.09757256993451266,7303,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,top1short,REL-B120-e0.5,3209347,9.500177641061734,27.19993298947811,245.22183040559372,2288.8555075228214,15.396290486662314,59.44872970879072,375.37994496583946,19.116411256228314,497.5820803116255,29.49013679585635,128.98600516319252,438.70550980627553,2236.6345542520285,1225.7585868537426,1225.7585868537426,101.68519171699882,2.9066646978247745,275.2342731654644,27.112747440994276,289.00612673163414,-0.8758508166153076,-0.6155288789287072,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,360.0,581.274387193919,1787.2557502239943,0,0.9214244118971172,0.00317073847109708,0.18864694050575948,10176,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,top1short,CAP-B30-e0.5-M600,3209347,9.036836221236417,28.32554835528135,223.12885818064225,2027.3910784721375,14.472121362111706,62.539813545346206,323.535228109956,17.75786187467885,423.03916430219954,31.392909974423247,147.0525105118751,477.71133065521735,2016.0456098169088,653.2742795348167,652.8360195308924,95.68309190869331,2.4433232779994576,118.5813980102539,27.112747440994276,118.5813980102539,-0.5811941004531292,-0.5174095379122684,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,180.0,401.27438719391904,660.0,0,0.9898095144466921,0.008488331115332808,0.31285146509995604,27242,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,top1short,CAP-B30-e0.9-M1200,3209347,9.796670256600152,26.767424094676908,229.41667985409526,2288.8555075228214,16.189523560827304,58.27949413359157,377.0001352638025,20.458674354552222,529.6328374950576,27.65058589209449,122.01200074851482,402.28273060023804,2236.6345542520285,1257.5140664726496,1257.5140664726496,92.64693857610236,3.2031573133631914,335.63730877637863,27.112747440994276,392.6549280285835,-0.8850590827937629,-0.6783155386316917,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,900.0000000000002,1260.0,1260.0,0,0.9980270368830552,0.0008229088347255687,0.07028132229285398,2641,3209347,3349,0,1.0
