rep,level,k,rho_busy,predictor,policy,n_jobs,w_mean,w_p95,w_p99,w_max,w_mean_dl,w_p95_dl,w_p99_dl,w_mean_exam,w_p99_exam,mean_heavy,p95_heavy,p99_heavy,max_heavy,max_excess,max_excess_dl,p99_excess,mean_excess,max_excess_wf0,p9999_excess_wf0,max_excess_wflt10,gap_p99dl,gap_mean,fcfs_p99dl,sjf_p99dl,fcfs_mean,sjf_mean,guar_excess_at0,guar_excess_at_fcfs_p99dl,guar_excess_max,bound_viol,used_over_allowed,forced_frac,qw_forced_frac,n_forced,n_disp,max_span,n_rebuild,secs
k1rep0,0,1,0.8000130043447845,reversed,FCFS,3209347,6.59351294323696,27.249932944774628,152.97509937405604,1427.2557502239943,10.471864176623694,48.526888751983606,221.27438719391904,12.472828796589473,274.5419465249748,39.401774381719584,182.8362238377332,695.0613024312262,1423.5231717079878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,inf,inf,inf,-1,nan,1.0,1.0,3209347,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,reversed,SJF-ref,3209347,1.8712898318150273,10.32135303765532,37.35432439118627,2366.6591532081366,3.3724701450568393,18.281853961944545,45.324836370348976,2.892596168504602,44.290975388884505,38.47234244103261,129.2820306956767,902.3543060708047,2366.6591532081366,2054.5022542625666,2054.5022542625666,2.2921939939260483,-4.722223111421932,777.9388248920441,7.514958973781462,1135.8084733486176,1.0,1.0,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,inf,inf,inf,-1,nan,0.0,0.0,0,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,reversed,SPJF,3209347,11.414471649858795,30.99190840125072,264.90282868891967,2739.7542544305325,17.914226201627606,64.85274568796144,415.3743278086197,20.94929282541631,532.8164550514493,33.19187890426849,163.50840830206835,577.5397409629834,1724.7092430591583,2696.187019765377,2648.99222189188,121.70267324149609,4.820958706621836,2487.0641155838966,36.34716394543648,2522.189845070243,-1.1031567838972804,-1.0209087103404928,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,inf,inf,inf,-1,nan,0.0,0.0,0,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,reversed,FIX-B600,3209347,10.794507005000884,31.43825435489415,276.063701385856,2025.9343333393335,16.934967408644994,65.81136659681792,432.9135111534602,20.166315455082188,589.2819125302115,36.678046260019286,168.7766682893037,677.4481840854885,1691.284620165825,658.252741932869,658.252741932869,131.41471337735655,4.200994061763923,641.6306163370609,36.34716394543648,644.5928881168365,-1.202839808166138,-0.8896221043861143,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,660.0,660.0,660.0,0,0.9973526392922257,0.0025276169887519175,0.2124241886920226,8112,3209347,3349,0,1.0
k1rep0,0,1,0.8000130043447845,reversed,FIX-B1200,3209347,11.280923400161653,31.151899337768555,267.4392663836479,2332.596204891801,17.68606789849982,65.14155875444412,420.1763044714928,20.922386307728637,538.4576656869028,33.416113612032994,163.87797112464807,578.8945002704862,1607.303622201085,1256.8246917128563,1256.3726467192173,124.40042417138827,4.6874104569246935,1212.6884078979492,36.34716394543648,1212.6884078979492,-1.130448565208437,-0.9926279098475808,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,1260.0,1260.0,1260.0,0,0.9974799140578224,0.0008631039273721415,0.09221731172436355,2770,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,reversed,FIX-B3600,3209347,11.414471649858795,30.99190840125072,264.90282868891967,2739.7542544305325,17.914226201627606,64.85274568796144,415.3743278086197,20.94929282541631,532.8164550514493,33.19187890426849,163.50840830206835,577.5397409629834,1724.7092430591583,2696.187019765377,2648.99222189188,121.70267324149609,4.820958706621836,2487.0641155838966,36.34716394543648,2522.189845070243,-1.1031567838972804,-1.0209087103404928,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,3660.0,3660.0,3660.0,0,0.7366631201544745,0.0,0.0,0,3209347,3349,0,1.0
k1rep0,0,1,0.8000130043447845,reversed,REL-B30-e0.75,3209347,10.780151780031204,31.440083806216656,257.5851272138956,2476.8508471548557,16.77001985487369,66.09625828862163,373.873900691868,19.720971324835777,488.6139572434125,35.48710367879596,172.65779120921934,640.1052293169506,1609.6423401981592,1887.6713688373566,1808.0915515720844,125.9438887834549,4.186638836794245,177.87209701538086,36.34716394543648,193.33521902561188,-0.8672912933489959,-0.8865821749649571,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,360.0,1023.8231615817572,4641.767250671983,0,0.8872560597851213,0.0030314578012287235,0.1195166943395581,9729,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,reversed,REL-B120-e0.5,3209347,10.56229090586991,31.562466950714548,278.3575787484649,2353.239311054349,16.4525017439989,66.40708387494087,385.365095742345,19.420391382306615,491.4191635484971,37.17926506774648,173.83502072691857,699.3768136078129,1628.0002056509256,1294.373292952776,1224.3132327497005,133.66278030872374,3.9687779626329514,272.1381211280823,36.34716394543648,288.85282003879547,-0.9326008948608494,-0.8404469397122345,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,360.0,581.274387193919,1787.2557502239943,0,0.9224204510660012,0.003928213434072414,0.21982514690093244,12607,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,reversed,CAP-B30-e0.5-M600,3209347,9.611437262452542,32.514860846102046,231.058028781116,2025.9343333393335,15.088757646502145,69.0251006335019,329.6973928701884,17.916910645660064,411.0099344338464,39.00853513525419,190.2491932690142,724.2986606985363,1691.284620165825,658.1079121083021,658.1079121083021,102.99416553825147,3.0179243192155836,118.5813980102539,36.34716394543648,118.5813980102539,-0.616216439137082,-0.6390897354925781,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,180.0,401.27438719391904,660.0,0,0.9971332001640941,0.010123554729357716,0.3458231805569555,32490,3209347,3349,0,1.2
k1rep0,0,1,0.8000130043447845,reversed,CAP-B30-e0.9-M1200,3209347,11.233636945754212,31.18820876330122,269.1534697332984,2332.596204891801,17.6043236665007,65.2330957293509,417.4235678267481,20.81726015294457,536.0720440207392,33.7632453497457,164.19757957458444,589.3752482140081,1607.303622201085,1256.8246917128563,1256.3726467192173,125.17147483021033,4.640124002517252,336.8458023071289,36.34716394543648,386.7974306344986,-1.1148035315504374,-0.9826143096233418,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,900.0000000000002,1260.0,1260.0,0,0.9974799140578224,0.00115257091240056,0.10241965912075708,3699,3209347,3349,0,1.2
k1rep0,0,1,0.8000130043447845,reversed,CAP-B120-e0.75-M1200,3209347,11.196100553731753,31.198339058458696,269.26166789382745,2332.596204891801,17.54161573304613,65.29287310540668,423.91437399923905,20.64552294545602,541.8319432572999,33.983091958550816,164.5395644903176,615.5329693281664,1607.303622201085,1256.8246917128563,1256.3726467192173,125.5529574751854,4.602587610494794,498.14150619506836,36.34716394543648,539.9711350500584,-1.1516936863823726,-0.9746654281036045,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,720.0,1260.0,1260.0,0,0.9974799140578224,0.0011634765576922657,0.10269200076434863,3734,3209347,3349,0,1.2
k1rep0,0,1,0.8000130043447845,reversed,CAP-B30-e0.9-M3600,3209347,11.346686868461447,31.043342378735435,266.923157261014,2701.824389383197,17.804557088162458,65.034993648529,413.49892360150864,20.818737291791443,529.8457918461993,33.59486427669238,163.84365451633883,587.7442618715777,1731.409556016326,2453.077044531703,2379.2348539978266,122.77861982613803,4.7531739252244884,336.8458023071289,36.34716394543648,386.7974306344986,-1.0924980229153238,-1.0065542887475374,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,900.0000000000002,2891.469484745272,3660.0,0,0.7874633020588663,0.00043310991301345725,0.023782952397945704,1390,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,reversed,SKIP-N10,3209347,9.458777412913184,34.40889368057249,249.75542881131253,1580.4122782200575,14.673437482229609,68.15586969852441,340.8873926854148,18.365252909456718,450.30255521356844,41.9955510307963,221.00252856016147,836.9749322634935,1576.679699704051,547.9293899536133,547.9293899536133,94.73585844039917,2.865264469676225,380.34200286865234,23.548737709312796,421.4281949996948,-0.679814213401632,-0.6067617734422229,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,660.0,660.0,660.0,0,0.8301960453842625,0.051588064487884916,0.7410087630213605,165564,3209347,3349,0,1.6
k1rep0,0,1,0.8000130043447845,reversed,SKIP-N20,3209347,10.090761099023705,34.486395885050186,260.74449850171817,1664.2915382832289,15.567225233525301,70.01510268747803,364.8398539650443,19.793185961328266,490.6769430270768,41.17048657918151,202.4816938638687,912.7566537809394,1660.5589597672224,770.0914039611816,770.0914039611816,104.94983070254327,3.4972481557867456,757.817211151123,26.72330093383789,757.817211151123,-0.8159467648489919,-0.740593587653183,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150273,1260.0,1260.0,1260.0,0,0.6111836539374458,0.03696826799968966,0.6826996370126647,118644,3209347,3349,0,1.7
