group,model,n,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi
all,G0,40844,0.9325493374523631,0.9160866799199094,0.945875495739222,0.3161879198300593,0.2430180811324248,0.38564100165388365
all,G0U,40844,0.934824195115521,0.9195638163512891,0.9471434318869323,0.32155270529834773,0.24633440640006501,0.3933959559396878
all,G1,40844,0.9324226697587777,0.9159494978319177,0.9456382569398566,0.3218695791555919,0.24743828200461823,0.39237334058766077
all,G2,40844,0.9305259714748675,0.9136520484243921,0.9445243262066249,0.3178423371128454,0.24372649275954358,0.3881408281451304
all,G3,40844,0.9295319077925841,0.9133838897466532,0.9425953818881441,0.2585358520808742,0.1951307857288857,0.32592283477395523
all,M0,40844,0.5,0.5,0.5,0.013123102536480266,0.010378016495803846,0.01582886376489436
all,M1,40844,0.7959539823829153,0.7684557970610832,0.8180749721575888,0.052722888282698076,0.037926483909283236,0.07435596275445881
all,M2,40844,0.8590664229956696,0.8323974716323514,0.8805399564019892,0.24217624241392363,0.17741534676063397,0.3081457509980196
all,M3,40844,0.8631728245371337,0.8339626490094324,0.8865048104531293,0.0824357194280881,0.05580574629140911,0.12298499764034194
all,M4,40844,0.9283268752866608,0.9117547604746765,0.9414571731893578,0.2890507031283173,0.21798943079706812,0.35922167662228055
all,M4R,40844,0.9283268752866608,0.9117547604746765,0.9414571731893578,0.2890507031283173,0.21798943079706812,0.35922167662228055
all,M5,40844,0.9302396963159789,0.9139537015133999,0.9433226790658845,0.2990614792832712,0.23065070093815404,0.3656355134264472
all,M6,40844,0.9287872143820938,0.9122820710568659,0.9421197668769035,0.2944222941112018,0.2221670419368173,0.36832386284621305
all,N0,40844,0.9208963570679893,0.9038661944207491,0.9352203841507298,0.3062638248304177,0.23347034533529035,0.37470574023760217
all,R1,40844,0.9239375697058027,0.906724151455575,0.9379051509414554,0.32361269668091336,0.25039258885578153,0.3906937840845658
all,R1S,40844,0.9365785349574445,0.9212502578692003,0.9493073367900629,0.3148153355102759,0.24070896498149172,0.38802669970761716
cold_ex,G0,1092,0.8658802306608697,0.7996738013370607,0.9146466955092791,0.2874958152439588,0.1483971356546594,0.44217135193041285
cold_ex,G0U,1092,0.8734202872112938,0.8102450089904027,0.920716117675147,0.2946931636121302,0.1492577350789443,0.46557328769862166
cold_ex,G1,1092,0.8657180789070972,0.8004727706800877,0.9130580540464497,0.29236037533881043,0.14702552817922304,0.4567181636098566
cold_ex,G2,1092,0.8711197592046456,0.8003199786507187,0.9181330212903913,0.3098790527402866,0.16544138458879962,0.4675009158886653
cold_ex,G3,1092,0.864876916684402,0.7940122871982173,0.915988898771879,0.3036688441348389,0.16153756341162887,0.47545731983426637
cold_ex,M0,1092,0.5,0.5,0.5,0.028388278388278388,0.01614205117451176,0.04186290453732314
cold_ex,M1,1092,0.6593850394738175,0.5346861126409451,0.7601601923563749,0.1653762190030239,0.06712996806021622,0.3367345358037891
cold_ex,M2,1092,0.7889493579804,0.6697369270457113,0.877050978968827,0.2339418617489127,0.12060040989343397,0.3971228227856373
cold_ex,M3,1092,0.8506075623524166,0.7914505245492816,0.9006805195104428,0.1605776961191937,0.07135585492225295,0.3577741766278139
cold_ex,M4,1092,0.8592826811792486,0.7855460407588543,0.9126593932819796,0.2886794588294961,0.14948625283224917,0.4719588211396383
cold_ex,M4R,1092,0.8592826811792486,0.7855460407588543,0.9126593932819796,0.2886794588294961,0.14948625283224917,0.4719588211396383
cold_ex,M5,1092,0.8698124106898543,0.7977277860109121,0.9198750581831712,0.28875238660762165,0.15699719121426406,0.45838872418740945
cold_ex,M6,1092,0.8616136126397292,0.7875890366087214,0.9137903373645689,0.26412756910493634,0.12973494749602615,0.44474909112537653
cold_ex,N0,1092,0.8582084258105054,0.8050621161739232,0.8999635190360592,0.264697905079178,0.13852167323866688,0.43073951787232634
cold_ex,R1,1092,0.857144304926373,0.7873366078302071,0.9095923559778012,0.24462515036721433,0.1465363899629205,0.39878370622476955
cold_ex,R1S,1092,0.8823893060918385,0.8173033502083639,0.9269645710247124,0.271182036698625,0.1525088365549107,0.43087817686939456
