group,model,n,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi
all,G0,40844,0.9339380921136108,0.9189372495075148,0.9462526096698435,0.32222342693809747,0.24977553312952958,0.39503726506598413
all,G1,40844,0.9330295329816138,0.9174044398825446,0.9455861986138623,0.31683762019796363,0.2457166186066409,0.3861950220566672
all,G2,40844,0.9333639372355252,0.918228904353256,0.9458974870914415,0.3172973798358749,0.24536985158182487,0.3895881587440347
all,G3,40844,0.9341884729498285,0.9181637449659593,0.9468282583891404,0.2959230478131906,0.22341432976304262,0.3653954049023203
all,M0,40844,0.5,0.5,0.5,0.013123102536480266,0.010378016495803846,0.01582886376489436
all,M1,40844,0.8735034543714887,0.8536445676323792,0.890014162277461,0.08111411257041444,0.05777066427322124,0.11445716466621882
all,M2,40844,0.8717266583994783,0.84434555920314,0.894161898565923,0.2735936526208849,0.19894616325280295,0.3451529666341912
all,M3,40844,0.8877183081442052,0.8633557168770324,0.9069798618158561,0.09642953714187757,0.06614738040984475,0.13504991392544413
all,M4,40844,0.9336215231646668,0.9171263302089954,0.9464364054743349,0.2978252906795212,0.22383596183975468,0.3712538832163524
all,M4R,40844,0.9336215231646668,0.9171263302089954,0.9464364054743349,0.2978252906795212,0.22383596183975468,0.3712538832163524
all,M5,40844,0.9357745422436295,0.9205128551271656,0.9480179997496502,0.28215631658383894,0.2128518276911164,0.3492597854662692
all,M6,40844,0.932550679728775,0.9162194943069222,0.9456577102074705,0.2929472927094609,0.2228604433176978,0.36395710540327275
all,N0,40844,0.9231819837993717,0.9065094679417065,0.9369354523546445,0.30508832388017754,0.23117925409426296,0.3736066671062769
all,R1,40844,0.9349895342553878,0.9198802290714988,0.9472303514285867,0.338158139669098,0.2642860484756358,0.4069902849206155
all,R1S,40844,0.94057387469717,0.9262057232042966,0.9522194272902065,0.3147692104678253,0.24263183413285735,0.38634494566036165
cold_ex,G0,1092,0.8688192311979974,0.8046203477194106,0.9148673980536607,0.28969221762690806,0.15632676222888078,0.45977134949854853
cold_ex,G1,1092,0.8609447366554174,0.7980152876966763,0.9060364835430257,0.30595333126193364,0.1670574538680233,0.46346277159129085
cold_ex,G2,1092,0.8727919491654252,0.8125058575113369,0.9182396843368018,0.2918805874140718,0.16378303551587026,0.4572441069090753
cold_ex,G3,1092,0.8457024718007965,0.7625801174352118,0.9042789549281609,0.2615684174707293,0.14643374550082475,0.4334708797585603
cold_ex,M0,1092,0.5,0.5,0.5,0.028388278388278388,0.01614205117451176,0.04186290453732314
cold_ex,M1,1092,0.6641077093024434,0.5041599681612013,0.7704744251383154,0.18021036719484881,0.07178783686144674,0.34721245276442164
cold_ex,M2,1092,0.7965096835000457,0.6825594095047562,0.8872047303188241,0.2232578419720638,0.12498673856775973,0.38785335275941335
cold_ex,M3,1092,0.8530449059013104,0.7982450918080081,0.9027929825758501,0.1550081499038418,0.06608858781069434,0.35694873081687856
cold_ex,M4,1092,0.877474081055608,0.8101887634515086,0.924509960261945,0.2845139067460359,0.17256186054697198,0.44142067022385856
cold_ex,M4R,1092,0.877474081055608,0.8101887634515086,0.924509960261945,0.2845139067460359,0.17256186054697198,0.44142067022385856
cold_ex,M5,1092,0.8792476158624952,0.8097390969210094,0.9260271491583811,0.28139354738138184,0.16337026035908078,0.4289063909718768
cold_ex,M6,1092,0.8724068387502153,0.8004995528036581,0.9220870031836812,0.2899583539307496,0.1659191273101539,0.45037195295371574
cold_ex,N0,1092,0.8453984372624731,0.7907802152529293,0.8918530040892025,0.24580746909012477,0.12043925733343959,0.4174753420839509
cold_ex,R1,1092,0.8780416121938118,0.8210882055517015,0.9219742207662891,0.2582884154156993,0.16270459839403523,0.4099970808019295
cold_ex,R1S,1092,0.8836763856374085,0.8204545644522103,0.9269474980856413,0.2801421043050783,0.17096751165201865,0.4424046438537339
