group,pair,dRMSE,dRMSE_lo,dRMSE_hi,dSpear,dSpear_lo,dSpear_hi,dAUROC,dAUROC_lo,dAUROC_hi,dAUPRC,dAUPRC_lo,dAUPRC_hi
cold_ex,G1-G2,-0.0005349391572148088,-0.002668866179420923,0.001670410990620895,0.016759096678242436,0.0072676176818997264,0.026078081612592247,-0.011847212510007829,-0.026428270254268273,0.0009436545653700787,0.014072743847861816,-0.013531671810522951,0.03641589226695282
cold_ex,G1-G0,0.00023362546281966803,-0.0022188592588999983,0.003364374614563753,0.01294525242202573,0.0024249098063354097,0.023334070246894243,-0.007874494542580046,-0.01795508943507679,0.0019153753517827594,0.016261113635025543,-0.007851175389142453,0.03540808435672864
cold_ex,G1-M5,0.002994179066459527,-0.004823042747184327,0.009776046705154896,0.006462051904651082,-0.02109286956196369,0.03584694887622192,-0.018302879207077922,-0.04748896623678164,0.01035484232146636,0.024559783880551782,-0.026326925981299355,0.06969180620052377
cold_ex,G1-M4,-0.00024800160704852026,-0.005357873555136423,0.004947407310816234,0.01636113732875827,-0.010281758018651353,0.04452983834435186,-0.016529344400190566,-0.04868348948226057,0.012794945055730778,0.021439424515897716,-0.0222654618075002,0.044778792181941154
cold_ex,G0-M4,-0.0004816270698681883,-0.006985584194033378,0.005779849377817495,0.0034158849067325394,-0.02294904263207531,0.03210536012836857,-0.008654849857610522,-0.04001854431356736,0.02122726215396275,0.005178310880872172,-0.039972602455978355,0.03894515883445707
cold_ex,N0-M4,0.001971939909292749,-0.013985474792563825,0.015685510001493787,-0.020964458726650186,-0.05439835477809852,0.011205968927427966,-0.03207564379313491,-0.07418277730176638,0.016439152012083284,-0.03870643765591112,-0.10730561299736556,0.021387050159711162
cold_ex,G3-M4,0.0004584094943503499,-0.00595439495766469,0.00810155379580526,-0.015033012446552696,-0.035663161109690616,0.004586813306009477,-0.03177160925481137,-0.06825785884678995,-0.0061490002059610286,-0.022945489275306635,-0.0804032908802723,0.024437396521001447
cold_ex,R1-M4,0.005339174342818442,-0.002305496291825409,0.013591625206537276,-0.015088250223248814,-0.05427631582694219,0.020972936018191404,0.0005675311382039213,-0.04742896932937581,0.050574375527899666,-0.02622549133033661,-0.07734862229802944,0.024397194033455086
cold_ex,R1S-M4,0.0008138275825798255,-0.0068247702696255155,0.008402595587373005,-0.02566634656791278,-0.04929064717663059,-0.0027063323560707416,0.0062023045818004885,-0.008525134206097235,0.021162753001953808,-0.004371802440957602,-0.03385298376129503,0.02865922412279966
cold_ex,R1-N0,0.0033672344335256934,-0.005390365315607733,0.015249968294446825,0.00587620850340137,-0.027799862516313917,0.03965834686669202,0.032643174931338836,0.01112262647702064,0.05998196806131375,0.012480946325574513,-0.041274653104996825,0.07804039202506706
cold_ex,M5-M4,-0.0032421806735080474,-0.009538219233448681,0.0035522181235112605,0.009899085424107187,-0.016182635580905033,0.03387112704187108,0.0017735348068873558,-0.011535887508179554,0.013598088521107428,-0.003120359364654065,-0.04856111104388722,0.03565358986725673
