group,pair,dRMSE,dRMSE_lo,dRMSE_hi,dSpear,dSpear_lo,dSpear_hi,dAUROC,dAUROC_lo,dAUROC_hi,dAUPRC,dAUPRC_lo,dAUPRC_hi
cold_ex,G1-G2,-0.0023336563652894826,-0.006080276472483372,0.001176455049726996,0.028237239839711825,0.012968282049619277,0.04319317411767956,-0.005401680297548468,-0.028572392519760913,0.015957785698191482,-0.01751867740147615,-0.04999018698315723,0.01198016938318433
cold_ex,G1-G0,-0.005328237192020117,-0.009887127418874602,-0.001840901663995393,0.045106811810744885,0.028967507285511444,0.05952327805158311,-0.00016215175377258065,-0.015120385126550218,0.015511600743917303,0.004864560094851626,-0.02717653181022212,0.03933062512235728
cold_ex,G0-G0U,0.007827933143481495,0.004042150841490207,0.012559998012064236,-0.04062659126317538,-0.06178458864587781,-0.019378863473047195,-0.007540056550424112,-0.018447440869235915,0.0025621584592912024,-0.00719734836817143,-0.03344417517059772,0.010067830300731304
cold_ex,G0U-N0,-0.00020610210225485703,-0.01035748555909127,0.011722702780121535,0.03551656133096278,0.012305170165996035,0.062265604755210646,0.015211861400788451,-0.015298886058460337,0.040773496345859424,0.029995258532952207,-0.019235193092657334,0.08151774284117796
cold_ex,G1-M5,-0.006002886715127683,-0.020649527838366585,0.006698056407101183,0.11807950181568698,0.07950746852031866,0.16157229602192652,-0.004094331782757162,-0.030592422563143384,0.02111441468208279,0.0036079887311888013,-0.04549622423652726,0.046578423406916425
cold_ex,G1-M4,-0.012671758136442668,-0.03364590103900294,0.005439836988807049,0.14638789594967913,0.09968305856117306,0.1886617704613316,0.00643539772784855,-0.022549145328337055,0.03564121456211007,0.0036809165093143283,-0.06927188333462636,0.053036293478894596
cold_ex,G0-M4,-0.007343520944422551,-0.026965155262375435,0.011435064492946892,0.10128108413893426,0.0649286154930759,0.13985629142472703,0.00659754948162113,-0.017856727084597325,0.03223905280211756,-0.0011836435855372973,-0.09056980876027444,0.05949031944223945
cold_ex,N0-M4,-0.014965351985649189,-0.031874591512955824,-0.0016428824184320534,0.10639111407114686,0.059796400486298966,0.14794390848480693,-0.0010742553687432081,-0.036294020262359915,0.037674021833104275,-0.023981553750318074,-0.10224323493501578,0.048388878620325926
cold_ex,G3-M4,-0.012983876113620452,-0.03030054167219263,0.003269946649941176,0.10205621149241616,0.06578715743489967,0.1358719732145774,0.005594235505153404,-0.015219053287401505,0.02830231500004056,0.014989385305342792,-0.05774346518455696,0.07502652324327067
cold_ex,R1-M4,-0.009938249126728435,-0.02901588501018571,0.0046254961748491965,0.10779600020753305,0.06142008203515571,0.15187582424331542,-0.0021383762528756436,-0.06348155255533865,0.055748269568595035,-0.044054308462281776,-0.14176101654127102,0.05648031202247314
cold_ex,R1S-M4,-0.013059859446529765,-0.023063322165439392,-0.004278045113296188,0.05878458829507197,0.03155501812610239,0.08479733236096135,0.02310662491259004,0.0022037738422311503,0.04658373270882461,-0.017497422130871132,-0.08780771389786433,0.046153754215149535
cold_ex,R1-N0,0.005027102858920755,-0.0005799006617077967,0.010345408135460449,0.0014048861363861926,-0.022326167158635068,0.026576132676408896,-0.0010641208841324357,-0.040157541507629436,0.03242301216365427,-0.020072754711963698,-0.0667687055779995,0.030548528303401712
cold_ex,M5-M4,-0.006668871421314985,-0.017964302356141777,0.0030615874345810896,0.028308394133992165,-0.000650339030793472,0.05410867520984348,0.010529729510605712,-0.003107974106115024,0.026164995772423507,7.292777812552738e-05,-0.06867322925288727,0.04280806868899795
cold_ex,G0U-M4,-0.015171454087904046,-0.036060694236827714,0.003312499874624983,0.14190767540210963,0.0994262609811024,0.18034151809467294,0.014137606032045244,-0.008854804599856499,0.03781946903111838,0.006013704782634133,-0.08062490877515886,0.0719631677029181
cold_ex,G1-G0U,0.002499695951461378,0.00019371846913442546,0.0049032829791206935,0.004480220547569506,-0.016312574204101316,0.024790210797441925,-0.007702208304196693,-0.026178958457344206,0.006245123193398212,-0.0023327882733198044,-0.03452661139902464,0.021621119988539987
cold_ex,G2-G0U,0.004833352316750861,0.0011805390375229869,0.008833675833353137,-0.023757019292142318,-0.04532008406283706,-0.002509516458111769,-0.0023005280066482245,-0.017136655346473528,0.01316275872258791,0.015185889128156346,-0.012735703429482905,0.03651487931679392
