overlay,level,k,policy,promise_s,theta_s,p99_dl_s,gap_closed,mean_s,max_excess_s,harm_s,max_wait_s,bound_violations
1,0,8,SJF,,,7.563,1.0,0.177,854.066,442.065,960.306,
1,0,8,SPJF-E,,,10.869,0.7576,0.222,1075.151,90.584,1182.026,
1,0,8,Guard(300),300.0,,11.312,0.7251,0.258,182.166,90.584,508.104,
1,0,8,Fixed(300),300.0,,11.196,0.7336,0.267,182.866,90.584,499.47,
1,0,8,Timeout(300),300.0,135.0,11.825,0.6875,0.371,140.859,90.584,353.382,0
1,0,8,Guard(600),600.0,,10.97,0.7502,0.232,472.634,90.584,781.39,
1,0,8,Fixed(600),600.0,,10.943,0.7522,0.237,493.324,90.584,793.236,
1,0,8,Timeout(600),600.0,435.0,11.007,0.7475,0.25,391.071,90.584,594.374,0
1,0,8,Guard(1200),1200.0,,10.829,0.7606,0.228,895.637,83.69,1003.462,
1,0,8,Fixed(1200),1200.0,,10.872,0.7574,0.222,1053.481,90.584,1159.528,
1,0,8,Timeout(1200),1200.0,1035.0,10.869,0.7576,0.223,1001.75,90.584,1089.262,0
1,1,5,FCFS,,,111.464,0.0,4.273,0.0,0.0,850.546,
1,1,5,SJF,,,32.213,1.0,0.918,2410.508,255.437,2755.851,
1,1,5,SPJF-E,,,41.067,0.8883,1.173,2846.397,264.517,3048.719,
1,1,5,Guard(300),300.0,,53.137,0.736,2.076,205.222,114.106,994.562,
1,1,5,Fixed(300),300.0,,50.659,0.7672,2.061,199.774,174.003,994.06,
1,1,5,Timeout(300),300.0,144.0,89.689,0.2748,3.281,179.61,160.678,850.548,0
1,1,5,Guard(600),600.0,,45.352,0.8342,1.47,495.076,206.887,1292.441,
1,1,5,Fixed(600),600.0,,44.965,0.8391,1.508,492.409,264.517,1297.771,
1,1,5,Timeout(600),600.0,444.0,49.713,0.7792,2.447,436.052,264.517,850.547,0
1,1,5,Guard(1200),1200.0,,44.211,0.8486,1.354,1087.116,109.931,1892.332,
1,1,5,Fixed(1200),1200.0,,43.216,0.8612,1.36,1091.673,264.517,1899.449,
1,1,5,Timeout(1200),1200.0,1044.0,43.699,0.8551,1.568,1067.626,264.517,1399.968,0
1,2,4,FCFS,,,277.837,0.0,10.865,0.0,0.0,1285.289,
1,2,4,SJF,,,43.366,1.0,1.685,4030.313,379.809,4497.848,
1,2,4,SPJF-E,,,60.834,0.9255,2.273,5103.484,646.887,5393.401,
1,2,4,Guard(300),300.0,,164.088,0.4851,6.058,217.956,104.82,1435.72,
1,2,4,Fixed(300),300.0,,169.985,0.46,5.997,217.955,208.169,1435.479,
1,2,4,Timeout(300),300.0,150.0,270.845,0.0298,8.765,180.561,180.561,1285.403,0
1,2,4,Guard(600),600.0,,86.541,0.8159,4.027,515.814,232.973,1735.599,
1,2,4,Fixed(600),600.0,,84.357,0.8252,4.102,515.814,450.926,1735.643,
1,2,4,Timeout(600),600.0,450.0,176.477,0.4323,7.039,482.949,449.967,1285.404,0
1,2,4,Guard(1200),1200.0,,76.909,0.8569,3.196,1106.729,123.391,2349.886,
1,2,4,Fixed(1200),1200.0,,69.951,0.8866,3.135,1106.727,646.887,2348.442,
