rep,level,k,promise_s,theta_s,timer_share,p99_dl_s,mean_s,max_excess_s,harm_s,gap_closed,jobs_excess_ge_promise,max_excess_over_promise
0,0,8,300,135.0,0.0007491454377604232,13.32817045000006,0.41228925759936635,143.297479,122.687679,0.6379500865105144,0,0.4776582633333334
0,0,8,600,435.0,2.2455650091070135e-05,12.378726150000047,0.27602277718517293,429.981669,237.038507,0.7064507456939821,0,0.716636115
0,0,8,1200,1035.0,2.721896980735774e-06,12.172472350000183,0.2432749599121281,992.905263,237.038507,0.7213315778387279,0,0.8274210525
0,1,5,300,144.0,0.0053602657478752196,87.2179575000001,3.0791005071262667,177.062498,177.062498,0.29779555220725795,0,0.5902083266666667
0,1,5,600,444.0,0.001650830518816247,51.800403700000366,2.366373513229327,435.264272,249.16022999999998,0.7667673636696709,0,0.7254404533333333
0,1,5,1200,1044.0,0.00016575218488938892,46.24624750000001,1.648990222840458,1012.4813890000001,249.16022999999998,0.8403111975823162,0,0.8437344908333334
0,2,4,300,150.0,0.013481102096087499,254.1994734000009,7.87627511868225,188.514297,182.278357,0.04050486051263633,0,0.62838099
0,2,4,600,450.0,0.005420204187638505,172.17205530000308,6.261542279535644,462.087713,449.45945900000004,0.4129514056378456,0,0.7701461883333334
0,2,4,1200,1050.0,0.0011726839492003293,82.84197885000042,4.321693559378693,1058.8163140000001,462.67527,0.8185557647682861,0,0.8823469283333335
1,0,8,300,135.0,0.0007256690763015771,11.825376,0.37127643784996217,140.85925999999998,90.58367100000001,0.6875056704975155,0,0.4695308666666666
1,0,8,600,435.0,1.587773238762535e-05,11.0072785500001,0.2501718701643232,391.071108,90.58367100000001,0.7474800668266793,0,0.65178518
1,0,8,1200,1035.0,6.237680580852815e-07,10.869394650000022,0.22299691758657336,1001.7501169999999,90.58367100000001,0.7575882802993121,0,0.8347917641666666
1,1,5,300,144.0,0.00625276442662106,89.68945230000051,3.2807951019046473,179.61020200000002,160.678363,0.27475128064245974,0,0.5987006733333334
1,1,5,600,444.0,0.0019970217910535784,49.71251220000009,2.4471102825986857,436.05160800000004,264.51710199999997,0.7791891347388383,0,0.72675268
1,1,5,1200,1044.0,9.657063662902132e-05,43.699493900000064,1.5682693088956698,1067.625853,264.51710199999997,0.8550627268723752,0,0.8896882108333334
1,2,4,300,150.0,0.014959545806123815,270.84486085000077,8.765377370552251,180.561201,180.561201,0.02982223071362663,0,0.60187067
1,2,4,600,450.0,0.0066032653690778894,176.47668560000338,7.038869320643718,482.949272,449.967007,0.4322937461321433,0,0.8049154533333334
1,2,4,1200,1050.0,0.0015059462107791658,81.44840905000093,4.790580972822936,1048.820058,646.886821,0.8375805323751616,0,0.874016715
2,0,8,300,135.0,0.0007827722067099297,16.081080200000027,0.44434193572081504,147.961951,147.961951,0.6580701974294939,0,0.4932065033333333
2,0,8,600,435.0,1.8372804619966476e-05,14.893460000000012,0.3094523369138565,408.484487,181.269423,0.7306983664926923,0,0.6808074783333333
2,0,8,1200,1035.0,0.0,14.619660650000059,0.2821077638876287,871.642883,181.269423,0.7474423941550629,0,0.7263690691666667
2,1,5,300,144.0,0.005788964522341103,99.4446368000008,3.0697041230320687,175.40743999999998,175.40743999999998,0.23845048665561475,0,0.5846914666666666
2,1,5,600,444.0,0.0017442823151548419,52.02517440000001,2.3124974702957117,444.860563,443.656554,0.7848506657409445,0,0.7414342716666666
2,1,5,1200,1044.0,5.5175120046998085e-05,46.36198710000012,1.558173262010427,1024.821809,469.22679700000003,0.850105866839843,0,0.8540181741666667
2,2,4,300,150.0,0.014219530064486277,257.01639905000087,8.038012917055916,195.124862,179.85194,0.03476329230627881,0,0.6504162066666667
2,2,4,600,450.0,0.005581589996121297,172.65744620000078,6.302501824929968,464.978042,456.682561,0.41796028258524875,0,0.7749634033333334
2,2,4,1200,1050.0,0.0010017715012849621,85.52179795000089,4.259937186640079,1052.211865,708.755315,0.8137702947694732,0,0.8768432208333333
3,0,8,300,135.0,0.0009238572002114007,14.376350500000017,0.44596126009018555,148.329426,89.87118,0.656628298660881,0,0.49443142000000007
3,0,8,600,435.0,1.763562418768387e-05,13.340114300000021,0.29186887441581283,397.57986600000004,89.87118,0.7269291881002438,0,0.66263311
3,0,8,1200,1035.0,3.969433096906337e-07,13.100978500000059,0.2568238022710261,926.83812,89.87118,0.7431527666982419,0,0.7723651
3,1,5,300,144.0,0.005918084510364757,101.67676710000036,3.1898598173725072,165.237076,165.237076,0.2511787066560917,0,0.5507902533333333
3,1,5,600,444.0,0.0017676452642394907,50.703711950000056,2.3506894805306677,436.836246,342.336485,0.8181909168136081,0,0.72806041
3,1,5,1200,1044.0,7.059920293783415e-05,46.038179650000124,1.6434237428296725,1045.846697,342.336485,0.8700891947017881,0,0.8715389141666666
3,2,4,300,150.0,0.01386035307540335,259.2519769000006,7.93388461533358,180.983863,177.688645,0.024417547106429162,0,0.6032795433333333
3,2,4,600,450.0,0.005592761114979733,167.27096545000032,6.212336179106718,488.67674,455.553654,0.44031178128347465,0,0.8144612333333333
3,2,4,1200,1050.0,0.0011213648498760403,79.77634440000016,4.216089810669156,1049.268139,611.512196,0.8359206992826093,0,0.8743901158333334
4,0,7,300,137.142857,0.0015062864479017577,27.34199460000027,0.773852646091753,151.578042,126.012783,0.622287706018119,0,0.5052601400000001
4,0,7,600,437.142857,7.27540380475833e-05,23.70697880000006,0.526380088254334,427.601268,126.012783,0.758471954855647,0,0.71266878
4,0,7,1200,1037.142857,3.4023712259197176e-06,22.843819200000034,0.4628782316288399,992.5572179999999,126.012783,0.7908098450383795,0,0.827131015
4,1,5,300,144.0,0.005671412596485578,115.76571050000021,3.0078455240841953,175.072423,155.802635,0.15815056885401546,0,0.5835747433333333
4,1,5,600,444.0,0.001635916791609299,53.51364140000015,2.2261294182466336,449.47673100000003,292.833252,0.7963627913474776,0,0.749127885
4,1,5,1200,1044.0,4.491130018214027e-05,46.50364575000001,1.5100670216029592,1035.6423049999999,292.833252,0.8682297183128994,0,0.8630352541666665
4,2,4,300,150.0,0.013811925991621093,290.7494318500006,7.800609349146629,188.788496,175.93183499999998,0.02549457611507985,0,0.6292949866666667
4,2,4,600,450.0,0.00562043373428388,196.82149215000038,6.101648075719546,469.89558600000004,387.145169,0.39628181621508524,0,0.78315931
4,2,4,1200,1050.0,0.0008455459558281485,86.86315675000034,4.015548624499738,1047.8193219999998,387.145169,0.8303501864910348,0,0.8731827683333332
