rep,level,k,policy,p99_dl_s,mean_s,max_excess_s,harm_s,gap_closed,jobs_over_600s_excess
0,0,8,SPJF-E,12.135950700000043,0.23946896036305568,1241.418616,237.038507,0.7239665476831699,52
0,0,8,MaxWait(300),12.61003180000002,0.3171808349663959,290.856859,237.038507,0.6897624686693495,0
0,0,8,MaxWait(600),12.317589300000096,0.2621099708032318,591.616539,237.038507,0.7108616569242643,0
0,0,8,MaxWait(1200),12.155318700000088,0.24180282347471696,1165.8595100000002,237.038507,0.7225691821220007,52
0,1,5,SPJF-E,43.768337600000216,1.231285494984111,3044.499222,249.16022999999998,0.8731217609827607,536
0,1,5,MaxWait(300),56.69877810000002,2.6382952641421267,311.01070400000003,249.16022999999998,0.7019068843559085,0
0,1,5,MaxWait(600),49.50318705000011,2.099549457531432,591.0873260000001,249.16022999999998,0.7971853270263679,0
0,1,5,MaxWait(1200),45.84633585000016,1.554385429894878,1174.07006,249.16022999999998,0.8456065178628872,596
0,2,4,SPJF-E,61.81080275000139,2.2374251347006706,5904.525039,462.67527,0.9140480898932277,1512
0,2,4,MaxWait(300),297.255559100002,6.931795278129558,342.809214,307.136977,-0.1549918494536715,0
0,2,4,MaxWait(600),120.20997965000001,5.646336531987167,604.1932730000001,462.67527,0.6488858773261471,2
0,2,4,MaxWait(1200),78.58485420000102,4.095826247847377,1194.331472,462.67527,0.8378852939036141,1886
1,0,8,SPJF-E,10.868973,0.22229585157132845,1075.150804,90.58367100000001,0.7576191912919004,37
1,0,8,MaxWait(300),11.133011450000026,0.26724062560097217,281.26435799999996,90.58367100000001,0.7382626382963599,0
1,0,8,MaxWait(600),10.961691900000044,0.23692276320930936,562.830784,90.58367100000001,0.7508220058761441,0
1,0,8,MaxWait(1200),10.868973,0.22229585157132845,1075.150804,90.58367100000001,0.7576191912919004,37
1,1,5,SPJF-E,41.066799900000056,1.1728263706652657,2846.3971819999997,264.51710199999997,0.8882826408660527,587
1,1,5,MaxWait(300),54.94956485000006,2.809245247865295,329.080017,264.51710199999997,0.713106848452107,0
1,1,5,MaxWait(600),47.286919350000026,2.097015970560473,610.574865,264.51710199999997,0.809795800709392,2
1,1,5,MaxWait(1200),43.4735673500002,1.5140804481387329,1201.420586,264.51710199999997,0.8579135179479366,776
1,2,4,SPJF-E,60.83440330000001,2.2725844579492436,5103.483907999999,646.886821,0.9254973550865249,1681
1,2,4,MaxWait(300),300.12365630000005,7.738791419570496,326.76745600000004,300.40869899999996,-0.09504911646642077,0
1,2,4,MaxWait(600),124.43122680000052,6.45151016545238,605.55599,605.092138,0.6542628010428422,16
1,2,4,MaxWait(1200),76.79952495000063,4.413242604739446,1197.8747700000001,646.886821,0.8574075919084783,2221
2,0,8,SPJF-E,14.619660650000059,0.2821077638876287,871.642883,181.269423,0.7474423941550629,53
2,0,8,MaxWait(300),15.065490400000211,0.3317853831391524,282.030276,181.269423,0.7201779551901362,0
2,0,8,MaxWait(600),14.743240350000027,0.29380724967138766,572.929037,181.269423,0.7398849550475293,0
2,0,8,MaxWait(1200),14.619660650000059,0.2821077638876287,871.642883,181.269423,0.7474423941550629,53
2,1,5,SPJF-E,44.18500275000011,1.2332733507966653,2393.795644,469.22679700000003,0.8751906016407578,597
2,1,5,MaxWait(300),58.29010695000007,2.6017229779392514,317.336645,300.057227,0.7126617354152079,0
2,1,5,MaxWait(600),49.96604000000035,2.0353276707202705,590.977712,469.22679700000003,0.8085774510728795,0
2,1,5,MaxWait(1200),46.0334988000003,1.5076165061378775,1191.247685,469.22679700000003,0.8538909385564581,805
2,2,4,SPJF-E,64.7792388000001,2.3548805243033644,4238.642296,708.755315,0.9079924960703492,1589
2,2,4,MaxWait(300),287.8106301000012,7.040194322044247,325.96178599999996,325.96178599999996,-0.1051182052426245,0
