level,k,policy,timer_share,p99_dl_s,mean_s,max_excess_s,harm_s,gap_closed,jobs_over_600s_excess
0,8,FCFS,0.0,22.170393000000068,0.6024076854422742,0.0,0.0,0.0,0
0,8,SJF,0.0,8.310025650000071,0.1884151856154549,1034.0366909999998,595.937164,1.0,13
0,8,SPJF-E,0.0,12.135950700000043,0.23946896036305568,1241.418616,237.038507,0.7239665476831699,52
0,8,MaxWait(30),0.004463740929845373,20.94784290000004,0.5391891251825371,67.897479,59.630791,0.08820474011462821,0
0,8,MaxWait(60),0.0019112253299733027,15.33880530000005,0.48342873919764145,97.761854,97.761854,0.49288648182907063,0
0,8,MaxWait(120),0.0008720277452032236,13.577217950000058,0.4270971984985903,132.63875199999998,119.718108,0.619981767654954,0
0,8,MaxWait(300),0.00017301057683801764,12.61003180000002,0.3171808349663959,290.856859,237.038507,0.6897624686693495,0
0,8,MaxWait(600),8.619340438996617e-06,12.317589300000096,0.2621099708032318,591.616539,237.038507,0.7108616569242643,0
0,8,MaxWait(1200),1.247536116170563e-06,12.155318700000088,0.24180282347471696,1165.8595100000002,237.038507,0.7225691821220007,52
0,8,MaxWait(2400),0.0,12.135950700000043,0.23946896036305568,1241.418616,237.038507,0.7239665476831699,52
0,8,Block(8),0.0,21.960096100000012,0.5981346343440455,43.292905,36.38728,0.015172534370097798,0
0,8,Block(32),0.0,21.460083250000004,0.582605439484518,97.21271999999999,89.58412200000001,0.05124754142970565,0
0,8,Block(128),0.0,20.153411350000056,0.5406828905078946,127.89978599999999,92.682696,0.1455215146227717,0
0,8,Block(512),0.0,16.39052220000007,0.4574784373055262,232.715854,92.682696,0.41700704274623707,0
1,5,FCFS,0.0,109.70798725000037,4.10596978561727,0.0,0.0,0.0,0
1,5,SJF,0.0,34.18627585000001,0.9654988137664476,2667.4240990000003,774.8472429999999,1.0,403
1,5,SPJF-E,0.0,43.768337600000216,1.231285494984111,3044.499222,249.16022999999998,0.8731217609827607,536
1,5,MaxWait(30),0.02865794601117339,109.22791280000075,3.829094620928835,65.706625,56.048378,0.006356773980622712,0
1,5,MaxWait(60),0.012681091208499577,104.99034155000011,3.5139721471435963,97.02801,86.467139,0.062467409868577725,0
1,5,MaxWait(120),0.006246696864601503,108.47781945000017,3.171688226640226,157.72201900000002,155.559806,0.016288929066829872,0
1,5,MaxWait(300),0.002643755854913818,56.69877810000002,2.6382952641421267,311.01070400000003,249.16022999999998,0.7019068843559085,0
1,5,MaxWait(600),0.0008891530137070195,49.50318705000011,2.099549457531432,591.0873260000001,249.16022999999998,0.7971853270263679,0
1,5,MaxWait(1200),6.515540897636259e-05,45.84633585000016,1.554385429894878,1174.07006,249.16022999999998,0.8456065178628872,596
1,5,MaxWait(2400),4.196257845300985e-06,44.043258850000406,1.2908989828344135,2347.652263,249.16022999999998,0.8694814667560574,536
1,5,Block(8),0.0,109.41711795000019,4.0853596842387985,62.068156000000045,37.106033,0.0038514659507594327,0
1,5,Block(32),0.0,108.57811235000067,4.005714678899685,149.195857,124.633739,0.01496092817620789,0
1,5,Block(128),0.0,105.21764055000016,3.764475576285529,197.182549,127.39614200000001,0.05945769258613749,0
1,5,Block(512),0.0,98.70766440000023,3.2822792335273623,359.623751,178.726228,0.14565775385752305,0
2,4,FCFS,0.0,263.1202411500015,10.098658702753482,0.0,0.0,0.0,0
2,4,SJF,0.0,42.88080230000007,1.6498347979990655,4755.467038000001,1101.479383,1.0,961
2,4,SPJF-E,0.0,61.81080275000139,2.2374251347006706,5904.525039,462.67527,0.9140480898932277,1512
2,4,MaxWait(30),0.06007039506066428,262.56841965000166,9.693231411303982,70.966944,61.643741000000006,0.0025055526062054473,0
2,4,MaxWait(60),0.03216941994107093,261.89460275000295,9.045371507984346,99.938044,99.938044,0.005565026892541734,0
2,4,MaxWait(120),0.016549360467621902,256.0463518000002,8.17270291396299,150.88728600000002,132.40596399999998,0.032119085423292996,0
2,4,MaxWait(300),0.007815927180182775,297.255559100002,6.931795278129558,342.809214,307.136977,-0.1549918494536715,0
2,4,MaxWait(600),0.0036915727801228935,120.20997965000001,5.646336531987167,604.1932730000001,462.67527,0.6488858773261471,2
2,4,MaxWait(1200),0.0008639187604481149,78.58485420000102,4.095826247847377,1194.331472,462.67527,0.8378852939036141,1886
2,4,MaxWait(2400),3.164205240105337e-05,65.7492126000001,2.7904406823978323,2360.324024,462.67527,0.89616568939964,1982
2,4,Block(8),0.0,262.88230340000024,10.062310634718363,88.043301,36.733063,0.0010803594090308117,0
2,4,Block(32),0.0,262.22439915000024,9.916353509723182,186.926702,176.331133,0.004067582103727562,0
2,4,Block(128),0.0,258.3226626500016,9.448782251608018,266.03863999999993,182.306172,0.021783466780749557,0
2,4,Block(512),0.0,250.55471320000132,8.357391835418062,444.45754,218.124072,0.0570539409999051,0
