# open-loop arrival offsets, seconds from the start of the experiment window
# source: development overlay primary_rep0, terms 2020-ERE,2020-2,2021-1,2021-2,2022-1,2022-2
# source sha256 4f5a6c84a59d1e60342593d26a81e92a38cb76a2b730c69a6babaffc983d4971
# busiest 24 h deadline window of that overlay: 149119 arrivals
# time compression alpha = 35.8209 (24 h window -> 2412 s)
# count thinning to rho = 0.85 at k = 2 with E[C] = 41 s
# kept 100 of 149119 arrivals, seed 20260923
offset_s
15.298
18.469
80.394
127.571
134.337
214.158
246.549
459.085
490.801
812.304
889.614
909.744
914.386
933.550
981.928
1012.563
1015.416
1069.549
1120.647
1151.269
1155.519
1182.299
1235.871
1240.167
1244.625
1254.892
1265.682
1270.797
1272.966
1298.852
1303.240
1310.958
1314.635
1317.484
1321.741
1323.382
1338.821
1357.908
1392.335
1413.826
1431.403
1443.218
1455.243
1484.863
1493.820
1508.335
1522.477
1527.503
1535.005
1542.835
1544.821
1545.409
1548.713
1550.890
1581.746
1601.257
1623.850
1666.120
1669.084
1686.550
1730.525
1793.675
1799.481
1831.258
1831.327
1835.305
1911.515
1986.580
1987.447
1991.512
2005.268
2019.002
2020.054
2053.256
2088.909
2098.967
2104.843
2109.510
2123.183
2134.503
2147.228
2158.674
2186.801
2187.542
2233.900
2243.754
2263.486
2272.208
2327.989
2332.166
2335.699
2363.782
2371.243
2373.159
2375.072
2376.447
2377.233
2383.372
2390.692
2394.399
