policy,mean_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,frac_waiting,max_excess_fcfs_s,fire_rate,trace,cap,rho,k,L,gap_p99,gap_mean,busy_hour_load,n,bound_violation_s,bound_slack_med_L
guard B/k=0.1L (B=545s),17.38150242881806,508.19052050214265,1531.3353352454287,1606.3324081571773,1499.8720734904043,1606.3324081571773,0.13293412124040588,165.96753892640118,0.018970243142513457,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.2955270293584667,0.568228774786571,14.632731634476167,456399,-692.8547582999474,2.9947368421052634
"guard rel eta=0.5 (C0=5449s,Bmax=65959s)",9.255261842191386,169.25594741174808,1544.0783600466457,1966.3213839300442,1638.7222761043777,1966.3213839300442,0.13180134049373465,1287.5202259053476,0.0005105182088479598,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.8460139578813041,0.8779891988409226,14.632731634476167,456399,-1495.7885499199183,7.7894736842105265
"guard rel eta=0.75 (C0=5449s,Bmax=65959s)",9.120964405430492,167.7550596122101,1580.4191089659553,2391.5914749415824,1689.2645534013398,2391.5914749415824,0.13194375973654632,2140.5446779216873,3.943917493246041e-05,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.848451652883297,0.8831084210097726,14.632731634476167,456399,-2161.1135770784767,15.0
FCFS,60.96220433445476,1209.6533973150563,2074.296374740357,2138.418374072993,2035.6603424752363,2138.418374072993,0.17971117377557794,0.0,0.0,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.0,0.0,14.632731634476167,456399,,
SJF-true (reference),9.269717463887348,112.4069719333367,1902.2824485357467,3364.0802231183043,2204.0024463757873,3364.0802231183043,0.17384130990646343,3325.547970179119,0.0,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,1.0,1.0,14.632731634476167,456399,,
SPJF-log,13.922353550683066,268.6529211548531,2266.8621154844495,3256.4738349553663,2449.445552467252,3256.4738349553663,0.17565770301863062,2887.196357868146,0.0,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.8576017696597551,0.9099939591135279,14.632731634476167,456399,,
SPJF-tweedie,14.047409753893072,277.6750156483209,2107.456618116364,3206.2889870466897,2240.2410737887717,3206.2889870466897,0.1758702363502111,2809.0186039450346,0.0,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.8493792826369981,0.9075747254728029,14.632731634476167,456399,,
SPJF-ent-tweedie,14.20808427134591,268.59029882062856,2119.0085949272902,3232.3730531230103,2246.6086121804888,3232.3730531230103,0.1763062583397422,2857.6451780558564,0.0,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.857658841920622,0.9044664494508898,14.632731634476167,456399,,
guard G=2L (B=0s),60.96220433445476,1209.6533973150563,2074.296374740357,2138.418374072993,2035.6603424752363,2138.418374072993,0.17971117377557794,0.0,1.0,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.0,0.0,14.632731634476167,456399,-822.0946887333647,2.8666666666666667
guard G=5L (B=9177s),17.248772926407387,430.5559412615344,2010.8585271071174,2410.176037036581,2165.796826260276,2410.176037036581,0.17595349683062408,723.2363319233991,0.0030390075350734775,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.7100478416072149,0.8456438073389898,14.632731634476167,456399,-710.6497530766555,5.0
