scenario,replicate,seed,keep_probability,k,source_jobs,jobs,job_fraction,offered_work_s,work_fraction,offered_work_over_300k,first_arrival_offset_s,last_arrival_offset_s,policy,mean_wait_s,p99_wait_s,max_wait_s,max_excess_s,guard_firings,guard_bound_checks,relative_p99_deviation_from_full_k4
full_k4_reference,,,,4,2151,2151,1.0,4118.215007,1.0,3.4318458391666664,0.256537,299.946344,FCFS,595.6597578614599,760.161467,760.691168,0.0,0,0,0.0
full_k4_reference,,,,4,2151,2151,1.0,4118.215007,1.0,3.4318458391666664,0.256537,299.946344,SPJF-E,57.9280980316132,796.2531765,985.512344,840.971176,0,0,0.0
full_k4_reference,,,,4,2151,2151,1.0,4118.215007,1.0,3.4318458391666664,0.256537,299.946344,Guard(300),155.54631655973967,812.893696,861.469257,198.523355,172,2151,0.0
full_k2_nominal,,,,2,2151,2151,1.0,4118.215007,1.0,6.863691678333333,0.256537,299.946344,FCFS,1336.572980613203,1762.4107415,1763.301326,0.0,0,0,1.3184689279968462
full_k2_nominal,,,,2,2151,2151,1.0,4118.215007,1.0,6.863691678333333,0.256537,299.946344,SPJF-E,142.33095838214786,1686.5936775,1996.250901,1682.372465,0,0,1.1181625735090552
full_k2_nominal,,,,2,2151,2151,1.0,4118.215007,1.0,6.863691678333333,0.256537,299.946344,Guard(300),478.7631587656904,1782.108597,1837.446283,220.965083,321,2151,1.1923021494313568
bernoulli_half_k2,0,20260921,0.5,2,2151,1087,0.5053463505346351,1971.125762,0.4786359523846007,3.285209603333333,0.256537,299.946344,FCFS,547.5593778638455,719.8312227,721.196011,0.0,0,0,-0.05305483907144691
bernoulli_half_k2,0,20260921,0.5,2,2151,1087,0.5053463505346351,1971.125762,0.4786359523846007,3.285209603333333,0.256537,299.946344,SPJF-E,66.04430845630176,737.79594222,924.113672,865.174571,0,0,-0.0734153859667522
bernoulli_half_k2,0,20260921,0.5,2,2151,1087,0.5053463505346351,1971.125762,0.4786359523846007,3.285209603333333,0.256537,299.946344,Guard(300),135.8734828647654,758.18628028,816.531964,215.178532,84,1087,-0.06729959401727231
bernoulli_half_k2,1,20260922,0.5,2,2151,1030,0.4788470478847048,1987.923302,0.4827147923605243,3.313205503333333,0.256537,299.946344,FCFS,584.9189364980583,723.94496197,725.394936,0.0,0,0,-0.047643173986349936
bernoulli_half_k2,1,20260922,0.5,2,2151,1030,0.4788470478847048,1987.923302,0.4827147923605243,3.313205503333333,0.256537,299.946344,SPJF-E,58.31250770873786,744.1554864200001,938.940019,783.621669,0,0,-0.06542854913182239
bernoulli_half_k2,1,20260922,0.5,2,2151,1030,0.4788470478847048,1987.923302,0.4827147923605243,3.313205503333333,0.256537,299.946344,Guard(300),156.397838292233,803.3986056900001,836.04504,223.598931,81,1030,-0.011680605172265858
bernoulli_half_k2,2,20260923,0.5,2,2151,1072,0.49837284983728497,1804.931633,0.438280087351447,3.008219388333333,0.256537,299.946344,FCFS,509.89103538152983,637.04222174,638.66867,0.0,0,0,-0.16196459647697464
bernoulli_half_k2,2,20260923,0.5,2,2151,1072,0.49837284983728497,1804.931633,0.438280087351447,3.008219388333333,0.256537,299.946344,SPJF-E,46.18250663432835,709.4919082299998,852.058527,738.404267,0,0,-0.10896191165147608
bernoulli_half_k2,2,20260923,0.5,2,2151,1072,0.49837284983728497,1804.931633,0.438280087351447,3.008219388333333,0.256537,299.946344,Guard(300),133.81806697574626,722.48641903,754.927519,212.384256,83,1072,-0.11121660484620119
bernoulli_half_k2,3,20260924,0.5,2,2151,1061,0.4932589493258949,2240.780266,0.5441144433185734,3.734633776666667,0.256537,299.946344,FCFS,676.6958203081998,856.0536352,856.624902,0.0,0,0,0.1261471047439978
bernoulli_half_k2,3,20260924,0.5,2,2151,1061,0.4932589493258949,2240.780266,0.5441144433185734,3.734633776666667,0.256537,299.946344,SPJF-E,69.02198383034873,858.9167646000031,1077.256082,846.036711,0,0,0.07869806984688764
bernoulli_half_k2,3,20260924,0.5,2,2151,1061,0.4932589493258949,2240.780266,0.5441144433185734,3.734633776666667,0.256537,299.946344,Guard(300),183.4799276512724,903.6858936000002,948.740475,225.488513,88,1061,0.11169012387076038
bernoulli_half_k2,4,20260925,0.5,2,2151,1075,0.499767549976755,2121.51747,0.5151546158697197,3.5358624499999998,0.256537,299.946344,FCFS,593.6131363739535,791.55236674,792.043232,0.0,0,0,0.04129504204400827
bernoulli_half_k2,4,20260925,0.5,2,2151,1075,0.499767549976755,2121.51747,0.5151546158697197,3.5358624499999998,0.256537,299.946344,SPJF-E,72.6748673544186,803.66959622,1004.443836,861.164491,0,0,0.009314147734517731
bernoulli_half_k2,4,20260925,0.5,2,2151,1075,0.499767549976755,2121.51747,0.5151546158697197,3.5358624499999998,0.256537,299.946344,Guard(300),174.58453655348836,819.19320914,889.370432,224.063669,91,1075,0.007749491933567713
bernoulli_half_k2,5,20260926,0.5,2,2151,1100,0.5113900511390052,2280.85125,0.5538446259175608,3.8014187500000003,0.961205,299.946344,FCFS,696.97293885,869.44166234,869.933289,0.0,0,0,0.14375918812522495
bernoulli_half_k2,5,20260926,0.5,2,2151,1100,0.5113900511390052,2280.85125,0.5538446259175608,3.8014187500000003,0.961205,299.946344,SPJF-E,67.3076371090909,876.59270622,1083.8082,898.162548,0,0,0.10089696605436396
bernoulli_half_k2,5,20260926,0.5,2,2151,1100,0.5113900511390052,2280.85125,0.5538446259175608,3.8014187500000003,0.961205,299.946344,Guard(300),200.74101931181815,944.99930952,981.595885,238.209915,106,1100,0.16251277894028596
bernoulli_half_k2,6,20260927,0.5,2,2151,1073,0.498837749883775,1910.133628,0.46382561977779707,3.183556046666667,0.256537,299.946344,FCFS,524.9380771267474,690.9021063600001,692.618795,0.0,0,0,-0.09111138047201221
bernoulli_half_k2,6,20260927,0.5,2,2151,1073,0.498837749883775,1910.133628,0.46382561977779707,3.183556046666667,0.256537,299.946344,SPJF-E,69.81544917241379,744.68345244,892.960041,780.852229,0,0,-0.06476548613178437
bernoulli_half_k2,6,20260927,0.5,2,2151,1073,0.498837749883775,1910.133628,0.46382561977779707,3.183556046666667,0.256537,299.946344,Guard(300),173.1123377194781,737.82816492,806.060202,224.75425,135,1073,-0.09234360095222098
bernoulli_half_k2,7,20260928,0.5,2,2151,1102,0.5123198512319851,2193.480645,0.5326289766978162,3.6558010750000003,0.256537,299.946344,FCFS,622.8285551769511,829.2160292200001,829.801705,0.0,0,0,0.09084196610560384
bernoulli_half_k2,7,20260928,0.5,2,2151,1102,0.5123198512319851,2193.480645,0.5326289766978162,3.6558010750000003,0.256537,299.946344,SPJF-E,76.0785268030853,845.3865052699999,1035.163056,882.808013,0,0,0.061705661239519004
bernoulli_half_k2,7,20260928,0.5,2,2151,1102,0.5123198512319851,2193.480645,0.5326289766978162,3.6558010750000003,0.256537,299.946344,Guard(300),161.9135360480944,886.8378866300004,933.066707,212.213656,112,1102,0.09096415803672371
bernoulli_half_k2,8,20260929,0.5,2,2151,1134,0.5271966527196653,1960.160101,0.47597323055454543,3.2669335016666667,0.256537,299.946344,FCFS,541.5964398553791,709.129247,710.03896,0.0,0,0,-0.06713339496330988
bernoulli_half_k2,8,20260929,0.5,2,2151,1134,0.5271966527196653,1960.160101,0.47597323055454543,3.2669335016666667,0.256537,299.946344,SPJF-E,56.16168194268078,748.0351277900025,918.301152,785.026587,0,0,-0.06055617752376709
bernoulli_half_k2,8,20260929,0.5,2,2151,1134,0.5271966527196653,1960.160101,0.47597323055454543,3.2669335016666667,0.256537,299.946344,Guard(300),118.43929852469135,768.0322702000003,828.279788,217.217208,96,1134,-0.055187321565844286
bernoulli_half_k2,9,20260930,0.5,2,2151,1055,0.4904695490469549,1975.093906,0.479599511594903,3.2918231766666666,0.256537,299.946344,FCFS,543.8096350454977,715.32181982,715.6983,0.0,0,0,-0.058987003586173675
bernoulli_half_k2,9,20260930,0.5,2,2151,1055,0.4904695490469549,1975.093906,0.479599511594903,3.2918231766666666,0.256537,299.946344,SPJF-E,63.34052323222748,740.76302358,929.680953,811.594913,0,0,-0.06968908201272339
bernoulli_half_k2,9,20260930,0.5,2,2151,1055,0.4904695490469549,1975.093906,0.479599511594903,3.2918231766666666,0.256537,299.946344,Guard(300),140.27704972132702,778.67954504,823.584177,212.15388,76,1055,-0.04208932991897625
bernoulli_half_k2,10,20260931,0.5,2,2151,1088,0.5058112505811251,2217.477327,0.5384559386119492,3.695795545,0.256537,299.946344,FCFS,635.1926461544118,836.28746617,837.416278,0.0,0,0,0.10014451202115458
bernoulli_half_k2,10,20260931,0.5,2,2151,1088,0.5058112505811251,2217.477327,0.5384559386119492,3.695795545,0.256537,299.946344,SPJF-E,74.10627547058823,910.11819249,1062.395092,964.563093,0,0,0.14300101946280896
bernoulli_half_k2,10,20260931,0.5,2,2151,1088,0.5058112505811251,2217.477327,0.5384559386119492,3.695795545,0.256537,299.946344,Guard(300),181.90120110110294,892.5785296099999,906.881089,215.320063,82,1088,0.09802614290417618
bernoulli_half_k2,11,20260932,0.5,2,2151,1081,0.502556950255695,2042.987162,0.4960855998357057,3.4049786033333334,0.256537,299.946344,FCFS,610.1242623792784,746.2478296,746.901758,0.0,0,0,-0.01830352892644053
bernoulli_half_k2,11,20260932,0.5,2,2151,1081,0.502556950255695,2042.987162,0.4960855998357057,3.4049786033333334,0.256537,299.946344,SPJF-E,56.847705637372805,756.8144476000014,978.501838,765.677756,0,0,-0.0495303881528674
bernoulli_half_k2,11,20260932,0.5,2,2151,1081,0.502556950255695,2042.987162,0.4960855998357057,3.4049786033333334,0.256537,299.946344,Guard(300),162.51803322479188,806.1565479999999,854.113837,233.809837,73,1081,-0.008287858588584808
bernoulli_half_k2,12,20260933,0.5,2,2151,1080,0.502092050209205,2147.771076,0.5215296123075878,3.57961846,0.256537,299.946344,FCFS,618.921269387037,807.89328208,809.471041,0.0,0,0,0.06279167933672693
bernoulli_half_k2,12,20260933,0.5,2,2151,1080,0.502092050209205,2147.771076,0.5215296123075878,3.57961846,0.256537,299.946344,SPJF-E,61.61408705370371,827.40514333,1016.365591,826.665178,0,0,0.03912319316191763
bernoulli_half_k2,12,20260933,0.5,2,2151,1080,0.502092050209205,2147.771076,0.5215296123075878,3.57961846,0.256537,299.946344,Guard(300),154.62338245833334,832.5813779300007,897.26504,215.934076,75,1080,0.024219257729365805
bernoulli_half_k2,13,20260934,0.5,2,2151,1057,0.49139934913993494,2038.224432,0.49492909635254506,3.39704072,0.961205,299.946344,FCFS,621.2574868789027,760.0532732,760.778074,0.0,0,0,-0.00014233002420784493
bernoulli_half_k2,13,20260934,0.5,2,2151,1057,0.49139934913993494,2038.224432,0.49492909635254506,3.39704072,0.961205,299.946344,SPJF-E,52.96251392715232,759.6880572800001,957.681893,759.832836,0,0,-0.045921473595527854
bernoulli_half_k2,13,20260934,0.5,2,2151,1057,0.49139934913993494,2038.224432,0.49492909635254506,3.39704072,0.961205,299.946344,Guard(300),206.3777360652791,803.1939758000004,863.212428,213.198158,82,1057,-0.01193233536897738
bernoulli_half_k2,14,20260935,0.5,2,2151,1077,0.500697350069735,2106.880486,0.5116004099880159,3.5114674766666667,0.256537,299.946344,FCFS,603.736383926648,796.0453208,797.017373,0.0,0,0,0.0472055679717846
bernoulli_half_k2,14,20260935,0.5,2,2151,1077,0.500697350069735,2106.880486,0.5116004099880159,3.5114674766666667,0.256537,299.946344,SPJF-E,71.57458235097492,849.9022446800003,993.772511,883.730632,0,0,0.06737689690083179
bernoulli_half_k2,14,20260935,0.5,2,2151,1077,0.500697350069735,2106.880486,0.5116004099880159,3.5114674766666667,0.256537,299.946344,Guard(300),150.50869462952647,840.34172168,878.731265,213.925306,84,1077,0.03376582425852642
bernoulli_half_k2,15,20260936,0.5,2,2151,1100,0.5113900511390052,2477.419652,0.6015760827904729,4.129032753333333,0.256537,299.946344,FCFS,772.2125876845454,978.4910813399999,979.090817,0.0,0,0,0.2872147876708935
bernoulli_half_k2,15,20260936,0.5,2,2151,1100,0.5113900511390052,2477.419652,0.6015760827904729,4.129032753333333,0.256537,299.946344,SPJF-E,80.61429578636363,971.1950764899997,1196.742671,959.182049,0,0,0.21970637625456266
bernoulli_half_k2,15,20260936,0.5,2,2151,1100,0.5113900511390052,2477.419652,0.6015760827904729,4.129032753333333,0.256537,299.946344,Guard(300),212.62768769,1011.87454457,1086.983419,205.16743,134,1100,0.24478089761198005
bernoulli_half_k2,16,20260937,0.5,2,2151,1094,0.5086006508600651,2135.618297,0.5185786301516433,3.5593638283333333,0.256537,299.946344,FCFS,622.0140920895794,801.01322456,802.531721,0.0,0,0,0.053740894972252005
