job_id,actual_wait_ns,exact_shadow_fcfs_wait_ns,exact_guard_upper_bound_ns,exact_excess_ns,bound_slack_ns,production_shadow_rounding_error_ns
111,2369720700,165839745000,465839745000,-163470024300,463470024300,-4000
112,1407085400,164876613100,464876613100,-163469527700,463469527700,-5100
113,1675382500,165144438800,465144438800,-163469056300,463469056300,-4800
114,1943826300,165412439600,465412439600,-163468613300,463468613300,-4600
115,2212344500,165680424600,465680424600,-163468080100,463468080100,-5600
116,2480912100,165948438400,465948438400,-163467526300,463467526300,-5400
117,5020210100,166200622600,466200622600,-161180412500,461180412500,-5600
118,5767992500,166409865700,466409865700,-160641873200,460641873200,-5700
119,5977076100,166618655900,466618655900,-160641579800,460641579800,-4900
120,2013035700,166107515200,466107515200,-164094479500,464094479500,-5200
121,2965723000,166294554000,466294554000,-163328831000,463328831000,-5000
122,3924425900,166481758500,466481758500,-162557332600,462557332600,-5500
123,4111928700,166668763400,466668763400,-162556834700,462556834700,-5400
124,25758700,164681311900,464681311900,-164655553200,464655553200,-5900
125,217088500,164872158100,464872158100,-164655069600,464655069600,-5100
126,408540200,165063203500,465063203500,-164654663300,464654663300,-4500
127,599649300,165254078100,465254078100,-164654428800,464654428800,-4100
128,6547253600,165098416200,465098416200,-158551162600,458551162600,-4200
129,7011290400,165562076500,465562076500,-158550786100,458550786100,-4500
130,7475421400,166025823500,466025823500,-158550402100,458550402100,-4500
131,11556552300,166489486400,466489486400,-154932934100,454932934100,-4400
132,363757168900,166952975200,466952975200,196804193700,103195806300,-4200
133,363773035700,167416924400,467416924400,196356111300,103643888700,-3400
134,129355300,167378163500,467378163500,-167248808200,467248808200,-3500
135,386579800,167634870700,467634870700,-167248290900,467248290900,-3700
136,643393200,167891381700,467891381700,-167247988500,467247988500,-3700
137,43169400,166705599200,466705599200,-166662429800,466662429800,-4200
138,222450600,166884474800,466884474800,-166662024200,466662024200,-3800
139,401991700,167063726100,467063726100,-166661734400,466661734400,-3100
140,361491169000,166026717300,466026717300,195464451700,104535548300,-3300
141,361889993000,182005255700,482005255700,179884737300,120115262700,-3700
142,377470754100,197984085000,497984085000,179486669100,120513330900,-4000
143,377869939400,199415895800,499415895800,178454043600,121545956400,200
144,393450670800,213962891300,513962891300,179487779500,120512220500,-4300
145,34045500,215142513400,515142513400,-215108467900,515108467900,600
146,255154200,215363242000,515363242000,-215108087800,515108087800,1000
147,476387800,215584119200,515584119200,-215107731400,515107731400,1800
148,697458300,215804840500,515804840500,-215107382200,515107382200,1500
149,294014200,215400971000,515400971000,-215106956800,515106956800,1000
150,509737400,215616310200,515616310200,-215106572800,515106572800,800
151,391778702400,213848746400,513848746400,177929956000,122070044000,1600
152,406570963400,227081854000,527081854000,179489109400,120510890600,-3000
153,432792195000,254861099300,554861099300,177931095700,122068904300,700
154,447584521300,268094220100,568094220100,179490301200,120509698800,-4100
155,473805644300,295873381100,595873381100,177932263200,122067736800,900
156,488598550600,309106746300,609106746300,179491804300,120508195700,-4300
157,514819169900,336885781500,636885781500,177933388400,122066611600,500
158,27479900,349851735000,649851735000,-349824255100,649824255100,-4000
159,259026600,348690586200,648690586200,-348431559600,648431559600,-4200
160,2648915700,349098415800,649098415800,-346449500100,646449500100,-3800
161,3059052800,349506263700,649506263700,-346447210900,646447210900,-4700
162,3467483100,349914316500,649914316500,-346446833400,646446833400,-5500
163,290774900,349946181800,649946181800,-349655406900,649655406900,-4800
164,479724300,350134808700,650134808700,-349655084400,649655084400,-4700
165,669203400,350323785100,650323785100,-349654581700,649654581700,-5100
166,2083419900,350512597500,650512597500,-348429177600,648429177600,-5500
167,32612000,349875392700,649875392700,-349842780700,649842780700,-4700
168,277545300,350119853200,650119853200,-349842307900,649842307900,-4200
169,522448500,350364448700,650364448700,-349842000200,649842000200,-4700
170,767145800,350608815700,650608815700,-349841669900,649841669900,-4700
171,1012267900,350853536100,650853536100,-349841268200,649841268200,-5100
172,529972068500,350423462800,650423462800,179548605700,120451394300,-4800
173,552296032700,374361522200,674361522200,177934510500,122065489500,800
174,567108516500,387558809300,687558809300,179549707200,120450292800,-4300
175,589432954300,411497046800,711497046800,177935907500,122064092500,1200
176,604245197100,424694363600,724694363600,179550833500,120449166500,-4600
177,626569459100,448632385600,748632385600,177937073500,122062926500,400
178,641381957000,461830046600,761830046600,179551910400,120448089600,-3600
179,663702816700,485764284700,785764284700,177938532000,122061468000,1300
180,678515275100,498961715100,798961715100,179553560000,120446440000,-4100
181,700820981500,522881336800,822881336800,177939644700,122060355300,200
182,715633657200,536078962100,836078962100,179554695100,120445304900,-4100
183,737939932000,559998863900,859998863900,177941068100,122058931900,1100
184,752751879800,573196063000,873196063000,179555816800,120444183200,-4000
185,775058284700,597116103000,897116103000,177942181700,122057818300,0
186,789767848300,610210836500,910210836500,179557011800,120442988200,-3500
187,812074112700,634130897600,934130897600,177943215100,122056784900,400
188,826806996300,647248644100,947248644100,179558352200,120441647800,-4100
189,849112917900,671168612500,971168612500,177944305400,122055694600,-500
190,863845900300,684286469000,984286469000,179559431300,120440568700,-4000
191,886151923600,708206526200,1008206526200,177945397400,122054602600,-200
192,900884980600,721324196300,1021324196300,179560784300,120439215700,-4300
193,923158479600,745212007700,1045212007700,177946471900,122053528100,-700
194,937891704600,758329916300,1058329916300,179561788300,120438211700,-4300
195,960629724200,782682087900,1082682087900,177947636300,122052363700,100
196,975362997800,795800075800,1095800075800,179562922000,120437078000,-4800
197,998101108200,820152243800,1120152243800,177948864400,122051135600,200
198,1012834703200,833270705500,1133270705500,179563997700,120436002300,-4500
199,1035572481300,857622492500,1157622492500,177949988800,122050011200,500
200,1049727304600,870162257700,1170162257700,179565046900,120434953100,-3700
201,1072465134200,894514097100,1194514097100,177951037100,122048962900,900
202,1086845280500,907278791700,1207278791700,179566488800,120433511200,-3700
203,1109582900500,931630810500,1231630810500,177952090000,122047910000,500
204,1123963024500,944395029500,1244395029500,179567995000,120432005000,-4500
205,1146700768300,968747521200,1268747521200,177953247100,122046752900,800
206,1161080367600,981511264800,1281511264800,179569102800,120430897200,-4800
207,142323800,1004260423100,1304260423100,-1004118099300,1304118099300,-100
208,332404000,1004450095100,1304450095100,-1004117691100,1304117691100,-100
209,522286000,1004639635100,1304639635100,-1004117349100,1304117349100,-100
210,712205400,1004829204300,1304829204300,-1004116998900,1304116998900,-300
211,1728105300,1005018795200,1305018795200,-1003290689900,1303290689900,-200
212,1918616900,1005208891700,1305208891700,-1003290274800,1303290274800,300
213,34878164600,1005147826800,1305147826800,-970269662200,1270269662200,200
214,34960913800,1005684452700,1305684452700,-970723538900,1270723538900,300
215,35419679700,1006221407800,1306221407800,-970801728100,1270801728100,1200
