pool,original_swf_hour,valid,utilisation,arrivals,offered_work_ratio
all,996.1047222222222,True,0.00040873015873015874,17,0.0004226190476190476
all,997.1047222222222,True,0.00013690476190476189,7,0.00014484126984126984
all,998.1047222222222,True,0.0005456349206349206,17,0.0005535714285714286
all,999.1047222222222,True,0.0002797619047619048,14,0.00028174603174603173
all,1000.1047222222222,True,0.0002261904761904762,10,0.00019444444444444443
all,1001.1047222222222,True,0.00016468253968253969,7,0.00016468253968253969
all,1002.1047222222222,True,0.003632936507936508,17,0.014593253968253969
all,1003.1047222222222,True,0.014123015873015872,14,0.014623015873015873
all,1004.1047222222222,True,0.011849206349206349,14,0.0006964285714285715
all,1005.1047222222222,True,0.0010694444444444445,9,0.0005119047619047619
all,1006.1047222222222,True,0.00023214285714285714,11,0.00022222222222222223
all,1007.1047222222222,True,0.00023214285714285714,11,0.00023214285714285714
all,1008.1047222222222,True,0.00038095238095238096,15,0.00038095238095238096
all,1009.1047222222222,True,0.00020238095238095236,12,0.00021825396825396825
all,1010.1047222222222,True,0.0005634920634920635,17,0.0005476190476190477
all,1011.1047222222222,True,0.00015873015873015873,9,0.00018055555555555555
all,1012.1047222222222,True,0.0003928571428571429,16,0.00037103174603174606
all,1013.1047222222222,True,0.0005535714285714286,23,0.0005535714285714286
all,1014.1047222222222,True,0.0003313492063492064,14,0.0003313492063492064
all,1015.1047222222222,True,0.00016666666666666666,9,0.00016666666666666666
all,1016.1047222222222,True,0.00024206349206349207,11,0.00024603174603174605
all,1017.1047222222222,True,0.00025396825396825396,13,0.00025595238095238096
all,1018.1047222222222,True,0.00023015873015873016,11,0.00025793650793650796
all,1019.1047222222222,True,0.00016468253968253969,7,0.00013095238095238096
all,1020.1047222222222,True,0.00035515873015873014,15,0.00039087301587301587
all,1021.1047222222222,True,0.00016468253968253969,9,0.00017261904761904762
all,1022.1047222222222,True,0.00015873015873015873,6,0.00011507936507936508
all,1023.1047222222222,True,0.00019642857142857144,12,0.00021428571428571427
all,1024.1047222222223,True,0.0004662698412698413,18,0.0004761904761904762
all,1025.1047222222223,True,0.00017063492063492064,6,0.00016468253968253969
all,1026.1047222222223,True,0.0026726190476190474,13,0.002650793650793651
all,1027.1047222222223,True,0.0013869047619047617,16,0.001386904761904762
all,1028.1047222222223,True,0.00032936507936507937,13,0.00035714285714285714
all,1029.1047222222223,True,0.00019246031746031746,10,0.00016468253968253969
all,1030.1047222222223,True,0.00034325396825396823,13,0.00034325396825396823
all,1031.1047222222223,True,0.00017857142857142857,11,0.00017857142857142857
all,1032.1047222222223,True,0.00018650793650793653,9,0.0001865079365079365
all,1033.1047222222223,True,0.000125,8,0.000125
all,1034.1047222222223,True,0.00024603174603174605,10,0.00024603174603174605
all,1035.1047222222223,True,0.00010317460317460317,7,0.00010317460317460317
all,1036.1047222222223,True,0.00020436507936507937,9,0.00020436507936507937
all,1037.1047222222223,True,0.00014484126984126984,9,0.00014484126984126984
all,1038.1047222222223,True,0.00030952380952380956,10,0.0003095238095238095
all,1039.1047222222223,True,9.126984126984128e-05,5,9.126984126984128e-05
all,1040.1047222222223,True,9.126984126984128e-05,5,9.126984126984128e-05
all,1041.1047222222223,True,0.0001111111111111111,9,0.00014285714285714287
all,1042.1047222222223,True,0.00010912698412698413,6,0.00011706349206349206
all,1043.1047222222223,True,0.00012896825396825395,7,0.00011111111111111112
all,1044.1047222222223,True,0.00023214285714285714,8,0.00023214285714285714
all,1045.1047222222223,True,7.936507936507937e-05,5,5.753968253968254e-05
all,1046.1047222222223,True,0.00026785714285714287,10,0.00026785714285714287
all,1047.1047222222223,True,0.00014484126984126984,8,0.00014484126984126984
all,1048.1047222222223,True,0.00028769841269841274,11,0.0002876984126984127
all,1049.1047222222223,True,0.00014087301587301586,7,0.00014087301587301586
all,1050.1047222222223,True,0.004117063492063491,18,0.007035714285714286
all,1051.1047222222223,True,0.0030198412698412697,6,0.0001011904761904762
all,1052.1047222222223,True,0.00036706349206349205,13,0.00036706349206349205
