period,pool,queue,n,L_queue_max,L_theorem,fcfs_p99,p99_over_L_queue,p99_over_L_pool,floor_seconds,condition1,queue_L_only_diagnostic,condition2_proxy_25pct,top1,top5
all,all,all,206222,259200,259200,10576.060000000114,0.04080270061728439,0.04080270061728439,771354.21686747,False,False,True,0.4071166319780389,0.8353746750697348
all,all,1,41143,900,259200,26385.800000000105,29.31755555555567,0.10179706790123497,771354.21686747,False,True,False,0.2280974506651591,0.6648618255753843
all,all,2,69446,7200,259200,3733.950000000026,0.5186041666666703,0.014405671296296397,771354.21686747,False,False,False,0.2239828659265514,0.5087872544351483
all,all,3,30602,86400,259200,11067.439999999886,0.12809537037036905,0.04269845679012302,771354.21686747,False,False,True,0.2956290524098958,0.6734418173972486
all,all,4,18594,129600,259200,4333.279999999999,0.03343580246913579,0.016717901234567897,771354.21686747,False,False,False,0.16017046616338526,0.5014563851347439
all,all,5,44931,259200,259200,15457.099999999991,0.05963387345679009,0.05963387345679009,771354.21686747,False,False,False,0.2088881433762434,0.5986549244166225
all,all,6,1506,3600,259200,1637.5500000000086,0.45487500000000236,0.006317708333333366,768342.8571428572,False,False,True,0.6185875858354652,0.9469671468964589
all,CE1,all,111236,259200,259200,12768.799999999814,0.049262345679011624,0.049262345679011624,771354.21686747,False,False,True,0.3726565752958308,0.7981171618241623
all,CE1,1,21062,900,259200,43592.88999999991,48.436544444444344,0.16818244598765397,771354.21686747,False,True,False,0.17467459601657276,0.5151948620054876
all,CE1,2,39857,7200,259200,1738.1600000000326,0.24141111111111563,0.00670586419753099,771354.21686747,False,False,False,0.19305505943713153,0.4340219418071218
all,CE1,3,19697,86400,259200,10758.400000000052,0.12451851851851913,0.041506172839506375,771354.21686747,False,False,True,0.2653362783741191,0.6651422386350777
all,CE1,4,10299,129600,259200,5544.720000000016,0.04278333333333346,0.02139166666666673,771354.21686747,False,False,False,0.15231925906500657,0.48538298422084675
all,CE1,5,20321,259200,259200,12150.19999999999,0.046875771604938235,0.046875771604938235,771354.21686747,False,False,False,0.16244737916359217,0.5367568411136893
all,old_CE2,all,94986,259200,259200,7066.0,0.027260802469135804,0.027260802469135804,768342.8571428572,False,False,True,0.45073687818403596,0.8834144644345918
all,old_CE2,1,20081,900,259200,0.0,0.0,0.0,768342.8571428572,False,False,True,0.355668911780243,0.5107930533544638
all,old_CE2,2,29589,7200,259200,4394.0,0.6102777777777778,0.01695216049382716,768342.8571428572,False,False,True,0.2689001341023439,0.6198572567139576
all,old_CE2,3,10905,86400,259200,12603.959999999497,0.14587916666666084,0.04862638888888695,768342.8571428572,False,False,True,0.3612277501880726,0.6578781139202593
all,old_CE2,4,8295,129600,259200,383.23999999999796,0.002957098765432083,0.0014785493827160416,768342.8571428572,False,False,False,0.17018748958803478,0.5194187667506915
all,old_CE2,5,24610,259200,259200,15767.919999999998,0.06083302469135802,0.06083302469135802,768342.8571428572,False,False,True,0.2781222155387983,0.6612929713335823
all,old_CE2,6,1506,3600,259200,1637.5500000000086,0.45487500000000236,0.006317708333333366,768342.8571428572,False,False,True,0.6185875858354652,0.9469671468964589
test,all,all,116810,259200,259200,11376.550000000017,0.0438910108024692,0.0438910108024692,771354.21686747,False,False,True,0.35100376694514096,0.788300993466822
test,all,1,34707,900,259200,8405.880000000005,9.339866666666671,0.03243009259259261,771354.21686747,False,True,False,0.21344588849751003,0.6338394266974371
test,all,2,19353,7200,259200,7733.359999999997,1.0740777777777772,0.029835493827160484,771354.21686747,False,False,False,0.24017328267289575,0.48790313562104515
test,all,3,21235,86400,259200,17666.0,0.2044675925925926,0.06815586419753086,771354.21686747,False,False,True,0.27398218941031416,0.6880287465451018
test,all,4,18236,129600,259200,4339.600000000006,0.033484567901234615,0.016742283950617307,771354.21686747,False,False,False,0.16093895073133177,0.5003119985390454
test,all,5,21773,259200,259200,18371.639999999985,0.07087824074074069,0.07087824074074069,771354.21686747,False,False,False,0.1803146536787467,0.5557283369939797
test,all,6,1506,3600,259200,1637.5500000000086,0.45487500000000236,0.006317708333333366,768342.8571428572,False,False,True,0.6185875858354652,0.9469671468964589
test,CE1,all,66538,259200,259200,11601.410000000033,0.044758526234568025,0.044758526234568025,771354.21686747,False,False,True,0.3205207655092531,0.7512818353601857
test,CE1,1,19135,900,259200,11595.64,12.884044444444443,0.044736265432098764,771354.21686747,False,True,False,0.16671713541427705,0.4884834396235745
test,CE1,2,10019,7200,259200,12434.019999999953,1.7269472222222157,0.04797075617283932,771354.21686747,False,False,True,0.28048366668028585,0.5059163797682305
test,CE1,3,14346,86400,259200,16245.54999999997,0.18802719907407373,0.06267573302469125,771354.21686747,False,False,False,0.242594660277273,0.6773414148468058
test,CE1,4,10232,129600,259200,5540.590000000006,0.04275146604938276,0.02137573302469138,771354.21686747,False,False,False,0.15124423533429154,0.4838008796617538
test,CE1,5,12806,259200,259200,12055.900000000001,0.04651195987654322,0.04651195987654322,771354.21686747,False,False,False,0.16235943169377545,0.5406383769220484
test,old_CE2,all,50272,259200,259200,10800.29,0.041667785493827166,0.041667785493827166,768342.8571428572,False,False,True,0.37770442299343704,0.8450576815036135
test,old_CE2,1,15572,900,259200,574.8299999998799,0.6386999999998665,0.00221770833333287,768342.8571428572,False,False,True,0.3502882212909953,0.5355958212831258
test,old_CE2,2,9334,5400,259200,477.25000000000546,0.08837962962963064,0.0018412422839506383,768342.8571428572,False,False,False,0.19276758091281088,0.43311519855577163
test,old_CE2,3,6889,86400,259200,20477.36,0.23700648148148148,0.07900216049382716,768342.8571428572,False,False,True,0.3194982378497607,0.6743555756331769
test,old_CE2,4,8004,129600,259200,418.0700000000079,0.00322584876543216,0.00161292438271608,768342.8571428572,False,False,False,0.1685449577017557,0.5185412547705792
test,old_CE2,5,8967,259200,259200,41940.66000000054,0.16180810185185393,0.16180810185185393,768342.8571428572,False,False,False,0.2197110171182178,0.5525929885156773
test,old_CE2,6,1506,3600,259200,1637.5500000000086,0.45487500000000236,0.006317708333333366,768342.8571428572,False,False,True,0.6185875858354652,0.9469671468964589
