overlay,level,k,policy,family,promise_s,bmax_or_skip,sigma_s,bound_abs_tight_s,bound_abs_old_s,max_wait_s,ratio_max_wait_over_tight,shift_per_job_s,min_slack_old_s,min_slack_tight_s,per_job_violations_tight,needs_rerun
0,0,8,Guard-age(1200),work,1200.0,B_max=8280,3648.166913,1603.520864,1708.520864125,1177.024493,0.734,105.0,276.89356625,171.893566,0,False
0,0,8,Fixed(1200),work,1200.0,B_max=8280,3648.166913,1603.520864,1708.520864125,1200.425301,0.7486,105.0,207.118179375,102.118179,0,False
0,0,8,Skip(1200),skip,1200.0,N=146,3648.166913,1603.520864,1708.520864125,438.938182,0.2737,52.5,1179.11622625,1126.616226,0,False
0,1,5,FCFS,fcfs,0.0,,5179.105901,1083.82118,1083.8211802,1023.819617,0.9446,0.0,36.6588894,36.658889,0,False
0,1,5,Guard(300),work,300.0,B_max=720,5179.105901,1287.82118,1383.8211802,1167.359222,0.9065,96.0,156.51140080000002,60.511401,0,False
0,1,5,Guard-age(300),work,300.0,B_max=720,5179.105901,1287.82118,1383.8211802,1167.359222,0.9065,96.0,156.51140080000002,60.511401,0,False
0,1,5,Guard-fixed(300),work,300.0,B_max=720,5179.105901,1287.82118,1383.8211802,1105.780873,0.8586,96.0,210.114993,114.114993,0,False
0,1,5,Guard-queue(300),work,300.0,B_max=720,5179.105901,1287.82118,1383.8211802,1167.393543,0.9065,96.0,151.55721680000002,55.557217,0,False
0,1,5,Fixed(300),work,300.0,B_max=720,5179.105901,1287.82118,1383.8211802,1167.397229,0.9065,96.0,151.5381418,55.538142,0,False
0,1,5,Skip(300),skip,300.0,N=17,5179.105901,1287.82118,1383.8211802,1024.613875,0.7956,48.0,290.7370806,242.737081,0,False
0,1,5,Guard(600),work,600.0,B_max=2220,5179.105901,1587.82118,1683.8211802,1467.37457,0.9241,96.0,163.21013059999999,67.210131,0,False
0,1,5,Guard-age(600),work,600.0,B_max=2220,5179.105901,1587.82118,1683.8211802,1467.37457,0.9241,96.0,163.21013059999999,67.210131,0,False
0,1,5,Guard-fixed(600),work,600.0,B_max=2220,5179.105901,1587.82118,1683.8211802,1277.771419,0.8047,96.0,353.401544,257.401544,0,False
0,1,5,Guard-queue(600),work,600.0,B_max=2220,5179.105901,1587.82118,1683.8211802,1467.388702,0.9242,96.0,166.3760134,70.376013,0,False
0,1,5,Fixed(600),work,600.0,B_max=2220,5179.105901,1587.82118,1683.8211802,1474.807196,0.9288,96.0,167.7683274,71.768327,0,False
0,1,5,Skip(600),skip,600.0,N=42,5179.105901,1587.82118,1683.8211802,1025.845151,0.6461,48.0,571.8822617999999,523.882262,0,False
0,1,5,Guard(1200),work,1200.0,B_max=5220,5179.105901,2187.82118,2283.8211801999996,2074.549893,0.9482,96.0,167.2197964,71.219796,0,False
0,1,5,Guard-queue(1200),work,1200.0,B_max=5220,5179.105901,2187.82118,2283.8211801999996,2074.549893,0.9482,96.0,167.2197964,71.219796,0,False
0,1,5,Guard-fixed(1200),work,1200.0,B_max=5220,5179.105901,2187.82118,2283.8211801999996,1552.164001,0.7095,96.0,693.0746303999999,597.07463,0,False
0,1,5,Guard-age(1200),work,1200.0,B_max=5220,5179.105901,2187.82118,2283.8211801999996,2079.694934,0.9506,96.0,175.2140336,79.214034,0,False
0,1,5,Fixed(1200),work,1200.0,B_max=5220,5179.105901,2187.82118,2283.8211801999996,2069.949797,0.9461,96.0,163.1031268,67.103127,0,False
0,1,5,Skip(1200),skip,1200.0,N=92,5179.105901,2187.82118,2283.8211801999996,1027.955189,0.4699,48.0,1144.8650712,1096.865071,0,False
0,2,4,FCFS,fcfs,0.0,,6234.492949,1603.623237,1603.62323725,1544.602708,0.9632,0.0,34.1398905,34.13989,0,False
0,2,4,Guard(300),work,300.0,B_max=600,6234.492949,1813.623237,1903.62323725,1694.4625,0.9343,90.0,136.462378,46.462378,0,False
0,2,4,Guard-age(300),work,300.0,B_max=600,6234.492949,1813.623237,1903.62323725,1694.4625,0.9343,90.0,136.462378,46.462378,0,False
0,2,4,Guard-fixed(300),work,300.0,B_max=600,6234.492949,1813.623237,1903.62323725,1627.083304,0.8971,90.0,203.35166675,113.351667,0,False
0,2,4,Guard-queue(300),work,300.0,B_max=600,6234.492949,1813.623237,1903.62323725,1694.592211,0.9344,90.0,136.462545,46.462545,0,False
0,2,4,Fixed(300),work,300.0,B_max=600,6234.492949,1813.623237,1903.62323725,1694.73727,0.9344,90.0,136.462096,46.462096,0,False
0,2,4,Skip(300),skip,300.0,N=14,6234.492949,1813.623237,1903.62323725,1545.424563,0.8521,45.0,279.70316075,234.703161,0,False
0,2,4,Guard(600),work,600.0,B_max=1800,6234.492949,2113.623237,2203.62323725,1994.472647,0.9436,90.0,136.84325575,46.843256,0,False
0,2,4,Guard-age(600),work,600.0,B_max=1800,6234.492949,2113.623237,2203.62323725,1994.472647,0.9436,90.0,136.84325575,46.843256,0,False
0,2,4,Guard-fixed(600),work,600.0,B_max=1800,6234.492949,2113.623237,2203.62323725,1789.640229,0.8467,90.0,341.8763585,251.876358,0,False
0,2,4,Guard-queue(600),work,600.0,B_max=1800,6234.492949,2113.623237,2203.62323725,1994.48873,0.9436,90.0,145.03398075,55.033981,0,False
0,2,4,Fixed(600),work,600.0,B_max=1800,6234.492949,2113.623237,2203.62323725,1994.43344,0.9436,90.0,136.30036575,46.300366,0,False
0,2,4,Skip(600),skip,600.0,N=34,6234.492949,2113.623237,2203.62323725,1546.804837,0.7318,45.0,544.623445,499.623445,0,False
0,2,4,Guard(1200),work,1200.0,B_max=4200,6234.492949,2713.623237,2803.62323725,2603.17021,0.9593,90.0,147.28123275,57.281233,0,False
0,2,4,Guard-queue(1200),work,1200.0,B_max=4200,6234.492949,2713.623237,2803.62323725,2603.17021,0.9593,90.0,147.28123275,57.281233,0,False
0,2,4,Guard-fixed(1200),work,1200.0,B_max=4200,6234.492949,2713.623237,2803.62323725,2051.921013,0.7562,90.0,680.07099325,590.070993,0,False
0,2,4,Guard-age(1200),work,1200.0,B_max=4200,6234.492949,2713.623237,2803.62323725,2605.014352,0.96,90.0,147.27789775,57.277898,0,False
0,2,4,Fixed(1200),work,1200.0,B_max=4200,6234.492949,2713.623237,2803.62323725,2603.665154,0.9595,90.0,137.987683,47.987683,0,False
0,2,4,Skip(1200),skip,1200.0,N=74,6234.492949,2713.623237,2803.62323725,1549.609457,0.571,45.0,1129.3463135,1084.346313,0,False
1,0,8,FCFS,fcfs,0.0,,2950.075879,421.259485,421.259484875,352.739664,0.8373,0.0,41.099574125,41.099574,0,False
1,0,8,Guard(300),work,300.0,B_max=1080,2950.075879,616.259485,721.259484875,508.104294,0.8245,105.0,181.90949275,76.909493,0,False
1,0,8,Guard-age(300),work,300.0,B_max=1080,2950.075879,616.259485,721.259484875,508.104294,0.8245,105.0,181.90949275,76.909493,0,False
1,0,8,Guard-fixed(300),work,300.0,B_max=1080,2950.075879,616.259485,721.259484875,461.718801,0.7492,105.0,234.135678375,129.135678,0,False
1,0,8,Guard-queue(300),work,300.0,B_max=1080,2950.075879,616.259485,721.259484875,500.5395,0.8122,105.0,179.787800375,74.7878,0,False
1,0,8,Fixed(300),work,300.0,B_max=1080,2950.075879,616.259485,721.259484875,499.469871,0.8105,105.0,179.787800375,74.7878,0,False
1,0,8,Skip(300),skip,300.0,N=26,2950.075879,616.259485,721.259484875,353.752877,0.574,52.5,307.2730555,254.773055,0,False
1,0,8,Guard(600),work,600.0,B_max=3480,2950.075879,916.259485,1021.259484875,781.390139,0.8528,105.0,188.211956375,83.211956,0,False
1,0,8,Guard-age(600),work,600.0,B_max=3480,2950.075879,916.259485,1021.259484875,781.390139,0.8528,105.0,188.211956375,83.211956,0,False
1,0,8,Guard-fixed(600),work,600.0,B_max=3480,2950.075879,916.259485,1021.259484875,615.282862,0.6715,105.0,366.35099925,261.350999,0,False
1,0,8,Guard-queue(600),work,600.0,B_max=3480,2950.075879,916.259485,1021.259484875,796.98746,0.8698,105.0,185.876621875,80.876622,0,False
1,0,8,Fixed(600),work,600.0,B_max=3480,2950.075879,916.259485,1021.259484875,793.2355,0.8657,105.0,184.563528625,79.563529,0,False
1,0,8,Skip(600),skip,600.0,N=66,2950.075879,916.259485,1021.259484875,355.067576,0.3875,52.5,581.996047,529.496047,0,False
1,0,8,Guard(1200),work,1200.0,B_max=8280,2950.075879,1516.259485,1621.259484875,1015.584804,0.6698,105.0,376.203163625,271.203164,0,False
1,0,8,Guard-queue(1200),work,1200.0,B_max=8280,2950.075879,1516.259485,1621.259484875,1015.584804,0.6698,105.0,376.203163625,271.203164,0,False
1,0,8,Guard-fixed(1200),work,1200.0,B_max=8280,2950.075879,1516.259485,1621.259484875,847.230096,0.5588,105.0,719.800874875,614.800875,0,False
1,0,8,Guard-age(1200),work,1200.0,B_max=8280,2950.075879,1516.259485,1621.259484875,977.610965,0.6448,105.0,421.7264265,316.726427,0,False
1,0,8,Fixed(1200),work,1200.0,B_max=8280,2950.075879,1516.259485,1621.259484875,1159.528441,0.7647,105.0,206.046449625,101.04645,0,False
1,0,8,Skip(1200),skip,1200.0,N=146,2950.075879,1516.259485,1621.259484875,357.269573,0.2356,52.5,1180.4350365,1127.935037,0,False
1,1,5,FCFS,fcfs,0.0,,4288.436287,905.687257,905.6872574,850.54647,0.9391,0.0,36.6486488,36.648649,0,False
1,1,5,Guard(300),work,300.0,B_max=720,4288.436287,1109.687257,1205.6872574000001,994.561845,0.8963,96.0,165.169461,69.169461,0,False
1,1,5,Guard-age(300),work,300.0,B_max=720,4288.436287,1109.687257,1205.6872574000001,994.561845,0.8963,96.0,165.169461,69.169461,0,False
1,1,5,Guard-fixed(300),work,300.0,B_max=720,4288.436287,1109.687257,1205.6872574000001,933.146056,0.8409,96.0,206.662184,110.662184,0,False
1,1,5,Guard-queue(300),work,300.0,B_max=720,4288.436287,1109.687257,1205.6872574000001,994.059947,0.8958,96.0,161.8169224,65.816922,0,False
1,1,5,Fixed(300),work,300.0,B_max=720,4288.436287,1109.687257,1205.6872574000001,994.059831,0.8958,96.0,157.7680486,61.768049,0,False
1,1,5,Skip(300),skip,300.0,N=17,4288.436287,1109.687257,1205.6872574000001,851.228676,0.7671,48.0,286.1839192,238.183919,0,False
1,1,5,Guard(600),work,600.0,B_max=2220,4288.436287,1409.687257,1505.6872574000001,1292.441051,0.9168,96.0,164.5706764,68.570676,0,False
1,1,5,Guard-age(600),work,600.0,B_max=2220,4288.436287,1409.687257,1505.6872574000001,1292.441051,0.9168,96.0,164.5706764,68.570676,0,False
1,1,5,Guard-fixed(600),work,600.0,B_max=2220,4288.436287,1409.687257,1505.6872574000001,1095.648944,0.7772,96.0,356.6377862,260.637786,0,False
1,1,5,Guard-queue(600),work,600.0,B_max=2220,4288.436287,1409.687257,1505.6872574000001,1297.773452,0.9206,96.0,157.5747354,61.574735,0,False
1,1,5,Fixed(600),work,600.0,B_max=2220,4288.436287,1409.687257,1505.6872574000001,1297.771087,0.9206,96.0,160.0074592,64.007459,0,False
