[a] tight absolute bound, per (overlay, level, policy)
  ov       2 lv 1 k=5 Skip(1200)                   N=92 bound   1970.9 s (old   2066.9) max wait    810.7 ratio 0.4113 min slack  1043.05 viol 0
  ov       2 lv 2 k=4 FCFS                              bound   1189.6 s (old   1189.6) max wait   1130.6 ratio 0.9504 min slack    32.63 viol 0
  ov       2 lv 2 k=4 Guard(300)              B_max=600 bound   1399.6 s (old   1489.6) max wait   1280.7 ratio 0.9150 min slack    47.20 viol 0
  ov       2 lv 2 k=4 Guard-age(300)          B_max=600 bound   1399.6 s (old   1489.6) max wait   1280.7 ratio 0.9150 min slack    47.20 viol 0
  ov       2 lv 2 k=4 Guard-fixed(300)        B_max=600 bound   1399.6 s (old   1489.6) max wait   1213.2 ratio 0.8668 min slack   116.54 viol 0
  ov       2 lv 2 k=4 Guard-queue(300)        B_max=600 bound   1399.6 s (old   1489.6) max wait   1280.7 ratio 0.9150 min slack    47.92 viol 0
  ov       2 lv 2 k=4 Fixed(300)              B_max=600 bound   1399.6 s (old   1489.6) max wait   1280.7 ratio 0.9150 min slack    47.93 viol 0
  ov       2 lv 2 k=4 Skip(300)                    N=14 bound   1399.6 s (old   1489.6) max wait   1131.9 ratio 0.8087 min slack   219.61 viol 0
  ov       2 lv 2 k=4 Guard(600)             B_max=1800 bound   1699.6 s (old   1789.6) max wait   1579.7 ratio 0.9294 min slack    49.35 viol 0
  ov       2 lv 2 k=4 Guard-age(600)         B_max=1800 bound   1699.6 s (old   1789.6) max wait   1579.7 ratio 0.9294 min slack    49.35 viol 0
  ov       2 lv 2 k=4 Guard-fixed(600)       B_max=1800 bound   1699.6 s (old   1789.6) max wait   1381.4 ratio 0.8128 min slack   252.30 viol 0
  ov       2 lv 2 k=4 Guard-queue(600)       B_max=1800 bound   1699.6 s (old   1789.6) max wait   1579.8 ratio 0.9295 min slack    49.41 viol 0
  ov       2 lv 2 k=4 Fixed(600)             B_max=1800 bound   1699.6 s (old   1789.6) max wait   1582.1 ratio 0.9309 min slack    46.79 viol 0
  ov       2 lv 2 k=4 Skip(600)                    N=34 bound   1699.6 s (old   1789.6) max wait   1133.0 ratio 0.6666 min slack   496.91 viol 0
  ov       2 lv 2 k=4 Guard(1200)            B_max=4200 bound   2299.6 s (old   2389.6) max wait   2180.9 ratio 0.9484 min slack    57.73 viol 0
  ov       2 lv 2 k=4 Guard-queue(1200)      B_max=4200 bound   2299.6 s (old   2389.6) max wait   2180.9 ratio 0.9484 min slack    57.73 viol 0
  ov       2 lv 2 k=4 Guard-fixed(1200)      B_max=4200 bound   2299.6 s (old   2389.6) max wait   1637.9 ratio 0.7122 min slack   588.90 viol 0
  ov       2 lv 2 k=4 Guard-age(1200)        B_max=4200 bound   2299.6 s (old   2389.6) max wait   2175.7 ratio 0.9461 min slack    48.84 viol 0
  ov       2 lv 2 k=4 Fixed(1200)            B_max=4200 bound   2299.6 s (old   2389.6) max wait   2175.7 ratio 0.9461 min slack    57.72 viol 0
  ov       2 lv 2 k=4 Skip(1200)                   N=74 bound   2299.6 s (old   2389.6) max wait   1135.3 ratio 0.4937 min slack  1039.80 viol 0
  ov       3 lv 0 k=8 FCFS                              bound    448.4 s (old    448.4) max wait    392.8 ratio 0.8760 min slack    42.30 viol 0
  ov       3 lv 0 k=8 Guard(300)             B_max=1080 bound    643.4 s (old    748.4) max wait    530.2 ratio 0.8240 min slack    79.06 viol 0
  ov       3 lv 0 k=8 Guard-age(300)         B_max=1080 bound    643.4 s (old    748.4) max wait    530.2 ratio 0.8240 min slack    79.06 viol 0
  ov       3 lv 0 k=8 Guard-fixed(300)       B_max=1080 bound    643.4 s (old    748.4) max wait    462.1 ratio 0.7183 min slack   129.33 viol 0
  ov       3 lv 0 k=8 Guard-queue(300)       B_max=1080 bound    643.4 s (old    748.4) max wait    531.8 ratio 0.8266 min slack    83.85 viol 0
  ov       3 lv 0 k=8 Fixed(300)             B_max=1080 bound    643.4 s (old    748.4) max wait    530.1 ratio 0.8240 min slack    79.32 viol 0
  ov       3 lv 0 k=8 Skip(300)                    N=26 bound    643.4 s (old    748.4) max wait    393.5 ratio 0.6116 min slack   242.45 viol 0
  ov       3 lv 0 k=8 Guard(600)             B_max=3480 bound    943.4 s (old   1048.4) max wait    786.1 ratio 0.8332 min slack    84.11 viol 0
  ov       3 lv 0 k=8 Guard-age(600)         B_max=3480 bound    943.4 s (old   1048.4) max wait    786.1 ratio 0.8332 min slack    84.11 viol 0
  ov       3 lv 0 k=8 Guard-fixed(600)       B_max=3480 bound    943.4 s (old   1048.4) max wait    640.7 ratio 0.6791 min slack   271.67 viol 0
  ov       3 lv 0 k=8 Guard-queue(600)       B_max=3480 bound    943.4 s (old   1048.4) max wait    785.7 ratio 0.8329 min slack    78.39 viol 0
  ov       3 lv 0 k=8 Fixed(600)             B_max=3480 bound    943.4 s (old   1048.4) max wait    741.4 ratio 0.7859 min slack    86.14 viol 0
  ov       3 lv 0 k=8 Skip(600)                    N=66 bound    943.4 s (old   1048.4) max wait    394.6 ratio 0.4183 min slack   529.60 viol 0
  ov       3 lv 0 k=8 Guard(1200)            B_max=8280 bound   1543.4 s (old   1648.4) max wait    831.7 ratio 0.5389 min slack   612.41 viol 0
  ov       3 lv 0 k=8 Guard-queue(1200)      B_max=8280 bound   1543.4 s (old   1648.4) max wait    831.7 ratio 0.5389 min slack   612.41 viol 0
  ov       3 lv 0 k=8 Guard-fixed(1200)      B_max=8280 bound   1543.4 s (old   1648.4) max wait    824.9 ratio 0.5345 min slack   607.21 viol 0
  ov       3 lv 0 k=8 Guard-age(1200)        B_max=8280 bound   1543.4 s (old   1648.4) max wait    974.4 ratio 0.6313 min slack   317.44 viol 0
  ov       3 lv 0 k=8 Fixed(1200)            B_max=8280 bound   1543.4 s (old   1648.4) max wait   1078.5 ratio 0.6988 min slack   217.64 viol 0
  ov       3 lv 0 k=8 Skip(1200)                  N=146 bound   1543.4 s (old   1648.4) max wait    396.6 ratio 0.2570 min slack  1097.94 viol 0
  ov       3 lv 1 k=5 FCFS                              bound    875.5 s (old    875.5) max wait    825.0 ratio 0.9423 min slack    36.66 viol 0
  ov       3 lv 1 k=5 Guard(300)              B_max=720 bound   1079.5 s (old   1175.5) max wait    965.7 ratio 0.8946 min slack    46.34 viol 0
  ov       3 lv 1 k=5 Guard-age(300)          B_max=720 bound   1079.5 s (old   1175.5) max wait    965.7 ratio 0.8946 min slack    46.34 viol 0
  ov       3 lv 1 k=5 Guard-fixed(300)        B_max=720 bound   1079.5 s (old   1175.5) max wait    906.9 ratio 0.8401 min slack   118.87 viol 0
  ov       3 lv 1 k=5 Guard-queue(300)        B_max=720 bound   1079.5 s (old   1175.5) max wait    965.7 ratio 0.8946 min slack    46.34 viol 0
  ov       3 lv 1 k=5 Fixed(300)              B_max=720 bound   1079.5 s (old   1175.5) max wait    965.8 ratio 0.8946 min slack    46.34 viol 0
  ov       3 lv 1 k=5 Skip(300)                    N=17 bound   1079.5 s (old   1175.5) max wait    825.8 ratio 0.7649 min slack   243.57 viol 0
  ov       3 lv 1 k=5 Guard(600)             B_max=2220 bound   1379.5 s (old   1475.5) max wait   1269.4 ratio 0.9202 min slack    46.49 viol 0
  ov       3 lv 1 k=5 Guard-age(600)         B_max=2220 bound   1379.5 s (old   1475.5) max wait   1269.4 ratio 0.9202 min slack    46.49 viol 0
  ov       3 lv 1 k=5 Guard-fixed(600)       B_max=2220 bound   1379.5 s (old   1475.5) max wait   1067.0 ratio 0.7735 min slack   259.37 viol 0
  ov       3 lv 1 k=5 Guard-queue(600)       B_max=2220 bound   1379.5 s (old   1475.5) max wait   1266.8 ratio 0.9183 min slack    46.48 viol 0
  ov       3 lv 1 k=5 Fixed(600)             B_max=2220 bound   1379.5 s (old   1475.5) max wait   1264.0 ratio 0.9163 min slack    46.50 viol 0
  ov       3 lv 1 k=5 Skip(600)                    N=42 bound   1379.5 s (old   1475.5) max wait    826.9 ratio 0.5994 min slack   531.08 viol 0
  ov       3 lv 1 k=5 Guard(1200)            B_max=5220 bound   1979.5 s (old   2075.5) max wait   1867.5 ratio 0.9434 min slack    62.06 viol 0
  ov       3 lv 1 k=5 Guard-queue(1200)      B_max=5220 bound   1979.5 s (old   2075.5) max wait   1867.5 ratio 0.9434 min slack    62.06 viol 0
  ov       3 lv 1 k=5 Guard-fixed(1200)      B_max=5220 bound   1979.5 s (old   2075.5) max wait   1333.0 ratio 0.6734 min slack   603.85 viol 0
  ov       3 lv 1 k=5 Guard-age(1200)        B_max=5220 bound   1979.5 s (old   2075.5) max wait   1863.8 ratio 0.9415 min slack    61.78 viol 0
  ov       3 lv 1 k=5 Fixed(1200)            B_max=5220 bound   1979.5 s (old   2075.5) max wait   1875.5 ratio 0.9474 min slack    71.07 viol 0
  ov       3 lv 1 k=5 Skip(1200)                   N=92 bound   1979.5 s (old   2075.5) max wait    829.0 ratio 0.4188 min slack  1040.15 viol 0
  ov       3 lv 2 k=4 FCFS                              bound   1229.3 s (old   1229.3) max wait   1177.1 ratio 0.9576 min slack    34.81 viol 0
  ov       3 lv 2 k=4 Guard(300)              B_max=600 bound   1439.3 s (old   1529.3) max wait   1328.4 ratio 0.9230 min slack    44.01 viol 0
  ov       3 lv 2 k=4 Guard-age(300)          B_max=600 bound   1439.3 s (old   1529.3) max wait   1328.4 ratio 0.9230 min slack    44.01 viol 0
  ov       3 lv 2 k=4 Guard-fixed(300)        B_max=600 bound   1439.3 s (old   1529.3) max wait   1260.7 ratio 0.8759 min slack   110.80 viol 0
  ov       3 lv 2 k=4 Guard-queue(300)        B_max=600 bound   1439.3 s (old   1529.3) max wait   1328.4 ratio 0.9230 min slack    44.83 viol 0
  ov       3 lv 2 k=4 Fixed(300)              B_max=600 bound   1439.3 s (old   1529.3) max wait   1328.4 ratio 0.9229 min slack    44.00 viol 0
  ov       3 lv 2 k=4 Skip(300)                    N=14 bound   1439.3 s (old   1529.3) max wait   1177.9 ratio 0.8184 min slack   218.72 viol 0
  ov       3 lv 2 k=4 Guard(600)             B_max=1800 bound   1739.3 s (old   1829.3) max wait   1628.3 ratio 0.9362 min slack    47.20 viol 0
  ov       3 lv 2 k=4 Guard-age(600)         B_max=1800 bound   1739.3 s (old   1829.3) max wait   1628.3 ratio 0.9362 min slack    47.20 viol 0
  ov       3 lv 2 k=4 Guard-fixed(600)       B_max=1800 bound   1739.3 s (old   1829.3) max wait   1423.6 ratio 0.8185 min slack   249.46 viol 0
  ov       3 lv 2 k=4 Guard-queue(600)       B_max=1800 bound   1739.3 s (old   1829.3) max wait   1628.4 ratio 0.9362 min slack    46.10 viol 0
  ov       3 lv 2 k=4 Fixed(600)             B_max=1800 bound   1739.3 s (old   1829.3) max wait   1628.4 ratio 0.9362 min slack    47.63 viol 0
  ov       3 lv 2 k=4 Skip(600)                    N=34 bound   1739.3 s (old   1829.3) max wait   1178.9 ratio 0.6778 min slack   515.32 viol 0
  ov       3 lv 2 k=4 Guard(1200)            B_max=4200 bound   2339.3 s (old   2429.3) max wait   2235.0 ratio 0.9554 min slack    52.79 viol 0
  ov       3 lv 2 k=4 Guard-queue(1200)      B_max=4200 bound   2339.3 s (old   2429.3) max wait   2235.0 ratio 0.9554 min slack    52.79 viol 0
  ov       3 lv 2 k=4 Guard-fixed(1200)      B_max=4200 bound   2339.3 s (old   2429.3) max wait   1685.8 ratio 0.7206 min slack   588.78 viol 0
  ov       3 lv 2 k=4 Guard-age(1200)        B_max=4200 bound   2339.3 s (old   2429.3) max wait   2228.3 ratio 0.9525 min slack    48.93 viol 0
  ov       3 lv 2 k=4 Fixed(1200)            B_max=4200 bound   2339.3 s (old   2429.3) max wait   2234.9 ratio 0.9554 min slack    48.95 viol 0
  ov       3 lv 2 k=4 Skip(1200)                   N=74 bound   2339.3 s (old   2429.3) max wait   1181.3 ratio 0.5050 min slack  1039.37 viol 0
  ov       4 lv 0 k=7 FCFS                              bound    558.3 s (old    558.3) max wait    491.7 ratio 0.8807 min slack    39.54 viol 0
  ov       4 lv 0 k=7 Guard(300)              B_max=960 bound    755.5 s (old    858.3) max wait    630.7 ratio 0.8348 min slack    73.24 viol 0
  ov       4 lv 0 k=7 Guard-age(300)          B_max=960 bound    755.5 s (old    858.3) max wait    630.7 ratio 0.8348 min slack    73.24 viol 0
  ov       4 lv 0 k=7 Guard-fixed(300)        B_max=960 bound    755.5 s (old    858.3) max wait    589.6 ratio 0.7804 min slack   120.44 viol 0
  ov       4 lv 0 k=7 Guard-queue(300)        B_max=960 bound    755.5 s (old    858.3) max wait    628.8 ratio 0.8324 min slack    71.09 viol 0
  ov       4 lv 0 k=7 Fixed(300)              B_max=960 bound    755.5 s (old    858.3) max wait    630.5 ratio 0.8345 min slack    73.25 viol 0
  ov       4 lv 0 k=7 Skip(300)                    N=23 bound    755.5 s (old    858.3) max wait    492.5 ratio 0.6519 min slack   238.02 viol 0
  ov       4 lv 0 k=7 Guard(600)             B_max=3060 bound   1055.5 s (old   1158.3) max wait    935.1 ratio 0.8860 min slack    78.36 viol 0
  ov       4 lv 0 k=7 Guard-age(600)         B_max=3060 bound   1055.5 s (old   1158.3) max wait    935.1 ratio 0.8860 min slack    78.36 viol 0
  ov       4 lv 0 k=7 Guard-fixed(600)       B_max=3060 bound   1055.5 s (old   1158.3) max wait    742.5 ratio 0.7034 min slack   265.89 viol 0
  ov       4 lv 0 k=7 Guard-queue(600)       B_max=3060 bound   1055.5 s (old   1158.3) max wait    931.0 ratio 0.8821 min slack    71.30 viol 0
  ov       4 lv 0 k=7 Fixed(600)             B_max=3060 bound   1055.5 s (old   1158.3) max wait    931.6 ratio 0.8826 min slack    74.34 viol 0
  ov       4 lv 0 k=7 Skip(600)                    N=58 bound   1055.5 s (old   1158.3) max wait    493.6 ratio 0.4677 min slack   499.87 viol 0
  ov       4 lv 0 k=7 Guard(1200)            B_max=7260 bound   1655.5 s (old   1758.3) max wait   1142.6 ratio 0.6902 min slack   361.61 viol 0
  ov       4 lv 0 k=7 Guard-queue(1200)      B_max=7260 bound   1655.5 s (old   1758.3) max wait   1142.6 ratio 0.6902 min slack   361.61 viol 0
  ov       4 lv 0 k=7 Guard-fixed(1200)      B_max=7260 bound   1655.5 s (old   1758.3) max wait    945.3 ratio 0.5710 min slack   610.21 viol 0
  ov       4 lv 0 k=7 Guard-age(1200)        B_max=7260 bound   1655.5 s (old   1758.3) max wait   1234.0 ratio 0.7454 min slack   122.06 viol 0
  ov       4 lv 0 k=7 Fixed(1200)            B_max=7260 bound   1655.5 s (old   1758.3) max wait   1248.1 ratio 0.7539 min slack    89.39 viol 0
  ov       4 lv 0 k=7 Skip(1200)                  N=128 bound   1655.5 s (old   1758.3) max wait    495.6 ratio 0.2994 min slack  1098.27 viol 0
  ov       4 lv 1 k=5 FCFS                              bound    880.0 s (old    880.0) max wait    830.1 ratio 0.9434 min slack    37.20 viol 0
  ov       4 lv 1 k=5 Guard(300)              B_max=720 bound   1084.0 s (old   1180.0) max wait    978.7 ratio 0.9029 min slack    49.80 viol 0
  ov       4 lv 1 k=5 Guard-age(300)          B_max=720 bound   1084.0 s (old   1180.0) max wait    978.7 ratio 0.9029 min slack    49.80 viol 0
  ov       4 lv 1 k=5 Guard-fixed(300)        B_max=720 bound   1084.0 s (old   1180.0) max wait    925.1 ratio 0.8535 min slack   111.65 viol 0
  ov       4 lv 1 k=5 Guard-queue(300)        B_max=720 bound   1084.0 s (old   1180.0) max wait    976.9 ratio 0.9013 min slack    49.80 viol 0
  ov       4 lv 1 k=5 Fixed(300)              B_max=720 bound   1084.0 s (old   1180.0) max wait    977.2 ratio 0.9015 min slack    49.80 viol 0
  ov       4 lv 1 k=5 Skip(300)                    N=17 bound   1084.0 s (old   1180.0) max wait    831.2 ratio 0.7668 min slack   241.17 viol 0
  ov       4 lv 1 k=5 Guard(600)             B_max=2220 bound   1384.0 s (old   1480.0) max wait   1280.4 ratio 0.9252 min slack    54.55 viol 0
  ov       4 lv 1 k=5 Guard-age(600)         B_max=2220 bound   1384.0 s (old   1480.0) max wait   1280.4 ratio 0.9252 min slack    54.55 viol 0
  ov       4 lv 1 k=5 Guard-fixed(600)       B_max=2220 bound   1384.0 s (old   1480.0) max wait   1075.1 ratio 0.7768 min slack   249.30 viol 0
  ov       4 lv 1 k=5 Guard-queue(600)       B_max=2220 bound   1384.0 s (old   1480.0) max wait   1280.4 ratio 0.9252 min slack    54.55 viol 0
  ov       4 lv 1 k=5 Fixed(600)             B_max=2220 bound   1384.0 s (old   1480.0) max wait   1289.0 ratio 0.9314 min slack    54.71 viol 0
  ov       4 lv 1 k=5 Skip(600)                    N=42 bound   1384.0 s (old   1480.0) max wait    832.3 ratio 0.6014 min slack   520.77 viol 0
  ov       4 lv 1 k=5 Guard(1200)            B_max=5220 bound   1984.0 s (old   2080.0) max wait   1864.1 ratio 0.9396 min slack    50.52 viol 0
  ov       4 lv 1 k=5 Guard-queue(1200)      B_max=5220 bound   1984.0 s (old   2080.0) max wait   1864.1 ratio 0.9396 min slack    50.52 viol 0
  ov       4 lv 1 k=5 Guard-fixed(1200)      B_max=5220 bound   1984.0 s (old   2080.0) max wait   1353.4 ratio 0.6822 min slack   591.18 viol 0
  ov       4 lv 1 k=5 Guard-age(1200)        B_max=5220 bound   1984.0 s (old   2080.0) max wait   1833.4 ratio 0.9241 min slack    56.29 viol 0
  ov       4 lv 1 k=5 Fixed(1200)            B_max=5220 bound   1984.0 s (old   2080.0) max wait   1833.3 ratio 0.9240 min slack    50.05 viol 0
  ov       4 lv 1 k=5 Skip(1200)                   N=92 bound   1984.0 s (old   2080.0) max wait    834.3 ratio 0.4205 min slack  1077.58 viol 0
  ov       4 lv 2 k=4 FCFS                              bound   1212.3 s (old   1212.3) max wait   1167.2 ratio 0.9628 min slack    32.54 viol 0
  ov       4 lv 2 k=4 Guard(300)              B_max=600 bound   1422.3 s (old   1512.3) max wait   1320.9 ratio 0.9287 min slack    47.49 viol 0
  ov       4 lv 2 k=4 Guard-age(300)          B_max=600 bound   1422.3 s (old   1512.3) max wait   1320.9 ratio 0.9287 min slack    47.49 viol 0
  ov       4 lv 2 k=4 Guard-fixed(300)        B_max=600 bound   1422.3 s (old   1512.3) max wait   1251.8 ratio 0.8801 min slack   111.20 viol 0
  ov       4 lv 2 k=4 Guard-queue(300)        B_max=600 bound   1422.3 s (old   1512.3) max wait   1320.9 ratio 0.9287 min slack    47.48 viol 0
  ov       4 lv 2 k=4 Fixed(300)              B_max=600 bound   1422.3 s (old   1512.3) max wait   1321.7 ratio 0.9293 min slack    47.48 viol 0
  ov       4 lv 2 k=4 Skip(300)                    N=14 bound   1422.3 s (old   1512.3) max wait   1168.0 ratio 0.8212 min slack   228.46 viol 0
  ov       4 lv 2 k=4 Guard(600)             B_max=1800 bound   1722.3 s (old   1812.3) max wait   1609.3 ratio 0.9343 min slack    46.64 viol 0
  ov       4 lv 2 k=4 Guard-age(600)         B_max=1800 bound   1722.3 s (old   1812.3) max wait   1609.3 ratio 0.9343 min slack    46.64 viol 0
  ov       4 lv 2 k=4 Guard-fixed(600)       B_max=1800 bound   1722.3 s (old   1812.3) max wait   1420.5 ratio 0.8247 min slack   252.62 viol 0
  ov       4 lv 2 k=4 Guard-queue(600)       B_max=1800 bound   1722.3 s (old   1812.3) max wait   1609.2 ratio 0.9343 min slack    46.67 viol 0
  ov       4 lv 2 k=4 Fixed(600)             B_max=1800 bound   1722.3 s (old   1812.3) max wait   1612.1 ratio 0.9360 min slack    46.29 viol 0
  ov       4 lv 2 k=4 Skip(600)                    N=34 bound   1722.3 s (old   1812.3) max wait   1169.2 ratio 0.6788 min slack   487.79 viol 0
  ov       4 lv 2 k=4 Guard(1200)            B_max=4200 bound   2322.3 s (old   2412.3) max wait   2221.2 ratio 0.9565 min slack    44.62 viol 0
  ov       4 lv 2 k=4 Guard-queue(1200)      B_max=4200 bound   2322.3 s (old   2412.3) max wait   2221.2 ratio 0.9565 min slack    44.62 viol 0
  ov       4 lv 2 k=4 Guard-fixed(1200)      B_max=4200 bound   2322.3 s (old   2412.3) max wait   1666.9 ratio 0.7178 min slack   587.43 viol 0
  ov       4 lv 2 k=4 Guard-age(1200)        B_max=4200 bound   2322.3 s (old   2412.3) max wait   2209.2 ratio 0.9513 min slack    44.56 viol 0
  ov       4 lv 2 k=4 Fixed(1200)            B_max=4200 bound   2322.3 s (old   2412.3) max wait   2209.2 ratio 0.9513 min slack    44.73 viol 0
  ov       4 lv 2 k=4 Skip(1200)                   N=74 bound   2322.3 s (old   2412.3) max wait   1171.2 ratio 0.5043 min slack  1056.92 viol 0
  summary fcfs: rows 16, rerun needed 0, min tight slack 0.000 s at ov k1_rep0 lv 0 FCFS; max ratio 0.9990 at ov k1_rep0 lv 0 FCFS
  summary work: rows 240, rerun needed 0, min tight slack 4.865 s at ov k1_rep0 lv 0 Guard(300); max ratio 0.9759 at ov k1_rep0 lv 0 Guard(600)
  summary skip: rows 48, rerun needed 0, min tight slack 204.914 s at ov k1_rep0 lv 0 Skip(300); max ratio 0.8521 at ov 0 lv 2 Skip(300)

[b] validation sigma as a forecast of primary sigma (same k)
  cells 15; ratio val/prim min 0.7377 max 1.5733; under-forecast cells 10
  multiplicative margin to cover every cell from its paired validation: x1.3555
  level 0 (k=8 on primary; cells with other k: ['4']): max additive shortfall 342.8 s of work = 42.9 s of promise; max-of-5 validation 4914.6 vs max primary 3648.2 (covers True)
  level 1 (k=5 on primary; cells with other k: []): max additive shortfall 903.3 s of work = 180.7 s of promise; max-of-5 validation 5861.8 vs max primary 5179.1 (covers True)
  level 2 (k=4 on primary; cells with other k: []): max additive shortfall 1635.2 s of work = 408.8 s of promise; max-of-5 validation 6197.0 vs max primary 6234.5 (covers False)

  quoted promise from paired validation sigma, tight form, against realised max wait
    ov 0 lv 1 FCFS         quote    903.2 realised   1023.8 short   120.7 s
    ov 0 lv 1 Guard(300)   quote   1107.2 realised   1167.4 short    60.2 s
    ov 0 lv 1 Guard(600)   quote   1407.2 realised   1467.4 short    60.2 s
    ov 0 lv 1 Guard(1200)  quote   2007.2 realised   2074.5 short    67.4 s
    ov 0 lv 2 FCFS         quote   1194.8 realised   1544.6 short   349.8 s
    ov 0 lv 2 Guard(300)   quote   1404.8 realised   1694.5 short   289.6 s
    ov 0 lv 2 Guard(600)   quote   1704.8 realised   1994.5 short   289.7 s
    ov 0 lv 2 Guard(1200)  quote   2304.8 realised   2603.2 short   298.3 s
    ov 1 lv 1 FCFS         quote    847.7 realised    850.5 short     2.8 s
    ov 1 lv 2 FCFS         quote   1110.6 realised   1285.3 short   174.6 s
    ov 1 lv 2 Guard(300)   quote   1320.6 realised   1435.7 short   115.1 s
    ov 1 lv 2 Guard(600)   quote   1620.6 realised   1735.6 short   115.0 s
    ov 1 lv 2 Guard(1200)  quote   2220.6 realised   2350.0 short   129.3 s
    ov 3 lv 1 FCFS         quote    816.4 realised    825.0 short     8.6 s
    ov 3 lv 2 FCFS         quote   1090.3 realised   1177.1 short    86.8 s
    ov 3 lv 2 Guard(300)   quote   1300.3 realised   1328.4 short    28.1 s
    ov 3 lv 2 Guard(600)   quote   1600.3 realised   1628.3 short    28.0 s
    ov 3 lv 2 Guard(1200)  quote   2200.3 realised   2235.0 short    34.7 s
  realised max wait at or above the paired-validation quote: 18 of 60 rows
