
=== primary, reps 0,1,2,3,4: gain on p99dl (point [95% week-block CI]) ===
rho                              0.5                     0.8                     1.0
policy                                                                              
FCFS          0.0000 [0.0000,0.0000]  0.0000 [0.0000,0.0000]  0.0000 [0.0000,0.0000]
primary 0,1,2,3,4  0.8  p99dl     SPJF-q90 - SPJF-M4 -0.0258 -0.0346 -0.0205      True      SPJF-M4 better  46.5859    44.3945      4.9363
primary 0,1,2,3,4  0.8  p99dl     SPJF-q99 - SPJF-M4  0.0014 -0.0077  0.0093     False          unresolved  44.2728    44.3945     -0.2740
primary 0,1,2,3,4  0.8  p99dl     SPJF-phv - SPJF-M4  0.0093  0.0020  0.0153      True     SPJF-phv better  43.6012    44.3945     -1.7869
primary 0,1,2,3,4  0.8  p99dl  SPJF-logvar - SPJF-M4  0.0062  0.0015  0.0112      True  SPJF-logvar better  43.8558    44.3945     -1.2133
primary 0,1,2,3,4  0.8   mean         FCFS - SPJF-M4 -0.9087 -0.9255 -0.8755      True      SPJF-M4 better   4.1601     1.2507    232.6211
primary 0,1,2,3,4  0.8   mean      SJF-ref - SPJF-M4  0.0913  0.0745  0.1245      True      SJF-ref better   0.9588     1.2507    -23.3392
primary 0,1,2,3,4  0.8   mean SPJF-tweedie - SPJF-M4  0.0066  0.0045  0.0100      True SPJF-tweedie better   1.2297     1.2507     -1.6788
primary 0,1,2,3,4  0.8   mean SPJF-M4refit - SPJF-M4 -0.0001 -0.0006  0.0003     False          unresolved   1.2509     1.2507      0.0160
primary 0,1,2,3,4  0.8   mean   SPJF-l2raw - SPJF-M4 -0.0103 -0.0146 -0.0073      True      SPJF-M4 better   1.2836     1.2507      2.6327
primary 0,1,2,3,4  0.8   mean   SPJF-gamma - SPJF-M4  0.0018 -0.0000  0.0050     False          unresolved   1.2449     1.2507     -0.4612
primary 0,1,2,3,4  0.8   mean  SPJF-hurdle - SPJF-M4  0.0038  0.0027  0.0059      True  SPJF-hurdle better   1.2384     1.2507     -0.9822
primary 0,1,2,3,4  0.8   mean     SPJF-q50 - SPJF-M4 -0.0226 -0.0266 -0.0196      True      SPJF-M4 better   1.3231     1.2507      5.7901
primary 0,1,2,3,4  0.8   mean     SPJF-q90 - SPJF-M4 -0.0156 -0.0224 -0.0122      True      SPJF-M4 better   1.3007     1.2507      3.9950
primary 0,1,2,3,4  0.8   mean     SPJF-q99 - SPJF-M4 -0.0221 -0.0297 -0.0152      True      SPJF-M4 better   1.3213     1.2507      5.6455
primary 0,1,2,3,4  0.8   mean     SPJF-phv - SPJF-M4 -0.0008 -0.0019  0.0013     False          unresolved   1.2533     1.2507      0.2048
primary 0,1,2,3,4  0.8   mean  SPJF-logvar - SPJF-M4  0.0018 -0.0000  0.0038     False          unresolved   1.2451     1.2507     -0.4472
primary 0,1,2,3,4  1.0  p99dl         FCFS - SPJF-M4 -0.8967 -0.9133 -0.8721      True      SPJF-M4 better 273.4974    67.2871    306.4635
primary 0,1,2,3,4  1.0  p99dl      SJF-ref - SPJF-M4  0.1033  0.0867  0.1279      True      SJF-ref better  43.6292    67.2871    -35.1596
primary 0,1,2,3,4  1.0  p99dl SPJF-tweedie - SPJF-M4  0.0191  0.0111  0.0238      True SPJF-tweedie better  62.9111    67.2871     -6.5034
primary 0,1,2,3,4  1.0  p99dl SPJF-M4refit - SPJF-M4 -0.0003 -0.0012  0.0003     False          unresolved  67.3551    67.2871      0.1011
primary 0,1,2,3,4  1.0  p99dl   SPJF-l2raw - SPJF-M4 -0.0094 -0.0194 -0.0043      True      SPJF-M4 better  69.4738    67.2871      3.2498
primary 0,1,2,3,4  1.0  p99dl   SPJF-gamma - SPJF-M4  0.0140  0.0068  0.0184      True   SPJF-gamma better  64.0898    67.2871     -4.7517
primary 0,1,2,3,4  1.0  p99dl  SPJF-hurdle - SPJF-M4  0.0174  0.0082  0.0223      True  SPJF-hurdle better  63.3021    67.2871     -5.9223
primary 0,1,2,3,4  1.0  p99dl     SPJF-q50 - SPJF-M4 -0.0565 -0.0684 -0.0463      True      SPJF-M4 better  80.2669    67.2871     19.2902
primary 0,1,2,3,4  1.0  p99dl     SPJF-q90 - SPJF-M4 -0.0212 -0.0297 -0.0156      True      SPJF-M4 better  72.1355    67.2871      7.2056
primary 0,1,2,3,4  1.0  p99dl     SPJF-q99 - SPJF-M4  0.0038 -0.0050  0.0097     False          unresolved  66.4262    67.2871     -1.2793
primary 0,1,2,3,4  1.0  p99dl     SPJF-phv - SPJF-M4  0.0155  0.0066  0.0199      True     SPJF-phv better  63.7439    67.2871     -5.2658
primary 0,1,2,3,4  1.0  p99dl  SPJF-logvar - SPJF-M4  0.0151  0.0087  0.0191      True  SPJF-logvar better  63.8213    67.2871     -5.1507
primary 0,1,2,3,4  1.0   mean         FCFS - SPJF-M4 -0.9233 -0.9348 -0.9012      True      SPJF-M4 better  10.2700     2.3519    336.6680
primary 0,1,2,3,4  1.0   mean      SJF-ref - SPJF-M4  0.0767  0.0652  0.0988      True      SJF-ref better   1.6955     2.3519    -27.9081
primary 0,1,2,3,4  1.0   mean SPJF-tweedie - SPJF-M4  0.0071  0.0057  0.0092      True SPJF-tweedie better   2.2915     2.3519     -2.5672
primary 0,1,2,3,4  1.0   mean SPJF-M4refit - SPJF-M4  0.0000 -0.0004  0.0004     False          unresolved   2.3520     2.3519      0.0037
primary 0,1,2,3,4  1.0   mean   SPJF-l2raw - SPJF-M4 -0.0088 -0.0122 -0.0064      True      SPJF-M4 better   2.4272     2.3519      3.2005
primary 0,1,2,3,4  1.0   mean   SPJF-gamma - SPJF-M4  0.0037  0.0026  0.0054      True   SPJF-gamma better   2.3207     2.3519     -1.3268
primary 0,1,2,3,4  1.0   mean  SPJF-hurdle - SPJF-M4  0.0047  0.0037  0.0060      True  SPJF-hurdle better   2.3114     2.3519     -1.7212
primary 0,1,2,3,4  1.0   mean     SPJF-q50 - SPJF-M4 -0.0250 -0.0292 -0.0218      True      SPJF-M4 better   2.5665     2.3519      9.1232
primary 0,1,2,3,4  1.0   mean     SPJF-q90 - SPJF-M4 -0.0124 -0.0173 -0.0100      True      SPJF-M4 better   2.4584     2.3519      4.5284
primary 0,1,2,3,4  1.0   mean     SPJF-q99 - SPJF-M4 -0.0183 -0.0244 -0.0133      True      SPJF-M4 better   2.5091     2.3519      6.6850
primary 0,1,2,3,4  1.0   mean     SPJF-phv - SPJF-M4  0.0026  0.0016  0.0039      True     SPJF-phv better   2.3298     2.3519     -0.9407
primary 0,1,2,3,4  1.0   mean  SPJF-logvar - SPJF-M4  0.0037  0.0030  0.0048      True  SPJF-logvar better   2.3203     2.3519     -1.3422
