trace,reps,rho,k,policy,p99_dl_s,mean_s,p99_s,max_heavy_s,p99_heavy_s,p99_exam_s,gain_p99dl,dgain_p99dl_vs_M4,gain_mean,dgain_mean_vs_M4
primary,"0,1,2,3,4",0.5,7,FCFS,27.6446,0.7189,15.1874,406.8,118.72,28.714,"0.0000 [0.0000,0.0000]","-0.7528 [-0.7761,-0.7213]","0.0000 [0.0000,0.0000]","-0.8652 [-0.8955,-0.7958]"
primary,"0,1,2,3,4",0.5,7,SJF-ref,10.5875,0.2281,5.0992,1005.2,101.23,10.9746,"1.0000 [1.0000,1.0000]","+0.2472 [+0.2239,+0.2787]","1.0000 [1.0000,1.0000]","+0.1348 [+0.1045,+0.2042]"
primary,"0,1,2,3,4",0.5,7,SPJF-M4,14.7278,0.2951,6.6339,1189.5,110.85,13.6414,"0.7528 [0.7213,0.7761]",,"0.8652 [0.7958,0.8955]",
primary,"0,1,2,3,4",0.5,7,SPJF-M4refit,14.7239,0.2954,6.6441,1191.1,111.01,13.6292,"0.7534 [0.7217,0.7760]","+0.0005 [-0.0016,+0.0022] ns","0.8647 [0.7955,0.8944]","-0.0005 [-0.0024,+0.0012] ns"
primary,"0,1,2,3,4",0.5,7,SPJF-tweedie,14.7251,0.2923,6.6257,1181.9,110.94,13.6217,"0.7515 [0.7229,0.7753]","-0.0013 [-0.0172,+0.0125] ns","0.8705 [0.8050,0.8988]","+0.0053 [+0.0025,+0.0103]"
primary,"0,1,2,3,4",0.5,7,SPJF-gamma,14.7647,0.2927,6.615,992.8,114.15,13.5766,"0.7484 [0.7160,0.7739]","-0.0044 [-0.0175,+0.0067] ns","0.8695 [0.8065,0.8971]","+0.0043 [+0.0004,+0.0117]"
primary,"0,1,2,3,4",0.5,7,SPJF-hurdle,14.9203,0.2934,6.6352,1186.4,109.69,13.4409,"0.7404 [0.7094,0.7653]","-0.0124 [-0.0288,+0.0020] ns","0.8678 [0.8054,0.8957]","+0.0026 [-0.0012,+0.0107] ns"
primary,"0,1,2,3,4",0.5,7,SPJF-phv,14.7964,0.2974,6.5855,1087.6,112.88,13.4142,"0.7476 [0.7171,0.7705]","-0.0052 [-0.0175,+0.0064] ns","0.8603 [0.7935,0.8896]","-0.0050 [-0.0073,-0.0012]"
primary,"0,1,2,3,4",0.5,7,SPJF-logvar,14.8653,0.2967,6.6737,1167.2,111.88,13.4409,"0.7435 [0.7154,0.7658]","-0.0093 [-0.0158,-0.0021]","0.8615 [0.7927,0.8915]","-0.0037 [-0.0056,-0.0015]"
primary,"0,1,2,3,4",0.5,7,SPJF-q99,15.1713,0.3098,6.874,982.7,115.51,13.8186,"0.7245 [0.7004,0.7454]","-0.0284 [-0.0391,-0.0157]","0.8351 [0.7580,0.8729]","-0.0302 [-0.0455,-0.0188]"
primary,"0,1,2,3,4",0.5,7,SPJF-q90,15.5589,0.304,6.8202,1186.8,106.78,13.8388,"0.7024 [0.6657,0.7344]","-0.0504 [-0.0602,-0.0389]","0.8476 [0.7705,0.8809]","-0.0177 [-0.0260,-0.0131]"
primary,"0,1,2,3,4",0.5,7,SPJF-q50,15.529,0.3016,6.8152,1008.5,113.61,14.9091,"0.7071 [0.6763,0.7329]","-0.0457 [-0.0580,-0.0329]","0.8523 [0.7846,0.8823]","-0.0129 [-0.0181,-0.0081]"
primary,"0,1,2,3,4",0.5,7,SPJF-l2raw,15.2717,0.3005,6.839,1185.5,105.8,13.2324,"0.7197 [0.6886,0.7454]","-0.0331 [-0.0464,-0.0210]","0.8538 [0.7819,0.8859]","-0.0114 [-0.0170,-0.0073]"
primary,"0,1,2,3,4",0.8,5,FCFS,119.3519,4.1601,84.5185,862.5,358.86,199.2662,"0.0000 [0.0000,0.0000]","-0.8728 [-0.8865,-0.8509]","0.0000 [0.0000,0.0000]","-0.9087 [-0.9255,-0.8755]"
primary,"0,1,2,3,4",0.8,5,SJF-ref,33.5526,0.9588,25.4501,2540.6,328.52,32.7647,"1.0000 [1.0000,1.0000]","+0.1272 [+0.1135,+0.1491]","1.0000 [1.0000,1.0000]","+0.0913 [+0.0745,+0.1245]"
primary,"0,1,2,3,4",0.8,5,SPJF-M4,44.3945,1.2507,30.1431,2874.0,374.3,39.9455,"0.8728 [0.8509,0.8865]",,"0.9087 [0.8755,0.9255]",
primary,"0,1,2,3,4",0.8,5,SPJF-M4refit,44.4068,1.2509,30.131,2880.0,374.06,39.9216,"0.8726 [0.8508,0.8864]","-0.0002 [-0.0009,+0.0006] ns","0.9086 [0.8753,0.9254]","-0.0001 [-0.0006,+0.0003] ns"
primary,"0,1,2,3,4",0.8,5,SPJF-tweedie,43.3893,1.2297,29.6102,2883.8,356.37,39.9417,"0.8847 [0.8620,0.8985]","+0.0119 [+0.0052,+0.0185]","0.9153 [0.8841,0.9309]","+0.0066 [+0.0045,+0.0100]"
primary,"0,1,2,3,4",0.8,5,SPJF-gamma,43.6948,1.2449,29.7529,2693.0,385.19,40.3214,"0.8811 [0.8575,0.8948]","+0.0083 [+0.0013,+0.0134]","0.9105 [0.8784,0.9270]","+0.0018 [-0.0000,+0.0050] ns"
primary,"0,1,2,3,4",0.8,5,SPJF-hurdle,43.552,1.2384,29.6037,2875.6,348.63,38.8586,"0.8826 [0.8587,0.8971]","+0.0098 [+0.0010,+0.0171]","0.9125 [0.8800,0.9290]","+0.0038 [+0.0027,+0.0059]"
primary,"0,1,2,3,4",0.8,5,SPJF-phv,43.6012,1.2533,29.4565,2649.1,385.44,39.8071,"0.8821 [0.8589,0.8959]","+0.0093 [+0.0020,+0.0153]","0.9079 [0.8754,0.9250]","-0.0008 [-0.0019,+0.0013] ns"
primary,"0,1,2,3,4",0.8,5,SPJF-logvar,43.8558,1.2451,29.9012,2837.5,372.98,38.7278,"0.8790 [0.8571,0.8927]","+0.0062 [+0.0015,+0.0112]","0.9104 [0.8771,0.9268]","+0.0018 [-0.0000,+0.0038] ns"
primary,"0,1,2,3,4",0.8,5,SPJF-q99,44.2728,1.3213,30.3614,2623.1,410.46,39.8869,"0.8742 [0.8508,0.8874]","+0.0014 [-0.0077,+0.0093] ns","0.8866 [0.8493,0.9076]","-0.0221 [-0.0297,-0.0152]"
primary,"0,1,2,3,4",0.8,5,SPJF-q90,46.5859,1.3007,31.164,2887.3,348.77,41.7395,"0.8470 [0.8190,0.8641]","-0.0258 [-0.0346,-0.0205]","0.8931 [0.8529,0.9130]","-0.0156 [-0.0224,-0.0122]"
primary,"0,1,2,3,4",0.8,5,SPJF-q50,48.9683,1.3231,32.0308,2690.9,380.94,45.947,"0.8196 [0.7935,0.8376]","-0.0532 [-0.0611,-0.0460]","0.8860 [0.8505,0.9045]","-0.0226 [-0.0266,-0.0196]"
primary,"0,1,2,3,4",0.8,5,SPJF-l2raw,45.6343,1.2836,30.4473,2885.4,368.82,38.6257,"0.8585 [0.8283,0.8751]","-0.0143 [-0.0249,-0.0080]","0.8983 [0.8615,0.9175]","-0.0103 [-0.0146,-0.0073]"
primary,"0,1,2,3,4",1.0,4,FCFS,273.4974,10.27,230.8031,1253.3,611.81,533.6173,"0.0000 [0.0000,0.0000]","-0.8967 [-0.9133,-0.8721]","0.0000 [0.0000,0.0000]","-0.9233 [-0.9348,-0.9012]"
