trace,reps,rho,metric,pair,d_gain,lo,hi,resolved,verdict,wait,wait_base,d_wait_pct
validpre,"0,1",0.5,p99dl,FCFS - SPJF-M4,-0.7414116354570865,-0.7714544616968838,-0.7027924994919115,True,SPJF-M4 better,38.06589563742274,22.089421111941313,72.32636131349187
validpre,"0,1",0.5,p99dl,SJF-ref - SPJF-M4,0.25858836454291345,0.2285455383031162,0.2972075005080886,True,SJF-ref better,16.556261664181918,22.089421111941313,-25.048911058915106
validpre,"0,1",0.5,p99dl,SPJF-M4refit - SPJF-M4,0.00236364348752649,-0.0022236576622489705,0.006680008503987249,False,unresolved,22.043467427194066,22.089421111941313,-0.20803480776779743
validpre,"0,1",0.5,p99dl,SPJF-l2raw - SPJF-M4,-0.041930155022113835,-0.05868373768190233,-0.029613707485854436,True,SPJF-M4 better,22.988386320769727,22.089421111941313,4.069663954853227
validpre,"0,1",0.5,p99dl,SPJF-tweedie - SPJF-M4,0.005053991544912595,-0.009894399174448065,0.020944143760315136,False,unresolved,21.918261719942073,22.089421111941313,-0.7748477931217155
validpre,"0,1",0.5,p99dl,SPJF-gamma - SPJF-M4,-0.002834404843110816,-0.017802223031764906,0.009216611147124203,False,unresolved,22.070208651572443,22.089421111941313,-0.08697584364709152
validpre,"0,1",0.5,p99dl,SPJF-hurdle - SPJF-M4,-0.013311046241603286,-0.027953081793523564,-0.0010032251389365079,True,SPJF-M4 better,22.32563243255013,22.089421111941313,1.0693413802551999
validpre,"0,1",0.5,p99dl,SPJF-q50 - SPJF-M4,-0.04222147053891878,-0.060865800468471565,-0.027100351149318566,True,SPJF-M4 better,23.001936561018127,22.089421111941313,4.131006622819633
validpre,"0,1",0.5,p99dl,SPJF-q90 - SPJF-M4,-0.04863401530038092,-0.06498767807348262,-0.03758330805993537,True,SPJF-M4 better,23.094789077043515,22.089421111941313,4.551354967644266
validpre,"0,1",0.5,p99dl,SPJF-q99 - SPJF-M4,-0.026282769237213954,-0.04206183607157883,-0.010190611943940869,True,SPJF-M4 better,22.62491923585533,22.089421111941313,2.424228870463846
validpre,"0,1",0.5,p99dl,SPJF-phv - SPJF-M4,0.002308423020250694,-0.01585737544055757,0.01456842040775248,False,unresolved,21.97554248750209,22.089421111941313,-0.5155346709274422
validpre,"0,1",0.5,p99dl,SPJF-logvar - SPJF-M4,-0.0041251185839419335,-0.016211840655935904,0.0008627638022403201,False,unresolved,22.145203538387975,22.089421111941313,0.25253005121309563
validpre,"0,1",0.5,mean,FCFS - SPJF-M4,-0.8263954310071053,-0.8736444253301779,-0.7449250290510784,True,SPJF-M4 better,0.8915698235331162,0.43214545749513883,106.31243672002392
validpre,"0,1",0.5,mean,SJF-ref - SPJF-M4,0.17360456899289467,0.126355574669822,0.2550749709489217,True,SJF-ref better,0.3359726208607574,0.43214545749513883,-22.25473737288174
validpre,"0,1",0.5,mean,SPJF-M4refit - SPJF-M4,0.0007050041766659687,-0.0014881468551091793,0.002540646052110239,False,unresolved,0.4318957082419243,0.43214545749513883,-0.0577928678603166
validpre,"0,1",0.5,mean,SPJF-l2raw - SPJF-M4,-0.018704927139244987,-0.028236970995410737,-0.011136546191242692,True,SPJF-M4 better,0.4427714600952321,0.43214545749513883,2.458894896566813
validpre,"0,1",0.5,mean,SPJF-tweedie - SPJF-M4,0.00520400821562772,-0.0004153925662274349,0.013793859014491067,False,unresolved,0.42883868365928357,0.43214545749513883,-0.765199258375279
validpre,"0,1",0.5,mean,SPJF-gamma - SPJF-M4,0.0024653748133778297,-0.003052832663384619,0.011503726581685312,False,unresolved,0.43097921176102216,0.43214545749513883,-0.269873421990045
validpre,"0,1",0.5,mean,SPJF-hurdle - SPJF-M4,0.006867979466898544,0.0005476321665653372,0.01589130329933643,True,SPJF-hurdle better,0.4289322388520239,0.43214545749513883,-0.7435502531346306
validpre,"0,1",0.5,mean,SPJF-q50 - SPJF-M4,-0.01631052809332212,-0.022947133995750962,-0.00740027749016425,True,SPJF-M4 better,0.44161949570823467,0.43214545749513883,2.192326229230909
validpre,"0,1",0.5,mean,SPJF-q90 - SPJF-M4,-0.02512493880213107,-0.03776394306888477,-0.0168241134061887,True,SPJF-M4 better,0.4459197590259386,0.43214545749513883,3.187422496730682
validpre,"0,1",0.5,mean,SPJF-q99 - SPJF-M4,-0.03338476509515487,-0.056107471510962355,-0.0166216901533935,True,SPJF-M4 better,0.4503731497557071,0.43214545749513883,4.217952993471716
validpre,"0,1",0.5,mean,SPJF-phv - SPJF-M4,-0.0031275535557151457,-0.007762263726718005,0.0008980853633525218,False,unresolved,0.433611282138346,0.43214545749513883,0.33919704992471145
validpre,"0,1",0.5,mean,SPJF-logvar - SPJF-M4,-0.00407625856212146,-0.008609923742953562,-0.0006063023272975933,True,SPJF-M4 better,0.43426409519114123,0.43214545749513883,0.4902603184313776
