trace,reps,rho,metric,policy,k,wait,gain,lo,hi,fcfs_minus_sjf
primary,"0,1",0.5,p99dl,FCFS,8.0,21.6869404096157,0.0,0.0,0.0,13.750572389364269
primary,"0,1",0.5,p99dl,SJF-ref,8.0,7.936368020251434,1.0,1.0,1.0,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-M4,8.0,11.397772194817682,0.7483762906570249,0.7155133720324804,0.7791569268316967,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-tweedie,8.0,11.54396955147389,0.7377809268128053,0.7085280569000759,0.7659530158980324,13.750572389364269
primary,"0,1",0.5,p99dl,ORACLE-on-true-heavy,8.0,8.78658658415086,0.9381859170923613,0.9191898600730625,0.9522644650105124,13.750572389364269
primary,"0,1",0.5,p99dl,ORACLE-on-true-light,8.0,9.573595773428691,0.8809622841117457,0.8565985078140136,0.912420626169336,13.750572389364269
primary,"0,1",0.5,p99dl,ORACLE-top0.1pct-under,8.0,10.924356446042687,0.7827701318819389,0.7477379040909854,0.8107048824527925,13.750572389364269
primary,"0,1",0.5,p99dl,ORACLE-top0.1pct-over,8.0,11.347351662814628,0.7520442468454687,0.7206707940514189,0.7818829639789326,13.750572389364269
primary,"0,1",0.5,p99dl,ORACLE-top1.0pct-under,8.0,8.75968907736248,0.9401296906930039,0.9217268798483833,0.9522082845622778,13.750572389364269
primary,"0,1",0.5,p99dl,ORACLE-top1.0pct-over,8.0,10.599945765361248,0.8063397111430002,0.7800755801384259,0.8293389728432657,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-M4refit,8.0,11.359919187799104,0.751114738059164,0.717759271401741,0.7824269017356297,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-l2raw,8.0,11.908901695534595,0.7111930695129036,0.676842281003191,0.7424157264974303,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-gamma,8.0,11.533815012127327,0.7384518397748221,0.7078638821139486,0.7688975652961908,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-hurdle,8.0,11.658729018270986,0.7293989824031256,0.6969945944850143,0.7606472594784672,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-q50,8.0,11.906667365878953,0.7113831869365398,0.6813339525474226,0.7394972984991613,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-q90,8.0,12.165326948836464,0.6925550225590417,0.6544429313175489,0.7303546530054368,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-q99,8.0,11.834094461053706,0.7166451757918892,0.6861996168756253,0.7475421215814323,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-phv,8.0,11.481281471997647,0.742292535410811,0.7126927485128984,0.7718437946986334,13.750572389364269
primary,"0,1",0.5,p99dl,SPJF-logvar,8.0,11.573427475243882,0.7355996459587779,0.7053436986264977,0.7659274172703308,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-FCFS-tau0.02,8.0,14.900520175695622,0.4936497520318526,0.4070048199650403,0.5515179143867678,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-SPJF-tau0.02,8.0,11.295904530212301,0.7557594093221552,0.7218531764937645,0.7864031639337163,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-TWEEDIE-tau0.02,8.0,11.471664927899837,0.7429919767681779,0.7135609026736908,0.7695877342178047,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-FCFS-tau0.05,8.0,14.38908307440581,0.5308242510272179,0.43795429374878686,0.5872711431706247,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-SPJF-tau0.05,8.0,11.433717358857415,0.7457695490276497,0.7112249400430615,0.7787914972871095,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-TWEEDIE-tau0.05,8.0,11.570427713543195,0.7358527217063255,0.705796228652447,0.7632652007695018,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-FCFS-tau0.1,8.0,14.085622718930301,0.553020837996882,0.4655572493909709,0.6087753494538856,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-SPJF-tau0.1,8.0,11.333856246248029,0.7530466971584535,0.7195455438982459,0.781638767673179,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-TWEEDIE-tau0.1,8.0,11.61048107892275,0.7329449299286637,0.7048531611346663,0.7583954588714779,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-FCFS-tau0.2,8.0,14.013916186988453,0.5582075664431367,0.4950366026651137,0.6066858074305982,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-SPJF-tau0.2,8.0,11.37319814711815,0.7501534782629741,0.7184970758818314,0.7811043246694255,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-TWEEDIE-tau0.2,8.0,11.636785538867164,0.7310052367567917,0.7020043601798761,0.7565921722166237,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-FCFS-tau0.4,8.0,13.898819907382151,0.5664885802226245,0.5169201694256544,0.6067377955204017,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-SPJF-tau0.4,8.0,11.37549514696003,0.7500119256387141,0.7170530728881378,0.780303410012715,13.750572389364269
primary,"0,1",0.5,p99dl,2CLASS-TWEEDIE-tau0.4,8.0,11.57426298744982,0.7355583737498006,0.7072210395130658,0.7607039170845824,13.750572389364269
primary,"0,1",0.5,mean,FCFS,8.0,0.5914931833440404,0.0,0.0,0.0,0.40893394548211925
primary,"0,1",0.5,mean,SJF-ref,8.0,0.1825592378619212,1.0,1.0,1.0,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-M4,8.0,0.2325284961885692,0.8778421136597526,0.8057867235429884,0.9086238503449096,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-tweedie,8.0,0.2315591558259656,0.8802280021935962,0.810217331009372,0.9092054222128801,0.40893394548211925
primary,"0,1",0.5,mean,ORACLE-on-true-heavy,8.0,0.19250501165666375,0.9757203854216076,0.9596056677567298,0.9826113502738834,0.40893394548211925
primary,"0,1",0.5,mean,ORACLE-on-true-light,8.0,0.2080915146990947,0.9376251127373918,0.8957093457779223,0.9563126123105602,0.40893394548211925
primary,"0,1",0.5,mean,ORACLE-top0.1pct-under,8.0,0.2222965489475339,0.9028425554196398,0.8363047561938186,0.9304377611236071,0.40893394548211925
primary,"0,1",0.5,mean,ORACLE-top0.1pct-over,8.0,0.2312977346773947,0.8808612715671023,0.8089133696807571,0.9116346739158527,0.40893394548211925
primary,"0,1",0.5,mean,ORACLE-top1.0pct-under,8.0,0.19323843143189423,0.9739084902763718,0.9585071503945982,0.9806286152336484,0.40893394548211925
primary,"0,1",0.5,mean,ORACLE-top1.0pct-over,8.0,0.21891890382083834,0.9111299414377922,0.8561929773492393,0.9350127474614511,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-M4refit,8.0,0.23250609862436017,0.8778842508341846,0.8061821113886508,0.9084750357978022,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-l2raw,8.0,0.2382488684626578,0.8638887710524032,0.7849733099355951,0.8983027988384306,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-gamma,8.0,0.23184546446946205,0.8795188957387663,0.8117429228104054,0.9085467534602228,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-hurdle,8.0,0.23375485043795474,0.8748566470746459,0.8042320343526508,0.9047245403726474,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-q50,8.0,0.23734282601173765,0.8660919046514695,0.7933640963146097,0.8966753936547553,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-q90,8.0,0.23969480658710923,0.8603106267752386,0.7838836829924105,0.892668241823647,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-q99,8.0,0.2451061411727855,0.8471079080669938,0.7615768280478997,0.8855754687616365,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-phv,8.0,0.23518216452704585,0.8713751697747436,0.8001993557045436,0.9010411838517527,0.40893394548211925
primary,"0,1",0.5,mean,SPJF-logvar,8.0,0.23465184133433045,0.8726565227773906,0.7981095924865002,0.904391600027624,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.02,8.0,0.3128375269272109,0.6814747359266422,0.5954540101815755,0.7231922230142396,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.02,8.0,0.23032845463058838,0.8832427780119728,0.8116166735957449,0.913828378314768,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.02,8.0,0.22997577080309076,0.8840770374491043,0.8145207632060664,0.9131139601086734,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.05,8.0,0.295055877179189,0.7249834213180586,0.6296469576182241,0.7655538453773089,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.05,8.0,0.23198848486598767,0.8791668787308313,0.807768972780179,0.9097021169732163,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.05,8.0,0.23175731647740605,0.8797559665506303,0.8088555511678122,0.9099065037836503,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.1,8.0,0.29119017350780957,0.7344646145665901,0.6392032794290423,0.7751767131073116,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.1,8.0,0.2318851916553165,0.8794236934699767,0.8081244015360921,0.9094296170851734,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.1,8.0,0.2328575696392762,0.8770473990772433,0.8070404829248375,0.9064102539421806,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.2,8.0,0.28639576901098246,0.7461831705329167,0.6522046036787691,0.7865016377510391,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.2,8.0,0.23189937434176375,0.8793873979092488,0.807922038937019,0.9096161222681877,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.2,8.0,0.23213759831573094,0.878806250719405,0.8093590211700404,0.9082567467630053,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.4,8.0,0.29074006105785877,0.7355403457824504,0.6371484568100024,0.7789518380336111,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.4,8.0,0.23277235591025558,0.8772530658203042,0.8040458681246101,0.9088021027511293,0.40893394548211925
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.4,8.0,0.2321791937409968,0.8787209890617245,0.8072257180906462,0.9094047119314301,0.40893394548211925
primary,"0,1",0.8,p99dl,FCFS,5.0,110.585805236921,0.0,0.0,0.0,77.38609419353334
primary,"0,1",0.8,p99dl,SJF-ref,5.0,33.19971104338768,1.0,1.0,1.0,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-M4,5.0,43.65852159373466,0.8647554338136918,0.8412594110939348,0.883533515125802,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-tweedie,5.0,42.53460360951729,0.8791961149480163,0.8552726897707208,0.89782830038755,77.38609419353334
primary,"0,1",0.8,p99dl,ORACLE-on-true-heavy,5.0,34.735017073527025,0.9802238593408182,0.9716613305582302,0.9860670173163376,77.38609419353334
primary,"0,1",0.8,p99dl,ORACLE-on-true-light,5.0,38.824188087135624,0.9272660321984099,0.9155307948368672,0.9373904416272495,77.38609419353334
primary,"0,1",0.8,p99dl,ORACLE-top0.1pct-under,5.0,40.63939534239472,0.9037800298315656,0.8793049802614669,0.9199277749552377,77.38609419353334
primary,"0,1",0.8,p99dl,ORACLE-top0.1pct-over,5.0,43.507792014628684,0.8666934044127895,0.8439104847948419,0.885536185240158,77.38609419353334
primary,"0,1",0.8,p99dl,ORACLE-top1.0pct-under,5.0,34.78706470727924,0.9795564356491113,0.9698918818328516,0.9862401194154925,77.38609419353334
primary,"0,1",0.8,p99dl,ORACLE-top1.0pct-over,5.0,41.251994083635594,0.8958478158974177,0.881960883346554,0.9084182013933982,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-M4refit,5.0,43.69687170907879,0.8642487721592951,0.8409368914915802,0.8831505818808727,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-l2raw,5.0,44.590920884534796,0.8526985768885804,0.8206647936871712,0.8751128877729455,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-gamma,5.0,42.87646788135187,0.8748781158008936,0.8495876692772868,0.8942522561297105,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-hurdle,5.0,42.878610444441506,0.8747624606501914,0.8478787028774973,0.8944036506415293,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-q50,5.0,47.713320665061616,0.8123774284317569,0.7873742776663827,0.8355918130350094,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-q90,5.0,45.891159552335836,0.8358456034487812,0.8045047086927982,0.8581189450071142,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-q99,5.0,43.530257448181544,0.8663285019930697,0.8411502927522331,0.8858112913244689,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-phv,5.0,42.82129272753399,0.8755364784709572,0.8493155819634232,0.8955003012086294,77.38609419353334
primary,"0,1",0.8,p99dl,SPJF-logvar,5.0,43.147697426006246,0.8712806749207589,0.8462405423829547,0.8905702803542407,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-FCFS-tau0.02,5.0,63.77621538378338,0.6048769224511483,0.516530811901807,0.6881716930411681,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-SPJF-tau0.02,5.0,43.25288027785732,0.869954979596059,0.8466904225815667,0.8890446618056818,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-TWEEDIE-tau0.02,5.0,42.360179354623,0.8814634010798865,0.8571919794110242,0.8996349087255543,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-FCFS-tau0.05,5.0,50.33607576265959,0.778563414133285,0.7016998048453477,0.8187254166123807,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-SPJF-tau0.05,5.0,43.369896954670565,0.8684584440557309,0.8448724816162129,0.8871827934865945,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-TWEEDIE-tau0.05,5.0,42.49038856141278,0.8797900728193042,0.8562868583855794,0.8976640427351751,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-FCFS-tau0.1,5.0,48.15955513454981,0.8065439586713024,0.7449248778029867,0.8407957877929,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-SPJF-tau0.1,5.0,43.383198352903364,0.8683125226942687,0.845063854180972,0.8863236841804806,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-TWEEDIE-tau0.1,5.0,42.597707429528285,0.8783856788877236,0.854696824198426,0.8967278621398671,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-FCFS-tau0.2,5.0,47.2074028134347,0.8187939255181274,0.7776033559273254,0.8466082670774256,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-SPJF-tau0.2,5.0,43.59487972334036,0.8655560294920732,0.8418847898987714,0.8833482078162,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-TWEEDIE-tau0.2,5.0,42.644387461990206,0.8778050024856213,0.8538632906822048,0.895910397225132,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-FCFS-tau0.4,5.0,49.39155960083012,0.7907669110796212,0.7486999784180267,0.8225821331288216,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-SPJF-tau0.4,5.0,43.740304715186525,0.8636736239580327,0.8401272473744665,0.8823924621628065,77.38609419353334
primary,"0,1",0.8,p99dl,2CLASS-TWEEDIE-tau0.4,5.0,42.70383218899372,0.8770169072462273,0.8516039662191686,0.8955873126738866,77.38609419353334
primary,"0,1",0.8,mean,FCFS,5.0,4.189612376112848,0.0,0.0,0.0,3.2480272188254737
primary,"0,1",0.8,mean,SJF-ref,5.0,0.9415851572873739,1.0,1.0,1.0,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-M4,5.0,1.2158426588119644,0.9154685529944946,0.8799290971763442,0.9311799850572839,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-tweedie,5.0,1.2018651880638884,0.9197297735658911,0.8861926650658883,0.934648077796448,3.2480272188254737
primary,"0,1",0.8,mean,ORACLE-on-true-heavy,5.0,0.9950503118639671,0.9835451059210654,0.9760247099349356,0.9870843078391464,3.2480272188254737
primary,"0,1",0.8,mean,ORACLE-on-true-light,5.0,1.0817250881934615,0.956783825553954,0.9382480858546985,0.965763196176746,3.2480272188254737
primary,"0,1",0.8,mean,ORACLE-top0.1pct-under,5.0,1.1391215790004057,0.9391608231629776,0.905605524299285,0.9534614699569153,3.2480272188254737
primary,"0,1",0.8,mean,ORACLE-top0.1pct-over,5.0,1.2082782527848581,0.917792985485454,0.8831583003043568,0.9331677632851199,3.2480272188254737
primary,"0,1",0.8,mean,ORACLE-top1.0pct-under,5.0,0.9938952450982752,0.9839033965741155,0.9756769664688758,0.9877468582661273,3.2480272188254737
primary,"0,1",0.8,mean,ORACLE-top1.0pct-over,5.0,1.1520131171174666,0.9351178476901301,0.9105493700833432,0.9462726951941616,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-M4refit,5.0,1.2171217266183856,0.9150669102503668,0.8790206240587876,0.9310023858366333,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-l2raw,5.0,1.2470768779317045,0.9057968137093113,0.866874935089148,0.9233336326208931,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-gamma,5.0,1.2157394885955486,0.9155063468167368,0.881631129405563,0.9305821371393279,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-hurdle,5.0,1.2065139099596185,0.9182949195922265,0.8843982645953362,0.9334707431532121,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-q50,5.0,1.2870812371071492,0.8935091176930661,0.8564807212527026,0.910335196894129,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-q90,5.0,1.270989455113327,0.8984590473499692,0.8549668789668644,0.9178530366091509,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-q99,5.0,1.2889812643549026,0.8928862574074069,0.8511302000173078,0.9127058699741001,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-phv,5.0,1.2218723143484096,0.9135647214903464,0.879664521163541,0.9289003017114676,3.2480272188254737
primary,"0,1",0.8,mean,SPJF-logvar,5.0,1.2113593107750211,0.9168059916228812,0.8819937164197464,0.9324252394884082,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.02,5.0,1.8620693274916018,0.7164618044635449,0.6635017065982852,0.7466455428907401,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.02,5.0,1.2042499236536024,0.9190161803897501,0.8843524060987648,0.9344278129880006,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.02,5.0,1.1989414643549496,0.9206391385334567,0.8879379249367382,0.9351108640273221,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.05,5.0,1.613977803238681,0.7928192811605946,0.7412895972522269,0.8164561391124772,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.05,5.0,1.2079721023888217,0.9178922393863486,0.8829696817592456,0.9333997402004586,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.05,5.0,1.2004032178748845,0.9201689324348166,0.8865558903407564,0.9348557530146415,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.1,5.0,1.5853349455121704,0.8015798762504653,0.7503657644005408,0.8258932313744067,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.1,5.0,1.214549374171618,0.9158709374185551,0.8806855538551939,0.9316005855455423,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.1,5.0,1.2044536085503954,0.9189066274051358,0.8857751019288379,0.9335662818219165,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.2,5.0,1.5620375226593617,0.8087112652291676,0.7584408484242654,0.8323521968132376,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.2,5.0,1.216075038477689,0.9153772926709748,0.8796836972586952,0.9312885427113141,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.2,5.0,1.2027222106123063,0.9194510790489506,0.8859587610424777,0.9343931952390774,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-FCFS-tau0.4,5.0,1.6320958553575666,0.7871176983265327,0.7307056394988779,0.8138320687313915,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-SPJF-tau0.4,5.0,1.2146418508851475,0.9158224828903191,0.8801996272696239,0.9316848237832701,3.2480272188254737
primary,"0,1",0.8,mean,2CLASS-TWEEDIE-tau0.4,5.0,1.2013274283788011,0.919897872237615,0.886318391555916,0.9349681376540502,3.2480272188254737
primary,"0,1",1.0,p99dl,FCFS,4.0,270.47878442853835,0.0,0.0,0.0,227.35556219779096
primary,"0,1",1.0,p99dl,SJF-ref,4.0,43.12322223074739,1.0,1.0,1.0,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-M4,4.0,65.79516226090499,0.900041763253828,0.8742151784733558,0.9200589224057354,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-tweedie,4.0,61.45195641294131,0.919163898393687,0.8946853216391532,0.9349377052829809,227.35556219779096
primary,"0,1",1.0,p99dl,ORACLE-on-true-heavy,4.0,45.09966919049622,0.9912910242652098,0.9856015781626426,0.9938324376873177,227.35556219779096
primary,"0,1",1.0,p99dl,ORACLE-on-true-light,4.0,54.65990020521035,0.949169791349245,0.9354561883303674,0.9585077626655654,227.35556219779096
primary,"0,1",1.0,p99dl,ORACLE-top0.1pct-under,4.0,55.145547166839535,0.9470551663015083,0.92719642184718,0.9574834030068498,227.35556219779096
primary,"0,1",1.0,p99dl,ORACLE-top0.1pct-over,4.0,64.84607453048235,0.9042557344878654,0.8799164072754472,0.9233774160357509,227.35556219779096
primary,"0,1",1.0,p99dl,ORACLE-top1.0pct-under,4.0,45.16526244655259,0.9909969433050139,0.9844238362649232,0.9938110178221844,227.35556219779096
primary,"0,1",1.0,p99dl,ORACLE-top1.0pct-over,4.0,60.042612503469044,0.9254307318743255,0.9071873873040643,0.93912328603404,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-M4refit,4.0,65.93262489065549,0.8994304302725376,0.8732189185296002,0.9196002607780843,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-l2raw,4.0,67.33160739354796,0.8933289556423134,0.8583955539577504,0.9151846350236299,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-gamma,4.0,62.234352053702196,0.9157545615708105,0.8897133179217621,0.9324147420985649,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-hurdle,4.0,61.960008348152186,0.9169604678768218,0.8916969790788728,0.9325357406284668,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-q50,4.0,78.08082676008368,0.8459779688511131,0.811111747376694,0.8739987273009172,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-q90,4.0,70.6350501678885,0.8786998488082078,0.8477148013792278,0.9010101412884675,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-q99,4.0,64.8122762426736,0.9043124219553349,0.8756945798732759,0.9234552802355285,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-phv,4.0,62.435464042052686,0.914816330443311,0.8878142863848362,0.9320071052354245,227.35556219779096
primary,"0,1",1.0,p99dl,SPJF-logvar,4.0,62.581059716269564,0.9141928753687107,0.8901444654964997,0.9307398614595119,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-FCFS-tau0.02,4.0,147.90230830498066,0.5388276095296785,0.4468761898117661,0.6221761967724032,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-SPJF-tau0.02,4.0,63.993605155870696,0.9079679636903178,0.8832685445963215,0.9258616749785666,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-TWEEDIE-tau0.02,4.0,61.21575144864638,0.9202084987111919,0.895996621669014,0.9355414952049322,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-FCFS-tau0.05,4.0,94.31845271028601,0.7743657686415104,0.6848843768000796,0.8277868321113382,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-SPJF-tau0.05,4.0,64.409216907248,0.9061706413314952,0.8816183701196286,0.9240729183734888,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-TWEEDIE-tau0.05,4.0,61.306094392668626,0.9198377497400823,0.8964327355196172,0.9354058095435729,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-FCFS-tau0.1,4.0,81.44855007082245,0.8309541307090653,0.7619775327825868,0.8678419746165958,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-SPJF-tau0.1,4.0,64.44397767633217,0.9060120677415385,0.8814230016223985,0.923870532854307,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-TWEEDIE-tau0.1,4.0,61.52015980370363,0.9188645163479064,0.8949334091242667,0.9344561024605852,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-FCFS-tau0.2,4.0,78.98067294023951,0.8419012601017148,0.7989013105407575,0.8731857031273882,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-SPJF-tau0.2,4.0,65.3571845427157,0.901955150798628,0.8761974263201954,0.9215606542057659,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-TWEEDIE-tau0.2,4.0,61.62077861353772,0.9184401879188644,0.8941180523849299,0.9344668443946628,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-FCFS-tau0.4,4.0,83.25014603976194,0.8231765227198038,0.7754386292047146,0.8578149074516467,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-SPJF-tau0.4,4.0,66.01106525696855,0.8990971401812078,0.8730343426029316,0.9193505551230977,227.35556219779096
primary,"0,1",1.0,p99dl,2CLASS-TWEEDIE-tau0.4,4.0,61.8673779692503,0.9173291679581645,0.8924798430832845,0.933697329074371,227.35556219779096
primary,"0,1",1.0,mean,FCFS,4.0,10.48194523564277,0.0,0.0,0.0,8.814437567854256
primary,"0,1",1.0,mean,SJF-ref,4.0,1.667507667788516,1.0,1.0,1.0,8.814437567854256
primary,"0,1",1.0,mean,SPJF-M4,4.0,2.302852822119494,0.9277468567604876,0.9035366700635569,0.939065480926696,8.814437567854256
primary,"0,1",1.0,mean,SPJF-tweedie,4.0,2.2531593791152806,0.9334211025584551,0.9116386327611684,0.9438563584277884,8.814437567854256
primary,"0,1",1.0,mean,ORACLE-on-true-heavy,4.0,1.7680820359063514,0.9885502101181259,0.9831104340241245,0.9910335891006162,8.814437567854256
primary,"0,1",1.0,mean,ORACLE-on-true-light,4.0,2.0112673761124467,0.9608771844827109,0.9475515002323602,0.9680654010584162,8.814437567854256
