pool,queue,queue_name,segment,policy,n_dispatch,n_forced,fired_fraction,fired_fraction_queue_weighted,scope
CE1,5,infinite,1,SPJF-E,13330,0,0.0,0.0,"whole segment, FCFS prefix included"
CE1,5,infinite,1,Constant-3.5L,13330,0,0.0,0.0,"whole segment, FCFS prefix included"
CE1,5,infinite,1,Age-3.5L,13330,0,0.0,0.0,"whole segment, FCFS prefix included"
CE1,5,infinite,1,Constant-5L,13330,0,0.0,0.0,"whole segment, FCFS prefix included"
CE1,5,infinite,1,Age-5L,13330,0,0.0,0.0,"whole segment, FCFS prefix included"
CE1,5,infinite,1,Constant-10L,13330,0,0.0,0.0,"whole segment, FCFS prefix included"
CE1,5,infinite,1,Age-10L,13330,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,FCFS,1023,1023,1.0,1.0,"whole segment, FCFS prefix included"
CE2,1,test,0,SJF,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,SPJF-E,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,Constant-3.5L,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,Age-3.5L,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,Constant-5L,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,Age-5L,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,Constant-10L,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,0,Age-10L,1023,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,1,FCFS,19058,19058,1.0,1.0,"whole segment, FCFS prefix included"
CE2,1,test,1,SJF,19058,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,1,SPJF-E,19058,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,1,test,1,Constant-3.5L,19058,37,0.0019414419141567845,0.021538263417146906,"whole segment, FCFS prefix included"
CE2,1,test,1,Age-3.5L,19058,54,0.002833455766607199,0.025346739516989427,"whole segment, FCFS prefix included"
CE2,1,test,1,Constant-5L,19058,22,0.001154370867877007,0.011674030120287658,"whole segment, FCFS prefix included"
