scope,queue_name,policy,n,n_busy,mean,p99,p99_busy,max_excess,harm,heavy_p99,overall_p99_lo,overall_p99_hi,overall_mean_lo,overall_mean_hi,busy_p99_lo,busy_p99_hi,busy_mean_lo,busy_mean_hi,mean_reduction,mean_gap,p99_reduction,p99_gap,p99_busy_reduction,p99_busy_gap,mean_gap_lo,mean_gap_hi,mean_gap_valid,mean_reduction_lo,mean_reduction_hi,mean_reduction_valid,p99_gap_lo,p99_gap_hi,p99_gap_valid,p99_reduction_lo,p99_reduction_hi,p99_reduction_valid,p99_busy_gap_lo,p99_busy_gap_hi,p99_busy_gap_valid,p99_busy_reduction_lo,p99_busy_reduction_hi,p99_busy_reduction_valid
test,test,FCFS,34707,16813,410.1623015530008,12386.680000000051,13412.760000000028,0.0,0.0,19165.879999999997,3406.253500000002,19151.6,109.95432486821798,1042.6328788581116,4129.9055,21039.0,161.34684752786063,1909.0028823747523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,1939,0.0,0.0,2000,0.0,0.0,1583,0.0,0.0,2000
test,test,SJF,34707,16813,245.6722851298009,3766.0400000000373,8340.640000000029,112805.0,1539.0,28612.019999999873,848.9429999999813,20267.976250000014,57.51207877997639,682.3390890815642,1579.507,44944.373999999676,85.13589495659224,1525.7686807527498,0.4010364087591425,1.0,0.6959604995043045,1.0,0.37815632278516786,1.0,1.0,1.0,2000,0.3142376697328301,0.5820909303712805,2000,1.0,1.0,1939,-0.06358132101874628,0.8276650625673676,2000,1.0,1.0,1583,-1.10548199471474,0.6869509855306442,2000
test,test,SPJF-E,34707,16813,298.68859307920593,5264.800000000047,9967.52000000008,77467.0,25.0,40674.23999999995,1268.4264999999937,29771.283500000485,72.43766648369838,816.3189394105747,2378.985,51073.435999999885,110.67325844045351,1761.9234346679257,0.2717795078965597,0.6776928527199811,0.5749627826019543,0.8261428385827494,0.2568628678959394,0.6792504909189743,0.6223333725263692,0.7565515903117078,2000,0.1983244388284768,0.43186102354024564,2000,-0.8642437438162255,0.9288747876688724,1939,-0.542274675672861,0.7408420182845683,2000,-3.1089003424382873,0.9196468496765996,1583,-1.3826003413691905,0.5846414164727166,2000
test,test,Constant-3.5L,34707,16813,316.58426254069786,9849.940000000002,13933.440000000039,3129.0,25.0,20998.179999999997,2394.7697500000004,20028.070000000007,79.87756597917699,837.2488025316854,3540.1460000000347,21876.0,120.60860361306193,1608.4356065279683,0.22814880513881375,0.5688979857084175,0.20479579677524873,0.29426353495796653,-0.03881975074481381,-0.10265529995347336,0.5335566288936394,0.6304447594143708,2000,0.1813177035762547,0.3258322831707862,2000,-0.13904347413823628,0.5275754301623315,1939,-0.04329577572580755,0.392574330040932,2000,-0.5424219177493143,0.5603005066232793,1583,-0.090343357655857,0.24134116276493403,2000
test,test,Age-3.5L,34707,16813,314.86858558792176,9849.940000000002,13933.440000000039,3082.0,25.0,20998.179999999997,2108.4017499999777,20028.070000000007,79.42213895204549,837.0772162914476,3453.30875000002,21876.0,118.95163745748314,1608.470227939919,0.23233172723155615,0.5793282658560104,0.20479579677524873,0.29426353495796653,-0.03881975074481381,-0.10265529995347336,0.5479283791661697,0.6413494712063741,2000,0.18126165576998338,0.33808449498957927,2000,-0.13904347413823628,0.5601526787251029,1939,-0.04373752148235414,0.4036993559519217,2000,-0.5424219177493143,0.571789964304732,1583,-0.090343357655857,0.25720811435237356,2000
test,test,Constant-5L,34707,16813,310.2808367188175,9974.900000000081,13478.560000000114,4444.0,25.0,21754.579999999998,1990.6154999999421,20672.0,77.69936401733366,831.2394269555108,3244.4125,22318.35500000008,114.09744610625873,1582.2678006061408,0.2435169308734647,0.6072190094334253,0.19470754068079255,0.2797680914642029,-0.004905776290643038,-0.012972879190572502,0.5774285877572947,0.6642176459518393,2000,0.18732943942572425,0.3639601559685539,2000,-0.2383208488470336,0.6161005647374758,1939,-0.09086097664293002,0.45280861393442573,2000,-0.5930712778043975,0.5495942280547115,1583,-0.11028884445815854,0.27733087301291304,2000
test,test,Age-5L,34707,16813,311.11686403319214,9973.64000000013,13478.560000000114,4338.0,25.0,21754.579999999998,2052.2429999999863,20672.0,78.10125406328623,831.1357938042236,3223.1902500000033,22318.35500000008,115.24548952707332,1587.9380012781112,0.24147864673274977,0.6021364680576393,0.1948092628533159,0.27991425230608363,-0.004905776290643038,-0.012972879190572502,0.5754822629648347,0.6473382018906134,2000,0.1870545342599528,0.3574904206849874,2000,-0.23141471511606118,0.5915316880709712,1939,-0.08933229125145926,0.4385264134445372,2000,-0.5838260299740904,0.5710746911692933,1583,-0.11457505422254258,0.2815337292497076,2000
test,test,Constant-10L,34707,16813,304.5965943469617,10477.580000000016,13965.240000000023,8726.0,25.0,24800.48,1537.4379999999744,22859.20475,75.25297893371298,826.8082797983416,2698.900749999988,25195.0,111.55701022778759,1584.0514611075728,0.25737545066022605,0.6417757715729061,0.15412523775539755,0.2214568755916071,-0.041190627432384996,-0.10892486770817647,0.5913658825207903,0.7103033344596251,2000,0.18970001655936045,0.40805326269452163,2000,-0.8401236648072523,0.7483127590238076,1939,-0.2023225303033225,0.559818475152039,2000,-2.8118563368315566,0.61955655826326,1583,-0.252710193331299,0.3816882599032574,2000
test,test,Age-10L,34707,16813,304.12720776788547,10317.500000000058,13940.20000000004,8765.0,25.0,24800.48,1695.5410000000002,22859.20475,75.32265504681908,825.1226495602988,2766.9429999999993,25195.0,110.06464422678741,1575.963428523436,0.25851984295883323,0.6446293586129158,0.167048797579334,0.2400262625512711,-0.039323748430599936,-0.10398807599189556,0.5978648728598313,0.7107688155510937,2000,0.19157922224138849,0.40751349028555134,2000,-0.8425441768825672,0.7231561556713962,1939,-0.20318840481056769,0.5561912395705572,2000,-2.5066498667282398,0.6218006194402488,1583,-0.2464152053085732,0.3916743529258893,2000
short,short,FCFS,19353,8990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0
