pool,queue,queue_name,segment,policy,k,L,checked,test_checked,violations,worst_ratio,test_worst_ratio,max_excess_s,theoretical_max_s,identity_worst_ratio
CE1,5,infinite,1,Constant-10L,83,259200,13330,12806,0,0.0005736882716049382,0.0005736882716049382,1487.0,2592000.0,0.002613105992171033
CE1,5,infinite,1,Age-10L,83,259200,13330,12806,0,0.0005736882716049382,0.0005736882716049382,1487.0,2592000.0,0.002613105992171033
CE2,1,test,0,Constant-3.5L,1,900,1023,0,0,0.0,0.0,0.0,3150.0,0.0
CE2,1,test,0,Age-3.5L,1,900,1023,0,0,0.0,0.0,0.0,3150.0,0.0
CE2,1,test,0,Constant-5L,1,900,1023,0,0,0.0,0.0,0.0,4500.0,0.0
CE2,1,test,0,Age-5L,1,900,1023,0,0,0.0,0.0,0.0,4500.0,0.0
CE2,1,test,0,Constant-10L,1,900,1023,0,0,0.0,0.0,0.0,9000.0,0.0
CE2,1,test,0,Age-10L,1,900,1023,0,0,0.0,0.0,0.0,9000.0,0.0
CE2,1,test,1,Constant-3.5L,1,900,19058,15572,0,0.8123809523809524,0.8123809523809524,2559.0,3150.0,0.0
CE2,1,test,1,Age-3.5L,1,900,19058,15572,0,0.8123809523809524,0.8123809523809524,2559.0,3150.0,0.0
CE2,1,test,1,Constant-5L,1,900,19058,15572,0,0.8635555555555555,0.8635555555555555,3886.0,4500.0,0.0
CE2,1,test,1,Age-5L,1,900,19058,15572,0,0.8115555555555556,0.8115555555555556,3652.0,4500.0,0.0
CE2,1,test,1,Constant-10L,1,900,19058,15572,0,0.9132222222222223,0.9132222222222223,8219.0,9000.0,0.0
CE2,1,test,1,Age-10L,1,900,19058,15572,0,0.8912222222222222,0.8912222222222222,8021.0,9000.0,0.0
CE2,2,short,0,Constant-3.5L,46,5400,1954,0,0,0.0,0.0,0.0,18900.0,0.0
CE2,2,short,0,Age-3.5L,46,5400,1954,0,0,0.0,0.0,0.0,18900.0,0.0
CE2,2,short,0,Constant-5L,46,5400,1954,0,0,0.0,0.0,0.0,27000.0,0.0
CE2,2,short,0,Age-5L,46,5400,1954,0,0,0.0,0.0,0.0,27000.0,0.0
CE2,2,short,0,Constant-10L,46,5400,1954,0,0,0.0,0.0,0.0,54000.0,0.0
CE2,2,short,0,Age-10L,46,5400,1954,0,0,0.0,0.0,0.0,54000.0,0.0
CE2,2,short,1,Constant-3.5L,46,5400,10092,9334,0,0.0,0.0,0.0,18900.0,0.0
CE2,2,short,1,Age-3.5L,46,5400,10092,9334,0,0.0,0.0,0.0,18900.0,0.0
CE2,2,short,1,Constant-5L,46,5400,10092,9334,0,0.0,0.0,0.0,27000.0,0.0
CE2,2,short,1,Age-5L,46,5400,10092,9334,0,0.0,0.0,0.0,27000.0,0.0
CE2,2,short,1,Constant-10L,46,5400,10092,9334,0,0.0,0.0,0.0,54000.0,0.0
CE2,2,short,1,Age-10L,46,5400,10092,9334,0,0.0,0.0,0.0,54000.0,0.0
CE2,3,long,0,Constant-3.5L,20,86400,1617,0,0,0.0,0.0,0.0,302400.0,0.0
CE2,3,long,0,Age-3.5L,20,86400,1617,0,0,0.0,0.0,0.0,302400.0,0.0
CE2,3,long,0,Constant-5L,20,86400,1617,0,0,0.0,0.0,0.0,432000.0,0.0
CE2,3,long,0,Age-5L,20,86400,1617,0,0,0.0,0.0,0.0,432000.0,0.0
CE2,3,long,0,Constant-10L,20,86400,1617,0,0,0.0,0.0,0.0,864000.0,0.0
CE2,3,long,0,Age-10L,20,86400,1617,0,0,0.0,0.0,0.0,864000.0,0.0
CE2,3,long,1,Constant-3.5L,20,86400,6939,6889,0,0.05406746031746032,0.05406746031746032,16350.0,302400.0,0.022064144736842106
CE2,3,long,1,Age-3.5L,20,86400,6939,6889,0,0.05406746031746032,0.05406746031746032,16350.0,302400.0,0.022064144736842106
CE2,3,long,1,Constant-5L,20,86400,6939,6889,0,0.03784722222222222,0.03784722222222222,16350.0,432000.0,0.022064144736842106
CE2,3,long,1,Age-5L,20,86400,6939,6889,0,0.03784722222222222,0.03784722222222222,16350.0,432000.0,0.022064144736842106
CE2,3,long,1,Constant-10L,20,86400,6939,6889,0,0.01892361111111111,0.01892361111111111,16350.0,864000.0,0.022064144736842106
CE2,3,long,1,Age-10L,20,86400,6939,6889,0,0.01892361111111111,0.01892361111111111,16350.0,864000.0,0.022064144736842106
CE2,4,day,0,Constant-3.5L,12,129600,260,0,0,0.0,0.0,0.0,453600.0,0.0
CE2,4,day,0,Age-3.5L,12,129600,260,0,0,0.0,0.0,0.0,453600.0,0.0
CE2,4,day,0,Constant-5L,12,129600,260,0,0,0.0,0.0,0.0,648000.0,0.0
CE2,4,day,0,Age-5L,12,129600,260,0,0,0.0,0.0,0.0,648000.0,0.0
CE2,4,day,0,Constant-10L,12,129600,260,0,0,0.0,0.0,0.0,1296000.0,0.0
CE2,4,day,0,Age-10L,12,129600,260,0,0,0.0,0.0,0.0,1296000.0,0.0
CE2,4,day,1,Constant-3.5L,12,129600,8035,8004,0,0.3429585537918871,0.3429585537918871,155566.0,453600.0,0.28619914421997755
