trace,reps,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi,fcfs,sjf
k1,0,0,0.8,1.0,p99dl,FCFS,221.27438719391904,0.0,0.0,0.0,0.0,0.0,0.0,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SJF-ref,45.324836370348976,1.0,1.0,1.0,79.51645604123739,72.56154603535612,84.53263077122915,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-M4,64.7432583588362,0.8896364219312007,0.8309414568948468,0.9171510045034524,70.74073543717604,64.00543776218463,75.10058014314757,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-M4refit,64.70297270357611,0.8898653833299173,0.8310642505153425,0.917469171085384,70.75894163617224,64.03951241605965,75.06743558867933,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-tweedie,60.92893488883996,0.91131492836752,0.8541541246382471,0.9328615350059273,72.4645334412593,65.41605014876063,76.5097618882924,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-tweedie_itr,61.46834029793768,0.9082492461502428,0.8500086134219349,0.9309323798412422,72.22076125599278,65.20705449730984,76.40145574276208,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-r1s,60.75813164174563,0.9122856796214724,0.8691580322163535,0.9330384175674593,72.54172414067119,65.50457356564175,76.81278217487657,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIX-G300,83.24137166202098,0.7845033697773286,0.5860908605812648,0.8657019779235389,62.38092771710156,49.33650919354968,67.06626193884577,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIXSEL-G300,178.43259318292172,0.24348907860501492,0.030625816283775,0.45341855436257716,19.361388615417066,2.657471062017313,33.06246226473312,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G300,90.5643298937381,0.742883722569135,0.5576414858509943,0.8197814997877715,59.07148086941942,46.79389635950488,63.30870442625647,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIP-G300,220.31989125370995,0.005424827376605168,-0.0015827105028850285,0.019120686467981794,0.43136304762312605,-0.13095219083283932,1.3977558094604223,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIPC-G300,220.5256312656404,0.004255514860787719,-0.001601398379265051,0.014628639771301244,0.33838346036065914,-0.1299218741365958,1.0707401788722934,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIX-G600,68.31469123423138,0.8693383713895638,0.7835911249962474,0.9064609495470843,69.12670639355915,62.77305580878272,72.34303307658732,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIXSEL-G600,100.13002834618152,0.6885175795033011,0.3570448053416373,0.8221156325155505,54.748477844193424,30.47476330777016,61.98108387814767,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600,70.56371267259127,0.8565561765625076,0.7789293912129293,0.897846624272289,68.11031156048301,62.26678801242546,71.33403822722268,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIP-G600,219.88543237209325,0.00789405153536617,-0.00480094923109402,0.037331022163778683,0.6277070018992067,-0.399519613569508,2.7410256038686405,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIPC-G600,219.95273089826125,0.0075115639083560585,-0.004235894758001665,0.03399878660713815,0.5972929413197399,-0.35593926652021396,2.4618293007501815,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIX-G1200,63.16188998818413,0.8986240457316035,0.8361299394659959,0.9236083956656116,71.45539943001594,64.80838254152827,75.01416641550605,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,FIXSEL-G1200,100.13002834618152,0.6885175795033011,0.3570448053416373,0.8221156325155505,54.748477844193424,30.47476330777016,61.98108387814767,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G1200,63.25904409050943,0.8980718755108182,0.8351828593803258,0.9240923399723627,71.41149281092761,64.70021704433442,75.14562702439198,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIP-G1200,217.42009168982528,0.021905685385685207,-0.007720099477388264,0.08495542891051686,1.7418624690240143,-0.6598516427564389,6.2006759965754945,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SKIPC-G1200,217.83109458088936,0.019569772113157465,-0.007557662841839841,0.08087219296456645,1.556118923972919,-0.6319449787908817,5.98251816237629,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-reversed,415.3743278086197,-1.1031567838972804,-1.3412732791580528,-0.8890797691136261,-87.71911791336092,-110.2830818258082,-69.61861712607502,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600-reversed,383.6358003890515,-0.9227725358499901,-1.1286728955344598,-0.7938767833287835,-73.3756017829769,-93.27819079432633,-62.85489144391703,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-random,159.7873115634921,0.34945855412885873,0.1879603315924325,0.46780069078218256,27.787705757621776,14.895515313208737,37.40750702057453,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600-random,185.91393430888667,0.20096927056375022,0.04991445463340511,0.3353805482891013,15.980364168421989,3.9427266864257895,26.196196063596968,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,SPJF-top1short,382.27547162771225,-0.9150411790208767,-1.118102627850068,-0.7406461119933172,-72.76083168753557,-88.54739173262456,-58.36668143467824,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,p99dl,CAP-G600-top1short,379.5557629871374,-0.8995838582840823,-1.0660273884319358,-0.7788518164247884,-71.53172032265296,-86.37323826360584,-60.537331465841966,221.27438719391904,45.324836370348976
k1,0,0,0.8,1.0,mean,FCFS,6.59351294323696,0.0,0.0,0.0,0.0,0.0,0.0,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SJF-ref,1.8712898318150275,1.0,1.0,1.0,71.61922865815512,66.92382415352102,75.14817642072616,6.59351294323696,1.8712898318150275
