trace,level,k,policy,G,B0,eta,Bmax,Ncap,guar_excess_s,max_excess_s,used_over_allowed
k1,0,1.0,CAP-G600,600.0,30.0,0.75,540.0,0,600.0,592.5319,0.9876
k1,0,1.0,SKIP-G600,600.0,-1.0,0.0,0.0,10,600.0,100.8546,0.1681
k1,0,1.0,SKIPC-G600,600.0,-1.0,0.0,0.0,9,600.0,100.6759,0.1678
k1,0,1.0,FIX-G1200,1200.0,1140.0,0.0,1140.0,0,1200.0,1171.6655,0.9764
k1,0,1.0,FIXSEL-G1200,1200.0,150.0,0.0,1140.0,0,210.0,207.9295,0.9901
k1,0,1.0,CAP-G1200,1200.0,30.0,0.9,1140.0,0,1200.0,1176.8402,0.9807
k1,0,1.0,SKIP-G1200,1200.0,-1.0,0.0,0.0,20,1200.0,166.867,0.1391
k1,0,1.0,SKIPC-G1200,1200.0,-1.0,0.0,0.0,19,1200.0,140.3013,0.1169
k1,0,1.0,CAP-G600-reversed,600.0,30.0,0.75,540.0,0,600.0,596.1245,0.9935
k1,0,1.0,CAP-G600-random,600.0,30.0,0.75,540.0,0,600.0,596.9447,0.9949
k1,0,1.0,CAP-G600-top1short,600.0,30.0,0.75,540.0,0,600.0,597.0194,0.995
