trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
primary,0,p99dl,gain,SKIP-G600 - SKIPC-G600,"finite skip: dispatch vs completion charge, G = 600 s",0.012650902736127206,0.008253693507217323,0.016625323744494318,True,SKIP-G600 better
primary,0,p99dl,red_pct,SKIP-G600 - SKIPC-G600,"finite skip: dispatch vs completion charge, G = 600 s",0.7877708996495834,0.5097743884094315,1.0674718178085776,True,SKIP-G600 better
primary,0,p99dl,gain,CAP-G1200 - FIXSEL-G1200,"capped relative vs the BEST FEASIBLE fixed budget, G = 1200 s",0.027098155763304432,0.016913421709099968,0.038203460847302396,True,CAP-G1200 better
primary,0,p99dl,red_pct,CAP-G1200 - FIXSEL-G1200,"capped relative vs the BEST FEASIBLE fixed budget, G = 1200 s",1.674344618058555,1.053703452708395,2.3326004907832267,True,CAP-G1200 better
primary,0,p99dl,gain,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,0.0002545914431770768,-0.0005821920257819025,0.0015033112406058924,False,unresolved
primary,0,p99dl,red_pct,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,0.016506583825439236,-0.0365041049641265,0.09567049691047344,False,unresolved
primary,0,p99dl,gain,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.0010530212605700529,-0.00243424323856449,0.0005806334739385074,False,unresolved
primary,0,p99dl,red_pct,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.06381044380838574,-0.14968651147799522,0.03863268396040067,False,unresolved
primary,0,p99dl,gain,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-0.38552115374202856,-0.4671973327522679,-0.3120024612736129,True,SPJF-tweedie better
primary,0,p99dl,red_pct,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-23.830045248670707,-29.282811490912543,-19.427053929717662,True,SPJF-tweedie better
primary,0,p99dl,gain,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,0.3844681324814585,0.3111699109094155,0.46637359183856747,True,CAP-G1200 better
primary,0,p99dl,red_pct,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,23.76623480486232,19.41280649038524,29.159738099979126,True,CAP-G1200 better
primary,0,p99dl,gain,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.009171691703591556,0.00603947908602787,0.010798129947083858,True,SKIP-G1200 better
primary,0,p99dl,red_pct,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.567860261306592,0.3763500852079109,0.6686749812679944,True,SKIP-G1200 better
primary,0,p99dl,gain,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,-0.036095458926285295,-0.046216967355198896,-0.02404822309537936,True,SPJF-reversed better
primary,0,p99dl,red_pct,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,-2.2300722394260504,-2.9763242155513874,-1.4665070032980898,True,SPJF-reversed better
primary,0,p99dl,gain,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.0164409548287493,-0.022829638358508125,-0.011828389588917847,True,SPJF-random better
primary,0,p99dl,red_pct,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-1.0164707351957745,-1.4206119389407443,-0.7265952211076308,True,SPJF-random better
primary,0,p99dl,gain,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,-0.02664767054865036,-0.042388504580972826,-0.01881106532356994,True,SPJF-top1short better
primary,0,p99dl,red_pct,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,-1.6535630376205148,-2.7291182957537656,-1.1712393373805898,True,SPJF-top1short better
primary,0,mean,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.005293338343859366,0.0025287260133283252,0.010344996562413684,True,SPJF-tweedie better
primary,0,mean,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.36086744058550124,0.17315894187330388,0.6511017554779861,True,SPJF-tweedie better
primary,0,mean,gain,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",-0.0005050424514289054,-0.0024206591952637023,0.0011560559660419045,False,unresolved
primary,0,mean,red_pct,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",-0.034201181146876536,-0.15776948598609675,0.07759262174515837,False,unresolved
primary,0,mean,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.0035676734354711526,-0.0007937193748733473,0.012008540003746796,False,unresolved
primary,0,mean,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.24279698577710462,-0.05121850142119548,0.7516681689326125,False,unresolved
primary,0,mean,gain,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.0018992179236451134,-0.002455189012290346,0.009961041872525266,False,unresolved
primary,0,mean,red_pct,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.12880401151123522,-0.1700960952773743,0.6220449535089543,False,unresolved
primary,0,mean,gain,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",0.20410742807183246,0.15386446201105788,0.22916186566107452,True,CAP-G300 better
primary,0,mean,red_pct,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",13.97258320159181,9.81674306186041,16.52707831148731,True,CAP-G300 better
primary,0,mean,gain,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,0.0030036191619617902,-0.006567593000205715,0.0093081823452643,False,unresolved
primary,0,mean,red_pct,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,0.21571135216901638,-0.4239234828390415,0.672664740130491,False,unresolved
primary,0,mean,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.10920779370116496,-0.1306677975062375,-0.062393950931681534,True,SPJF-tweedie better
primary,0,mean,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-7.457971369254388,-9.36880725670872,-4.008239408900355,True,SPJF-tweedie better
primary,0,mean,gain,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-0.7671486639113362,-0.8109836292871617,-0.6732000635281186,True,SPJF-tweedie better
primary,0,mean,red_pct,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-52.46820942501438,-58.18093653659456,-42.47295052024545,True,SPJF-tweedie better
