G,guard,B0_base,eta,worst_gap,worst_harm,worst_red,mean_gap,n_cells,n_feasible_cells,max_used,feasible
300.0,cap,30.0,0.0,-0.010259460072518415,71.31791223585606,-0.8080605461751297,0.13076054882158425,15,15,0.5091464305325021,True
300.0,cap,30.0,0.25,0.2468671535033837,101.64403854310513,19.367959068051604,0.45995171247609085,15,15,0.7331751951575279,True
300.0,cap,30.0,0.5,0.41024297155692135,122.74050185084344,33.39545261284668,0.5977697448198155,15,15,0.758712367862463,True
300.0,cap,30.0,0.75,0.4009140460553462,212.0439104884863,32.636039993699825,0.631560220760829,15,9,0.7880653869112333,False
300.0,cap,30.0,0.9,0.3718736818307276,212.0439104884863,30.272035794816205,0.6240971220707513,15,4,0.7880653869112333,False
300.0,cap,120.0,0.0,0.0056937623708329665,102.65260392427444,0.4687211065385199,0.29148564662201176,15,15,0.6195600686801804,True
300.0,cap,120.0,0.25,0.33280102637619596,122.56411573290823,26.109899859850643,0.5444813498669018,15,15,0.749438669482867,True
300.0,cap,120.0,0.5,0.40395229288571166,171.61468262970448,32.88336568867648,0.6261632566181624,15,13,0.788134175191323,False
300.0,cap,120.0,0.75,0.37122224191750136,212.0439104884863,30.219005926517177,0.6236736862419641,15,2,0.7880653869112333,False
300.0,cap,120.0,0.9,0.36931054647286055,212.0439104884863,30.06338611324065,0.6234833994846494,15,2,0.7880653869112333,False
300.0,cap,600.0,0.0,0.36931054647286055,212.0439104884863,30.06338611324065,0.6234833994846494,15,2,0.7880653869112333,False
300.0,cap,600.0,0.25,0.36931054647286055,212.0439104884863,30.06338611324065,0.6234833994846494,15,2,0.7880653869112333,False
300.0,cap,600.0,0.5,0.36931054647286055,212.0439104884863,30.06338611324065,0.6234833994846494,15,2,0.7880653869112333,False
300.0,cap,600.0,0.75,0.36931054647286055,212.0439104884863,30.06338611324065,0.6234833994846494,15,2,0.7880653869112333,False
300.0,cap,600.0,0.9,0.36931054647286055,212.0439104884863,30.06338611324065,0.6234833994846494,15,2,0.7880653869112333,False
300.0,fix,1000000000.0,0.0,0.36931054647286055,212.0439104884863,30.06338611324065,0.6234833994846494,15,2,0.7880653869112333,False
600.0,cap,30.0,0.0,-0.010259460072518415,71.31791223585606,-0.8080605461751297,0.13076054882158425,15,15,0.5091464305325021,True
600.0,cap,30.0,0.25,0.27984642634488954,101.64403854310513,21.955347456598954,0.47470511999488013,15,15,0.8147836512078842,True
600.0,cap,30.0,0.5,0.5858349670660549,122.74050185084344,36.57297429275226,0.6714870135666752,15,15,0.8809251718471448,True
600.0,cap,30.0,0.75,0.7171861242960144,216.8147185742855,40.70863608656577,0.7607373101833684,15,15,0.8568000619361797,True
600.0,cap,30.0,0.9,0.7210239875060425,358.92071129381657,40.783244849603314,0.775122564520006,15,14,0.8567153809467951,False
600.0,cap,120.0,0.0,0.0056937623708329665,102.65260392427444,0.4687211065385199,0.29148564662201176,15,15,0.6195600686801804,True
600.0,cap,120.0,0.25,0.39407022119111096,122.56411573290823,30.91677368031412,0.5703032376967497,15,15,0.8475710485378901,True
600.0,cap,120.0,0.5,0.6311205574056772,171.61468262970448,40.42482511041808,0.720627836341174,15,15,0.8478300376733144,True
600.0,cap,120.0,0.75,0.7215764299215941,293.2910667359829,40.91397226495822,0.7691732973174469,15,15,0.8697591505448024,True
600.0,cap,120.0,0.9,0.723790236370106,483.9248276352882,40.86535124162702,0.7781364392113019,15,6,0.8567153809467951,False
600.0,cap,600.0,0.0,0.36931054647286055,212.0439104884863,30.06338611324065,0.6277086833425591,15,15,0.7880653869112333,True
600.0,cap,600.0,0.25,0.6766823409655925,283.45787212252617,40.34538273240882,0.7434678216533193,15,15,0.8462697428464889,True
600.0,cap,600.0,0.5,0.7256544650290203,382.5833091288805,40.93627722741755,0.7769524091613553,15,6,0.8576485766967138,False
600.0,cap,600.0,0.75,0.723790236370106,490.5263593941927,40.86535124162702,0.7782001374661136,15,6,0.8567153809467951,False
600.0,cap,600.0,0.9,0.723790236370106,490.5263593941927,40.86535124162702,0.7782001374661136,15,6,0.8567153809467951,False
600.0,fix,1000000000.0,0.0,0.723790236370106,490.5263593941927,40.86535124162702,0.7782001374661136,15,6,0.8567153809467951,False
1200.0,cap,30.0,0.0,-0.010259460072518415,71.31791223585606,-0.8080605461751297,0.13076054882158425,15,15,0.5091464305325021,True
1200.0,cap,30.0,0.25,0.27984642634488954,101.64403854310513,21.955347456598954,0.47476659280867506,15,15,0.7755533815578841,True
1200.0,cap,30.0,0.5,0.6102826969959118,122.74050185084344,36.57297429275226,0.6801268591875346,15,15,0.9103912413368622,True
1200.0,cap,30.0,0.75,0.7184274801302445,216.8147185742855,40.711612430385884,0.7804676156002363,15,15,0.9250478609651328,True
1200.0,cap,30.0,0.9,0.723258925803582,358.92071129381657,41.14863651138755,0.8017771367920409,15,15,0.924047735730807,True
1200.0,cap,120.0,0.0,0.0056937623708329665,102.65260392427444,0.4687211065385199,0.29148564662201176,15,15,0.6195600686801804,True
1200.0,cap,120.0,0.25,0.39407022119111096,122.56411573290823,30.91677368031412,0.5704151994266121,15,15,0.7890486294154803,True
