rep,level,k,policy,G,guard,B0_base,eta,gap,red_pct,harm,w_p99_dl,used_over_allowed,feasible_cell
0,0,7.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.27684630603884947,15.537962941134563,71.31791223585606,39.53695888131829,0.4463657595951352,True
0,1,5.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.0818522597683041,5.8306749796624455,65.85234040021896,123.01069426625966,0.4124370209120829,True
0,2,4.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,-0.005135088501283629,-0.41801716689154106,53.237855941057205,249.61598866760727,0.433998467808678,True
1,0,8.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.3621044313263095,20.681691513131497,59.80938559770584,23.25728653460734,0.3685922259005947,True
1,1,5.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.0487636043423933,3.438290258130697,61.24505138397217,116.65683238714924,0.4851321064915496,True
1,2,4.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,-0.006591837804037754,-0.5426523462690649,62.108482375741005,262.6038116511694,0.4611064648817456,True
2,0,8.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.44665036437423095,26.72907411147322,55.40266010165215,19.18905093729496,0.3597671358481697,True
2,1,5.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.08743038885189186,5.756309305980827,61.82169312238693,102.75786893993612,0.5091464305325021,True
2,2,4.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,-0.010259460072518415,-0.8080605461751297,62.07752737402916,214.1774102210995,0.4252695417593395,True
3,0,7.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.2572642337873179,14.364283940396067,62.242569610476494,35.05826398581266,0.4125400123606187,True
3,1,5.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,0.02731478361125354,1.8293842572665708,63.712930887937546,107.84324355453232,0.4249503527759412,True
3,2,4.0,CAP-G300-B30-e0,300.0,cap,30.0,0.0,-0.003438082059863117,-0.26973467981887145,53.94154495000839,213.83799391090847,0.4380015324032495,True
