trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,p99dl,gain,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,-0.0005521702207852419,-0.002806559013495119,0.002989024435458639,False,unresolved
k1,0,p99dl,red_pct,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,-0.04390661908833238,-0.21944506287923424,0.250599851604067,False,unresolved
k1,0,p99dl,gain,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.013243052856701798,-0.02825614253460497,-0.0032576372372067784,True,SPJF-tweedie better
k1,0,p99dl,red_pct,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-1.0530406303316937,-2.292890872992634,-0.2516016626850682,True,SPJF-tweedie better
k1,0,p99dl,gain,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-0.8894092429818349,-0.9235706213997814,-0.8121459879787241,True,SPJF-tweedie better
k1,0,p99dl,red_pct,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-70.72267097223529,-76.48032786777172,-59.941043575425034,True,SPJF-tweedie better
k1,0,p99dl,gain,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,0.8761661901251331,0.7989407675942033,0.9096702701114522,True,CAP-G1200 better
k1,0,p99dl,red_pct,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,69.6696303419036,59.16318985537308,74.97938099599824,True,CAP-G1200 better
k1,0,p99dl,gain,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.002335913272527742,-0.0005090129804748136,0.005395343928785605,False,unresolved
k1,0,p99dl,red_pct,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.18574354505109536,-0.04199848769987825,0.4090828661280289,False,unresolved
k1,0,p99dl,gain,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,0.18038424804729036,0.050046003698186216,0.25991125786154934,True,CAP-G600-reversed better
k1,0,p99dl,red_pct,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,14.343516130384018,3.7678669267061338,20.68248245220929,True,CAP-G600-reversed better
