trace,reps,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi,fcfs,sjf
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,FCFS,27.64457209587104,0.0,0.0,0.0,0.0,0.0,0.0,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SJF-ref,10.587548668384589,1.0,1.0,1.0,61.95517310582242,58.747167900185886,66.3615678673505,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-M4,14.727770876139449,0.7528488667222545,0.721324028075664,0.7761070372429358,46.64074299874348,43.937031525076826,49.927773837356845,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-M4refit,14.723947255760493,0.7533956899209809,0.72169304898799,0.7759815576016349,46.676120705075924,43.96211789790886,49.984215227746525,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-tweedie,14.725104676485111,0.7515004250616844,0.7229423045631915,0.7753327475054452,46.549775644246466,43.73909546430128,49.920130831566595,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-tweedie_itr,14.68564381316315,0.7536165163570672,0.7236249947302611,0.7757784535623642,46.68212937119794,43.80651119909056,49.96697692968844,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-r1s,14.873575423248212,0.7411285192756802,0.7067272382364179,0.7667774855460551,45.901619708689836,43.21982087525844,48.84242295685714,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,FIX-G300,15.30783447220928,0.7203554989807491,0.6944737562385838,0.7387451186925134,44.62689332204961,41.70780398765678,48.05851999478978,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,FIXSEL-G300,17.47662665337327,0.6003090132920195,0.5565064527655365,0.6313924985646968,37.21155697388526,33.984049467691825,40.52705464839293,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,CAP-G300,16.00868074089292,0.680001415756095,0.64975400711983,0.7029680545404552,42.132209889774956,39.45753071946229,45.40873306819731,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SKIP-G300,26.386261256337285,0.07758675169348758,0.05131192192553255,0.10632793157015108,4.817322626845968,3.1717296000075383,6.85548558065632,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SKIPC-G300,26.624007782638177,0.06284802574038305,0.03880690977058461,0.0850757149786965,3.900392606324133,2.4090244298066166,5.483519619833658,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,FIX-G600,14.958311489671527,0.7398853821459264,0.7134486855327417,0.7611555915545563,45.835032316089226,42.99333908728793,49.30011908975975,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,FIXSEL-G600,15.249553237408502,0.7233492480378099,0.6980088164297867,0.7422151414850432,44.811620582379526,41.95537640204252,48.260788585642395,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,CAP-G600,14.979922418743417,0.739203276752798,0.7123155372153481,0.7591412147192572,45.79519606341463,42.96114749628302,49.25009434619361,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SKIP-G600,24.642304854989113,0.18422676921983117,0.13526631162604164,0.2322357022909543,11.452094005257322,8.393695227291657,14.91687486394767,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SKIPC-G600,24.845925693512054,0.17157586648370396,0.12493494064679347,0.21728188250502997,10.664323105607739,7.807372812663674,14.014164242833024,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,FIX-G1200,14.75413819596175,0.7501928123579372,0.7224282086088171,0.7738106462067503,46.46945861661264,43.645467198182956,49.870689518424584,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,FIXSEL-G1200,15.249553237408502,0.7233492480378099,0.6980088164297867,0.7422151414850432,44.811620582379526,41.95537640204252,48.260788585642395,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,CAP-G1200,14.75027109906082,0.7504474038011143,0.7226169904711397,0.773987093772186,46.48596520043808,43.67532216938744,49.90346484839331,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SKIP-G1200,21.62572201192389,0.3659792713196558,0.2863320613955353,0.4320059908271601,22.71973039557576,17.41793478365973,27.982687198282072,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SKIPC-G1200,21.776457013934913,0.35680757961606424,0.2787296044512126,0.42419689849767794,22.151870134269167,16.9831583024141,27.38994953824517,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-reversed,42.722979891747435,-0.8623201550532208,-1.0382032421870688,-0.6398534742244859,-53.34139522861146,-62.955166419860255,-41.102863256128344,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,CAP-G600-reversed,43.39050572365532,-0.8984156139795061,-1.075481780734419,-0.6754948818762355,-55.57146746803751,-65.64482712338096,-43.019991295712984,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-random,16.821821625381844,0.638543281570505,0.5879920952092681,0.703120875390111,39.58564992728272,35.117089435883905,46.19351741524183,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,CAP-G600-random,17.1230682587624,0.6221023267417557,0.5680556938093252,0.6894067090900581,38.56917919208694,33.99987111709122,45.373380005654745,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,SPJF-top1short,38.256118357479764,-0.5975227815431943,-0.7684600279630401,-0.3719274434831329,-36.954090306926496,-46.17820557588914,-24.182236315105786,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,p99dl,CAP-G600-top1short,38.73741673603668,-0.6241704520918446,-0.8051094568635838,-0.39580553891734493,-38.60765334454701,-48.47885979924017,-25.632879093327617,27.64457209587104,10.587548668384589
primary,"0,1,2,3,4",0,0.5,7.8,mean,FCFS,0.718913425317915,0.0,0.0,0.0,0.0,0.0,0.0,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SJF-ref,0.22814776619702135,1.0,1.0,1.0,68.3830448516218,62.264742252059285,71.79885425262529,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-M4,0.29508347505108284,0.8652440851543007,0.7958063100896474,0.8954616260882704,59.17743648591286,50.199447997390784,64.09330615347181,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-M4refit,0.295380416446663,0.8647390427028718,0.79552344585258,0.8943889102307236,59.14323530476598,50.20227976082225,64.04011665870466,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-tweedie,0.2922781765343986,0.8705374234981601,0.8049814673460008,0.8987765760843394,59.53830392649836,50.754803323760434,64.3857314640529,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-tweedie_itr,0.2912634040102638,0.8722058790099861,0.8073913860541718,0.9007039543793053,59.65229690076423,50.86123611290431,64.49681181729396,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-r1s,0.2901307666525197,0.8741050969336313,0.8161505513660057,0.9001731813823561,59.78110091227546,51.31993104132459,64.46954262961516,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,FIX-G300,0.3480765900903765,0.7583260106350334,0.7256798553143019,0.7815572662850039,51.864621205074954,46.14981692309274,54.899660659702725,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,FIXSEL-G300,0.44670709952658544,0.5572222017251627,0.5289093735206525,0.6070784269869762,38.10774935565216,35.485005110475555,39.66180473722524,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,CAP-G300,0.34714464805068673,0.7613296297969951,0.726965142730941,0.7855280297077198,52.08033255724397,46.198478242696595,55.307963517104774,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SKIP-G300,0.6688248174964257,0.10338875958682389,0.08554905500126431,0.13635300204242995,7.070094501483976,6.067698178588733,8.537127981056408,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SKIPC-G300,0.6779291377913952,0.08461185842121319,0.06974093662203215,0.11228365276021926,5.785896252850833,4.950519875335273,7.0193565924048915,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,FIX-G600,0.3092691519984564,0.8377636490104725,0.7865480807442514,0.8623482284475084,57.296849994460516,49.60613080273074,61.44711907353258,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,FIXSEL-G600,0.3423776696201412,0.7699607915857272,0.7368340370613298,0.7930266494674478,52.66082939710304,46.72320648674509,55.95098447379332,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,CAP-G600,0.3114308709779553,0.8324333187165325,0.7831924170087403,0.8561286522723298,56.93164884196432,49.55402905284176,60.9835778078247,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SKIP-G600,0.6237047025638589,0.19576878896777977,0.16446830836054788,0.2529451078560365,13.387779130193405,11.700237564264517,15.690033278813884,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SKIPC-G600,0.6288491236110609,0.18526178058855192,0.15522775060389432,0.24044243512602484,12.669127200856082,11.041223057316017,14.879469928214908,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,FIX-G1200,0.2932026881830628,0.8690331794631151,0.803562855186245,0.8975583032112883,59.43581311245647,50.61346842138749,64.27090315178322,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,FIXSEL-G1200,0.3423776696201412,0.7699607915857272,0.7368340370613298,0.7930266494674478,52.66082939710304,46.72320648674509,55.95098447379332,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,CAP-G1200,0.29301743449090284,0.8693341579284404,0.8038988280545567,0.8978842236228899,59.45653901749896,50.670213490766805,64.31226064063794,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SKIP-G1200,0.5707586126364182,0.3035190818136936,0.26054523064733176,0.3831525016888902,20.755314830068112,18.465903543188997,23.787229078432897,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SKIPC-G1200,0.5734227007903588,0.29810513712842085,0.2555791627073363,0.3769356603078626,20.385082272271767,18.114597318943243,23.404051825993093,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-reversed,1.3340368535818727,-1.2562479730324185,-1.3636354295874413,-1.1871603770053458,-85.94090568554864,-90.64429007970475,-77.90031145840415,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,CAP-G600-reversed,1.2729093811959469,-1.1344182567384888,-1.249023648610618,-1.0722360636781498,-77.6061217772835,-81.96825312645035,-71.48211867129395,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-random,0.5172183740630972,0.4145228229380985,0.38067655054148697,0.4390528474635461,28.354574536891448,24.489916790918524,30.400700936093255,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,CAP-G600-random,0.5380422539229412,0.37286129408056135,0.3474989340982814,0.40483234457775813,25.50256406054747,22.720094207882124,27.171918119892297,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,SPJF-top1short,1.136631097516938,-0.8566565339533243,-0.9069803323242013,-0.7924596194772121,-58.62620993064545,-62.93336448215294,-51.150483342474566,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",0,0.5,7.8,mean,CAP-G600-top1short,1.1120098688729356,-0.8072767800434641,-0.8587875337723494,-0.7561910708521731,-55.24291273435298,-58.816360929707756,-49.05215092999844,0.718913425317915,0.22814776619702135
primary,"0,1,2,3,4",1,0.8,5.0,p99dl,FCFS,119.35185892388252,0.0,0.0,0.0,0.0,0.0,0.0,119.35185892388252,33.552583387047086
primary,"0,1,2,3,4",1,0.8,5.0,p99dl,SJF-ref,33.552583387047086,1.0,1.0,1.0,71.77488851831069,66.98128540157963,75.05555531929286,119.35185892388252,33.552583387047086
primary,"0,1,2,3,4",1,0.8,5.0,p99dl,SPJF-M4,44.39447505906233,0.8728131601236118,0.8508763041860739,0.8865171235824466,62.661520199675486,57.414155643315176,66.21293247313558,119.35185892388252,33.552583387047086
primary,"0,1,2,3,4",1,0.8,5.0,p99dl,SPJF-M4refit,44.40678300067808,0.8726476427537708,0.8507545858879706,0.8864443606316673,62.65018845455883,57.38403805360452,66.18852566579166,119.35185892388252,33.552583387047086
primary,"0,1,2,3,4",1,0.8,5.0,p99dl,SPJF-tweedie,43.38931273520004,0.8846750091248878,0.861981667774171,0.8984638268455045,63.511167782216276,58.04359357062159,67.29817474433291,119.35185892388252,33.552583387047086
