level,k,policy,tau,B,n_jobs,w_mean,w_p99_dl,w_p95_dl,w_max,gap_p99dl,gap_mean,max_excess,max_excess_light,max_excess_heavy,p99_excess,mean_excess,max_excess_wf0,waste_s,waste_frac,n_killed,delta_max,guar_thmA,guar_waste_corrected,forced_frac,qw_forced_frac,secs
2,4,FCFS,0.0,-1,17634760,10.098658697457582,263.1202407404795,62.15964963659644,1544.6027066111565,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0,0.0,nan,nan,0.0,0.0,0.8
2,4,SJF-ref,0.0,-1,17634760,1.6498347306848535,42.88080166056759,16.008141990751028,5299.532429710031,1.0,1.0,4755.4670400470495,4755.4670400470495,nan,2.2774055376648907,-8.448823966772729,1101.479383572936,0.0,0.0,0,0.0,nan,nan,0.0,0.0,1.2
2,4,SPJF,0.0,-1,17634760,2.295544843445674,66.57056035995498,20.510159876197577,6264.1391437985,0.8924363465582938,0.9235739654062803,5882.918769383803,5882.918769383803,nan,4.695246795266871,-7.803113854011909,483.20138841867447,0.0,0.0,0,0.0,nan,nan,0.0,0.0,1.2
2,4,SPJF+guard,0.0,600.0,17634760,5.6211322170464495,168.6686983577916,24.53129791468382,1694.4256948269904,0.428858440510362,0.5299585478428961,215.44501614570618,215.44501614570618,nan,11.236041978001595,-4.477526480411132,183.4069748967886,0.0,0.0,0,0.0,300.0,300.0,0.003832090711753378,0.2966713617231797,2.0
2,4,TFCFS-t1,1.0,-1,17634760,12.37587777728544,356.28276907727366,78.83520938828588,1657.8575534559786,-0.42300565568999177,-0.26953089433317995,367.1040884554386,367.1040884554386,367.1040884554386,71.5000101365149,2.27721907982786,363.1273436099291,237292.0,0.03366435823984299,237292,1605.0,nan,nan,0.0,0.0,1.1
2,4,TIER-blind-t1,1.0,-1,17634760,2.537166763525529,51.65659109875566,19.19244422763586,2863.598439956084,0.9601534154152842,0.8949756751554598,1320.8439086470753,56.601501286029816,1320.8439086470753,3.895937907844784,-7.5614919339320545,679.4457453489304,237292.0,0.03366435823984299,237292,1605.0,nan,nan,0.0,0.0,1.0
2,4,TIER-blind-t1+guard,1.0,600.0,17634760,6.46022484392201,220.63974843546796,22.428307004272938,1806.4220987260342,0.19288322056431448,0.4306438230746304,481.4634857624769,243.23775127530098,481.4634857624769,9.322392031550407,-3.638433853535573,372.02167315781116,237292.0,0.03366435823984299,237292,1605.0,300.0,701.25,0.0006959469455438021,0.027363915389402388,1.5
2,4,TIER-pred-t1,1.0,-1,17634760,2.3634450825222553,57.27321924865269,18.92476475611329,2862.4420375190675,0.9346510432091005,0.9155373156496257,1323.9831999056041,471.94625344872475,1323.9831999056041,7.479797340035454,-7.735213614935326,679.4374903291464,237292.0,0.03366435823984299,237292,1605.0,nan,nan,0.0,0.0,1.3
2,4,TIER-pred-t1+guard,1.0,600.0,17634760,5.54560349106378,139.8743312865512,21.17064030095935,1807.6931419223547,0.5595996337840727,0.5388981027773706,481.5457907319069,478.92103473842144,481.5457907319069,13.22652363821869,-4.553055206393802,372.0330182313919,237292.0,0.03366435823984299,237292,1605.0,300.0,701.25,0.0035788839468461706,0.3152486478763896,2.0
2,4,TIER-skip-t1+guard,1.0,600.0,17634760,5.137426893893263,123.68757773935802,21.28681644797325,1745.9931041151285,0.6330957960282927,0.5872097493184492,378.63456466794014,378.63456466794014,378.34266705811024,10.90615171059966,-4.961231803564321,258.7389534562826,164780.0,0.023377159578752457,164780,1091.0,300.0,572.75,0.00295462691732483,0.2924643998007343,2.0
