level,k,policy,tau,B,guar_claimed,guar_honest,max_excess,max_excess_light,max_excess_heavy,w_p99_dl,w_mean,gap_p99dl,gap_mean,waste_frac,delta_max,prop_W_violations,forced_frac
0,8,FCFS,0.0,-1,0.0,0.0,0.0,nan,nan,22.17039253190167,0.6024076862662985,0.0,0.0,0.0,0.0,-1,0.0
0,8,SJF-ref,0.0,-1,inf,inf,1034.0366929620504,nan,nan,8.310025434196065,0.18841518585079256,1.0,1.0,0.0,0.0,-1,0.0
0,8,SPJF,0.0,-1,inf,inf,1244.820608831942,nan,nan,11.978667274117493,0.24019493071220707,0.7353142370573488,0.8749258867988055,0.0,0.0,-1,0.0
0,8,SPJF+guard-G200,0.0,280.0,200.0,200.0,82.37032289803028,nan,nan,13.379647011309899,0.36323613300951296,0.634236125105731,0.5777195311913612,0.0,0.0,-1,0.000534285694843593
0,8,SPJF+guard-G300,0.0,1080.0,300.0,300.0,182.85264714434743,nan,nan,12.369101390242577,0.2893625396727287,0.707145133499499,0.756161394903,0.0,0.0,-1,5.313369731144626e-05
0,8,SPJF+guard-G400,0.0,1880.0,400.0,400.0,288.2534235715866,nan,nan,12.24535530582089,0.2690022735185976,0.7160731859492909,0.8053416726464286,0.0,0.0,-1,1.814597987157183e-05
0,8,SPJF+guard-G500,0.0,2680.0,500.0,500.0,405.53113812208176,nan,nan,12.100496136397142,0.2511713565189886,0.7265245086597643,0.8484123006933447,0.0,0.0,-1,1.0433938426153801e-05
0,8,SPJF+guard-G700,0.0,4280.0,700.0,700.0,583.3348216302693,nan,nan,11.985861016065083,0.2450100706294474,0.7347952218035045,0.8632949033572997,0.0,0.0,-1,5.046850651780914e-06
0,8,SPJF+guard-G1000,0.0,6680.0,1000.0,1000.0,877.3620600402355,nan,nan,12.005901186168296,0.24263823292229164,0.7333493603799258,0.8690240837283819,0.0,0.0,-1,1.247536116170563e-06
0,8,SPJF+guard-G1500,0.0,10680.0,1500.0,1500.0,1244.820608831942,nan,nan,11.978667274117493,0.24019493071220707,0.7353142370573488,0.8749258867988055,0.0,0.0,-1,0.0
0,8,SPJF+guard-G2000,0.0,14680.0,2000.0,2000.0,1244.820608831942,nan,nan,11.978667274117493,0.24019493071220707,0.7353142370573488,0.8749258867988055,0.0,0.0,-1,0.0
0,8,SPJF+guard-G3000,0.0,22680.0,3000.0,3000.0,1244.820608831942,nan,nan,11.978667274117493,0.24019493071220707,0.7353142370573488,0.8749258867988055,0.0,0.0,-1,0.0
0,8,TIER-blind-t1+guard,1.0,1080.0,300.0,464.0,197.41524182260036,21.38122744858265,197.41524182260036,13.863932998478484,0.32846261604655813,0.5992957816245867,0.6617150550910796,0.03366435823984299,1312.0,0,3.0158820039243394e-05
0,8,TIER-pred-t1+guard,1.0,1080.0,300.0,464.0,196.5743806362152,124.78021222352982,196.5743806362152,14.295896541327313,0.3094122650347323,0.5681304062918991,0.7077312292795152,0.03366435823984299,1312.0,0,3.0214773323175203e-05
0,8,TIER-skip-t1+guard,1.0,1080.0,300.0,413.875,166.70073956251144,166.70073956251144,166.678280711174,14.421932563185722,0.29636477458832916,0.5590371390667279,0.7392474776011826,0.023377159578752457,911.0,0,3.932685900871596e-06
0,8,TIER-blind-t2+guard,2.0,1080.0,300.0,416.0,211.52640087902546,24.84640558063984,211.52640087902546,13.565793573856384,0.32584771859214756,0.6208059928996873,0.6680313469364298,0.04550587271805218,928.0,0,4.0235704804795015e-05
0,8,TIER-pred-t2+guard,2.0,1080.0,300.0,416.0,211.83443489670753,150.0678754746914,211.83443489670753,12.438450034707875,0.2853824366025296,0.7021417563178962,0.7657753445909882,0.04550587271805218,928.0,0,4.1584387647413843e-05
0,8,TIER-skip-t2+guard,2.0,1080.0,300.0,416.0,198.80267715454102,150.0678754746914,198.80267715454102,12.422045540809796,0.2817202088619475,0.7033253103884658,0.7746214655639684,0.04384543895358004,928.0,0,4.0361368032267505e-05
0,8,TIER-cap1-t1+guard,1.0,1080.0,nan,882.125,22517.936227709055,116.12636487185955,22517.936227709055,914.9788576394348,24.99558487589316,-64.41448908343311,-58.921785213849304,0.03366435823984299,4657.0,74387,0.0038352618938217054
0,8,TIER-cap2-t1+guard,1.0,1080.0,nan,502.375,3244.5451991558075,128.7928415387869,3244.5451991558075,69.59779998213104,1.558430723505265,-3.421800239192823,-2.3092762218625906,0.03366435823984299,1619.0,11637,0.00039883500786591267
0,8,TIER-cap3-t1+guard,1.0,1080.0,nan,483.125,1684.1339799165726,144.94484847784042,1684.1339799165726,25.345766209066134,0.6532225611406369,-0.2290973720090073,-0.12274346714816767,0.03366435823984299,1465.0,3204,0.00015980257890923773
0,8,TIER-cap4-t1+guard,1.0,1080.0,nan,466.25,907.0772528015077,161.68988755345345,907.0772528015077,14.029068531096529,0.39511011496439147,0.5873815565933189,0.5007278419146521,0.03366435823984299,1330.0,771,8.706330979789002e-05
0,8,TIER-cap5-t1+guard,1.0,1080.0,nan,465.5,482.4235291481018,145.43056225776672,482.4235291481018,8.54030062854296,0.2863942832028526,0.983386068152191,0.7633312264021141,0.03366435823984299,1324.0,10,6.149265904105472e-05
0,8,TIER-cap6-t1+guard,1.0,1080.0,nan,465.5,254.05300316214561,137.53713603317738,254.05300316214561,6.541527554392815,0.23804944125083774,1.1275938701577393,0.8801083223724355,0.03366435823984299,1324.0,0,4.879126358853477e-05
0,8,TIER-cap7-t1+guard,1.0,1080.0,nan,465.5,215.41001105308533,130.8843411207199,215.41001105308533,8.23564848229313,0.24104082918134256,1.0053661603173012,0.8728826167678593,0.03366435823984299,1324.0,0,3.564224186456038e-05
