[     0s] k1rep0 level0: k=1 rho_busy=0.8000 n=3,209,347 predictor=M4 groups=base,fixed,rel,cap,skip
[     1s]   FCFS p99_dl 221.2744s mean 6.5935s | SJF-ref p99_dl 45.3248s mean 1.8713s | gap 175.9496s / 4.7222s
[     1s]   jobs with FCFS wait <= 1 s: 2,851,036 (88.8%); <= 10 s: 2,958,050 (92.2%)
[     1s]   FCFS                     0.2s p99_dl   221.274 gap  0.000 | max_excess       0.0 guar@0      inf guar@p99       inf guarmax       inf used nan | exc|wf<1s      0.0 | maxheavy   1423.5 | forced 100.000% qw 100.00%
[    25s]   REL-B1800-e0.5           1.0s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   3720.0 guar@p99    3941.3 guarmax    5147.3 used 0.654 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    26s]   REL-B1800-e0.75          1.0s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0   7440.0 guar@p99    8103.8 guarmax   11721.8 used 0.324 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    27s]   REL-B1800-e0.9           1.1s p99_dl    64.743 gap  0.890 | max_excess    2520.3 guar@0  18600.0 guar@p99   20591.5 guarmax   31445.3 used 0.129 | exc|wf<1s    400.1 | maxheavy   2698.2 | forced  0.000% qw   0.00%
[    28s]   CAP-B30-e0.5-M600        1.1s p99_dl    84.837 gap  0.775 | max_excess     652.5 guar@0    180.0 guar@p99     401.3 guarmax     660.0 used 0.989 | exc|wf<1s     99.6 | maxheavy   2034.9 | forced  0.106% qw   4.82%
[    29s]   CAP-B30-e0.5-M1200       1.0s p99_dl    83.633 gap  0.782 | max_excess    1021.7 guar@0    180.0 guar@p99     401.3 guarmax    1260.0 used 0.907 | exc|wf<1s     99.6 | maxheavy   2235.3 | forced  0.095% qw   3.94%
[    30s]   CAP-B120-e0.5-M600       1.1s p99_dl    74.199 gap  0.836 | max_excess     646.5 guar@0    360.0 guar@p99     581.3 guarmax     660.0 used 0.980 | exc|wf<1s    241.5 | maxheavy   2025.2 | forced  0.035% qw   2.48%
[    31s]   CAP-B120-e0.5-M1200      1.0s p99_dl    73.148 gap  0.842 | max_excess    1123.2 guar@0    360.0 guar@p99     581.3 guarmax    1260.0 used 0.938 | exc|wf<1s    241.5 | maxheavy   2235.3 | forced  0.022% qw   1.62%
[    32s]   CAP-B120-e0.5-M3600      1.0s p99_dl    73.148 gap  0.842 | max_excess    1123.2 guar@0    360.0 guar@p99     581.3 guarmax    1787.3 used 0.938 | exc|wf<1s    241.5 | maxheavy   2235.3 | forced  0.022% qw   1.62%
[    33s]   CAP-B30-e0.75-M1200      1.0s p99_dl    70.874 gap  0.855 | max_excess    1246.6 guar@0    360.0 guar@p99    1023.8 guarmax    1260.0 used 0.989 | exc|wf<1s    163.9 | maxheavy   2235.3 | forced  0.021% qw   1.06%
[    34s]   CAP-B30-e0.75-M3600      1.1s p99_dl    70.502 gap  0.857 | max_excess    1876.7 guar@0    360.0 guar@p99    1023.8 guarmax    3660.0 used 0.874 | exc|wf<1s    163.9 | maxheavy   2474.3 | forced  0.020% qw   0.97%
[    35s]   CAP-B120-e0.75-M1200     1.0s p99_dl    66.878 gap  0.878 | max_excess    1228.9 guar@0    720.0 guar@p99    1260.0 guarmax    1260.0 used 0.975 | exc|wf<1s    400.1 | maxheavy   2235.3 | forced  0.008% qw   0.65%
[    36s]   CAP-B120-e0.75-M3600     1.1s p99_dl    66.469 gap  0.880 | max_excess    1918.2 guar@0    720.0 guar@p99    1383.8 guarmax    3660.0 used 0.885 | exc|wf<1s    400.1 | maxheavy   2474.3 | forced  0.005% qw   0.45%
[    37s]   CAP-B30-e0.9-M1200       1.1s p99_dl    67.514 gap  0.874 | max_excess    1233.4 guar@0    900.0 guar@p99    1260.0 guarmax    1260.0 used 0.979 | exc|wf<1s    332.8 | maxheavy   2235.3 | forced  0.007% qw   0.56%
[    38s]   CAP-B30-e0.9-M3600       1.1s p99_dl    65.421 gap  0.886 | max_excess    2058.5 guar@0    900.0 guar@p99    2891.5 guarmax    3660.0 used 0.761 | exc|wf<1s    332.8 | maxheavy   2474.3 | forced  0.003% qw   0.18%
[    40s]   CAP-B600-e0.5-M3600      1.0s p99_dl    65.670 gap  0.884 | max_excess    1833.4 guar@0   1320.0 guar@p99    1541.3 guarmax    2747.3 used 0.956 | exc|wf<1s    400.1 | maxheavy   2431.1 | forced  0.003% qw   0.18%
[    41s]   SKIP-N1                  1.7s p99_dl   221.139 gap  0.001 | max_excess      56.9 guar@0    120.0
