level,predictor,policy,k,guar_excess_max,guar_excess_at0,gap_p99dl,gap_mean,w_p99_dl,max_excess,max_excess_wf0,max_heavy,qw_forced_frac,used_over_allowed,bound_viol
0,random,FIX-B600,8,240.0,240.0,0.5741915020758518,0.2512114183358092,14.211887528747374,151.04703195393083,133.2030847966671,518.8943387120962,0.1339035998324822,0.6293626331413785,0
0,random,CAP-B30-e0.5-M600,8,240.0,240.0,0.4694269130698166,0.2417432688407997,15.663963191211272,130.02846685051918,124.89292067289352,519.0066675394773,0.145086404146416,0.54178527854383,0
0,random,SKIP-N10,8,240.0,240.0,-0.0033918059568189,0.0235689037994473,22.217404207587364,60.59484565258026,60.59484565258026,435.3723205327988,0.4803874407475508,0.2524785235524177,0
0,random,FIX-B1200,8,315.0,315.0,0.6204527639398013,0.2959337834198412,13.570689456909944,211.3738393187523,211.3738393187523,603.2559552788734,0.0786240213500376,0.6710280613293723,0
0,random,CAP-B30-e0.9-M1200,8,315.0,315.0,0.6206546498671279,0.293704312197276,13.567891243845338,211.3738393187523,211.3738393187523,603.2559552788734,0.080316440919945,0.6710280613293723,0
0,random,CAP-B120-e0.75-M1200,8,315.0,315.0,0.6197341943630665,0.2947057241384443,13.580649095028733,211.3738393187523,211.3738393187523,603.2242093682289,0.0803883830651659,0.6710280613293723,0
0,random,SKIP-N20,8,315.0,315.0,-0.0099505506822587,0.0408687808132162,22.3083108171821,61.20121166110039,61.20121166110039,435.6423660665751,0.4459034736522915,0.1942895608288901,0
0,random,FIX-B3600,8,615.0,615.0,0.659892059575092,0.3750186392030943,13.024046341329878,495.44214175641537,478.9290658980608,891.1315994262695,0.0183352504249965,0.8055969784657161,0
0,random,CAP-B30-e0.9-M3600,8,615.0,615.0,0.6515831848801964,0.3739014558558193,13.139210394769968,495.4829365462065,351.1727509498596,891.1306813210249,0.0213431769970006,0.8056633114572463,0
0,random,REL-B120-e0.5,8,795.0228740721941,360.0,0.5850701041053048,0.3247341132070909,14.06110611110931,517.3839292526245,133.20503026247025,913.3114417940378,0.0459405912055535,0.6592893317131349,0
0,random,REL-B30-e0.75,8,1980.0686222165823,675.0,0.6125566748269671,0.3715818924200628,13.680132150650024,873.1270840913057,211.8850964456797,1175.0213712975385,0.026290032010763,0.585532540634431,0
0,random,SPJF,8,inf,inf,0.66966620980123,0.424843841247447,12.888573031127482,1307.655590068549,1250.2016931138933,1379.1109325997531,0.0,,-1
0,random,SJF-ref,8,inf,inf,1.0,1.0,8.310025434196065,1034.0366929620504,595.9371635168791,1185.8985834121704,0.0,,-1
0,random,FCFS,8,inf,inf,0.0,0.0,22.17039253190167,0.0,0.0,435.0228740721941,1.0,,-1
0,reversed,FIX-B600,8,240.0,240.0,-0.9268013422604692,-0.7353977006774854,35.016199362278066,149.7535162270069,124.29294250905514,538.6109154075384,0.29166858391078,0.6239729842791955,0
0,reversed,CAP-B30-e0.5-M600,8,240.0,240.0,-0.8372388268838706,-0.6725236418158266,33.77483002096451,142.604763135314,93.18552815914154,538.6161859482527,0.3201463703288855,0.5941865130638083,0
0,reversed,SKIP-N10,8,240.0,240.0,-0.5021601745791603,-0.4700267983072539,29.130516893416765,111.12272427976131,88.26893444359303,532.9100935906172,0.5359063662499849,0.4630113511656721,0
0,reversed,FIX-B1200,8,315.0,315.0,-0.8528855080476397,-0.9170328570091906,33.9916987657551,213.9649843275547,196.64912697672844,619.6356901973486,0.2377808537990044,0.6792539185001737,0
0,reversed,CAP-B30-e0.9-M1200,8,315.0,315.0,-0.8635266231974849,-0.9132651583660611,34.13918852806091,213.9649843275547,196.64912697672844,619.6356901973486,0.2391594995919468,0.6792539185001737,0
0,reversed,CAP-B120-e0.75-M1200,8,315.0,315.0,-0.8694757863262342,-0.9080009751282307,34.221646112949514,213.9649843275547,195.818067073822,619.6356901973486,0.2405643356578958,0.6792539185001737,0
0,reversed,SKIP-N20,8,315.0,315.0,-0.6240540786518833,-0.6291393207028178,30.820011150837217,159.4799346923828,142.5836250782013,570.5939632505178,0.5259781000029147,0.5062855069599455,0
0,reversed,FIX-B3600,8,615.0,615.0,-0.8091959201324292,-1.2198412071645264,33.386145038902804,509.2631180584431,475.041915088892,851.8187986910343,0.129742869167855,0.828070110664135,0
0,reversed,CAP-B30-e0.9-M3600,8,615.0,615.0,-0.8316004204775059,-1.2008856093582223,33.69667963832624,506.5223003476858,400.90559124946594,852.6448221355677,0.1378720644172607,0.8236134965003021,0
0,reversed,REL-B120-e0.5,8,795.0228740721941,360.0,-0.9342628079975852,-0.9335997179446226,35.119618016481446,511.8764038980007,124.6642050743103,836.8818422555923,0.1972829043539455,0.6664320466888819,0
0,reversed,REL-B30-e0.75,8,1980.0686222165823,675.0,-0.859661480738213,-1.0868338256300225,34.08561623469048,834.0084802508354,157.27882553637028,880.9713391065598,0.1004423420735346,0.6035040664310696,0
0,reversed,SPJF,8,inf,inf,-0.797511989243165,-1.3052301487245417,33.22420146763338,1217.567770048976,812.1861403882504,996.654228657484,0.0,,-1
0,reversed,SJF-ref,8,inf,inf,1.0,1.0,8.310025434196065,1034.0366929620504,595.9371635168791,1185.8985834121704,0.0,,-1
0,reversed,FCFS,8,inf,inf,0.0,0.0,22.17039253190167,0.0,0.0,435.0228740721941,1.0,,-1
0,top1short,FIX-B600,8,240.0,240.0,-0.5918790428604082,-0.5166628026866789,30.374053343385555,151.35774645209312,129.45305946469307,442.426703736186,0.2728770808848379,0.6306572768837213,0
0,top1short,CAP-B30-e0.5-M600,8,240.0,240.0,-0.5922153869726172,-0.4934057602586056,30.378715196251925,144.6010046452284,109.71383722126484,442.69155682623386,0.289385929417478,0.6025041860217849,0
0,top1short,SKIP-N10,8,240.0,240.0,-0.4167484655363532,-0.2982041159077249,27.94667925164104,101.14440593123436,82.04696537554264,431.4679894298315,0.4949107734270359,0.4214350247134765,0
0,top1short,FIX-B1200,8,315.0,315.0,-0.520942100333916,-0.6439349701906298,29.39084127917953,215.23905265331268,189.607883810997,535.373881354928,0.2232086431172081,0.6832985798517863,0
0,top1short,CAP-B30-e0.9-M1200,8,315.0,315.0,-0.5346168498555713,-0.6430667921883672,29.580378327518847,215.23905265331268,189.607883810997,535.373881354928,0.2241765354134566,0.6832985798517863,0
0,top1short,CAP-B120-e0.75-M1200,8,315.0,315.0,-0.5406476274175591,-0.640709551858062,29.663967118412604,215.232994183898,189.607883810997,535.373881354928,0.2257604778510824,0.6832793466155491,0
0,top1short,SKIP-N20,8,315.0,315.0,-0.5043463676867007,-0.4058919554633821,29.16081833243375,139.78734543919563,116.86087918281557,428.8135808259249,0.4840363315591841,0.443769350600621,0
0,top1short,FIX-B3600,8,615.0,615.0,-0.4899633152271652,-0.8675188776363338,28.96146394535903,523.4955194890499,480.4084124863148,847.6563904136419,0.1096733902948735,0.8512122268114632,0
0,top1short,CAP-B30-e0.9-M3600,8,615.0,615.0,-0.5138435649662376,-0.863985214182009,29.29245297312746,523.4926894903183,377.8700044155121,847.6567780077457,0.1153810735418556,0.8512076251875095,0
0,top1short,REL-B120-e0.5,8,795.0228740721941,360.0,-0.6219461254270583,-0.6873391149242564,30.79079414531635,511.8601159006357,129.55742675065994,770.474478572607,0.1760028401097634,0.6669583701520432,0
0,top1short,REL-B30-e0.75,8,1980.0686222165823,675.0,-0.5494093242587546,-0.7894039007718155,29.78540745303038,829.1953318715096,154.14220583438873,1171.779921453446,0.0991491441728346,0.5907325750955915,0
0,top1short,SPJF,8,inf,inf,-0.4821330069242943,-0.9049309207176214,28.852932997793022,1325.3101772367954,809.3597039282322,1170.698370307684,0.0,,-1
0,top1short,SJF-ref,8,inf,inf,1.0,1.0,8.310025434196065,1034.0366929620504,595.9371635168791,1185.8985834121704,0.0,,-1
0,top1short,FCFS,8,inf,inf,0.0,0.0,22.17039253190167,0.0,0.0,435.0228740721941,1.0,,-1
1,random,FIX-B600,5,276.0,276.0,-0.0185125397279199,0.201686315276112,111.10608663409964,196.59948536753652,183.2587154507637,1153.3545579463243,0.3465914433435635,0.7123169759693353,0
1,random,CAP-B30-e0.5-M600,5,276.0,276.0,0.0544384134207134,0.182483872890357,105.59670575708184,187.94015280902383,131.00356668233871,1153.3746254593134,0.3656257321942307,0.6809425826413907,0
1,random,SKIP-N10,5,276.0,276.0,0.0033056643059939,0.0123411155335267,109.45833851173572,75.66050148010254,75.66050148010254,1030.7329811751842,0.830880875055393,0.2741322517395019,0
1,random,FIX-B1200,5,396.0,396.0,0.2640988568932282,0.2473083332141264,89.76279011815802,313.91509422659874,313.91509422659874,1273.7428057938814,0.2343863024779383,0.7927148844106029,0
1,random,CAP-B30-e0.9-M1200,5,396.0,396.0,0.255251820107128,0.2458437457729118,90.43093348275951,313.91509422659874,313.91509422659874,1273.7438416033983,0.2356279657524477,0.7927148844106029,0
1,random,CAP-B120-e0.75-M1200,5,396.0,396.0,0.2372531356956022,0.2438020450070792,91.79022494405548,304.01558646559715,291.44339038431644,1273.743952780962,0.2371671003854482,0.7677161274383767,0
1,random,SKIP-N20,5,396.0,396.0,0.0077964082548262,0.0234017108350594,109.11918984036922,85.25889736413956,85.25889736413956,1030.8124092668295,0.796660156857884,0.2153002458690393,0
1,random,FIX-B3600,5,876.0,876.0,0.4132802646339414,0.3412486562426091,78.49635480046297,787.5919121354818,759.3429104872048,1748.2089245580137,0.0644359482277694,0.8990775252688149,0
1,random,CAP-B30-e0.9-M3600,5,876.0,876.0,0.3924311562977098,0.335797637554445,80.07091515660355,787.2639220505953,417.5324503928423,1748.2080374471843,0.0687290088719242,0.8987031073636933,0
1,random,REL-B120-e0.5,5,1383.8196176737547,360.0,0.2101692601051671,0.2931332004595852,93.83564559742862,1126.2751554511487,164.63094931840897,2079.622726749629,0.1175324851807565,0.8140184486688927,0
1,random,REL-B30-e0.75,5,3719.458853021264,648.0,0.3508843726958792,0.3584115819169013,83.20859938413047,2319.818893838674,246.46335962414744,3063.535953540355,0.0448798734297256,0.8051804057517825,0
1,random,SPJF,5,inf,inf,0.4534375512195727,0.4242405068344115,75.46360776647929,3319.422709900886,3257.853737767786,3311.210531119257,0.0,,-1
1,random,SJF-ref,5,inf,inf,1.0,1.0,34.18627589568497,2667.424100443721,774.8472412079573,3072.262211114168,0.0,,-1
1,random,FCFS,5,inf,inf,0.0,0.0,109.70798793956676,0.0,0.0,1022.8811564445496,1.0,,-1
1,reversed,FIX-B600,5,276.0,276.0,-1.174508071591011,-0.6129906713938335,198.408848315478,206.26171201467517,182.0517446100712,1176.8155480101705,0.5005478917028827,0.7473250435314317,0
1,reversed,CAP-B30-e0.5-M600,5,276.0,276.0,-0.9003294774018026,-0.5283611624159601,177.70241147652425,197.41138631105423,144.72754582762718,1176.8155711367726,0.5600888003901957,0.7152586460545443,0
