guar = guaranteed worst-case per-job excess over FCFS on this trace (max_i bound_i - W_fcfs[i]);
guar@0 = the same bound for a job FCFS would not have delayed; harm = observed max excess over
FCFS among jobs with W_fcfs <= 1 s; gap = fraction of the FCFS->true-SJF gap closed on deadline-window p99;
qwF = share of queue-weighted dispatches forced to a guarded job; used = observed excess / allowed excess.
P1 marks the Pareto front on (guar, gap), P2 on (harm, gap).

=== rep0, predictor M4, level 0: k = 8, busy-hour rho = 0.5294, FCFS p99_dl = 22.2 s, true-SJF p99_dl = 8.3 s ===
policy                     guar   guar@0    gap gapMean   p99_dl   maxExc    harm maxHeavy   qwF%  used  P1 P2
SKIP-N5                   216.0    216.0  0.001   0.019   109.62     63.6    57.0   1023.2  84.60 0.294  0  1
FIX-B300                  216.0    216.0  0.527   0.488    69.93    124.7   107.4   1082.9  28.57 0.577  1  0
SKIP-N10                  276.0    276.0  0.000   0.033   109.68     66.0    57.3   1023.4  82.25 0.239  0  0
CAP-B30-e0.5-M600         276.0    276.0  0.670   0.598    59.07    179.9    92.8   1142.9  17.29 0.652  0  0
CAP-B120-e0.5-M600        276.0    276.0  0.693   0.604    57.39    195.3   122.4   1142.9  16.21 0.708  0  0
FIX-B600                  276.0    276.0  0.705   0.604    56.45    195.3   157.8   1142.9  15.91 0.708  1  0
SKIP-N20                  396.0    396.0 -0.000   0.057   109.74     66.7    57.7   1023.9  78.63 0.168  0  0
CAP-B30-e0.5-M1200        396.0    324.0  0.717   0.702    55.59    292.8    92.8   1274.7   8.72 0.739  0  0
CAP-B120-e0.5-M1200       396.0    360.0  0.747   0.719    53.29    292.4   122.4   1274.6   7.20 0.738  0  0
CAP-B30-e0.75-M1200       396.0    396.0  0.771   0.720    51.52    292.4   127.7   1274.6   6.99 0.738  0  0
CAP-B120-e0.75-M1200      396.0    396.0  0.774   0.723    51.22    302.7   183.0   1274.7   6.54 0.765  0  0
CAP-B30-e0.9-M1200        396.0    396.0  0.778   0.723    50.99    302.7   193.1   1274.7   6.53 0.765  0  0
FIX-B1200                 396.0    396.0  0.780   0.724    50.82    302.7   240.8   1274.7   6.50 0.765  1  0
FIX-B1800                 516.0    516.0  0.806   0.783    48.83    420.8   241.4   1386.8   2.93 0.816  1  0
REL-B30-e0.25             557.3    216.0  0.538   0.589    69.08    379.7    82.9   1388.6  14.68 0.710  0  1
REL-B120-e0.25            581.3    240.0  0.641   0.651    61.30    400.8    84.0   1401.8   9.97 0.713  0  1
REL-B600-e0.25            709.3    368.0  0.790   0.785    50.02    525.8   187.2   1530.1   2.56 0.770  0  0
SKIP-N50                  756.0    756.0  0.012   0.115   108.82     77.2    59.7   1025.2  71.32 0.102  0  1
CAP-B120-e0.5-M3600       876.0    360.0  0.773   0.823    51.31    756.7   122.4   1736.7   1.93 0.864  0  0
CAP-B30-e0.75-M3600       876.0    648.0  0.812   0.840    48.38    776.9   127.7   1740.6   1.45 0.887  0  0
CAP-B120-e0.75-M3600      876.0    720.0  0.821   0.852    47.70    784.9   183.0   1736.8   0.68 0.896  0  0
CAP-B600-e0.5-M3600       876.0    552.0  0.825   0.855    47.40    773.1   241.3   1741.5   0.66 0.882  0  0
CAP-B30-e0.9-M3600        876.0    876.0  0.829   0.855    47.10    785.9   193.1   1736.7   0.49 0.897  0  0
FIX-B3600                 876.0    876.0  0.831   0.856    46.97    776.4   241.4   1736.8   0.34 0.886  1  0
REL-B1800-e0.25          1029.3    688.0  0.831   0.862    46.92    846.7   241.4   1839.8   0.38 0.844  1  0
REL-B30-e0.5             1347.8    324.0  0.743   0.806    53.61   1067.7    92.8   2066.1   3.70 0.811  0  1
REL-B120-e0.5            1383.8    360.0  0.777   0.836    51.01   1114.4   122.4   2075.9   1.82 0.809  0  1
REL-B600-e0.5            1575.8    552.0  0.831   0.874    46.98   1275.0   241.3   2226.4   0.51 0.826  0  0
FIX-B7200                1596.0   1596.0  0.849   0.895    45.59   1504.4   241.4   2419.8   0.07 0.943  1  0
REL-B1800-e0.5           2055.8   1032.0  0.848   0.896    45.66   1726.9   241.4   2681.1   0.07 0.869  0  0
REL-B30-e0.75            3719.5    648.0  0.833   0.892    46.77   2322.1   127.7   3095.1   1.16 0.794  0  1
REL-B120-e0.75           3791.5    720.0  0.840   0.898    46.31   2322.1   183.0   3095.1   0.41 0.805  0  1
REL-B600-e0.75           4175.5   1104.0  0.852   0.906    45.33   2317.3   241.4   3090.3   0.05 0.803  1  0
REL-B1800-e0.75          5135.5   2064.0  0.859   0.911    44.82   2336.8   241.4   3090.3   0.01 0.815  1  0
REL-B30-e0.9            10834.4   1620.0  0.852   0.907    45.33   2666.8   193.1   3090.3   0.16 0.661  0  1
REL-B120-e0.9           11014.4   1800.0  0.857   0.910    45.01   2944.5   241.4   3235.5   0.07 0.666  0  0
REL-B600-e0.9           11974.4   2760.0  0.860   0.912    44.76   3055.1   241.4   3346.7   0.00 0.680  1  0
REL-B1800-e0.9          14374.4   5160.0  0.861   0.913    44.69   3055.1   241.4   3346.7   0.00 0.493  1  1
FCFS                          -        -  0.000   0.000   109.71      0.0     0.0   1022.9 100.00     -  0  0
SPJF                          -        -  0.861   0.913    44.69   3055.1   241.4   3346.7   0.00     -  0  0
SJF-ref                       -        -  1.000   1.000    34.19   2667.4   774.8   3072.3   0.00     -  0  0

=== rep0, predictor M4, level 2: k = 4, busy-hour rho = 1.0589, FCFS p99_dl = 263.1 s, true-SJF p99_dl = 42.9 s ===
policy                     guar   guar@0    gap gapMean   p99_dl   maxExc    harm maxHeavy   qwF%  used  P1 P2
FIX-B30                   157.5    157.5  0.005   0.158   262.06     71.2    63.1   1550.3  74.38 0.452  1  1
SKIP-N1                   165.0    165.0  0.000   0.005   263.11     58.5    58.5   1543.0  93.81 0.355  0  1
SKIP-N2                   180.0    180.0 -0.000   0.007   263.12     66.4    58.5   1543.0  93.52 0.369  0  0
FIX-B120                  180.0    180.0  0.099   0.306   241.35    101.6    85.5   1572.9  58.04 0.565  1  0
SKIP-N5                   225.0    225.0 -0.000   0.012   263.14     93.0    58.7   1543.0  92.45 0.413  0  0
FIX-B300                  225.0    225.0  0.207   0.419   217.56    162.7   113.1   1617.9  43.21 0.723  1  0
SKIP-N10                  300.0    300.0  0.001   0.022   262.98     96.8    59.0   1543.4  90.90 0.323  0  1
FIX-B600                  300.0    300.0  0.429   0.530   168.67    215.4   183.4   1692.9  29.67 0.718  0  0
CAP-B30-e0.5-M600         300.0    300.0  0.434   0.515   167.48    210.9    91.4   1692.9  30.43 0.703  0  0
CAP-B120-e0.5-M600        300.0    300.0  0.446   0.528   164.91    208.3   163.3   1692.9  29.73 0.694  1  0
SKIP-N20                  450.0    450.0  0.001   0.039   262.99    104.2    61.9   1543.9  88.40 0.231  0  0
CAP-B30-e0.5-M1200        450.0    315.0  0.596   0.618   131.90    358.4    91.4   1842.8  17.12 0.796  0  0
