guar = guaranteed worst-case per-job excess over FCFS on this trace (max_i bound_i - W_fcfs[i]);
guar@0 = the same bound for a job FCFS would not have delayed; harm = observed max excess over
FCFS among jobs with W_fcfs <= 1 s; gap = fraction of the FCFS->true-SJF gap closed on deadline-window p99;
qwF = share of queue-weighted dispatches forced to a guarded job; used = observed excess / allowed excess.
P1 marks the Pareto front on (guar, gap), P2 on (harm, gap).

=== rep0, predictor M4, level 0: k = 8, busy-hour rho = 0.5294, FCFS p99_dl = 22.2 s, true-SJF p99_dl = 8.3 s ===
policy                     guar   guar@0    gap gapMean   p99_dl   maxExc    harm maxHeavy   qwF%  used  P1 P2
-- level 2 (k=4), predictor reversed: FCFS p99_dl 263.1 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  300.0  -0.560   386.50    232.6    209.1   1716.2  60.24 0.775
CAP-B30-e0.5-M600         300.0  -0.547   383.67    234.3    116.1   1716.2  65.99 0.781
SKIP-N10                  300.0  -0.327   335.06    185.8    147.3   1673.3  92.12 0.619
FIX-B1200                 450.0  -0.914   464.52    381.6    342.2   1859.8  49.45 0.848
CAP-B30-e0.9-M1200        450.0  -0.915   464.54    381.6    335.8   1859.8  49.87 0.848
CAP-B120-e0.75-M1200      450.0  -0.909   463.28    381.6    278.3   1859.8  50.37 0.848
SKIP-N20                  450.0  -0.503   373.98    333.0    239.5   1752.8  90.45 0.740
FIX-B3600                1050.0  -1.323   554.49    971.1    937.4   2205.9  25.58 0.925
CAP-B30-e0.9-M3600       1050.0  -1.172   521.28    971.1    397.6   2205.9  27.22 0.925
REL-B120-e0.5            1904.6  -0.557   385.73   1638.7    162.5   2532.2  42.94 0.874
REL-B30-e0.75            5263.8  -0.759   430.18   4238.9    225.0   2534.2  14.01 0.899
SPJF                          -  -1.171   521.06   6295.7   5248.8   2654.8   0.00     -
SJF-ref                       -   1.000    42.88   4755.5   1101.5   5299.5   0.00     -
FCFS                          -   0.000   263.12      0.0      0.0   1542.8 100.00     -

-- level 2 (k=4), predictor top1short: FCFS p99_dl 263.1 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  300.0  -0.547   383.66    238.6    215.1   1499.4  57.86 0.795
CAP-B30-e0.5-M600         300.0  -0.543   382.75    221.0    120.3   1499.4  62.65 0.737
SKIP-N10                  300.0  -0.208   308.93    184.0    132.0   1529.2  90.31 0.613
FIX-B1200                 450.0  -0.890   459.04    377.3    343.3   1421.8  47.00 0.839
CAP-B30-e0.9-M1200        450.0  -0.890   459.20    377.3    327.8   1421.8  47.28 0.839
CAP-B120-e0.75-M1200      450.0  -0.889   458.90    377.3    291.6   1421.8  47.71 0.839
SKIP-N20                  450.0  -0.326   334.99    285.4    207.5   1513.4  88.89 0.634
FIX-B3600                1050.0  -1.098   504.87    975.2    930.5   1911.7  20.36 0.929
CAP-B30-e0.9-M3600       1050.0  -1.026   489.15    975.2    357.7   1911.7  21.43 0.929
REL-B120-e0.5            1904.6  -0.553   384.83   1638.8    165.7   2047.0  32.80 0.873
REL-B30-e0.75            5263.8  -0.720   421.60   4192.7    218.8   3967.8  11.64 0.892
SPJF                          -  -0.947   471.75   6103.7   3405.4   5965.2   0.00     -
SJF-ref                       -   1.000    42.88   4755.5   1101.5   5299.5   0.00     -
FCFS                          -   0.000   263.12      0.0      0.0   1542.8 100.00     -


=== rep1 ===

-- level 0 (k=8), predictor M4: FCFS p99_dl 21.2 s, true-SJF 7.6 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy  used
FIX-B600                  240.0   0.722    11.36    132.1    124.7    425.4 0.550
CAP-B30-e0.5-M600         240.0   0.682    11.90    116.7     85.3    425.4 0.486
SKIP-N10                  240.0   0.046    20.57     44.6     44.6    349.7 0.186
FIX-B1200                 315.0   0.738    11.13    191.9    148.0    506.3 0.609
CAP-B30-e0.9-M1200        315.0   0.738    11.14    191.9    130.2    506.3 0.609
CAP-B120-e0.75-M1200      315.0   0.737    11.15    195.9    130.0    506.3 0.622
SKIP-N20                  315.0   0.092    19.94     45.2     45.2    350.0 0.143
FIX-B3600                 615.0   0.761    10.82    492.4    148.0    803.4 0.801
CAP-B30-e0.9-M3600        615.0   0.759    10.84    492.4    130.2    808.3 0.801
REL-B120-e0.5             712.7   0.737    11.15    423.9    127.1    742.7 0.624
REL-B30-e0.75            1733.2   0.751    10.97    695.3    128.0    970.9 0.482
SPJF                          -   0.761    10.82   1077.9    148.0   1183.9     -
SJF-ref                       -   1.000     7.56    854.1    442.1    960.3     -
FCFS                          -   0.000    21.20      0.0      0.0    349.0     -

-- level 1 (k=5), predictor M4: FCFS p99_dl 111.5 s, true-SJF 32.2 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy  used
FIX-B600                  276.0   0.716    54.71    183.0    164.3    965.2 0.663
CAP-B30-e0.5-M600         276.0   0.699    56.04    185.2     91.9    965.3 0.671
SKIP-N10                  276.0   0.002   111.30     63.9     52.4    848.3 0.231
FIX-B1200                 396.0   0.789    48.96    315.2    266.8   1086.6 0.796
CAP-B30-e0.9-M1200        396.0   0.785    49.22    315.2    274.8   1086.6 0.796
CAP-B120-e0.75-M1200      396.0   0.785    49.25    315.8    194.2   1088.4 0.797
SKIP-N20                  396.0   0.004   111.19     75.1     60.3    848.7 0.190
FIX-B3600                 876.0   0.840    44.90    786.4    390.9   1568.3 0.898
CAP-B30-e0.9-M3600        876.0   0.839    44.94    786.4    288.8   1568.4 0.898
REL-B120-e0.5            1210.5   0.782    49.50    923.4    144.1   1757.0 0.788
REL-B30-e0.75            3199.6   0.837    45.17   2020.8    155.2   2754.9 0.767
SPJF                          -   0.869    42.62   2814.9    390.9   3017.2     -
SJF-ref                       -   1.000    32.21   2410.5    255.4   2755.9     -
FCFS                          -   0.000   111.46      0.0      0.0    848.3     -

-- level 2 (k=4), predictor M4: FCFS p99_dl 277.8 s, true-SJF 43.4 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy  used
FIX-B600                  300.0   0.441   174.46    216.2    174.5   1418.7 0.721
CAP-B30-e0.5-M600         300.0   0.458   170.34    208.8    110.6   1418.7 0.696
SKIP-N10                  300.0  -0.000   277.84     72.6     60.3   1269.3 0.242
FIX-B1200                 450.0   0.743   103.58    356.6    300.3   1569.0 0.792
CAP-B30-e0.9-M1200        450.0   0.742   103.97    360.9    174.5   1569.0 0.802
CAP-B120-e0.75-M1200      450.0   0.741   104.09    356.7    174.5   1569.0 0.793
SKIP-N20                  450.0  -0.000   277.85     93.6     60.9   1269.9 0.208
FIX-B3600                1050.0   0.866    74.69    959.3    352.2   2213.7 0.914
CAP-B30-e0.9-M3600       1050.0   0.858    76.69    959.3    174.5   2200.4 0.914
REL-B120-e0.5            1645.3   0.772    96.93   1404.1    127.6   2598.9 0.868
REL-B30-e0.75            4485.9   0.867    74.59   3303.3    127.7   4486.4 0.853
SPJF                          -   0.908    65.02   5103.4    352.2   5393.4     -
SJF-ref                       -   1.000    43.37   4030.3    379.8   4497.8     -
FCFS                          -   0.000   277.84      0.0      0.0   1268.7     -


=== k1rep0 ===

-- level 0 (k=1), predictor M4: FCFS p99_dl 221.3 s, true-SJF 45.3 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy  used
FIX-B30                    90.0   0.256   176.24     86.6     82.4   1465.6 0.962
SKIP-N1                   120.0   0.001   221.14     56.9     53.9   1423.7 0.474
SKIP-N2                   180.0   0.001   221.09    108.8     54.1   1424.0 0.604
FIX-B120                  180.0   0.619   112.38    172.9    163.9   1552.7 0.961
FIX-B300                  360.0   0.792    81.97    349.0    332.8   1723.8 0.969
SKIP-N5                   360.0   0.001   221.13    163.6     60.5   1424.7 0.454
REL-B30-e0.25             595.8   0.642   108.23    515.9     82.4   1938.3 0.924
FIX-B600                  660.0   0.853    71.22    646.5    400.1   2025.2 0.980
SKIP-N10                  660.0   0.004   220.53    164.7     82.9   1425.8 0.250
CAP-B120-e0.5-M600        660.0   0.836    74.20    646.5    241.5   2025.2 0.980
CAP-B30-e0.5-M600         660.0   0.775    84.84    652.5     99.6   2034.9 0.989
REL-B120-e0.25            715.8   0.767    86.39    635.8    168.6   2058.0 0.946
CAP-B30-e0.5-M1200       1260.0   0.782    83.63   1021.7     99.6   2235.3 0.907
CAP-B120-e0.5-M1200      1260.0   0.842    73.15   1123.2    241.5   2235.3 0.938
FIX-B1200                1260.0   0.876    67.09   1250.3    400.1   2235.3 0.992
SKIP-N20                 1260.0   0.024   217.10    166.8     96.2   1427.8 0.132
CAP-B120-e0.75-M1200     1260.0   0.878    66.88   1228.9    400.1   2235.3 0.975
CAP-B30-e0.9-M1200       1260.0   0.874    67.51   1233.4    332.8   2235.3 0.979
CAP-B30-e0.75-M1200      1260.0   0.855    70.87   1246.6    163.9   2235.3 0.989
REL-B600-e0.25           1355.8   0.872    67.86   1096.3    400.1   2235.3 0.971
REL-B30-e0.5             1607.3   0.782    83.63   1021.7     99.6   2235.3 0.907
REL-B120-e0.5            1787.3   0.842    73.15   1123.2    241.5   2235.3 0.938
CAP-B120-e0.5-M3600      1787.3   0.842    73.15   1123.2    241.5   2235.3 0.938
FIX-B1800                1860.0   0.884    65.77   1836.4    400.1   2431.1 0.987
REL-B600-e0.5            2747.3   0.884    65.67   1833.4    400.1   2431.1 0.956
CAP-B600-e0.5-M3600      2747.3   0.884    65.67   1833.4    400.1   2431.1 0.956
REL-B1800-e0.25          2955.8   0.889    64.87   2483.6    400.1   2665.6 0.982
SKIP-N50                 3060.0   0.084   206.50    282.9    164.8   1441.6 0.092
CAP-B120-e0.75-M3600     3660.0   0.880    66.47   1918.2    400.1   2474.3 0.885
CAP-B30-e0.75-M3600      3660.0   0.857    70.50   1876.7    163.9   2474.3 0.874
FIX-B3600                3660.0   0.890    64.74   2520.3    400.1   2698.2 0.689
CAP-B30-e0.9-M3600       3660.0   0.886    65.42   2058.5    332.8   2474.3 0.761
REL-B30-e0.75            4641.8   0.857    70.50   1876.7    163.9   2474.3 0.874
REL-B120-e0.75           5001.8   0.880    66.47   1918.2    400.1   2474.3 0.885
REL-B1800-e0.5           5147.3   0.890    64.74   2520.3    400.1   2698.2 0.654
REL-B600-e0.75           6921.8   0.890    64.74   2520.3    400.1   2698.2 0.869
FIX-B7200                7260.0   0.890    64.74   2520.3    400.1   2698.2 0.347
REL-B1800-e0.75         11721.8   0.890    64.74   2520.3    400.1   2698.2 0.324
REL-B30-e0.9            13745.3   0.886    65.42   2058.5    332.8   2474.3 0.761
REL-B120-e0.9           14645.3   0.888    65.06   2520.3    400.1   2698.2 0.811
REL-B600-e0.9           19445.3   0.890    64.74   2520.3    400.1   2698.2 0.342
REL-B1800-e0.9          31445.3   0.890    64.74   2520.3    400.1   2698.2 0.129
FCFS                          -   0.000   221.27      0.0      0.0   1423.5     -
SJF-ref                       -   1.000    45.32   2054.5    777.9   2366.7     -
SPJF                          -   0.890    64.74   2520.3    400.1   2698.2     -

-- level 0 (k=1), predictor random: FCFS p99_dl 221.3 s, true-SJF 45.3 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy  used
FIX-B600                  660.0   0.277   172.58    658.0    608.7   2020.5 0.997
CAP-B30-e0.5-M600         660.0   0.157   193.70    658.0    112.1   2020.5 0.997
SKIP-N10                  660.0  -0.020   224.83    203.4    203.4   1430.2 0.308
FIX-B1200                1260.0   0.339   161.69   1258.0   1205.1   2294.6 0.998
CAP-B30-e0.9-M1200       1260.0   0.323   164.42   1258.0    326.2   2294.6 0.998
CAP-B120-e0.75-M1200     1260.0   0.326   163.93   1258.0    509.7   2294.6 0.998
SKIP-N20                 1260.0  -0.038   228.04    253.6    253.6   1435.7 0.201
REL-B120-e0.5            1787.3   0.214   183.68   1285.0    288.9   2350.5 0.929
FIX-B3600                3660.0   0.349   159.79   2662.6   1600.3   2588.7 0.727
CAP-B30-e0.9-M3600       3660.0   0.333   162.74   2437.0    326.2   2541.5 0.792
REL-B30-e0.75            4641.8   0.249   177.39   1878.9    165.8   2436.1 0.896
SPJF                          -   0.349   159.79   2662.6   1600.3   2588.7     -
SJF-ref                       -   1.000    45.32   2054.5    777.9   2366.7     -
FCFS                          -   0.000   221.27      0.0      0.0   1423.5     -

-- level 0 (k=1), predictor reversed: FCFS p99_dl 221.3 s, true-SJF 45.3 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy  used
FIX-B600                  660.0  -1.203   432.91    658.3    641.6   1691.3 0.997
CAP-B30-e0.5-M600         660.0  -0.616   329.70    658.1    118.6   1691.3 0.997
SKIP-N10                  660.0  -0.680   340.89    547.9    380.3   1576.7 0.830
FIX-B1200                1260.0  -1.130   420.18   1256.8   1212.7   1607.3 0.997
CAP-B30-e0.9-M1200       1260.0  -1.115   417.42   1256.8    336.8   1607.3 0.997
CAP-B120-e0.75-M1200     1260.0  -1.152   423.91   1256.8    498.1   1607.3 0.997
SKIP-N20                 1260.0  -0.816   364.84    770.1    757.8   1660.6 0.611
REL-B120-e0.5            1787.3  -0.933   385.37   1294.4    272.1   1628.0 0.922
FIX-B3600                3660.0  -1.103   415.37   2696.2   2487.1   1724.7 0.737
CAP-B30-e0.9-M3600       3660.0  -1.092   413.50   2453.1    336.8   1731.4 0.787
REL-B30-e0.75            4641.8  -0.867   373.87   1887.7    177.9   1609.6 0.887
SPJF                          -  -1.103   415.37   2696.2   2487.1   1724.7     -
SJF-ref                       -   1.000    45.32   2054.5    777.9   2366.7     -
FCFS                          -   0.000   221.27      0.0      0.0   1423.5     -

-- level 0 (k=1), predictor top1short: FCFS p99_dl 221.3 s, true-SJF 45.3 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy  used
FIX-B600                  660.0  -0.966   391.20    658.1    624.0   2016.0 0.997
CAP-B30-e0.5-M600         660.0  -0.581   323.54    653.3    118.6   2016.0 0.990
SKIP-N10                  660.0  -0.573   322.16    512.6    359.5   1446.4 0.777
FIX-B1200                1260.0  -0.876   375.43   1257.5   1219.4   2236.6 0.998
CAP-B30-e0.9-M1200       1260.0  -0.885   377.00   1257.5    335.6   2236.6 0.998
CAP-B120-e0.75-M1200     1260.0  -0.897   379.16   1257.5    502.6   2236.6 0.998
SKIP-N20                 1260.0  -0.733   350.30    633.9    624.0   1470.3 0.503
REL-B120-e0.5            1787.3  -0.876   375.38   1225.8    275.2   2236.6 0.921
FIX-B3600                3660.0  -0.858   372.28   2659.2   1411.1   2493.3 0.727
CAP-B30-e0.9-M3600       3660.0  -0.873   374.89   2401.9    335.6   2493.3 0.788
REL-B30-e0.75            4641.8  -0.802   362.32   1883.7    177.9   2428.4 0.886
SPJF                          -  -0.858   372.28   2659.2   1411.1   2493.3     -
SJF-ref                       -   1.000    45.32   2054.5    777.9   2366.7     -
FCFS                          -   0.000   221.27      0.0      0.0   1423.5     -


total runs collected: 390; bound violations: 0
