design,k,n,L,max_excess,max_allowed,used_over_allowed
rel B0=0 eps=.5,3,7,4.0,3.5,11.6,0.30701754385964913
rel B0=1 eps=1,3,7,4.0,3.5,15.5,0.23333333333333334
rel B0=0 eps=2,3,7,4.0,3.5,32.0,0.11666666666666667
qlen B0=0 gam=1,3,7,4.0,3.5,10.666666666666666,0.328125
qlen B0=1 gam=.5 eps=.5,3,7,4.0,3.5,12.6,0.2777777777777778
thresh B=1 th=1 N=2,3,7,4.0,3.5,10.333333333333334,0.3387096774193548
thresh B=0 th=.5 N=3 eps=1,3,7,4.0,3.5,15.75,0.22950819672131148
cap B0=1 eps=1 Bmax=3,3,7,4.0,3.5,10.333333333333334,0.3387096774193548
cap B0=0 eps=2 Bmax=2,3,7,4.0,3.5,10.0,0.35
cap B0=1 eps=.5 Bmax=1,3,7,4.0,3.5,9.666666666666666,0.3620689655172414
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,7,4.0,3.5,11.333333333333334,0.30882352941176466
skip N=2 (work channel off),3,7,4.0,3.5,12.0,0.2916666666666667
skip N=5 (work channel off),3,7,4.0,3.5,16.0,0.21875
fixed B=0,3,2,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,2,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,2,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,2,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,2,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,2,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,2,4.0,0.0,9.666666666666666,0.0
qlen B0=1 gam=.5 eps=.5,3,2,4.0,0.0,11.8,0.0
thresh B=1 th=1 N=2,3,2,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,2,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,2,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,2,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,2,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,2,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,2,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,2,4.0,0.0,16.0,0.0
fixed B=0,1,9,1.0,0.0,1.0,0.0
fixed B=1,1,9,1.0,0.0,2.0,0.0
fixed B=4,1,9,1.0,0.0,5.0,0.0
rel B0=0 eps=.5,1,9,1.0,1.0,3.5,0.3333333333333333
qlen B0=0 gam=1,1,9,1.0,0.0,6.0,0.0
qlen B0=1 gam=.5 eps=.5,1,9,1.0,0.0,10.5,0.0
thresh B=1 th=1 N=2,1,9,1.0,0.0,4.0,0.0
cap B0=1 eps=.5 Bmax=1,1,9,1.0,0.0,2.0,0.0
skip N=2 (work channel off),1,9,1.0,0.0,9.0,0.0
skip N=5 (work channel off),1,9,1.0,0.0,21.0,0.0
fixed B=0,2,7,4.0,0.0,8.0,0.0
fixed B=1,2,7,4.0,1.0,8.5,0.11764705882352941
fixed B=4,2,7,4.0,1.0,10.0,0.1
rel B0=0 eps=.5,2,7,4.0,3.0,11.333333333333334,0.2727272727272727
rel B0=1 eps=1,2,7,4.0,1.0,19.0,0.058823529411764705
qlen B0=0 gam=1,2,7,4.0,2.0,10.0,0.2222222222222222
qlen B0=1 gam=.5 eps=.5,2,7,4.0,1.0,13.0,0.08823529411764705
thresh B=1 th=1 N=2,2,7,4.0,1.0,9.5,0.10526315789473684
thresh B=0 th=.5 N=3 eps=1,2,7,4.0,3.0,19.5,0.16216216216216217
cap B0=1 eps=1 Bmax=3,2,7,4.0,1.0,9.5,0.10526315789473684
cap B0=1 eps=.5 Bmax=1,2,7,4.0,1.0,8.5,0.11764705882352941
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,7,4.0,1.0,11.0,0.09090909090909091
skip N=2 (work channel off),2,7,4.0,1.0,12.0,0.08333333333333333
skip N=5 (work channel off),2,7,4.0,1.0,18.0,0.05555555555555555
fixed B=0,3,3,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,3,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,3,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,3,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,3,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,3,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,3,4.0,0.0,9.666666666666666,0.0
qlen B0=1 gam=.5 eps=.5,3,3,4.0,0.0,11.8,0.0
thresh B=1 th=1 N=2,3,3,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,3,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,3,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,3,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,3,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,3,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,3,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,3,4.0,0.0,16.0,0.0
fixed B=0,2,5,4.0,0.0,8.0,0.0
fixed B=1,2,5,4.0,4.0,8.5,0.47058823529411764
fixed B=4,2,5,4.0,4.0,10.0,0.4
rel B0=0 eps=.5,2,5,4.0,0.5,12.0,0.041666666666666664
rel B0=1 eps=1,2,5,4.0,4.0,21.0,0.23529411764705882
qlen B0=0 gam=1,2,5,4.0,0.5,10.0,0.05263157894736842
qlen B0=1 gam=.5 eps=.5,2,5,4.0,4.0,14.0,0.3529411764705882
thresh B=1 th=1 N=2,2,5,4.0,4.0,9.5,0.42105263157894735
thresh B=0 th=.5 N=3 eps=1,2,5,4.0,0.5,21.5,0.023255813953488372
cap B0=1 eps=1 Bmax=3,2,5,4.0,4.0,9.5,0.42105263157894735
cap B0=1 eps=.5 Bmax=1,2,5,4.0,4.0,8.5,0.47058823529411764
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,5,4.0,4.0,11.0,0.36363636363636365
skip N=2 (work channel off),2,5,4.0,4.0,12.0,0.3333333333333333
skip N=5 (work channel off),2,5,4.0,4.0,18.0,0.2222222222222222
fixed B=0,3,6,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,6,4.0,1.5,9.666666666666666,0.15517241379310345
fixed B=4,3,6,4.0,1.5,10.666666666666666,0.140625
rel B0=0 eps=.5,3,6,4.0,0.0,11.3,0.0
rel B0=1 eps=1,3,6,4.0,1.5,14.75,0.10344827586206896
rel B0=0 eps=2,3,6,4.0,0.0,29.0,0.0
qlen B0=0 gam=1,3,6,4.0,1.5,10.666666666666666,0.15
qlen B0=1 gam=.5 eps=.5,3,6,4.0,1.5,12.5,0.125
thresh B=1 th=1 N=2,3,6,4.0,1.5,10.333333333333334,0.14516129032258063
thresh B=0 th=.5 N=3 eps=1,3,6,4.0,0.0,15.0,0.0
cap B0=1 eps=1 Bmax=3,3,6,4.0,1.5,10.333333333333334,0.14516129032258063
cap B0=0 eps=2 Bmax=2,3,6,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,6,4.0,1.5,9.666666666666666,0.15517241379310345
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,6,4.0,1.5,11.333333333333334,0.1323529411764706
skip N=2 (work channel off),3,6,4.0,1.5,12.0,0.125
skip N=5 (work channel off),3,6,4.0,1.5,16.0,0.09375
fixed B=0,2,9,4.0,0.0,8.0,0.0
fixed B=1,2,9,4.0,0.0,8.5,0.0
fixed B=4,2,9,4.0,0.0,10.0,0.0
rel B0=0 eps=.5,2,9,4.0,0.0,13.5,0.0
rel B0=1 eps=1,2,9,4.0,0.0,25.5,0.0
qlen B0=0 gam=1,2,9,4.0,0.0,12.0,0.0
qlen B0=1 gam=.5 eps=.5,2,9,4.0,0.0,16.833333333333332,0.0
thresh B=1 th=1 N=2,2,9,4.0,0.0,9.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,9,4.0,0.0,26.0,0.0
cap B0=1 eps=1 Bmax=3,2,9,4.0,0.0,9.5,0.0
cap B0=1 eps=.5 Bmax=1,2,9,4.0,0.0,8.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,9,4.0,0.0,11.0,0.0
skip N=2 (work channel off),2,9,4.0,0.0,12.0,0.0
skip N=5 (work channel off),2,9,4.0,0.0,18.0,0.0
fixed B=0,3,4,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,4,4.0,0.5,9.666666666666666,0.05172413793103449
fixed B=4,3,4,4.0,0.5,10.666666666666666,0.046875
rel B0=0 eps=.5,3,4,4.0,0.0,11.3,0.0
rel B0=1 eps=1,3,4,4.0,0.5,14.75,0.034482758620689655
rel B0=0 eps=2,3,4,4.0,0.0,29.0,0.0
qlen B0=0 gam=1,3,4,4.0,0.5,10.333333333333334,0.05172413793103449
qlen B0=1 gam=.5 eps=.5,3,4,4.0,0.5,12.3,0.0423728813559322
thresh B=1 th=1 N=2,3,4,4.0,0.5,10.333333333333334,0.04838709677419355
thresh B=0 th=.5 N=3 eps=1,3,4,4.0,0.0,15.0,0.0
cap B0=1 eps=1 Bmax=3,3,4,4.0,0.5,10.333333333333334,0.04838709677419355
cap B0=0 eps=2 Bmax=2,3,4,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,4,4.0,0.5,9.666666666666666,0.05172413793103449
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,4,4.0,0.5,11.333333333333334,0.044117647058823525
skip N=2 (work channel off),3,4,4.0,0.5,12.0,0.041666666666666664
skip N=5 (work channel off),3,4,4.0,0.5,16.0,0.03125
fixed B=0,3,3,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,3,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,3,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,3,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,3,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,3,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,3,4.0,0.0,10.0,0.0
qlen B0=1 gam=.5 eps=.5,3,3,4.0,0.0,12.0,0.0
thresh B=1 th=1 N=2,3,3,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,3,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,3,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,3,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,3,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,3,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,3,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,3,4.0,0.0,16.0,0.0
fixed B=0,2,7,4.0,0.0,8.0,0.0
fixed B=1,2,7,4.0,0.5,8.5,0.058823529411764705
fixed B=4,2,7,4.0,0.5,10.0,0.05
rel B0=0 eps=.5,2,7,4.0,0.0,10.833333333333334,0.0
rel B0=1 eps=1,2,7,4.0,0.5,17.5,0.029411764705882353
qlen B0=0 gam=1,2,7,4.0,0.5,9.5,0.058823529411764705
qlen B0=1 gam=.5 eps=.5,2,7,4.0,0.5,12.5,0.044117647058823525
thresh B=1 th=1 N=2,2,7,4.0,0.5,9.5,0.05263157894736842
thresh B=0 th=.5 N=3 eps=1,2,7,4.0,0.0,18.0,0.0
cap B0=1 eps=1 Bmax=3,2,7,4.0,0.5,9.5,0.05263157894736842
cap B0=1 eps=.5 Bmax=1,2,7,4.0,0.5,8.5,0.058823529411764705
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,7,4.0,0.5,11.0,0.045454545454545456
skip N=2 (work channel off),2,7,4.0,0.5,12.0,0.041666666666666664
skip N=5 (work channel off),2,7,4.0,0.5,18.0,0.027777777777777776
fixed B=0,1,6,4.0,0.0,4.0,0.0
fixed B=1,1,6,4.0,0.0,5.0,0.0
fixed B=4,1,6,4.0,0.0,8.0,0.0
rel B0=0 eps=.5,1,6,4.0,0.0,18.5,0.0
qlen B0=0 gam=1,1,6,4.0,0.0,9.0,0.0
qlen B0=1 gam=.5 eps=.5,1,6,4.0,0.0,25.5,0.0
thresh B=1 th=1 N=2,1,6,4.0,0.0,7.0,0.0
cap B0=1 eps=.5 Bmax=1,1,6,4.0,0.0,5.0,0.0
skip N=2 (work channel off),1,6,4.0,0.0,12.0,0.0
skip N=5 (work channel off),1,6,4.0,0.0,24.0,0.0
fixed B=0,3,3,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,3,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,3,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,3,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,3,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,3,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,3,4.0,0.0,10.0,0.0
qlen B0=1 gam=.5 eps=.5,3,3,4.0,0.0,12.0,0.0
thresh B=1 th=1 N=2,3,3,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,3,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,3,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,3,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,3,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,3,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,3,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,3,4.0,0.0,16.0,0.0
fixed B=0,1,2,1.0,0.0,1.0,0.0
fixed B=1,1,2,1.0,0.0,2.0,0.0
fixed B=4,1,2,1.0,0.0,5.0,0.0
rel B0=0 eps=.5,1,2,1.0,0.0,3.0,0.0
qlen B0=0 gam=1,1,2,1.0,0.0,2.0,0.0
qlen B0=1 gam=.5 eps=.5,1,2,1.0,0.0,6.0,0.0
thresh B=1 th=1 N=2,1,2,1.0,0.0,4.0,0.0
cap B0=1 eps=.5 Bmax=1,1,2,1.0,0.0,2.0,0.0
skip N=2 (work channel off),1,2,1.0,0.0,9.0,0.0
skip N=5 (work channel off),1,2,1.0,0.0,21.0,0.0
fixed B=0,2,7,4.0,0.0,8.0,0.0
fixed B=1,2,7,4.0,0.0,8.5,0.0
fixed B=4,2,7,4.0,0.0,10.0,0.0
rel B0=0 eps=.5,2,7,4.0,0.0,11.333333333333334,0.0
rel B0=1 eps=1,2,7,4.0,0.0,19.0,0.0
qlen B0=0 gam=1,2,7,4.0,0.0,9.5,0.0
qlen B0=1 gam=.5 eps=.5,2,7,4.0,0.0,12.333333333333334,0.0
thresh B=1 th=1 N=2,2,7,4.0,0.0,9.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,7,4.0,0.0,19.5,0.0
cap B0=1 eps=1 Bmax=3,2,7,4.0,0.0,9.5,0.0
cap B0=1 eps=.5 Bmax=1,2,7,4.0,0.0,8.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,7,4.0,0.0,11.0,0.0
skip N=2 (work channel off),2,7,4.0,0.0,12.0,0.0
skip N=5 (work channel off),2,7,4.0,0.0,18.0,0.0
fixed B=0,3,2,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,2,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,2,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,2,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,2,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,2,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,2,4.0,0.0,9.666666666666666,0.0
qlen B0=1 gam=.5 eps=.5,3,2,4.0,0.0,11.8,0.0
thresh B=1 th=1 N=2,3,2,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,2,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,2,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,2,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,2,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,2,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,2,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,2,4.0,0.0,16.0,0.0
fixed B=0,3,3,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,3,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,3,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,3,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,3,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,3,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,3,4.0,0.0,9.666666666666666,0.0
qlen B0=1 gam=.5 eps=.5,3,3,4.0,0.0,11.8,0.0
thresh B=1 th=1 N=2,3,3,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,3,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,3,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,3,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,3,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,3,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,3,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,3,4.0,0.0,16.0,0.0
fixed B=0,1,7,0.5,0.0,0.5,0.0
fixed B=1,1,7,0.5,0.0,1.5,0.0
fixed B=4,1,7,0.5,0.0,4.5,0.0
rel B0=0 eps=.5,1,7,0.5,0.0,2.0,0.0
qlen B0=0 gam=1,1,7,0.5,0.0,3.5,0.0
qlen B0=1 gam=.5 eps=.5,1,7,0.5,0.0,7.0,0.0
thresh B=1 th=1 N=2,1,7,0.5,0.0,3.5,0.0
cap B0=1 eps=.5 Bmax=1,1,7,0.5,0.0,1.5,0.0
skip N=2 (work channel off),1,7,0.5,0.0,8.5,0.0
skip N=5 (work channel off),1,7,0.5,0.0,20.5,0.0
fixed B=0,2,9,4.0,0.0,8.0,0.0
fixed B=1,2,9,4.0,4.5,8.5,0.5294117647058824
fixed B=4,2,9,4.0,4.0,10.0,0.4
rel B0=0 eps=.5,2,9,4.0,3.5,12.333333333333332,0.3181818181818182
rel B0=1 eps=1,2,9,4.0,4.0,22.0,0.23529411764705882
qlen B0=0 gam=1,2,9,4.0,3.0,10.5,0.3157894736842105
qlen B0=1 gam=.5 eps=.5,2,9,4.0,4.0,14.666666666666668,0.3529411764705882
thresh B=1 th=1 N=2,2,9,4.0,4.0,9.5,0.42105263157894735
thresh B=0 th=.5 N=3 eps=1,2,9,4.0,3.5,22.5,0.1891891891891892
cap B0=1 eps=1 Bmax=3,2,9,4.0,4.0,9.5,0.42105263157894735
cap B0=1 eps=.5 Bmax=1,2,9,4.0,4.5,8.5,0.5294117647058824
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,9,4.0,4.0,11.0,0.36363636363636365
skip N=2 (work channel off),2,9,4.0,4.0,12.0,0.3333333333333333
skip N=5 (work channel off),2,9,4.0,5.0,18.0,0.2777777777777778
fixed B=0,3,4,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,4,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,4,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,4,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,4,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,4,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,4,4.0,0.0,10.0,0.0
qlen B0=1 gam=.5 eps=.5,3,4,4.0,0.0,12.0,0.0
thresh B=1 th=1 N=2,3,4,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,4,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,4,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,4,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,4,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,4,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,4,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,4,4.0,0.0,16.0,0.0
fixed B=0,2,5,1.0,0.0,2.0,0.0
fixed B=1,2,5,1.0,0.0,2.5,0.0
fixed B=4,2,5,1.0,0.0,4.0,0.0
rel B0=0 eps=.5,2,5,1.0,0.0,2.6666666666666665,0.0
rel B0=1 eps=1,2,5,1.0,0.0,5.0,0.0
qlen B0=0 gam=1,2,5,1.0,0.0,3.0,0.0
qlen B0=1 gam=.5 eps=.5,2,5,1.0,0.0,4.0,0.0
thresh B=1 th=1 N=2,2,5,1.0,0.0,3.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,5,1.0,0.0,5.5,0.0
cap B0=1 eps=1 Bmax=3,2,5,1.0,0.0,3.5,0.0
cap B0=1 eps=.5 Bmax=1,2,5,1.0,0.0,2.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,5,1.0,0.0,5.0,0.0
skip N=2 (work channel off),2,5,1.0,0.0,6.0,0.0
skip N=5 (work channel off),2,5,1.0,0.0,12.0,0.0
fixed B=0,2,6,4.0,0.0,8.0,0.0
fixed B=1,2,6,4.0,0.0,8.5,0.0
fixed B=4,2,6,4.0,0.0,10.0,0.0
rel B0=0 eps=.5,2,6,4.0,0.0,11.5,0.0
rel B0=1 eps=1,2,6,4.0,0.0,19.5,0.0
qlen B0=0 gam=1,2,6,4.0,0.0,10.5,0.0
qlen B0=1 gam=.5 eps=.5,2,6,4.0,0.0,13.833333333333332,0.0
thresh B=1 th=1 N=2,2,6,4.0,0.0,9.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,6,4.0,0.0,20.0,0.0
cap B0=1 eps=1 Bmax=3,2,6,4.0,0.0,9.5,0.0
cap B0=1 eps=.5 Bmax=1,2,6,4.0,0.0,8.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,6,4.0,0.0,11.0,0.0
skip N=2 (work channel off),2,6,4.0,0.0,12.0,0.0
skip N=5 (work channel off),2,6,4.0,0.0,18.0,0.0
fixed B=0,1,2,4.0,0.0,4.0,0.0
fixed B=1,1,2,4.0,0.0,5.0,0.0
fixed B=4,1,2,4.0,0.0,8.0,0.0
rel B0=0 eps=.5,1,2,4.0,0.0,12.0,0.0
qlen B0=0 gam=1,1,2,4.0,0.0,5.0,0.0
qlen B0=1 gam=.5 eps=.5,1,2,4.0,0.0,15.0,0.0
thresh B=1 th=1 N=2,1,2,4.0,0.0,7.0,0.0
cap B0=1 eps=.5 Bmax=1,1,2,4.0,0.0,5.0,0.0
skip N=2 (work channel off),1,2,4.0,0.0,12.0,0.0
skip N=5 (work channel off),1,2,4.0,0.0,24.0,0.0
fixed B=0,3,3,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,3,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,3,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,3,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,3,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,3,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,3,4.0,0.0,10.0,0.0
qlen B0=1 gam=.5 eps=.5,3,3,4.0,0.0,12.0,0.0
thresh B=1 th=1 N=2,3,3,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,3,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,3,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,3,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,3,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,3,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,3,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,3,4.0,0.0,16.0,0.0
fixed B=0,1,9,4.0,0.0,4.0,0.0
fixed B=1,1,9,4.0,0.0,5.0,0.0
fixed B=4,1,9,4.0,0.0,8.0,0.0
rel B0=0 eps=.5,1,9,4.0,0.0,19.5,0.0
qlen B0=0 gam=1,1,9,4.0,0.0,11.0,0.0
qlen B0=1 gam=.5 eps=.5,1,9,4.0,0.0,28.5,0.0
thresh B=1 th=1 N=2,1,9,4.0,0.0,7.0,0.0
cap B0=1 eps=.5 Bmax=1,1,9,4.0,0.0,5.0,0.0
skip N=2 (work channel off),1,9,4.0,0.0,12.0,0.0
skip N=5 (work channel off),1,9,4.0,0.0,24.0,0.0
fixed B=0,3,4,1.0,0.0,2.3333333333333335,0.0
fixed B=1,3,4,1.0,0.0,2.6666666666666665,0.0
fixed B=4,3,4,1.0,0.0,3.666666666666667,0.0
rel B0=0 eps=.5,3,4,1.0,0.0,2.9,0.0
rel B0=1 eps=1,3,4,1.0,0.0,4.25,0.0
rel B0=0 eps=2,3,4,1.0,0.0,8.0,0.0
qlen B0=0 gam=1,3,4,1.0,0.0,3.3333333333333335,0.0
qlen B0=1 gam=.5 eps=.5,3,4,1.0,0.0,3.9000000000000004,0.0
thresh B=1 th=1 N=2,3,4,1.0,0.0,3.3333333333333335,0.0
thresh B=0 th=.5 N=3 eps=1,3,4,1.0,0.0,4.5,0.0
cap B0=1 eps=1 Bmax=3,3,4,1.0,0.0,3.3333333333333335,0.0
cap B0=0 eps=2 Bmax=2,3,4,1.0,0.0,3.0,0.0
cap B0=1 eps=.5 Bmax=1,3,4,1.0,0.0,2.6666666666666665,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,4,1.0,0.0,4.333333333333333,0.0
skip N=2 (work channel off),3,4,1.0,0.0,5.0,0.0
skip N=5 (work channel off),3,4,1.0,0.0,9.0,0.0
fixed B=0,3,5,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,5,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,5,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,5,4.0,3.0,11.4,0.2631578947368421
rel B0=1 eps=1,3,5,4.0,0.0,15.0,0.0
rel B0=0 eps=2,3,5,4.0,3.0,30.0,0.1
qlen B0=0 gam=1,3,5,4.0,0.0,10.333333333333334,0.0
qlen B0=1 gam=.5 eps=.5,3,5,4.0,0.0,12.4,0.0
thresh B=1 th=1 N=2,3,5,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,5,4.0,3.0,15.25,0.19672131147540983
cap B0=1 eps=1 Bmax=3,3,5,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,5,4.0,3.0,10.0,0.3
cap B0=1 eps=.5 Bmax=1,3,5,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,5,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,5,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,5,4.0,0.0,16.0,0.0
fixed B=0,2,4,4.0,0.0,8.0,0.0
fixed B=1,2,4,4.0,0.0,8.5,0.0
fixed B=4,2,4,4.0,0.0,10.0,0.0
rel B0=0 eps=.5,2,4,4.0,0.0,10.666666666666666,0.0
rel B0=1 eps=1,2,4,4.0,0.0,17.0,0.0
