design,k,n,L,max_excess,max_allowed,used_over_allowed
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,6,4.0,1.0,11.0,0.09090909090909091
skip N=2 (work channel off),2,6,4.0,1.0,12.0,0.08333333333333333
skip N=5 (work channel off),2,6,4.0,1.0,18.0,0.05555555555555555
fixed B=0,3,4,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,4,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,4,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,4,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,4,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,4,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,4,4.0,0.0,9.666666666666666,0.0
qlen B0=1 gam=.5 eps=.5,3,4,4.0,0.0,11.8,0.0
thresh B=1 th=1 N=2,3,4,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,4,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,4,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,4,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,4,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,4,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,4,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,4,4.0,0.0,16.0,0.0
fixed B=0,2,2,1.0,0.0,2.0,0.0
fixed B=1,2,2,1.0,0.0,2.5,0.0
fixed B=4,2,2,1.0,0.0,4.0,0.0
rel B0=0 eps=.5,2,2,1.0,0.0,2.6666666666666665,0.0
rel B0=1 eps=1,2,2,1.0,0.0,5.0,0.0
qlen B0=0 gam=1,2,2,1.0,0.0,2.0,0.0
qlen B0=1 gam=.5 eps=.5,2,2,1.0,0.0,3.3333333333333335,0.0
thresh B=1 th=1 N=2,2,2,1.0,0.0,3.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,2,1.0,0.0,5.5,0.0
cap B0=1 eps=1 Bmax=3,2,2,1.0,0.0,3.5,0.0
cap B0=1 eps=.5 Bmax=1,2,2,1.0,0.0,2.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,2,1.0,0.0,5.0,0.0
skip N=2 (work channel off),2,2,1.0,0.0,6.0,0.0
skip N=5 (work channel off),2,2,1.0,0.0,12.0,0.0
fixed B=0,1,7,4.0,0.0,4.0,0.0
fixed B=1,1,7,4.0,4.0,5.0,0.8
fixed B=4,1,7,4.0,4.0,8.0,0.5
rel B0=0 eps=.5,1,7,4.0,0.0,13.5,0.0
qlen B0=0 gam=1,1,7,4.0,0.0,5.0,0.0
qlen B0=1 gam=.5 eps=.5,1,7,4.0,4.0,17.5,0.4
thresh B=1 th=1 N=2,1,7,4.0,4.0,7.0,0.5714285714285714
cap B0=1 eps=.5 Bmax=1,1,7,4.0,4.0,5.0,0.8
skip N=2 (work channel off),1,7,4.0,7.0,12.0,0.5833333333333334
skip N=5 (work channel off),1,7,4.0,7.0,24.0,0.2916666666666667
fixed B=0,3,5,3.5,0.0,8.166666666666666,0.0
fixed B=1,3,5,3.5,0.0,8.5,0.0
fixed B=4,3,5,3.5,0.0,9.5,0.0
rel B0=0 eps=.5,3,5,3.5,0.0,9.8,0.0
rel B0=1 eps=1,3,5,3.5,0.0,12.75,0.0
rel B0=0 eps=2,3,5,3.5,0.0,24.5,0.0
qlen B0=0 gam=1,3,5,3.5,0.0,8.5,0.0
qlen B0=1 gam=.5 eps=.5,3,5,3.5,0.0,10.4,0.0
thresh B=1 th=1 N=2,3,5,3.5,0.0,9.166666666666666,0.0
thresh B=0 th=.5 N=3 eps=1,3,5,3.5,0.0,13.0,0.0
cap B0=1 eps=1 Bmax=3,3,5,3.5,0.0,9.166666666666666,0.0
cap B0=0 eps=2 Bmax=2,3,5,3.5,0.0,8.833333333333334,0.0
cap B0=1 eps=.5 Bmax=1,3,5,3.5,0.0,8.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,5,3.5,0.0,10.166666666666666,0.0
skip N=2 (work channel off),3,5,3.5,0.0,10.833333333333334,0.0
skip N=5 (work channel off),3,5,3.5,0.0,14.833333333333334,0.0
fixed B=0,2,8,4.0,0.0,8.0,0.0
fixed B=1,2,8,4.0,0.0,8.5,0.0
fixed B=4,2,8,4.0,0.0,10.0,0.0
rel B0=0 eps=.5,2,8,4.0,0.0,11.0,0.0
rel B0=1 eps=1,2,8,4.0,0.0,18.0,0.0
qlen B0=0 gam=1,2,8,4.0,0.0,8.5,0.0
qlen B0=1 gam=.5 eps=.5,2,8,4.0,0.0,12.0,0.0
thresh B=1 th=1 N=2,2,8,4.0,0.0,9.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,8,4.0,0.0,18.5,0.0
cap B0=1 eps=1 Bmax=3,2,8,4.0,0.0,9.5,0.0
