level,policy,k,guar_excess_max,guar_excess_at0,gap_p99dl,gap_mean,w_p99_dl,max_excess,max_excess_wf0,max_heavy,qw_forced_frac,used_over_allowed,bound_viol,P1,P2
0,FIX-B30,8,168.75,168.75,0.3329306253174333,0.2750962854190549,17.555851846933365,62.5762856900692,59.63098259270191,438.6874027252197,0.2811310562454934,0.3708224337189286,0,1,1
0,SKIP-N1,8,172.5,172.5,0.0098165522602136,0.0159221162734174,22.034331513941297,36.03020095825195,36.03020095825195,435.15698121488094,0.5171667502308417,0.2088707301927649,0,0,1
0,SKIP-N2,8,180.0,180.0,0.0114071366261601,0.0205390336064711,22.012285430729406,36.12566855549812,36.12566855549812,435.18079648911953,0.5120961942876321,0.2006981586416562,0,0,1
0,FIX-B120,8,180.0,180.0,0.5044234080362024,0.435483651674132,15.17889892384416,76.13486669957638,60.00453625619412,449.71461252868176,0.1454368478040206,0.4229714816643132,0,1,0
0,SKIP-N5,8,202.5,202.5,0.0222217617414764,0.0356635620119172,21.862390756607056,36.310541957616806,36.310541957616806,435.2742119431496,0.4935418603047848,0.1793113183092188,0,0,1
0,FIX-B300,8,202.5,202.5,0.639114312465236,0.5918220832493195,13.312033543735774,82.37032289803028,68.49953353404999,472.3591429740191,0.0595463993911274,0.4067670266569396,0,1,0
0,SKIP-N10,8,240.0,240.0,0.0400306107306932,0.0577705843406398,21.615553572028908,44.286762088537216,44.286762088537216,435.37459705770016,0.4674410160121497,0.184528175368905,0,0,1
0,CAP-B30-e0.5-M600,8,240.0,240.0,0.643223987361729,0.695473777480818,13.255071941018157,130.94154679775238,70.85200679302216,537.2879327088594,0.0273665830322544,0.5455897783239683,0,0,0
0,CAP-B120-e0.5-M600,8,240.0,240.0,0.6845403448128804,0.6999392809091853,12.682412059605172,124.9610248953104,112.13321755826472,537.2870152741671,0.0202585587695237,0.5206709370637933,0,0,0
0,FIX-B600,8,240.0,240.0,0.6913534464830717,0.6994533575726629,12.58797996938233,124.97781082987784,112.29338233172894,537.2870152741671,0.0186814296840684,0.5207408784578244,0,1,0
0,SKIP-N20,8,315.0,315.0,0.068360435020683,0.0944432636840494,21.222891807556152,52.40748313069344,45.93376113474369,435.59162850677967,0.4300756717877457,0.1663729623196617,0,0,1
0,CAP-B30-e0.5-M1200,8,315.0,315.0,0.6553810713966587,0.7750767150711538,13.086570293456374,200.56603381037712,70.85200679302216,598.3635898679495,0.016561179834188,0.6367175676519908,0,0,0
0,CAP-B120-e0.5-M1200,8,315.0,315.0,0.6994242128955741,0.7865886962970331,12.476116184145214,195.4916988015175,112.13321755826472,600.8554997742176,0.0086883882528199,0.6206085676238651,0,0,0
0,CAP-B30-e0.75-M1200,8,315.0,315.0,0.7007596027668316,0.7761314152716625,12.457607190311029,197.88877788186076,119.26947738602756,598.1360212415457,0.0074189636878171,0.6282183424820975,0,0,0
0,CAP-B120-e0.75-M1200,8,315.0,315.0,0.7102836138467022,0.7729705851482692,12.325600900501405,195.05282221734524,119.26947738602756,598.1360212415457,0.0048832589922979,0.6192153086264928,0,0,0
0,CAP-B30-e0.9-M1200,8,315.0,315.0,0.7106571987480723,0.7730955255983869,12.320422876626257,194.45803920924664,119.26947738602756,598.1360212415457,0.0046851970980329,0.617327108600783,0,0,0
0,FIX-B1200,8,315.0,315.0,0.710921890008692,0.7728156567194762,12.316754158586512,194.45803920924664,140.77975477278233,598.1360212415457,0.0040346477167305,0.617327108600783,0,1,0
0,REL-B30-e0.25,8,370.0076246907314,225.0,0.576542854269015,0.6882322620577848,14.179296924174135,183.7475102245808,60.00453625619412,589.7757562547922,0.0389528161751344,0.5238255359646014,0,0,1
0,REL-B120-e0.25,8,385.0076246907314,240.0,0.6491623221162786,0.74026340958275,13.172764441371037,183.70394541323185,68.16281118988991,595.298629373312,0.0206103470121048,0.5127907570306975,0,0,1
0,FIX-B1800,8,390.0,390.0,0.7176699600463636,0.8049079684870735,12.223223430663356,286.4357063174248,140.77975477278233,668.5241062343121,0.0019923674165536,0.7344505290190378,0,1,0
0,REL-B600-e0.25,8,465.0076246907314,320.0,0.7117261536679876,0.7945170555148199,12.305606769025331,305.70948946103454,119.26947738602756,731.2234008163214,0.0035603740874884,0.6619470701183401,0,0,0
